"STE_CODE16","age_group","sex","year_range","daily_consumption_vegetables","p","uncertainty"
3,"14-17","female","2017-2018","did_not_meet_recommendation",0.89,0
4,"2-3","female","2017-2018","met_recommendation",0.29,1
4,"2-3","female","2017-2018","did_not_meet_recommendation",1.03,1
4,"4-8","female","2017-2018","met_recommendation",0,0
4,"4-8","female","2017-2018","did_not_meet_recommendation",1.02,1
4,"9-11","female","2017-2018","met_recommendation",0,0
4,"9-11","female","2017-2018","did_not_meet_recommendation",1,0
4,"12-13","female","2017-2018","met_recommendation",0,0
4,"12-13","female","2017-2018","did_not_meet_recommendation",0.98,1
4,"14-17","female","2017-2018","met_recommendation",0.05,1
4,"14-17","female","2017-2018","did_not_meet_recommendation",0.87,0
5,"2-3","female","2017-2018","met_recommendation",0.11,1
5,"2-3","female","2017-2018","did_not_meet_recommendation",0.78,1
5,"4-8","female","2017-2018","met_recommendation",0.04,1
5,"4-8","female","2017-2018","did_not_meet_recommendation",0.99,1
5,"9-11","female","2017-2018","met_recommendation",0.12,1
5,"9-11","female","2017-2018","did_not_meet_recommendation",0.92,0
5,"12-13","female","2017-2018","met_recommendation",0,0
5,"12-13","female","2017-2018","did_not_meet_recommendation",1,0
5,"14-17","female","2017-2018","met_recommendation",0.09,1
5,"14-17","female","2017-2018","did_not_meet_recommendation",0.91,1
6,"2-3","female","2017-2018","met_recommendation",0.19,1
6,"2-3","female","2017-2018","did_not_meet_recommendation",0.87,1
6,"4-8","female","2017-2018","met_recommendation",0,0
6,"4-8","female","2017-2018","did_not_meet_recommendation",0.96,1
6,"9-11","female","2017-2018","met_recommendation",0.1,1
6,"9-11","female","2017-2018","did_not_meet_recommendation",0.73,1
6,"12-13","female","2017-2018","met_recommendation",0,0
6,"12-13","female","2017-2018","did_not_meet_recommendation",1,0
6,"14-17","female","2017-2018","met_recommendation",0.07,1
6,"14-17","female","2017-2018","did_not_meet_recommendation",0.86,1
7,"2-3","female","2017-2018","met_recommendation",0.21,1
7,"2-3","female","2017-2018","did_not_meet_recommendation",0.61,1
7,"4-8","female","2017-2018","met_recommendation",0.06,1
7,"4-8","female","2017-2018","did_not_meet_recommendation",1,0
7,"9-11","female","2017-2018","met_recommendation",0,0
7,"9-11","female","2017-2018","did_not_meet_recommendation",0.74,1
7,"12-13","female","2017-2018","met_recommendation",0,0
7,"12-13","female","2017-2018","did_not_meet_recommendation",0.87,1
7,"14-17","female","2017-2018","met_recommendation",0.06,1
7,"14-17","female","2017-2018","did_not_meet_recommendation",1.08,1
8,"2-3","female","2017-2018","met_recommendation",0.42,1
8,"2-3","female","2017-2018","did_not_meet_recommendation",0.78,1
8,"4-8","female","2017-2018","met_recommendation",0,0
8,"4-8","female","2017-2018","did_not_meet_recommendation",1.02,1
8,"9-11","female","2017-2018","met_recommendation",0,0
8,"9-11","female","2017-2018","did_not_meet_recommendation",0.77,1
8,"12-13","female","2017-2018","met_recommendation",0,0
8,"12-13","female","2017-2018","did_not_meet_recommendation",1,0
8,"14-17","female","2017-2018","met_recommendation",0.1,1
8,"14-17","female","2017-2018","did_not_meet_recommendation",0.94,1
