"STE_CODE16","age_group","sex","year_range","daily_consumption_fruit","n","uncertainty"
5,"14-17","male","2017-2018","met_recommendation",28300,0
5,"14-17","male","2017-2018","did_not_meet_recommendation",34300,0
6,"2-3","male","2017-2018","met_recommendation",6500,0
6,"2-3","male","2017-2018","did_not_meet_recommendation",0,0
6,"4-8","male","2017-2018","met_recommendation",13500,0
6,"4-8","male","2017-2018","did_not_meet_recommendation",3200,1
6,"9-11","male","2017-2018","met_recommendation",6200,0
6,"9-11","male","2017-2018","did_not_meet_recommendation",3900,1
6,"12-13","male","2017-2018","met_recommendation",4500,1
6,"12-13","male","2017-2018","did_not_meet_recommendation",1900,1
6,"14-17","male","2017-2018","met_recommendation",5100,1
6,"14-17","male","2017-2018","did_not_meet_recommendation",7400,0
7,"2-3","male","2017-2018","met_recommendation",2500,0
7,"2-3","male","2017-2018","did_not_meet_recommendation",200,2
7,"4-8","male","2017-2018","met_recommendation",5000,0
7,"4-8","male","2017-2018","did_not_meet_recommendation",1400,1
7,"9-11","male","2017-2018","met_recommendation",2400,0
7,"9-11","male","2017-2018","did_not_meet_recommendation",1200,1
7,"12-13","male","2017-2018","met_recommendation",500,2
7,"12-13","male","2017-2018","did_not_meet_recommendation",2200,1
7,"14-17","male","2017-2018","met_recommendation",1500,1
7,"14-17","male","2017-2018","did_not_meet_recommendation",1900,1
8,"2-3","male","2017-2018","met_recommendation",6800,0
8,"2-3","male","2017-2018","did_not_meet_recommendation",0,0
8,"4-8","male","2017-2018","met_recommendation",9800,0
8,"4-8","male","2017-2018","did_not_meet_recommendation",2200,1
8,"9-11","male","2017-2018","met_recommendation",7400,0
8,"9-11","male","2017-2018","did_not_meet_recommendation",1900,1
8,"12-13","male","2017-2018","met_recommendation",2700,1
8,"12-13","male","2017-2018","did_not_meet_recommendation",1000,2
8,"14-17","male","2017-2018","met_recommendation",3700,1
8,"14-17","male","2017-2018","did_not_meet_recommendation",6000,0
1,"2-3","female","2017-2018","met_recommendation",92500,0
1,"2-3","female","2017-2018","did_not_meet_recommendation",0,0
1,"4-8","female","2017-2018","met_recommendation",194500,0
1,"4-8","female","2017-2018","did_not_meet_recommendation",51000,0
1,"9-11","female","2017-2018","met_recommendation",124100,0
1,"9-11","female","2017-2018","did_not_meet_recommendation",26800,1
1,"12-13","female","2017-2018","met_recommendation",44000,0
1,"12-13","female","2017-2018","did_not_meet_recommendation",34600,1
1,"14-17","female","2017-2018","met_recommendation",117300,0
1,"14-17","female","2017-2018","did_not_meet_recommendation",61500,0
2,"2-3","female","2017-2018","met_recommendation",82000,0
2,"2-3","female","2017-2018","did_not_meet_recommendation",0,0
2,"4-8","female","2017-2018","met_recommendation",151500,0
2,"4-8","female","2017-2018","did_not_meet_recommendation",37800,0
2,"9-11","female","2017-2018","met_recommendation",91400,0
2,"9-11","female","2017-2018","did_not_meet_recommendation",26200,1
2,"12-13","female","2017-2018","met_recommendation",51700,0
2,"12-13","female","2017-2018","did_not_meet_recommendation",15700,1
2,"14-17","female","2017-2018","met_recommendation",88300,0
2,"14-17","female","2017-2018","did_not_meet_recommendation",44100,0
3,"2-3","female","2017-2018","met_recommendation",69400,0
3,"2-3","female","2017-2018","did_not_meet_recommendation",0,0
3,"4-8","female","2017-2018","met_recommendation",122900,0
3,"4-8","female","2017-2018","did_not_meet_recommendation",29500,0
3,"9-11","female","2017-2018","met_recommendation",63500,0
3,"9-11","female","2017-2018","did_not_meet_recommendation",29200,0
3,"12-13","female","2017-2018","met_recommendation",37100,0
3,"12-13","female","2017-2018","did_not_meet_recommendation",25800,1
3,"14-17","female","2017-2018","met_recommendation",61400,0
3,"14-17","female","2017-2018","did_not_meet_recommendation",51600,0
4,"2-3","female","2017-2018","met_recommendation",10400,1
4,"2-3","female","2017-2018","did_not_meet_recommendation",0,0
4,"4-8","female","2017-2018","met_recommendation",45100,0
4,"4-8","female","2017-2018","did_not_meet_recommendation",12100,1
4,"9-11","female","2017-2018","met_recommendation",27100,0
4,"9-11","female","2017-2018","did_not_meet_recommendation",2600,2
4,"12-13","female","2017-2018","met_recommendation",8100,1
4,"12-13","female","2017-2018","did_not_meet_recommendation",7200,2
4,"14-17","female","2017-2018","met_recommendation",24700,0
4,"14-17","female","2017-2018","did_not_meet_recommendation",15800,1
5,"2-3","female","2017-2018","met_recommendation",29600,0
5,"2-3","female","2017-2018","did_not_meet_recommendation",0,0
5,"4-8","female","2017-2018","met_recommendation",69200,0
5,"4-8","female","2017-2018","did_not_meet_recommendation",19300,1
5,"9-11","female","2017-2018","met_recommendation",34600,0
5,"9-11","female","2017-2018","did_not_meet_recommendation",12600,1
5,"12-13","female","2017-2018","met_recommendation",17500,1
5,"12-13","female","2017-2018","did_not_meet_recommendation",9700,1
5,"14-17","female","2017-2018","met_recommendation",40200,0
5,"14-17","female","2017-2018","did_not_meet_recommendation",19000,0
6,"2-3","female","2017-2018","met_recommendation",6800,0
6,"2-3","female","2017-2018","did_not_meet_recommendation",0,0
6,"4-8","female","2017-2018","met_recommendation",14600,0
6,"4-8","female","2017-2018","did_not_meet_recommendation",2100,2
6,"9-11","female","2017-2018","met_recommendation",5200,0
6,"9-11","female","2017-2018","did_not_meet_recommendation",2800,1
6,"12-13","female","2017-2018","met_recommendation",2500,1
6,"12-13","female","2017-2018","did_not_meet_recommendation",1300,2
6,"14-17","female","2017-2018","met_recommendation",9100,0
6,"14-17","female","2017-2018","did_not_meet_recommendation",4500,1
7,"2-3","female","2017-2018","met_recommendation",2700,0
7,"2-3","female","2017-2018","did_not_meet_recommendation",0,0
7,"4-8","female","2017-2018","met_recommendation",5200,0
7,"4-8","female","2017-2018","did_not_meet_recommendation",500,2
7,"9-11","female","2017-2018","met_recommendation",2800,0
7,"9-11","female","2017-2018","did_not_meet_recommendation",0,0
7,"12-13","female","2017-2018","met_recommendation",900,1
7,"12-13","female","2017-2018","did_not_meet_recommendation",800,1
7,"14-17","female","2017-2018","met_recommendation",2600,0
7,"14-17","female","2017-2018","did_not_meet_recommendation",1500,0
8,"2-3","female","2017-2018","met_recommendation",4100,0
8,"2-3","female","2017-2018","did_not_meet_recommendation",0,0
8,"4-8","female","2017-2018","met_recommendation",11300,0
8,"4-8","female","2017-2018","did_not_meet_recommendation",3200,1
8,"9-11","female","2017-2018","met_recommendation",4600,1
8,"9-11","female","2017-2018","did_not_meet_recommendation",2200,1
8,"12-13","female","2017-2018","met_recommendation",1200,2
8,"12-13","female","2017-2018","did_not_meet_recommendation",1800,1
8,"14-17","female","2017-2018","met_recommendation",5900,0
8,"14-17","female","2017-2018","did_not_meet_recommendation",3800,1
