"STE_CODE16","age_group","sex","year_range","bmi_categories","%","uncertainty"
4,"2-4","male","2017-2018","underweight",10.7,1
4,"2-4","male","2017-2018","normal",70.9,1
4,"2-4","male","2017-2018","overweight",17.6,1
4,"2-4","male","2017-2018","obese",0,0
4,"2-4","female","2017-2018","underweight",6.8,1
4,"2-4","female","2017-2018","normal",85.7,1
4,"2-4","female","2017-2018","overweight",7.5,1
4,"2-4","female","2017-2018","obese",0,0
4,"5-7","male","2017-2018","underweight",12.2,1
4,"5-7","male","2017-2018","normal",109,1
4,"5-7","male","2017-2018","overweight",0,0
4,"5-7","male","2017-2018","obese",0,0
4,"5-7","female","2017-2018","underweight",0,0
4,"5-7","female","2017-2018","normal",54.5,1
4,"5-7","female","2017-2018","overweight",17,1
4,"5-7","female","2017-2018","obese",19.5,1
4,"8-11","male","2017-2018","underweight",0,0
4,"8-11","male","2017-2018","normal",74,1
4,"8-11","male","2017-2018","overweight",9.7,1
4,"8-11","male","2017-2018","obese",5.1,1
4,"8-11","female","2017-2018","underweight",6.3,1
4,"8-11","female","2017-2018","normal",61.5,1
4,"8-11","female","2017-2018","overweight",19.2,1
4,"8-11","female","2017-2018","obese",19,1
4,"12-15","male","2017-2018","underweight",0,0
4,"12-15","male","2017-2018","normal",59.2,1
4,"12-15","male","2017-2018","overweight",41.3,1
4,"12-15","male","2017-2018","obese",4.9,1
4,"12-15","female","2017-2018","underweight",4.2,1
4,"12-15","female","2017-2018","normal",73.8,1
4,"12-15","female","2017-2018","overweight",22.8,1
4,"12-15","female","2017-2018","obese",9.2,1
4,"16-17","male","2017-2018","underweight",0,0
4,"16-17","male","2017-2018","normal",63.7,1
4,"16-17","male","2017-2018","overweight",18.7,1
4,"16-17","male","2017-2018","obese",0,0
4,"16-17","female","2017-2018","underweight",0,0
4,"16-17","female","2017-2018","normal",56.7,1
4,"16-17","female","2017-2018","overweight",35.7,1
4,"16-17","female","2017-2018","obese",0,0
5,"2-4","male","2017-2018","underweight",0,0
5,"2-4","male","2017-2018","normal",75.5,1
5,"2-4","male","2017-2018","overweight",8.7,1
5,"2-4","male","2017-2018","obese",0,0
5,"2-4","female","2017-2018","underweight",19.8,1
5,"2-4","female","2017-2018","normal",67.6,1
5,"2-4","female","2017-2018","overweight",11.5,1
5,"2-4","female","2017-2018","obese",14.6,1
5,"5-7","male","2017-2018","underweight",0,0
5,"5-7","male","2017-2018","normal",64.7,1
5,"5-7","male","2017-2018","overweight",27,1
5,"5-7","male","2017-2018","obese",4.7,1
5,"5-7","female","2017-2018","underweight",4,1
5,"5-7","female","2017-2018","normal",72.5,1
5,"5-7","female","2017-2018","overweight",6.6,1
5,"5-7","female","2017-2018","obese",6.6,1
5,"8-11","male","2017-2018","underweight",0,0
5,"8-11","male","2017-2018","normal",65.3,1
5,"8-11","male","2017-2018","overweight",31.8,1
5,"8-11","male","2017-2018","obese",4.6,1
5,"8-11","female","2017-2018","underweight",0,0
5,"8-11","female","2017-2018","normal",75.6,1
5,"8-11","female","2017-2018","overweight",20.1,1
5,"8-11","female","2017-2018","obese",6.7,1
5,"12-15","male","2017-2018","underweight",5.3,1
5,"12-15","male","2017-2018","normal",71.9,1
5,"12-15","male","2017-2018","overweight",22.2,1
5,"12-15","male","2017-2018","obese",3,1
5,"12-15","female","2017-2018","underweight",9.4,0
5,"12-15","female","2017-2018","normal",77.5,1
5,"12-15","female","2017-2018","overweight",22.7,1
5,"12-15","female","2017-2018","obese",0,0
5,"16-17","male","2017-2018","underweight",31.7,1
5,"16-17","male","2017-2018","normal",39.3,1
5,"16-17","male","2017-2018","overweight",18.3,1
5,"16-17","male","2017-2018","obese",10.7,1
5,"16-17","female","2017-2018","underweight",0,0
5,"16-17","female","2017-2018","normal",62.5,1
5,"16-17","female","2017-2018","overweight",23.2,1
5,"16-17","female","2017-2018","obese",0,0
6,"2-4","male","2017-2018","underweight",15.3,1
6,"2-4","male","2017-2018","normal",72.9,1
6,"2-4","male","2017-2018","overweight",23.5,1
6,"2-4","male","2017-2018","obese",27.1,1
6,"2-4","female","2017-2018","underweight",0,0
6,"2-4","female","2017-2018","normal",84.7,1
6,"2-4","female","2017-2018","overweight",15.3,1
6,"2-4","female","2017-2018","obese",8.2,1
6,"5-7","male","2017-2018","underweight",14.7,1
6,"5-7","male","2017-2018","normal",74.3,1
6,"5-7","male","2017-2018","overweight",20.2,1
6,"5-7","male","2017-2018","obese",0,0
6,"5-7","female","2017-2018","underweight",0,0
6,"5-7","female","2017-2018","normal",65,1
6,"5-7","female","2017-2018","overweight",27,1
6,"5-7","female","2017-2018","obese",7,1
6,"8-11","male","2017-2018","underweight",0,0
6,"8-11","male","2017-2018","normal",68.2,1
6,"8-11","male","2017-2018","overweight",25.6,1
6,"8-11","male","2017-2018","obese",13.2,0
6,"8-11","female","2017-2018","underweight",15.2,1
6,"8-11","female","2017-2018","normal",80.4,0
6,"8-11","female","2017-2018","overweight",12.5,1
6,"8-11","female","2017-2018","obese",8.9,1
6,"12-15","male","2017-2018","underweight",0,0
6,"12-15","male","2017-2018","normal",68.9,1
6,"12-15","male","2017-2018","overweight",23.3,1
6,"12-15","male","2017-2018","obese",17.5,1
6,"12-15","female","2017-2018","underweight",4.5,1
6,"12-15","female","2017-2018","normal",50,1
6,"12-15","female","2017-2018","overweight",13.6,1
6,"12-15","female","2017-2018","obese",27.3,1
6,"16-17","male","2017-2018","underweight",6,1
6,"16-17","male","2017-2018","normal",69.9,1
6,"16-17","male","2017-2018","overweight",26.5,1
6,"16-17","male","2017-2018","obese",0,0
6,"16-17","female","2017-2018","underweight",0,0
6,"16-17","female","2017-2018","normal",69.7,1
6,"16-17","female","2017-2018","overweight",10.6,1
6,"16-17","female","2017-2018","obese",0,0
7,"2-4","male","2017-2018","underweight",25,1
7,"2-4","male","2017-2018","normal",72.5,1
7,"2-4","male","2017-2018","overweight",7.5,1
7,"2-4","male","2017-2018","obese",5,1
7,"2-4","female","2017-2018","underweight",0,0
7,"2-4","female","2017-2018","normal",100,1
7,"2-4","female","2017-2018","overweight",8.3,1
7,"2-4","female","2017-2018","obese",0,0
7,"5-7","male","2017-2018","underweight",0,0
7,"5-7","male","2017-2018","normal",65.9,1
7,"5-7","male","2017-2018","overweight",12.2,1
7,"5-7","male","2017-2018","obese",7.3,1
7,"5-7","female","2017-2018","underweight",0,0
7,"5-7","female","2017-2018","normal",63.3,1
7,"5-7","female","2017-2018","overweight",18.4,1
7,"5-7","female","2017-2018","obese",10.2,1
7,"8-11","male","2017-2018","underweight",3.7,1
7,"8-11","male","2017-2018","normal",64.8,1
7,"8-11","male","2017-2018","overweight",16.7,1
7,"8-11","male","2017-2018","obese",9.3,1
7,"8-11","female","2017-2018","underweight",4.9,1
7,"8-11","female","2017-2018","normal",56.1,1
7,"8-11","female","2017-2018","overweight",12.2,1
7,"8-11","female","2017-2018","obese",0,0
7,"12-15","male","2017-2018","underweight",0,0
7,"12-15","male","2017-2018","normal",64.4,1
7,"12-15","male","2017-2018","overweight",17.8,1
7,"12-15","male","2017-2018","obese",6.7,1
7,"12-15","female","2017-2018","underweight",7,1
7,"12-15","female","2017-2018","normal",58.1,1
7,"12-15","female","2017-2018","overweight",18.6,1
7,"12-15","female","2017-2018","obese",7,1
7,"16-17","male","2017-2018","underweight",0,0
7,"16-17","male","2017-2018","normal",42.9,1
7,"16-17","male","2017-2018","overweight",28.6,1
7,"16-17","male","2017-2018","obese",19,1
7,"16-17","female","2017-2018","underweight",0,0
7,"16-17","female","2017-2018","normal",50,1
7,"16-17","female","2017-2018","overweight",21.4,1
7,"16-17","female","2017-2018","obese",0,0
8,"2-4","male","2017-2018","underweight",7.4,1
8,"2-4","male","2017-2018","normal",62.8,1
8,"2-4","male","2017-2018","overweight",29.8,1
8,"2-4","male","2017-2018","obese",0,0
8,"2-4","female","2017-2018","underweight",0,0
8,"2-4","female","2017-2018","normal",48.8,1
8,"2-4","female","2017-2018","overweight",20,1
8,"2-4","female","2017-2018","obese",11.2,1
8,"5-7","male","2017-2018","underweight",13.5,1
8,"5-7","male","2017-2018","normal",80.9,1
8,"5-7","male","2017-2018","overweight",9,1
8,"5-7","male","2017-2018","obese",0,0
8,"5-7","female","2017-2018","underweight",0,0
8,"5-7","female","2017-2018","normal",57.8,1
8,"5-7","female","2017-2018","overweight",22.9,1
8,"5-7","female","2017-2018","obese",9.6,1
8,"8-11","male","2017-2018","underweight",0,0
8,"8-11","male","2017-2018","normal",59.6,1
8,"8-11","male","2017-2018","overweight",9.6,1
8,"8-11","male","2017-2018","obese",21.2,1
8,"8-11","female","2017-2018","underweight",12.5,1
8,"8-11","female","2017-2018","normal",62.5,1
8,"8-11","female","2017-2018","overweight",8.7,1
8,"8-11","female","2017-2018","obese",0,0
8,"12-15","male","2017-2018","underweight",0,0
8,"12-15","male","2017-2018","normal",66.2,1
8,"12-15","male","2017-2018","overweight",41.6,1
8,"12-15","male","2017-2018","obese",6.5,1
8,"12-15","female","2017-2018","underweight",8,1
8,"12-15","female","2017-2018","normal",71.3,1
8,"12-15","female","2017-2018","overweight",17.2,1
8,"12-15","female","2017-2018","obese",0,0
8,"16-17","male","2017-2018","underweight",0,0
8,"16-17","male","2017-2018","normal",31.8,1
8,"16-17","male","2017-2018","overweight",18.2,1
8,"16-17","male","2017-2018","obese",0,0
8,"16-17","female","2017-2018","underweight",15.8,1
8,"16-17","female","2017-2018","normal",52.6,1
8,"16-17","female","2017-2018","overweight",23.7,1
8,"16-17","female","2017-2018","obese",0,0
