"STE_CODE16","age_group","sex","year_range","bmi_categories","n","uncertainty"
2,"16-17","female","2017-2018","overweight",11600,1
2,"16-17","female","2017-2018","obese",0,0
3,"2-4","male","2017-2018","underweight",19400,1
3,"2-4","male","2017-2018","normal",60500,0
3,"2-4","male","2017-2018","overweight",8100,2
3,"2-4","male","2017-2018","obese",4800,2
3,"2-4","female","2017-2018","underweight",7100,1
3,"2-4","female","2017-2018","normal",62700,0
3,"2-4","female","2017-2018","overweight",15000,1
3,"2-4","female","2017-2018","obese",10600,1
3,"5-7","male","2017-2018","underweight",7700,1
3,"5-7","male","2017-2018","normal",79600,0
3,"5-7","male","2017-2018","overweight",9100,1
3,"5-7","male","2017-2018","obese",15300,1
3,"5-7","female","2017-2018","underweight",3500,2
3,"5-7","female","2017-2018","normal",65000,0
3,"5-7","female","2017-2018","overweight",23400,1
3,"5-7","female","2017-2018","obese",6600,1
3,"8-11","male","2017-2018","underweight",14000,1
3,"8-11","male","2017-2018","normal",67400,0
3,"8-11","male","2017-2018","overweight",30400,0
3,"8-11","male","2017-2018","obese",9300,1
3,"8-11","female","2017-2018","underweight",21400,1
3,"8-11","female","2017-2018","normal",68900,0
3,"8-11","female","2017-2018","overweight",12500,1
3,"8-11","female","2017-2018","obese",11500,1
3,"12-15","male","2017-2018","underweight",5100,2
3,"12-15","male","2017-2018","normal",80500,0
3,"12-15","male","2017-2018","overweight",22100,1
3,"12-15","male","2017-2018","obese",14000,1
3,"12-15","female","2017-2018","underweight",15200,1
3,"12-15","female","2017-2018","normal",88000,0
3,"12-15","female","2017-2018","overweight",11200,1
3,"12-15","female","2017-2018","obese",4900,2
3,"16-17","male","2017-2018","underweight",2000,2
3,"16-17","male","2017-2018","normal",38000,0
3,"16-17","male","2017-2018","overweight",15500,1
3,"16-17","male","2017-2018","obese",5200,2
3,"16-17","female","2017-2018","underweight",2000,2
3,"16-17","female","2017-2018","normal",45200,0
3,"16-17","female","2017-2018","overweight",9200,1
3,"16-17","female","2017-2018","obese",2500,2
4,"2-4","male","2017-2018","underweight",3100,2
4,"2-4","male","2017-2018","normal",20500,0
4,"2-4","male","2017-2018","overweight",5100,2
4,"2-4","male","2017-2018","obese",0,0
4,"2-4","female","2017-2018","underweight",2100,2
4,"2-4","female","2017-2018","normal",26400,0
4,"2-4","female","2017-2018","overweight",2300,2
4,"2-4","female","2017-2018","obese",0,0
4,"5-7","male","2017-2018","underweight",3000,2
4,"5-7","male","2017-2018","normal",26700,1
4,"5-7","male","2017-2018","overweight",0,0
4,"5-7","male","2017-2018","obese",0,0
4,"5-7","female","2017-2018","underweight",0,0
4,"5-7","female","2017-2018","normal",21200,0
4,"5-7","female","2017-2018","overweight",6600,1
4,"5-7","female","2017-2018","obese",7600,1
4,"8-11","male","2017-2018","underweight",0,0
4,"8-11","male","2017-2018","normal",36500,0
4,"8-11","male","2017-2018","overweight",4800,2
4,"8-11","male","2017-2018","obese",2500,2
4,"8-11","female","2017-2018","underweight",2300,2
4,"8-11","female","2017-2018","normal",22400,0
4,"8-11","female","2017-2018","overweight",7000,1
4,"8-11","female","2017-2018","obese",6900,2
4,"12-15","male","2017-2018","underweight",0,0
4,"12-15","male","2017-2018","normal",20500,0
4,"12-15","male","2017-2018","overweight",14300,1
4,"12-15","male","2017-2018","obese",1700,2
4,"12-15","female","2017-2018","underweight",1600,2
4,"12-15","female","2017-2018","normal",28200,0
4,"12-15","female","2017-2018","overweight",8700,1
4,"12-15","female","2017-2018","obese",3500,2
4,"16-17","male","2017-2018","underweight",0,0
4,"16-17","male","2017-2018","normal",16000,0
4,"16-17","male","2017-2018","overweight",4700,1
4,"16-17","male","2017-2018","obese",0,0
4,"16-17","female","2017-2018","underweight",0,0
4,"16-17","female","2017-2018","normal",11900,0
4,"16-17","female","2017-2018","overweight",7500,1
4,"16-17","female","2017-2018","obese",0,0
5,"2-4","male","2017-2018","underweight",0,0
5,"2-4","male","2017-2018","normal",42600,0
5,"2-4","male","2017-2018","overweight",4900,2
5,"2-4","male","2017-2018","obese",0,0
5,"2-4","female","2017-2018","underweight",8800,1
5,"2-4","female","2017-2018","normal",30000,0
5,"2-4","female","2017-2018","overweight",5100,2
5,"2-4","female","2017-2018","obese",6500,2
5,"5-7","male","2017-2018","underweight",0,0
5,"5-7","male","2017-2018","normal",30400,0
5,"5-7","male","2017-2018","overweight",12700,2
5,"5-7","male","2017-2018","obese",2200,2
5,"5-7","female","2017-2018","underweight",2200,2
5,"5-7","female","2017-2018","normal",39600,0
5,"5-7","female","2017-2018","overweight",3600,2
5,"5-7","female","2017-2018","obese",3600,2
5,"8-11","male","2017-2018","underweight",0,0
5,"8-11","male","2017-2018","normal",48700,0
5,"8-11","male","2017-2018","overweight",23700,0
5,"8-11","male","2017-2018","obese",3400,2
5,"8-11","female","2017-2018","underweight",0,0
5,"8-11","female","2017-2018","normal",43900,0
5,"8-11","female","2017-2018","overweight",11700,1
5,"8-11","female","2017-2018","obese",3900,2
5,"12-15","male","2017-2018","underweight",3400,2
5,"12-15","male","2017-2018","normal",46000,0
5,"12-15","male","2017-2018","overweight",14200,1
5,"12-15","male","2017-2018","obese",1900,2
5,"12-15","female","2017-2018","underweight",4900,1
5,"12-15","female","2017-2018","normal",40600,0
5,"12-15","female","2017-2018","overweight",11900,1
5,"12-15","female","2017-2018","obese",0,0
5,"16-17","male","2017-2018","underweight",8000,1
5,"16-17","male","2017-2018","normal",9900,1
5,"16-17","male","2017-2018","overweight",4600,2
5,"16-17","male","2017-2018","obese",2700,2
5,"16-17","female","2017-2018","underweight",0,0
5,"16-17","female","2017-2018","normal",22300,0
5,"16-17","female","2017-2018","overweight",8300,1
5,"16-17","female","2017-2018","obese",0,0
6,"2-4","male","2017-2018","underweight",1300,2
6,"2-4","male","2017-2018","normal",6200,0
6,"2-4","male","2017-2018","overweight",2000,1
6,"2-4","male","2017-2018","obese",2300,1
6,"2-4","female","2017-2018","underweight",0,0
6,"2-4","female","2017-2018","normal",7200,0
6,"2-4","female","2017-2018","overweight",1300,2
6,"2-4","female","2017-2018","obese",700,2
6,"5-7","male","2017-2018","underweight",1600,2
6,"5-7","male","2017-2018","normal",8100,0
6,"5-7","male","2017-2018","overweight",2200,1
6,"5-7","male","2017-2018","obese",0,0
6,"5-7","female","2017-2018","underweight",0,0
6,"5-7","female","2017-2018","normal",6500,1
6,"5-7","female","2017-2018","overweight",2700,1
6,"5-7","female","2017-2018","obese",700,2
6,"8-11","male","2017-2018","underweight",0,0
6,"8-11","male","2017-2018","normal",8800,0
6,"8-11","male","2017-2018","overweight",3300,1
6,"8-11","male","2017-2018","obese",1700,1
6,"8-11","female","2017-2018","underweight",1700,1
6,"8-11","female","2017-2018","normal",9000,0
6,"8-11","female","2017-2018","overweight",1400,2
6,"8-11","female","2017-2018","obese",1000,2
6,"12-15","male","2017-2018","underweight",0,0
6,"12-15","male","2017-2018","normal",7100,0
6,"12-15","male","2017-2018","overweight",2400,1
6,"12-15","male","2017-2018","obese",1800,2
6,"12-15","female","2017-2018","underweight",500,2
6,"12-15","female","2017-2018","normal",5500,0
6,"12-15","female","2017-2018","overweight",1500,2
6,"12-15","female","2017-2018","obese",3000,1
6,"16-17","male","2017-2018","underweight",500,2
6,"16-17","male","2017-2018","normal",5800,0
6,"16-17","male","2017-2018","overweight",2200,1
6,"16-17","male","2017-2018","obese",0,0
6,"16-17","female","2017-2018","underweight",0,0
6,"16-17","female","2017-2018","normal",4600,0
6,"16-17","female","2017-2018","overweight",700,2
6,"16-17","female","2017-2018","obese",0,0
7,"2-4","male","2017-2018","underweight",1000,1
7,"2-4","male","2017-2018","normal",2900,0
7,"2-4","male","2017-2018","overweight",300,2
7,"2-4","male","2017-2018","obese",200,2
7,"2-4","female","2017-2018","underweight",0,0
7,"2-4","female","2017-2018","normal",3600,0
7,"2-4","female","2017-2018","overweight",300,2
7,"2-4","female","2017-2018","obese",0,0
7,"5-7","male","2017-2018","underweight",0,0
7,"5-7","male","2017-2018","normal",2700,0
7,"5-7","male","2017-2018","overweight",500,1
7,"5-7","male","2017-2018","obese",300,2
7,"5-7","female","2017-2018","underweight",0,0
7,"5-7","female","2017-2018","normal",3100,0
7,"5-7","female","2017-2018","overweight",900,2
7,"5-7","female","2017-2018","obese",500,2
7,"8-11","male","2017-2018","underweight",200,2
7,"8-11","male","2017-2018","normal",3500,0
7,"8-11","male","2017-2018","overweight",900,1
7,"8-11","male","2017-2018","obese",500,2
7,"8-11","female","2017-2018","underweight",200,2
7,"8-11","female","2017-2018","normal",2300,1
7,"8-11","female","2017-2018","overweight",500,2
7,"8-11","female","2017-2018","obese",0,0
7,"12-15","male","2017-2018","underweight",0,0
7,"12-15","male","2017-2018","normal",2900,0
7,"12-15","male","2017-2018","overweight",800,2
7,"12-15","male","2017-2018","obese",300,2
7,"12-15","female","2017-2018","underweight",300,2
7,"12-15","female","2017-2018","normal",2500,0
7,"12-15","female","2017-2018","overweight",800,1
7,"12-15","female","2017-2018","obese",300,2
7,"16-17","male","2017-2018","underweight",0,0
7,"16-17","male","2017-2018","normal",900,1
7,"16-17","male","2017-2018","overweight",600,1
7,"16-17","male","2017-2018","obese",400,2
7,"16-17","female","2017-2018","underweight",0,0
7,"16-17","female","2017-2018","normal",700,2
7,"16-17","female","2017-2018","overweight",300,2
7,"16-17","female","2017-2018","obese",0,0
8,"2-4","male","2017-2018","underweight",700,2
8,"2-4","male","2017-2018","normal",5900,0
8,"2-4","male","2017-2018","overweight",2800,1
8,"2-4","male","2017-2018","obese",0,0
8,"2-4","female","2017-2018","underweight",0,0
8,"2-4","female","2017-2018","normal",3900,0
8,"2-4","female","2017-2018","overweight",1600,2
8,"2-4","female","2017-2018","obese",900,2
8,"5-7","male","2017-2018","underweight",1200,2
8,"5-7","male","2017-2018","normal",7200,0
8,"5-7","male","2017-2018","overweight",800,2
8,"5-7","male","2017-2018","obese",0,0
8,"5-7","female","2017-2018","underweight",0,0
8,"5-7","female","2017-2018","normal",4800,0
8,"5-7","female","2017-2018","overweight",1900,1
8,"5-7","female","2017-2018","obese",800,2
8,"8-11","male","2017-2018","underweight",0,0
8,"8-11","male","2017-2018","normal",6200,0
8,"8-11","male","2017-2018","overweight",1000,2
8,"8-11","male","2017-2018","obese",2200,1
8,"8-11","female","2017-2018","underweight",1300,2
8,"8-11","female","2017-2018","normal",6500,0
8,"8-11","female","2017-2018","overweight",900,2
8,"8-11","female","2017-2018","obese",0,0
8,"12-15","male","2017-2018","underweight",0,0
8,"12-15","male","2017-2018","normal",5100,0
8,"12-15","male","2017-2018","overweight",3200,1
8,"12-15","male","2017-2018","obese",500,2
8,"12-15","female","2017-2018","underweight",700,2
8,"12-15","female","2017-2018","normal",6200,0
8,"12-15","female","2017-2018","overweight",1500,1
8,"12-15","female","2017-2018","obese",0,0
8,"16-17","male","2017-2018","underweight",0,0
8,"16-17","male","2017-2018","normal",2100,1
8,"16-17","male","2017-2018","overweight",1200,2
8,"16-17","male","2017-2018","obese",0,0
8,"16-17","female","2017-2018","underweight",600,2
8,"16-17","female","2017-2018","normal",2000,1
8,"16-17","female","2017-2018","overweight",900,2
8,"16-17","female","2017-2018","obese",0,0
