Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"SA2 (UR)",
"Dubbo Region",5626,
"Gilgandra",4376,
"Narromine",6537,
"Wellington",8831,
"Branxton - Greta - Pokolbin",10124,
"Cessnock",21995,
"Cessnock Region",7926,
"Dungog",8976,
"Kurri Kurri - Abermain",17639,
"Singleton",16094,
"Singleton Region",4922,
"Maitland",6601,
"Maitland - East",27416,
"Maitland - North",7611,
"Maitland - West",22525,
"Thornton - Millers Forest",10003,
"Anna Bay",5726,
"Lemon Tree Passage - Tanilba Bay",6685,
"Nelson Bay Peninsula",21015,
"Raymond Terrace",13825,
"Seaham - Woodville",5412,
"Tea Gardens - Hawks Nest",5038,
"Williamtown - Medowie - Karuah",13673,
"Muswellbrook",12072,
"Muswellbrook Region",4013,
"Scone",5823,
"Scone Region",8288,
"Dapto - Avondale",23460,
"Horsley - Kembla Grange",8655,
"Port Kembla Industrial",13,
"Unanderra - Mount Kembla",15374,
"Berkeley - Lake Heights - Cringila",13797,
"Port Kembla - Warrawong",9751,
"Windang - Primbee",4301,
"Illawarra Catchment Reserve",7,
"Albion Park - Macquarie Pass",14331,
"Albion Park Rail",6918,
"Kiama",7695,
"Kiama Downs - Minnamurra",5875,
"Kiama Hinterland - Gerringong",7812,
"Shellharbour - Flinders",16831,
"Shellharbour - Oak Flats",9951,
"Warilla",20422,
"Balgownie - Fairy Meadow",21201,
"Corrimal - Tarrawanna - Bellambi",15421,
"Figtree - Keiraville",21083,
"Helensburgh",8788,
"Thirroul - Austinmer - Coalcliff",11306,
"Woonona - Bulli - Russell Vale",19840,
"Wollongong - East",13968,
"Wollongong - West",16707,
"Bulahdelah - Stroud",4725,
"Forster",14270,
"Forster-Tuncurry Region",6085,
"Tuncurry",6182,
"Kempsey",14756,
"Kempsey Region",9024,
"Macksville - Scotts Head",4792,
"Nambucca Heads",6752,
"Nambucca Heads Region",7665,
"South West Rocks",5133,
"Lord Howe Island",381,
"Laurieton - Bonny Hills",16743,
"Port Macquarie - East",28050,
"Port Macquarie - West",17326,
"Port Macquarie Region",5293,
"Wauchope",11150,
"Gloucester",5033,
"Old Bar - Manning Point - Red Head",10531,
"Taree",20478,
"Taree Region",12444,
"Wingham",5374,
"Albury - East",15047,
"Albury - North",9845,
"Albury - South",10302,
"Albury Region",11611,
"Lavington",14473,
"Hay",2970,
"Wentworth - Buronga",5965,
"Wentworth-Balranald Region",3611,
"Corowa",5482,
"Corowa Region",6742,
"Deniliquin",7434,
"Deniliquin Region",6751,
"Moama",5845,
"Tocumwal - Finley - Jerilderie",9728,
"Armidale",23348,
"Armidale Region - North",4490,
"Armidale Region - South",6023,
"Walcha",3226,
"Glen Innes",8832,
"Inverell",11660,
"Inverell Region - East",5235,
"Inverell Region - West",5987,
"Tenterfield",6624,
"Moree",8203,
"Moree Region",5451,
"Narrabri",7170,
"Narrabri Region",4797,
"Gunnedah",9191,
"Gunnedah Region",4133,
"Quirindi",7684,
"Tamworth - East",20372,
"Tamworth - North",15077,
"Tamworth - West",5563,
"Tamworth Region",18472,
"Belmont - Bennetts Green",17724,
"Belmont South - Blacksmiths",5604,
"Charlestown - Dudley",23965,
"Glendale - Cardiff - Hillsborough",23387,
"Mount Hutton - Windale",8901,
"Redhead",3517,
"Swansea - Caves Beach",11546,
"Valentine - Eleebana",11994,
"Warners Bay - Boolaroo",13371,
"Bolton Point - Teralba",8523,
"Bonnells Bay - Silverwater",8719,
"Edgeworth - Cameron Park",14200,
"Morisset - Cooranbong",14963,
"Toronto - Awaba",13425,
"Wangi Wangi - Rathmines",8897,
"West Wallsend - Barnsley - Killingworth",6481,
"Adamstown - Kotara",15600,
"Beresfield - Hexham",8358,
"Hamilton - Broadmeadow",11847,
"Lambton - New Lambton",16526,
"Maryland - Fletcher - Minmi",13570,
"Mayfield - Warabrook",14873,
"Merewether - The Junction",13622,
"Newcastle - Cooks Hill",10757,
"Newcastle Port - Kooragang",16,
"Shortland - Jesmond",11544,
"Stockton - Fullerton Cove",7495,
"Wallsend - Elermore Vale",19628,
"Waratah - North Lambton",12059,
"Wickham - Carrington - Tighes Hill",8003,
"Ballina",17115,
"Ballina Region",16835,
"Bangalow",5670,
"Brunswick Heads - Ocean Shores",8212,
"Byron Bay",9503,
"Evans Head",5219,
"Lennox Head - Skennars Head",7741,
"Mullumbimby",7994,
"Casino",12231,
"Casino Region",6972,
"Goonellabah",13122,
"Kyogle",7312,
"Lismore",15282,
"Lismore Region",15028,
"Kingscliff - Fingal Head",13150,
"Murwillumbah",8942,
"Murwillumbah Region",9653,
"Pottsville",13181,
"Tweed Heads",19418,
"Banora Point",15636,
"Terranora - North Tumblegum",3249,
"Tweed Heads South",8146,
"Griffith (NSW)",19143,
"Griffith Region",12880,
"Leeton",10086,
"Narrandera",6034,
"Tumbarumba",3445,
"Tumut",6275,
"Tumut Region",4715,
"Cootamundra",7566,
"Gundagai",3596,
"Junee",6245,
"Temora",6717,
"Wagga Wagga - East",16585,
"Wagga Wagga - North",4404,
"Wagga Wagga - South",21266,
"Wagga Wagga - West",12155,
"Wagga Wagga Region",14819,
"Berry - Kangaroo Valley",8788,
"Callala Bay - Currarong",3611,
"Culburra Beach",4962,
"Ettrema - Sassafras - Budawang",54,
"Huskisson - Vincentia",4194,
"North Nowra - Bomaderry",15759,
"Nowra",20040,
"St Georges Basin - Erowal Bay",14006,
"Sussex Inlet - Berrara",4345,
"Tomerong - Wandandian - Woollamia",3405,
"Ulladulla",15279,
"Ulladulla Region",5063,
"Bowral",12948,
"Hill Top - Colo Vale",6026,
"Mittagong",8999,
"Moss Vale - Berrima",9801,
"Robertson - Fitzroy Falls",3506,
"Southern Highlands",6585,
"Baulkham Hills (East)",22943,
"Baulkham Hills (West) - Bella Vista",20068,
"Glenhaven",6253,
"West Pennant Hills",12640,
"Castle Hill - Central",7609,
"Castle Hill - East",5594,
"Castle Hill - North",11886,
"Castle Hill - South",9519,
"Castle Hill - West",5239,
"Cherrybrook",18768,
"Kellyville",23231,
"Dural - Kenthurst - Wisemans Ferry",21019,
"Galston - Laughtondale",5210,
"Bilpin - Colo - St Albans",2691,
"Kurrajong Heights - Ebenezer",21898,
"Pitt Town - McGraths Hill",10531,
"Rouse Hill - Beaumont Hills",22651,
"Blacktown (East) - Kings Park",16920,
"Blacktown (North) - Marayong",18024,
"Doonside - Woodcroft",22526,
"Lalor Park - Kings Langley",24874,
"Seven Hills - Toongabbie",23920,
"Blacktown (South)",12325,
"Blacktown (West)",16154,
"Glenwood",16128,
"Parklea - Kellyville Ridge",32645,
"Riverstone - Marsden Park",17307,
"Acacia Gardens",3796,
"Quakers Hill",22945,
"Bidwill - Hebersham - Emerton",18439,
"Glendenning - Dean Park",8354,
"Hassall Grove - Plumpton",20673,
"Lethbridge Park - Tregear",20705,
"Mount Druitt - Whalan",22701,
"Prospect Reservoir",39,
"Rooty Hill - Minchinbury",21152,
"Banksmeadow",18,
"Botany",10822,
"Mascot - Eastlakes",24407,
"Pagewood - Hillsdale - Daceyville",11374,
"Port Botany Industrial",11,
"Sydney Airport",61,
"Marrickville",26540,
"Petersham - Stanmore",20234,
"Sydenham - Tempe - St Peters",7840,
"Darlinghurst",11317,
"Erskineville - Alexandria",16236,
"Glebe - Forest Lodge",19614,
"Newtown - Camperdown - Darlington",24840,
"Potts Point - Woolloomooloo",21200,
"Pyrmont - Ultimo",21655,
"Redfern - Chippendale",22495,
"Surry Hills",16416,
"Sydney - Haymarket - The Rocks",27408,
"Waterloo - Beaconsfield",33061,
"Bondi - Tamarama - Bronte",18401,
"Bondi Beach - North Bondi",20729,
"Bondi Junction - Waverly",16853,
"Centennial Park",0,
"Double Bay - Bellevue Hill",24870,
"Dover Heights",10830,
"Paddington - Moore Park",15171,
"Rose Bay - Vaucluse - Watsons Bay",11844,
"Woollahra",7686,
"Coogee - Clovelly",25455,
"Malabar - La Perouse - Chifley",24036,
"Kensington (NSW)",14887,
"Kingsford",15602,
"Maroubra - North",9812,
"Maroubra - South",10681,
"Maroubra - West",10195,
"Randwick - North",16874,
"Randwick - South",13113,
"Bass Hill - Georges Hall",21834,
"Chullora",900,
"Condell Park",11305,
"Greenacre - Mount Lewis",25964,
"Padstow",16475,
"Panania - Milperra - Picnic Point",25788,
"Revesby",16223,
"Yagoona - Birrong",20706,
"Bankstown - North",16237,
"Bankstown - South",15993,
"Belmore - Belfield",19033,
"Canterbury (South) - Campsie",30620,
"Kingsgrove (North) - Earlwood",23679,
"Punchbowl",20753,
"Roselands",13739,
"Lakemba",17019,
"Wiley Park",10217,
"Hurstville",23613,
"Mortdale - Penshurst",23907,
"Narwee - Beverly Hills",13781,
"Oatley - Hurstville Grove",12614,
"Peakhurst - Lugarno",17937,
"Riverwood",11277,
"South Hurstville - Blakehurst",24070,
"Arncliffe - Bardwell Valley",21443,
"Bexley",26480,
"Kingsgrove (South) - Bardwell Park",12615,
"Kogarah",11315,
"Kogarah Bay - Carlton - Allawah",15965,
"Monterey - Brighton-le-Sands - Kyeemagh",13972,
"Rockdale - Banksia",19960,
"Sans Souci - Ramsgate",15976,
"Concord - Mortlake - Cabarita",21742,
"Concord West - North Strathfield",24850,
"Drummoyne - Rodd Point",18326,
"Five Dock - Abbotsford",20440,
"Balmain",15686,
"Leichhardt - Annandale",26388,
"Lilyfield - Rozelle",13991,
"Ashfield",24497,
"Burwood - Croydon",24653,
"Canterbury (North) - Ashbury",10449,
"Croydon Park - Enfield",17222,
"Dulwich Hill - Lewisham",16809,
"Haberfield - Summer Hill",13474,
"Homebush",16211,
"Strathfield",25016,
"Strathfield South",3542,
"Chatswood (East) - Artarmon",28683,
"Chatswood (West) - Lane Cove North",20857,
"Lane Cove - Greenwich",26733,
"St Leonards - Naremburn",10500,
"Willoughby - Castle Cove - Northbridge",25463,
"Asquith - Mount Colah",18291,
"Berowra - Brooklyn - Cowan",11699,
"Normanhurst - Thornleigh - Westleigh",18531,
"Hornsby - East",11798,
"Hornsby - West",10684,
"Waitara - Wahroonga (West)",9602,
"Gordon - Killara",21328,
"Lindfield - Roseville",23147,
"Pymble",16354,
"St Ives",20456,
"Turramurra",19267,
"Wahroonga (East) - Warrawee",17822,
"Cremorne - Cammeray",19084,
"Crows Nest - Waverton",18026,
"Mosman",28476,
"Neutral Bay - Kirribilli",17852,
"North Sydney - Lavender Bay",10703,
"Balgowlah - Clontarf - Seaforth",20188,
"Manly - Fairlight",21704,
"Avalon - Palm Beach",12374,
"Bayview - Elanora Heights",10745,
"Newport - Bilgola",13186,
"Warriewood - Mona Vale",24134,
"Beacon Hill - Narraweena",13882,
"Cromer",7485,
"Dee Why - North Curl Curl",24949,
"Forestville - Killarney Heights",12796,
"Frenchs Forest - Belrose",25171,
"Freshwater - Brookvale",20978,
"Manly Vale - Allambie Heights",16870,
"Narrabeen - Collaroy",24771,
"Terrey Hills - Duffys Forest",3648,
"Camden - Ellis Lane",12963,
"Elderslie - Harrington Park",20980,
"Mount Annan - Currans Hill",28576,
"Bradbury - Wedderburn",18962,
"Campbelltown - Woodbine",18194,
"Claymore - Eagle Vale - Raby",20405,
"Holsworthy Military Area",0,
"Ingleburn - Denham Court",19985,
"Leumeah - Minto Heights",16541,
"Macquarie Fields - Glenfield",23556,
"Minto - St Andrews",19887,
"Rosemeadow - Glen Alpine",20876,
"Bargo",5740,
"Douglas Park - Appin",9625,
"Picton - Tahmoor - Buxton",16786,
"The Oaks - Oakdale",8997,
"Blackheath - Megalong Valley",5560,
"Blaxland - Warrimoo - Lapstone",18936,
"Blue Mountains - North",12,
"Katoomba - Leura",13222,
"Lawson - Hazelbrook - Linden",11253,
"Springwood - Winmalee",21633,
"Wentworth Falls",6077,
"Blue Mountains - South",5,
"Cambridge Park",15644,
"Castlereagh - Cranebrook",23724,
"Emu Plains - Leonay",14223,
"Glenmore Park - Regentville",21203,
"Jamisontown - South Penrith",17288,
"Kingswood - Werrington",19577,
"Mulgoa - Luddenham - Orchard Hills",9541,
"Penrith",13295,
"Warragamba - Silverdale",5195,
"Richmond - Clarendon",13839,
"Windsor - Bligh Park",15330,
"Yarramundi - Londonderry",7376,
"Erskine Park",6440,
"St Clair",19895,
"Colyton - Oxley Park",11595,
"St Marys - North St Marys",16074,
"Homebush Bay - Silverwater",18733,
"Rookwood Cemetery",0,
"Auburn - Central",17175,
"Auburn - North",11325,
"Auburn - South",8487,
"Berala",8898,
"Lidcombe",19988,
"Regents Park",5067,
"Carlingford",27359,
"Ermington - Rydalmere",21423,
"Oatlands - Dundas Valley",17788,
"Chester Hill - Sefton",18461,
"Fairfield - East",15514,
"Granville - Clyde",20830,
"Greystanes - Pemulwuy",26307,
"Guildford - South Granville",20951,
"Guildford West - Merrylands West",20722,
"Merrylands - Holroyd",28452,
"Smithfield Industrial",10,
"Yennora Industrial",14,
"North Parramatta",22232,
"North Rocks",7878,
"Northmead",20383,
"Parramatta - Rosehill",29243,
"Toongabbie - Constitution Hill",21936,
"Winston Hills",10774,
"Pendle Hill - Girraween",12842,
"Wentworthville - Westmead",15599,
"Epping - North Epping",27093,
"Pennant Hills - Cheltenham",20495,
"Eastwood - Denistone",25045,
"Gladesville - Huntleys Point",14409,
"Hunters Hill - Woolwich",10341,
"Macquarie Park - Marsfield",21728,
"North Ryde - East Ryde",12311,
"West Ryde - Meadowbank",19375,
"Putney",4143,
"Ryde",27174,
"Ashcroft - Busby - Miller",17335,
"Austral - Greendale",8918,
"Cobbitty - Leppington",17890,
"Badgerys Creek",59,
"Cecil Hills",7015,
"Green Valley",12514,
"Hinchinbrook",12295,
"Hoxton Park - Carnes Hill - Horningsea Park",11588,
"West Hoxton - Middleton Grange",15187,
"Bonnyrigg Heights - Bonnyrigg",15980,
"Bossley Park - Abbotsbury",18834,
"Cabramatta - Lansvale",24708,
"Cabramatta West - Mount Pritchard",17188,
"Canley Vale - Canley Heights",20819,
"Edensor Park",9772,
"Fairfield",17704,
"Fairfield - West",19088,
"Greenfield Park - Prairiewood",8336,
"Horsley Park - Kemps Creek",4426,
"Smithfield - Wetherill Park",18045,
"St Johns Park - Wakeley",10866,
"Wetherill Park Industrial",36,
"Casula",15661,
"Chipping Norton - Moorebank",18748,
"Holsworthy - Wattle Grove",20706,
"Liverpool",27172,
"Lurnea - Cartwright",11686,
"Prestons - Edmondson Park",17580,
"Warwick Farm",5798,
"Gymea - Grays Point",17479,
"Miranda - Yowie Bay",18230,
"Sylvania - Taren Point",15940,
"Caringbah",11764,
"Caringbah South",12058,
"Cronulla - Kurnell - Bundeena",23487,
"Lilli Pilli - Port Hacking - Dolans Bay",3149,
"Woolaware - Burraneer",7728,
"Heathcote - Waterfall",6504,
"Illawong - Alfords Point",10366,
"Menai - Lucas Heights - Woronora",21128,
"Oyster Bay - Como - Jannali",21254,
"Royal National Park",24,
"Sutherland - Kirrawee",20874,
"Engadine",16992,
"Loftus - Yarrawarrah",7247,
"Woronora Heights",3646,
"Migratory - Offshore - Shipping (NSW)",419,
"No Usual Address (NSW)",12288,
"Alfredton",11658,
"Ballarat",12046,
"Ballarat - North",23083,
"Ballarat - South",24232,
"Buninyong",7153,
"Delacombe",7082,
"Smythes Creek",3935,
"Wendouree - Miners Rest",14633,
"Bacchus Marsh Region",5872,
"Creswick - Clunes",7822,
"Daylesford",8956,
"Gordon (Vic.)",5661,
"Avoca",3303,
"Beaufort",4393,
"Golden Plains - North",4483,
"Maryborough (Vic.)",7922,
"Maryborough Region",5267,
"Bendigo",14460,
"California Gully - Eaglehawk",11962,
"East Bendigo - Kennington",13509,
"Flora Hill - Spring Gully",9295,
"Kangaroo Flat - Golden Square",19688,
"Maiden Gully",5087,
"Strathfieldsaye",8629,
"White Hills - Ascot",11750,
"Bendigo Region - South",7180,
"Castlemaine",10583,
"Castlemaine Region",8468,
"Heathcote",4508,
"Kyneton",9649,
"Woodend",6895,
"Bendigo Region - North",4365,
"Loddon",7058,
"Bannockburn",6417,
"Golden Plains - South",6855,
"Winchelsea",5746,
"Belmont",14025,
"Corio - Norlane",26347,
"Geelong",12690,
"Geelong West - Hamlyn Heights",19465,
"Grovedale",23274,
"Highton",22103,
"Lara",18088,
"Leopold",12814,
"Newcomb - Moolap",14595,
"Newtown (Vic.)",10148,
"North Geelong - Bell Park",14629,
"Clifton Springs",13348,
"Lorne - Anglesea",5054,
"Ocean Grove - Barwon Heads",23424,
"Portarlington",7401,
"Point Lonsdale - Queenscliff",4151,
"Torquay",18361,
"Alexandra",6337,
"Euroa",6275,
"Kilmore - Broadford",13872,
"Mansfield (Vic.)",8843,
"Nagambie",4006,
"Seymour",6332,
"Seymour Region",4432,
"Upper Yarra Valley",184,
"Yea",3558,
"Benalla",10330,
"Benalla Region",3594,
"Rutherglen",3869,
"Wangaratta",18715,
"Wangaratta Region",9601,
"Beechworth",4566,
"Bright - Mount Beauty",8147,
"Chiltern - Indigo Valley",3097,
"Myrtleford",4634,
"Towong",5953,
"West Wodonga",14951,
"Wodonga",24397,
"Yackandandah",4487,
"Drouin",16210,
"Mount Baw Baw Region",6012,
"Trafalgar (Vic.)",7646,
"Warragul",18761,
"Alps - East",0,
"Bairnsdale",14726,
"Bruthen - Omeo",7743,
"Lake King",0,
"Lakes Entrance",9917,
"Orbost",6453,
"Paynesville",6313,
"Foster",8730,
"French Island",114,
"Korumburra",9119,
"Leongatha",11081,
"Phillip Island",10380,
"Wilsons Promontory",14,
"Wonthaggi - Inverloch",22228,
"Churchill",11399,
"Moe - Newborough",16550,
"Morwell",13811,
"Traralgon",26788,
"Yallourn North - Glengarry",4548,
"Alps - West",24,
"Longford - Loch Sport",4304,
"Maffra",13867,
"Rosedale",4723,
"Sale",14646,
"Yarram",5309,
"Brunswick",25437,
"Brunswick East",10965,
"Brunswick West",13731,
"Coburg",26163,
"Pascoe Vale South",9956,
"Alphington - Fairfield",8938,
"Northcote",24666,
"Thornbury",18464,
"Ascot Vale",14745,
"Essendon - Aberfeldie",27484,
"Flemington",10111,
"Moonee Ponds",14252,
"Carlton",18998,
"Docklands",10966,
"East Melbourne",4964,
"Flemington Racecourse",85,
"Kensington (Vic.)",10812,
"Melbourne",37325,
"North Melbourne",20634,
"Parkville",7409,
"South Yarra - West",6097,
"Southbank",18670,
"West Melbourne",6,
"Albert Park",15383,
"Elwood",15220,
"Port Melbourne",16158,
"Port Melbourne Industrial",15,
"South Melbourne",11548,
"St Kilda",26122,
"St Kilda East",16418,
"Armadale",8975,
"Prahran - Windsor",19719,
"South Yarra - East",20728,
"Toorak",13046,
"Abbotsford",8184,
"Carlton North - Princes Hill",8426,
"Collingwood",8512,
"Fitzroy",10447,
"Fitzroy North",12338,
"Richmond (Vic.)",30502,
"Yarra - North",9041,
"Ashburton (Vic.)",7753,
"Balwyn",15834,
"Balwyn North",20222,
"Camberwell",21398,
"Glen Iris - East",16324,
"Hawthorn",22975,
"Hawthorn East",15165,
"Kew",24729,
"Kew East",6510,
"Surrey Hills (West) - Canterbury",16320,
"Bulleen",11044,
"Doncaster",20581,
"Templestowe",16620,
"Templestowe Lower",13592,
"Doncaster East (North)",14577,
"Doncaster East (South)",13957,
"Blackburn",21383,
"Blackburn South",10793,
"Box Hill",19832,
"Box Hill North",17549,
"Burwood",12247,
"Burwood East",10269,
"Surrey Hills (East) - Mont Albert",9965,
"Beaumaris",13474,
"Brighton (Vic.)",22694,
"Brighton East",15834,
"Cheltenham - Highett (West)",10938,
"Hampton",17638,
"Sandringham - Black Rock",16508,
"Bentleigh - McKinnon",22419,
"Carnegie",18064,
"Caulfield - North",20980,
"Caulfield - South",17452,
"Elsternwick",11353,
"Hughesdale",7558,
"Murrumbeena",9249,
"Ormond - Glen Huntly",13341,
"Bentleigh East (North)",14783,
"Bentleigh East (South)",13237,
"Aspendale Gardens - Waterways",8989,
"Braeside",61,
"Carrum - Patterson Lakes",11547,
"Chelsea - Bonbeach",14191,
"Chelsea Heights",5337,
"Cheltenham - Highett (East)",22271,
"Edithvale - Aspendale",12750,
"Mentone",12965,
"Moorabbin - Heatherton",8799,
"Moorabbin Airport",0,
"Mordialloc - Parkdale",19913,
"Malvern - Glen Iris",20042,
"Malvern East",21319,
"Bundoora - East",9898,
"Greensborough",20460,
"Heidelberg - Rosanna",14771,
"Heidelberg West",14151,
"Ivanhoe",11384,
"Ivanhoe East - Eaglemont",7694,
"Montmorency - Briar Hill",16095,
"Viewbank - Yallambie",18303,
"Watsonia",9113,
"Kingsbury",11330,
"Reservoir - East",27075,
"Reservoir - West",24037,
"Preston - East",20027,
"Preston - West",12189,
"Eltham",22901,
"Hurstbridge",3451,
"Kinglake",3846,
"Panton Hill - St Andrews",5152,
"Plenty - Yarrambat",9363,
"Research - North Warrandyte",6704,
"Wattle Glen - Diamond Creek",13703,
"Bundoora - North",7449,
"Bundoora - West",6190,
"Lalor",22808,
"Mill Park - North",17819,
"Mill Park - South",11889,
"Thomastown",20311,
"Wallan",16218,
"Whittlesea",8129,
"Doreen",20935,
"Epping - East",13167,
"Epping - South",8336,
"Epping - West",10886,
"Mernda",16459,
"South Morang (North)",12051,
"South Morang (South)",12002,
"Wollert",9060,
"Airport West",7562,
"Essendon Airport",0,
"Keilor",8505,
"Keilor East",26148,
"Niddrie - Essendon West",6921,
"Strathmore",9430,
"Gisborne",12827,
"Macedon",3382,
"Riddells Creek",4006,
"Romsey",9359,
"Coburg North",7681,
"Fawkner",13766,
"Pascoe Vale",23447,
"Glenroy",22108,
"Gowanbrae",2900,
"Hadfield",5603,
"Sunbury",12709,
"Sunbury - South",26653,
"Broadmeadows",13305,
"Campbellfield - Coolaroo",16123,
"Gladstone Park - Westmeadows",17606,
"Greenvale - Bulla",16295,
"Meadow Heights",14841,
"Melbourne Airport",184,
"Roxburgh Park - Somerton",21812,
"Tullamarine",6462,
"Craigieburn - Central",8385,
"Craigieburn - North",11522,
"Craigieburn - South",16286,
"Craigieburn - West",14151,
"Mickleham - Yuroke",3388,
"Bayswater",12078,
"Knoxfield - Scoresby",15087,
"Lysterfield",6582,
"Rowville - Central",15222,
"Rowville - North",8004,
"Rowville - South",10573,
"Wantirna",13923,
"Wantirna South",17808,
"Boronia",22093,
"Ferntree Gully (North)",13894,
"Ferntree Gully (South) - Upper Ferntree Gully",14623,
"The Basin",4271,
"Donvale - Park Orchards",15941,
"Warrandyte - Wonga Park",10047,
"Bayswater North",11776,
"Croydon Hills - Warranwood",17984,
"Ringwood",17144,
"Ringwood East",20263,
"Ringwood North",9521,
"Croydon - East",15185,
"Croydon - West",13352,
"Croydon South",4715,
"Forest Hill",10623,
"Mitcham (Vic.)",16148,
"Nunawading",11880,
"Vermont",10447,
"Vermont South",11680,
"Belgrave - Selby",10016,
"Chirnside Park",9872,
"Healesville - Yarra Glen",13703,
"Kilsyth",9180,
"Lilydale - Coldstream",18721,
"Monbulk - Silvan",5637,
"Montrose",6803,
"Mooroolbark",22057,
"Mount Dandenong - Olinda",9709,
"Mount Evelyn",9698,
"Upwey - Tecoma",9610,
"Wandin - Seville",7598,
"Yarra Valley",16158,
"Beaconsfield - Officer",13025,
"Bunyip - Garfield",8640,
"Emerald - Cockatoo",18001,
"Koo Wee Rup",7479,
"Pakenham - North",18604,
"Pakenham - South",28541,
"Berwick - North",22896,
"Berwick - South",25800,
"Doveton",11305,
"Hallam",10761,
"Narre Warren North",7758,
"Endeavour Hills - North",11896,
"Endeavour Hills - South",13359,
"Narre Warren - North East",13408,
"Narre Warren - South West",13948,
"Cranbourne",20091,
"Cranbourne East",25691,
"Cranbourne North",20113,
"Cranbourne South",8817,
"Cranbourne West",15056,
"Hampton Park - Lynbrook",25532,
"Lynbrook - Lyndhurst",15227,
"Pearcedale - Tooradin",7742,
"Narre Warren South (East)",13124,
"Narre Warren South (West)",16782,
"Clarinda - Oakleigh South",11653,
"Clayton South",12640,
"Dandenong",30676,
"Dandenong North",22435,
"Dingley Village",10286,
"Keysborough",25984,
"Noble Park North",7488,
"Springvale",21775,
"Springvale South",12646,
"Noble Park - East",12426,
"Noble Park - West",18633,
"Ashwood - Chadstone",18299,
"Clayton",22407,
"Glen Waverley - East",21085,
"Glen Waverley - West",19242,
"Mount Waverley - North",15275,
"Mount Waverley - South",18336,
"Mulgrave",19370,
"Oakleigh - Huntingdale",21291,
"Wheelers Hill",19752,
"Ardeer - Albion",7836,
"Cairnlea",9662,
"Deer Park - Derrimut",26252,
"Delahey",8342,
"Keilor Downs",13185,
"Kings Park (Vic.)",13836,
"St Albans - North",20091,
"St Albans - South",17219,
"Sunshine",9772,
