"STE_CODE16","age_group","sex","year_range","bmi_categories","n","p"
2,"8-11","female","2017-2018","normal",116900,"NULL"
2,"8-11","female","2017-2018","overweight",17400,"0.1"
2,"8-11","female","2017-2018","obese",9999999,"9999999"
2,"12-15","male","2017-2018","underweight",9999999,"9999999"
2,"12-15","male","2017-2018","normal",135100,"0.85"
2,"12-15","male","2017-2018","overweight",13600,"0.09"
2,"12-15","male","2017-2018","obese",10500,"0.07"
2,"12-15","female","2017-2018","underweight",6200,"0.05"
2,"12-15","female","2017-2018","normal",99700,"NULL"
2,"12-15","female","2017-2018","overweight",23100,"NULL"
2,"12-15","female","2017-2018","obese",9999999,"9999999"
2,"16-17","male","2017-2018","underweight",9999999,"9999999"
2,"16-17","male","2017-2018","normal",36400,"NULL"
2,"16-17","male","2017-2018","overweight",9999999,"9999999"
2,"16-17","male","2017-2018","obese",13300,"NULL"
2,"16-17","female","2017-2018","underweight",9999999,"9999999"
2,"16-17","female","2017-2018","normal",56900,"NULL"
2,"16-17","female","2017-2018","overweight",11600,"NULL"
2,"16-17","female","2017-2018","obese",9999999,"9999999"
3,"2-4","male","2017-2018","underweight",19400,"NULL"
3,"2-4","male","2017-2018","normal",60500,"NULL"
3,"2-4","male","2017-2018","overweight",9999999,"9999999"
3,"2-4","male","2017-2018","obese",9999999,"9999999"
3,"2-4","female","2017-2018","underweight",7100,"0.07"
3,"2-4","female","2017-2018","normal",62700,"NULL"
3,"2-4","female","2017-2018","overweight",15000,"0.16"
3,"2-4","female","2017-2018","obese",10600,"0.11"
3,"5-7","male","2017-2018","underweight",7700,"0.07"
3,"5-7","male","2017-2018","normal",79600,"NULL"
3,"5-7","male","2017-2018","overweight",9100,"0.08"
3,"5-7","male","2017-2018","obese",15300,"0.13"
3,"5-7","female","2017-2018","underweight",9999999,"9999999"
3,"5-7","female","2017-2018","normal",65000,"NULL"
3,"5-7","female","2017-2018","overweight",23400,"NULL"
3,"5-7","female","2017-2018","obese",6600,"0.06"
3,"8-11","male","2017-2018","underweight",14000,"NULL"
3,"8-11","male","2017-2018","normal",67400,"NULL"
3,"8-11","male","2017-2018","overweight",30400,"0.25"
3,"8-11","male","2017-2018","obese",9300,"0.08"
3,"8-11","female","2017-2018","underweight",21400,"NULL"
3,"8-11","female","2017-2018","normal",68900,"NULL"
3,"8-11","female","2017-2018","overweight",12500,"0.11"
3,"8-11","female","2017-2018","obese",11500,"0.1"
3,"12-15","male","2017-2018","underweight",9999999,"9999999"
3,"12-15","male","2017-2018","normal",80500,"NULL"
3,"12-15","male","2017-2018","overweight",22100,"0.18"
3,"12-15","male","2017-2018","obese",14000,"0.11"
3,"12-15","female","2017-2018","underweight",15200,"NULL"
3,"12-15","female","2017-2018","normal",88000,"NULL"
3,"12-15","female","2017-2018","overweight",11200,"0.09"
3,"12-15","female","2017-2018","obese",9999999,"9999999"
3,"16-17","male","2017-2018","underweight",9999999,"9999999"
3,"16-17","male","2017-2018","normal",38000,"NULL"
3,"16-17","male","2017-2018","overweight",15500,"NULL"
3,"16-17","male","2017-2018","obese",9999999,"9999999"
3,"16-17","female","2017-2018","underweight",9999999,"9999999"
3,"16-17","female","2017-2018","normal",45200,"NULL"
3,"16-17","female","2017-2018","overweight",9200,"NULL"
3,"16-17","female","2017-2018","obese",9999999,"9999999"
4,"2-4","male","2017-2018","underweight",9999999,"9999999"
4,"2-4","male","2017-2018","normal",20500,"NULL"
4,"2-4","male","2017-2018","overweight",9999999,"9999999"
4,"2-4","male","2017-2018","obese",9999999,"9999999"
4,"2-4","female","2017-2018","underweight",9999999,"9999999"
4,"2-4","female","2017-2018","normal",26400,"NULL"
4,"2-4","female","2017-2018","overweight",9999999,"9999999"
4,"2-4","female","2017-2018","obese",9999999,"9999999"
4,"5-7","male","2017-2018","underweight",9999999,"9999999"
4,"5-7","male","2017-2018","normal",26700,"NULL"
4,"5-7","male","2017-2018","overweight",9999999,"9999999"
4,"5-7","male","2017-2018","obese",9999999,"9999999"
4,"5-7","female","2017-2018","underweight",9999999,"9999999"
4,"5-7","female","2017-2018","normal",21200,"NULL"
4,"5-7","female","2017-2018","overweight",6600,"NULL"
4,"5-7","female","2017-2018","obese",7600,"NULL"
4,"8-11","male","2017-2018","underweight",9999999,"9999999"
4,"8-11","male","2017-2018","normal",36500,"NULL"
4,"8-11","male","2017-2018","overweight",9999999,"9999999"
4,"8-11","male","2017-2018","obese",9999999,"9999999"
4,"8-11","female","2017-2018","underweight",9999999,"9999999"
4,"8-11","female","2017-2018","normal",22400,"NULL"
4,"8-11","female","2017-2018","overweight",7000,"NULL"
4,"8-11","female","2017-2018","obese",9999999,"9999999"
4,"12-15","male","2017-2018","underweight",9999999,"9999999"
4,"12-15","male","2017-2018","normal",20500,"NULL"
4,"12-15","male","2017-2018","overweight",14300,"NULL"
4,"12-15","male","2017-2018","obese",9999999,"9999999"
4,"12-15","female","2017-2018","underweight",9999999,"9999999"
4,"12-15","female","2017-2018","normal",28200,"NULL"
4,"12-15","female","2017-2018","overweight",8700,"NULL"
4,"12-15","female","2017-2018","obese",9999999,"9999999"
4,"16-17","male","2017-2018","underweight",9999999,"9999999"
4,"16-17","male","2017-2018","normal",16000,"NULL"
4,"16-17","male","2017-2018","overweight",4700,"NULL"
4,"16-17","male","2017-2018","obese",9999999,"9999999"
4,"16-17","female","2017-2018","underweight",9999999,"9999999"
4,"16-17","female","2017-2018","normal",11900,"NULL"
4,"16-17","female","2017-2018","overweight",7500,"NULL"
4,"16-17","female","2017-2018","obese",9999999,"9999999"
5,"2-4","male","2017-2018","underweight",9999999,"9999999"
5,"2-4","male","2017-2018","normal",42600,"NULL"
5,"2-4","male","2017-2018","overweight",9999999,"9999999"
5,"2-4","male","2017-2018","obese",9999999,"9999999"
5,"2-4","female","2017-2018","underweight",8800,"NULL"
5,"2-4","female","2017-2018","normal",30000,"NULL"
5,"2-4","female","2017-2018","overweight",9999999,"9999999"
5,"2-4","female","2017-2018","obese",9999999,"9999999"
5,"5-7","male","2017-2018","underweight",9999999,"9999999"
5,"5-7","male","2017-2018","normal",30400,"NULL"
5,"5-7","male","2017-2018","overweight",9999999,"9999999"
5,"5-7","male","2017-2018","obese",9999999,"9999999"
5,"5-7","female","2017-2018","underweight",9999999,"9999999"
5,"5-7","female","2017-2018","normal",39600,"NULL"
5,"5-7","female","2017-2018","overweight",9999999,"9999999"
5,"5-7","female","2017-2018","obese",9999999,"9999999"
5,"8-11","male","2017-2018","underweight",9999999,"9999999"
5,"8-11","male","2017-2018","normal",48700,"NULL"
5,"8-11","male","2017-2018","overweight",23700,"NULL"
5,"8-11","male","2017-2018","obese",9999999,"9999999"
5,"8-11","female","2017-2018","underweight",9999999,"9999999"
5,"8-11","female","2017-2018","normal",43900,"NULL"
5,"8-11","female","2017-2018","overweight",11700,"NULL"
5,"8-11","female","2017-2018","obese",9999999,"9999999"
5,"12-15","male","2017-2018","underweight",9999999,"9999999"
5,"12-15","male","2017-2018","normal",46000,"NULL"
5,"12-15","male","2017-2018","overweight",14200,"NULL"
5,"12-15","male","2017-2018","obese",9999999,"9999999"
5,"12-15","female","2017-2018","underweight",4900,"0.09"
5,"12-15","female","2017-2018","normal",40600,"NULL"
5,"12-15","female","2017-2018","overweight",11900,"NULL"
5,"12-15","female","2017-2018","obese",9999999,"9999999"
5,"16-17","male","2017-2018","underweight",8000,"NULL"
5,"16-17","male","2017-2018","normal",9900,"NULL"
5,"16-17","male","2017-2018","overweight",9999999,"9999999"
5,"16-17","male","2017-2018","obese",9999999,"9999999"
5,"16-17","female","2017-2018","underweight",9999999,"9999999"
5,"16-17","female","2017-2018","normal",22300,"NULL"
5,"16-17","female","2017-2018","overweight",8300,"NULL"
5,"16-17","female","2017-2018","obese",9999999,"9999999"
6,"2-4","male","2017-2018","underweight",9999999,"9999999"
6,"2-4","male","2017-2018","normal",6200,"NULL"
6,"2-4","male","2017-2018","overweight",2000,"NULL"
6,"2-4","male","2017-2018","obese",2300,"NULL"
6,"2-4","female","2017-2018","underweight",9999999,"9999999"
6,"2-4","female","2017-2018","normal",7200,"NULL"
6,"2-4","female","2017-2018","overweight",9999999,"9999999"
6,"2-4","female","2017-2018","obese",9999999,"9999999"
6,"5-7","male","2017-2018","underweight",9999999,"9999999"
6,"5-7","male","2017-2018","normal",8100,"NULL"
6,"5-7","male","2017-2018","overweight",2200,"NULL"
6,"5-7","male","2017-2018","obese",9999999,"9999999"
6,"5-7","female","2017-2018","underweight",9999999,"9999999"
6,"5-7","female","2017-2018","normal",6500,"NULL"
6,"5-7","female","2017-2018","overweight",2700,"NULL"
6,"5-7","female","2017-2018","obese",9999999,"9999999"
6,"8-11","male","2017-2018","underweight",9999999,"9999999"
6,"8-11","male","2017-2018","normal",8800,"NULL"
6,"8-11","male","2017-2018","overweight",3300,"NULL"
6,"8-11","male","2017-2018","obese",1700,"0.13"
6,"8-11","female","2017-2018","underweight",1700,"NULL"
6,"8-11","female","2017-2018","normal",9000,"0.8"
6,"8-11","female","2017-2018","overweight",9999999,"9999999"
6,"8-11","female","2017-2018","obese",9999999,"9999999"
6,"12-15","male","2017-2018","underweight",9999999,"9999999"
6,"12-15","male","2017-2018","normal",7100,"NULL"
6,"12-15","male","2017-2018","overweight",2400,"NULL"
6,"12-15","male","2017-2018","obese",9999999,"9999999"
6,"12-15","female","2017-2018","underweight",9999999,"9999999"
6,"12-15","female","2017-2018","normal",5500,"NULL"
6,"12-15","female","2017-2018","overweight",9999999,"9999999"
6,"12-15","female","2017-2018","obese",3000,"NULL"
6,"16-17","male","2017-2018","underweight",9999999,"9999999"
6,"16-17","male","2017-2018","normal",5800,"NULL"
6,"16-17","male","2017-2018","overweight",2200,"NULL"
6,"16-17","male","2017-2018","obese",9999999,"9999999"
6,"16-17","female","2017-2018","underweight",9999999,"9999999"
6,"16-17","female","2017-2018","normal",4600,"NULL"
6,"16-17","female","2017-2018","overweight",9999999,"9999999"
6,"16-17","female","2017-2018","obese",9999999,"9999999"
7,"2-4","male","2017-2018","underweight",1000,"NULL"
7,"2-4","male","2017-2018","normal",2900,"NULL"
7,"2-4","male","2017-2018","overweight",9999999,"9999999"
7,"2-4","male","2017-2018","obese",9999999,"9999999"
7,"2-4","female","2017-2018","underweight",9999999,"9999999"
7,"2-4","female","2017-2018","normal",3600,"NULL"
7,"2-4","female","2017-2018","overweight",9999999,"9999999"
7,"2-4","female","2017-2018","obese",9999999,"9999999"
7,"5-7","male","2017-2018","underweight",9999999,"9999999"
7,"5-7","male","2017-2018","normal",2700,"NULL"
7,"5-7","male","2017-2018","overweight",500,"NULL"
7,"5-7","male","2017-2018","obese",9999999,"9999999"
7,"5-7","female","2017-2018","underweight",9999999,"9999999"
7,"5-7","female","2017-2018","normal",3100,"NULL"
7,"5-7","female","2017-2018","overweight",9999999,"9999999"
7,"5-7","female","2017-2018","obese",9999999,"9999999"
7,"8-11","male","2017-2018","underweight",9999999,"9999999"
7,"8-11","male","2017-2018","normal",3500,"NULL"
7,"8-11","male","2017-2018","overweight",900,"NULL"
7,"8-11","male","2017-2018","obese",9999999,"9999999"
7,"8-11","female","2017-2018","underweight",9999999,"9999999"
7,"8-11","female","2017-2018","normal",2300,"NULL"
7,"8-11","female","2017-2018","overweight",9999999,"9999999"
7,"8-11","female","2017-2018","obese",9999999,"9999999"
7,"12-15","male","2017-2018","underweight",9999999,"9999999"
7,"12-15","male","2017-2018","normal",2900,"NULL"
7,"12-15","male","2017-2018","overweight",9999999,"9999999"
7,"12-15","male","2017-2018","obese",9999999,"9999999"
7,"12-15","female","2017-2018","underweight",9999999,"9999999"
7,"12-15","female","2017-2018","normal",2500,"NULL"
7,"12-15","female","2017-2018","overweight",800,"NULL"
7,"12-15","female","2017-2018","obese",9999999,"9999999"
7,"16-17","male","2017-2018","underweight",9999999,"9999999"
7,"16-17","male","2017-2018","normal",900,"NULL"
7,"16-17","male","2017-2018","overweight",600,"NULL"
7,"16-17","male","2017-2018","obese",9999999,"9999999"
7,"16-17","female","2017-2018","underweight",9999999,"9999999"
7,"16-17","female","2017-2018","normal",9999999,"9999999"
7,"16-17","female","2017-2018","overweight",9999999,"9999999"
7,"16-17","female","2017-2018","obese",9999999,"9999999"
8,"2-4","male","2017-2018","underweight",9999999,"9999999"
8,"2-4","male","2017-2018","normal",5900,"NULL"
8,"2-4","male","2017-2018","overweight",2800,"NULL"
8,"2-4","male","2017-2018","obese",9999999,"9999999"
8,"2-4","female","2017-2018","underweight",9999999,"9999999"
8,"2-4","female","2017-2018","normal",3900,"NULL"
8,"2-4","female","2017-2018","overweight",9999999,"9999999"
8,"2-4","female","2017-2018","obese",9999999,"9999999"
8,"5-7","male","2017-2018","underweight",9999999,"9999999"
8,"5-7","male","2017-2018","normal",7200,"NULL"
8,"5-7","male","2017-2018","overweight",9999999,"9999999"
8,"5-7","male","2017-2018","obese",9999999,"9999999"
8,"5-7","female","2017-2018","underweight",9999999,"9999999"
8,"5-7","female","2017-2018","normal",4800,"NULL"
8,"5-7","female","2017-2018","overweight",1900,"NULL"
8,"5-7","female","2017-2018","obese",9999999,"9999999"
8,"8-11","male","2017-2018","underweight",9999999,"9999999"
8,"8-11","male","2017-2018","normal",6200,"NULL"
8,"8-11","male","2017-2018","overweight",9999999,"9999999"
8,"8-11","male","2017-2018","obese",2200,"NULL"
8,"8-11","female","2017-2018","underweight",9999999,"9999999"
8,"8-11","female","2017-2018","normal",6500,"NULL"
8,"8-11","female","2017-2018","overweight",9999999,"9999999"
8,"8-11","female","2017-2018","obese",9999999,"9999999"
8,"12-15","male","2017-2018","underweight",9999999,"9999999"
8,"12-15","male","2017-2018","normal",5100,"NULL"
8,"12-15","male","2017-2018","overweight",3200,"NULL"
8,"12-15","male","2017-2018","obese",9999999,"9999999"
8,"12-15","female","2017-2018","underweight",9999999,"9999999"
8,"12-15","female","2017-2018","normal",6200,"NULL"
8,"12-15","female","2017-2018","overweight",1500,"NULL"
8,"12-15","female","2017-2018","obese",9999999,"9999999"
8,"16-17","male","2017-2018","underweight",9999999,"9999999"
8,"16-17","male","2017-2018","normal",2100,"NULL"
8,"16-17","male","2017-2018","overweight",9999999,"9999999"
8,"16-17","male","2017-2018","obese",9999999,"9999999"
8,"16-17","female","2017-2018","underweight",9999999,"9999999"
8,"16-17","female","2017-2018","normal",2000,"NULL"
8,"16-17","female","2017-2018","overweight",9999999,"9999999"
8,"16-17","female","2017-2018","obese",9999999,"9999999"
