"STE_CODE16","age_group","sex","year_range","bmi_categories","p","uncertainty"
3,"12-15","male","2017-2018","obese",0.11,0
3,"12-15","female","2017-2018","underweight",0.12,1
3,"12-15","female","2017-2018","normal",0.73,1
3,"12-15","female","2017-2018","overweight",0.09,0
3,"12-15","female","2017-2018","obese",0.04,1
3,"16-17","male","2017-2018","underweight",0.03,1
3,"16-17","male","2017-2018","normal",0.64,1
3,"16-17","male","2017-2018","overweight",0.26,1
3,"16-17","male","2017-2018","obese",0.09,1
3,"16-17","female","2017-2018","underweight",0.04,1
3,"16-17","female","2017-2018","normal",0.79,1
3,"16-17","female","2017-2018","overweight",0.16,1
3,"16-17","female","2017-2018","obese",0.04,1
4,"2-4","male","2017-2018","underweight",0.11,1
4,"2-4","male","2017-2018","normal",0.71,1
4,"2-4","male","2017-2018","overweight",0.18,1
4,"2-4","male","2017-2018","obese",0,0
4,"2-4","female","2017-2018","underweight",0.07,1
4,"2-4","female","2017-2018","normal",0.86,1
4,"2-4","female","2017-2018","overweight",0.07,1
4,"2-4","female","2017-2018","obese",0,0
4,"5-7","male","2017-2018","underweight",0.12,1
4,"5-7","male","2017-2018","normal",1.09,1
4,"5-7","male","2017-2018","overweight",0,0
4,"5-7","male","2017-2018","obese",0,0
4,"5-7","female","2017-2018","underweight",0,0
4,"5-7","female","2017-2018","normal",0.6,1
4,"5-7","female","2017-2018","overweight",0.17,1
4,"5-7","female","2017-2018","obese",0.2,1
4,"8-11","male","2017-2018","underweight",0,0
4,"8-11","male","2017-2018","normal",0.74,1
4,"8-11","male","2017-2018","overweight",0.1,1
4,"8-11","male","2017-2018","obese",0.05,1
4,"8-11","female","2017-2018","underweight",0.06,1
4,"8-11","female","2017-2018","normal",0.62,1
4,"8-11","female","2017-2018","overweight",0.19,1
4,"8-11","female","2017-2018","obese",0.19,1
4,"12-15","male","2017-2018","underweight",0,0
4,"12-15","male","2017-2018","normal",0.59,1
4,"12-15","male","2017-2018","overweight",0.41,1
4,"12-15","male","2017-2018","obese",0.05,1
4,"12-15","female","2017-2018","underweight",0.04,1
4,"12-15","female","2017-2018","normal",0.74,1
4,"12-15","female","2017-2018","overweight",0.23,1
4,"12-15","female","2017-2018","obese",0.09,1
4,"16-17","male","2017-2018","underweight",0,0
4,"16-17","male","2017-2018","normal",0.64,1
4,"16-17","male","2017-2018","overweight",0.19,1
4,"16-17","male","2017-2018","obese",0,0
4,"16-17","female","2017-2018","underweight",0,0
4,"16-17","female","2017-2018","normal",0.57,1
4,"16-17","female","2017-2018","overweight",0.36,1
4,"16-17","female","2017-2018","obese",0,0
5,"2-4","male","2017-2018","underweight",0,0
5,"2-4","male","2017-2018","normal",0.76,1
5,"2-4","male","2017-2018","overweight",0.09,1
5,"2-4","male","2017-2018","obese",0,0
5,"2-4","female","2017-2018","underweight",0.2,1
5,"2-4","female","2017-2018","normal",0.68,1
5,"2-4","female","2017-2018","overweight",0.12,1
5,"2-4","female","2017-2018","obese",0.15,1
5,"5-7","male","2017-2018","underweight",0,0
5,"5-7","male","2017-2018","normal",0.65,1
5,"5-7","male","2017-2018","overweight",0.27,1
5,"5-7","male","2017-2018","obese",0.05,1
5,"5-7","female","2017-2018","underweight",0.04,1
5,"5-7","female","2017-2018","normal",0.72,1
5,"5-7","female","2017-2018","overweight",0.07,1
5,"5-7","female","2017-2018","obese",0.07,1
5,"8-11","male","2017-2018","underweight",0,0
5,"8-11","male","2017-2018","normal",0.65,1
5,"8-11","male","2017-2018","overweight",0.32,1
5,"8-11","male","2017-2018","obese",0.05,1
5,"8-11","female","2017-2018","underweight",0,0
5,"8-11","female","2017-2018","normal",0.76,1
5,"8-11","female","2017-2018","overweight",0.2,1
5,"8-11","female","2017-2018","obese",0.07,1
5,"12-15","male","2017-2018","underweight",0.05,1
5,"12-15","male","2017-2018","normal",0.72,1
5,"12-15","male","2017-2018","overweight",0.22,1
5,"12-15","male","2017-2018","obese",0.03,1
5,"12-15","female","2017-2018","underweight",0.09,0
5,"12-15","female","2017-2018","normal",0.78,1
5,"12-15","female","2017-2018","overweight",0.23,1
5,"12-15","female","2017-2018","obese",0,0
5,"16-17","male","2017-2018","underweight",0.32,1
5,"16-17","male","2017-2018","normal",0.39,1
5,"16-17","male","2017-2018","overweight",0.18,1
5,"16-17","male","2017-2018","obese",0.11,1
5,"16-17","female","2017-2018","underweight",0,0
5,"16-17","female","2017-2018","normal",0.62,1
5,"16-17","female","2017-2018","overweight",0.23,1
5,"16-17","female","2017-2018","obese",0,0
6,"2-4","male","2017-2018","underweight",0.15,1
6,"2-4","male","2017-2018","normal",0.73,1
6,"2-4","male","2017-2018","overweight",0.23,1
6,"2-4","male","2017-2018","obese",0.27,1
6,"2-4","female","2017-2018","underweight",0,0
6,"2-4","female","2017-2018","normal",0.85,1
6,"2-4","female","2017-2018","overweight",0.15,1
6,"2-4","female","2017-2018","obese",0.08,1
6,"5-7","male","2017-2018","underweight",0.15,1
6,"5-7","male","2017-2018","normal",0.74,1
6,"5-7","male","2017-2018","overweight",0.2,1
6,"5-7","male","2017-2018","obese",0,0
6,"5-7","female","2017-2018","underweight",0,0
6,"5-7","female","2017-2018","normal",0.65,1
6,"5-7","female","2017-2018","overweight",0.27,1
6,"5-7","female","2017-2018","obese",0.07,1
6,"8-11","male","2017-2018","underweight",0,0
6,"8-11","male","2017-2018","normal",0.68,1
6,"8-11","male","2017-2018","overweight",0.26,1
6,"8-11","male","2017-2018","obese",0.13,0
6,"8-11","female","2017-2018","underweight",0.15,1
6,"8-11","female","2017-2018","normal",0.8,0
6,"8-11","female","2017-2018","overweight",0.12,1
6,"8-11","female","2017-2018","obese",0.09,1
6,"12-15","male","2017-2018","underweight",0,0
6,"12-15","male","2017-2018","normal",0.69,1
6,"12-15","male","2017-2018","overweight",0.23,1
6,"12-15","male","2017-2018","obese",0.17,1
6,"12-15","female","2017-2018","underweight",0.04,1
6,"12-15","female","2017-2018","normal",0.5,1
6,"12-15","female","2017-2018","overweight",0.14,1
6,"12-15","female","2017-2018","obese",0.27,1
6,"16-17","male","2017-2018","underweight",0.06,1
6,"16-17","male","2017-2018","normal",0.7,1
6,"16-17","male","2017-2018","overweight",0.26,1
6,"16-17","male","2017-2018","obese",0,0
6,"16-17","female","2017-2018","underweight",0,0
6,"16-17","female","2017-2018","normal",0.7,1
6,"16-17","female","2017-2018","overweight",0.11,1
6,"16-17","female","2017-2018","obese",0,0
7,"2-4","male","2017-2018","underweight",0.25,1
7,"2-4","male","2017-2018","normal",0.72,1
7,"2-4","male","2017-2018","overweight",0.07,1
7,"2-4","male","2017-2018","obese",0.05,1
7,"2-4","female","2017-2018","underweight",0,0
7,"2-4","female","2017-2018","normal",1,1
7,"2-4","female","2017-2018","overweight",0.08,1
7,"2-4","female","2017-2018","obese",0,0
7,"5-7","male","2017-2018","underweight",0,0
7,"5-7","male","2017-2018","normal",0.66,1
7,"5-7","male","2017-2018","overweight",0.12,1
7,"5-7","male","2017-2018","obese",0.07,1
7,"5-7","female","2017-2018","underweight",0,0
7,"5-7","female","2017-2018","normal",0.63,1
7,"5-7","female","2017-2018","overweight",0.18,1
7,"5-7","female","2017-2018","obese",0.1,1
7,"8-11","male","2017-2018","underweight",0.04,1
7,"8-11","male","2017-2018","normal",0.65,1
7,"8-11","male","2017-2018","overweight",0.17,1
7,"8-11","male","2017-2018","obese",0.09,1
7,"8-11","female","2017-2018","underweight",0.05,1
7,"8-11","female","2017-2018","normal",0.56,1
7,"8-11","female","2017-2018","overweight",0.12,1
7,"8-11","female","2017-2018","obese",0,0
7,"12-15","male","2017-2018","underweight",0,0
7,"12-15","male","2017-2018","normal",0.64,1
7,"12-15","male","2017-2018","overweight",0.18,1
7,"12-15","male","2017-2018","obese",0.07,1
7,"12-15","female","2017-2018","underweight",0.07,1
7,"12-15","female","2017-2018","normal",0.58,1
7,"12-15","female","2017-2018","overweight",0.19,1
7,"12-15","female","2017-2018","obese",0.07,1
7,"16-17","male","2017-2018","underweight",0,0
7,"16-17","male","2017-2018","normal",0.43,1
7,"16-17","male","2017-2018","overweight",0.29,1
7,"16-17","male","2017-2018","obese",0.19,1
7,"16-17","female","2017-2018","underweight",0,0
7,"16-17","female","2017-2018","normal",0.5,1
7,"16-17","female","2017-2018","overweight",0.21,1
7,"16-17","female","2017-2018","obese",0,0
8,"2-4","male","2017-2018","underweight",0.07,1
8,"2-4","male","2017-2018","normal",0.63,1
8,"2-4","male","2017-2018","overweight",0.3,1
8,"2-4","male","2017-2018","obese",0,0
8,"2-4","female","2017-2018","underweight",0,0
8,"2-4","female","2017-2018","normal",0.5,1
8,"2-4","female","2017-2018","overweight",0.2,1
8,"2-4","female","2017-2018","obese",0.11,1
8,"5-7","male","2017-2018","underweight",0.14,1
8,"5-7","male","2017-2018","normal",0.81,1
8,"5-7","male","2017-2018","overweight",0.09,1
8,"5-7","male","2017-2018","obese",0,0
8,"5-7","female","2017-2018","underweight",0,0
8,"5-7","female","2017-2018","normal",0.58,1
8,"5-7","female","2017-2018","overweight",0.23,1
8,"5-7","female","2017-2018","obese",0.1,1
8,"8-11","male","2017-2018","underweight",0,0
8,"8-11","male","2017-2018","normal",0.6,1
8,"8-11","male","2017-2018","overweight",0.1,1
8,"8-11","male","2017-2018","obese",0.21,1
8,"8-11","female","2017-2018","underweight",0.12,1
8,"8-11","female","2017-2018","normal",0.62,1
8,"8-11","female","2017-2018","overweight",0.09,1
8,"8-11","female","2017-2018","obese",0,0
8,"12-15","male","2017-2018","underweight",0,0
8,"12-15","male","2017-2018","normal",0.66,1
8,"12-15","male","2017-2018","overweight",0.42,1
8,"12-15","male","2017-2018","obese",0.06,1
8,"12-15","female","2017-2018","underweight",0.08,1
8,"12-15","female","2017-2018","normal",0.71,1
8,"12-15","female","2017-2018","overweight",0.17,1
8,"12-15","female","2017-2018","obese",0,0
8,"16-17","male","2017-2018","underweight",0,0
8,"16-17","male","2017-2018","normal",0.32,1
8,"16-17","male","2017-2018","overweight",0.18,1
8,"16-17","male","2017-2018","obese",0,0
8,"16-17","female","2017-2018","underweight",0.16,1
8,"16-17","female","2017-2018","normal",0.6,1
8,"16-17","female","2017-2018","overweight",0.24,1
8,"16-17","female","2017-2018","obese",0,0
