SA2_MAINCODE_2011,SA2_NAME_2011,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
104021086,Coramba - Nana Glen - Bucca,11800,Coffs Harbour,1,Good,Good,0
104021087,Dorrigo,11730,Clarence Valley,0.130155,Good,Good,0
104021087,Dorrigo,11800,Coffs Harbour,0.1804387,Good,Good,0
104021087,Dorrigo,10600,Bellingen,0.6894064,Good,Good,0
104021088,Korora - Emerald Beach,11800,Coffs Harbour,1,Good,Good,0
104021089,Sawtell - Boambee,11800,Coffs Harbour,1,Good,Good,0
104021090,Urunga,10600,Bellingen,1,Good,Good,0
104021091,Woolgoolga - Arrawarra,11800,Coffs Harbour,1,Good,Good,0
105011092,Bourke - Brewarrina,11200,Brewarrina,0.3490872,Poor,Good,0
105011092,Bourke - Brewarrina,11150,Bourke,0.6509128,Poor,Good,0
105011093,Cobar,14600,Lachlan,2.00E-07,Good,Good,1
105011093,Cobar,10950,Bogan,0.0017852,Poor,Good,1
105011093,Cobar,11750,Cobar,0.9982146,Good,Good,0
105011094,Coonamble,17950,Warren,0.059793,Poor,Good,0
105011094,Coonamble,12150,Coonamble,0.940207,Good,Good,0
105011095,Nyngan - Warren,14600,Lachlan,0.0005779,Good,Good,1
105011095,Nyngan - Warren,11200,Brewarrina,0.0030738,Poor,Good,1
105011095,Nyngan - Warren,17950,Warren,0.437848,Poor,Good,0
105011095,Nyngan - Warren,10950,Bogan,0.5585003,Poor,Good,0
105011096,Walgett - Lightning Ridge,12150,Coonamble,0.0015578,Good,Good,1
105011096,Walgett - Lightning Ridge,17950,Warren,0.0034253,Poor,Good,1
105011096,Walgett - Lightning Ridge,11200,Brewarrina,0.0530968,Poor,Good,0
105011096,Walgett - Lightning Ridge,17900,Walgett,0.9419202,Good,Good,0
105021097,Broken Hill,11250,Broken Hill,1,Good,Good,0
105021098,Far West,19399,Unincorporated NSW,0.2596629,Poor,Good,0
105021098,Far West,11700,Central Darling,0.7403371,Poor,Good,0
105031099,Coonabarabran,18020,Warrumbungle Shire,1,Acceptable,Good,0
105031100,Dubbo - East,12390,Dubbo Regional,1,Good,Good,0
105031101,Dubbo - South,12390,Dubbo Regional,1,Good,Good,0
105031102,Dubbo - West,12390,Dubbo Regional,1,Good,Good,0
105031103,Dubbo Region,11400,Cabonne,0.0180657,Poor,Good,0
105031103,Dubbo Region,12390,Dubbo Regional,0.9819343,Good,Good,0
105031104,Gilgandra,17950,Warren,0.0190129,Poor,Good,0
105031104,Gilgandra,12950,Gilgandra,0.9809871,Good,Good,0
105031105,Narromine,17950,Warren,0.0139347,Poor,Good,0
105031105,Narromine,15850,Narromine,0.9860653,Good,Good,0
105031106,Wellington,11400,Cabonne,0.0492252,Poor,Good,0
105031106,Wellington,12390,Dubbo Regional,0.9507748,Good,Good,0
106011107,Branxton - Greta - Pokolbin,15050,Maitland,0.02209,Good,Good,0
106011107,Branxton - Greta - Pokolbin,17000,Singleton,0.1934674,Good,Good,0
106011107,Branxton - Greta - Pokolbin,11720,Cessnock,0.7844426,Good,Good,0
106011108,Cessnock,11720,Cessnock,1,Good,Good,0
106011109,Cessnock Region,11720,Cessnock,1,Good,Good,0
106011110,Dungog,12700,Dungog,1,Good,Good,0
106011111,Kurri Kurri - Abermain,15050,Maitland,0.0008063,Good,Good,1
106011111,Kurri Kurri - Abermain,11720,Cessnock,0.9991937,Good,Good,0
106011112,Singleton,17000,Singleton,1,Good,Good,0
106011113,Singleton Region,17000,Singleton,1,Good,Good,0
106021114,Maitland,15050,Maitland,1,Good,Good,0
106021115,Maitland - East,15050,Maitland,1,Good,Good,0
106021116,Maitland - North,15050,Maitland,1,Good,Good,0
106021117,Maitland - West,11720,Cessnock,0.0049999,Good,Good,1
106021117,Maitland - West,15050,Maitland,0.9950001,Good,Good,0
106021118,Thornton - Millers Forest,15050,Maitland,1,Good,Good,0
106031119,Anna Bay,16400,Port Stephens,1,Good,Good,0
106031120,Lemon Tree Passage - Tanilba Bay,16400,Port Stephens,1,Good,Good,0
106031121,Nelson Bay Peninsula,16400,Port Stephens,1,Good,Good,0
106031122,Raymond Terrace,16400,Port Stephens,1,Good,Good,0
106031123,Seaham - Woodville,16400,Port Stephens,1,Good,Good,0
106031124,Tea Gardens - Hawks Nest,15240,Mid-Coast,1,Good,Good,0
106031125,Williamtown - Medowie - Karuah,15240,Mid-Coast,0.0095377,Good,Good,1
106031125,Williamtown - Medowie - Karuah,16400,Port Stephens,0.9904623,Good,Good,0
106041126,Muswellbrook,15650,Muswellbrook,1,Good,Good,0
106041127,Muswellbrook Region,15650,Muswellbrook,1,Good,Good,0
106041128,Scone,17620,Upper Hunter Shire,1,Good,Good,0
106041129,Scone Region,14920,Liverpool Plains,0.0005137,Good,Good,1
106041129,Scone Region,17620,Upper Hunter Shire,0.9994863,Good,Good,0
107011130,Berkeley - Warrawong - Windang,18450,Wollongong,1,Good,Good,0
107011131,Dapto - Avondale,18450,Wollongong,1,Good,Good,0
107011132,Horsley - Kembla Grange,18450,Wollongong,1,Good,Good,0
107011133,Port Kembla Industrial,18450,Wollongong,1,Good,Good,0
107011134,Unanderra - Mount Kembla,18450,Wollongong,1,Good,Good,0
107021135,Illawarra Catchment Reserve,18350,Wingecarribee,3.00E-07,Good,Good,1
107021135,Illawarra Catchment Reserve,18400,Wollondilly,3.00E-05,Good,Good,1
107021135,Illawarra Catchment Reserve,18450,Wollongong,0.9999697,Good,Good,0
107031136,Albion Park - Macquarie Pass,16900,Shellharbour,1,Good,Good,0
107031137,Albion Park Rail,16900,Shellharbour,1,Good,Good,0
107031138,Kiama,14400,Kiama,1,Good,Good,0
107031139,Kiama Downs - Minnamurra,14400,Kiama,1,Good,Good,0
107031140,Kiama Hinterland - Gerringong,14400,Kiama,1,Good,Good,0
107031141,Shellharbour - Flinders,16900,Shellharbour,1,Good,Good,0
107031142,Shellharbour - Oak Flats,16900,Shellharbour,1,Good,Good,0
107031143,Warilla,16900,Shellharbour,1,Good,Good,0
107041144,Balgownie - Fairy Meadow,18450,Wollongong,1,Good,Good,0
107041145,Corrimal - Tarrawanna - Bellambi,18450,Wollongong,1,Good,Good,0
107041146,Figtree - Keiraville,18450,Wollongong,1,Good,Good,0
107041147,Helensburgh,18400,Wollondilly,0.0024416,Good,Good,1
107041147,Helensburgh,18450,Wollongong,0.9975584,Good,Good,0
107041148,Thirroul - Austinmer - Coalcliff,18450,Wollongong,1,Good,Good,0
107041149,Wollongong,18450,Wollongong,1,Good,Good,0
107041150,Woonona - Bulli - Russell Vale,18450,Wollongong,1,Good,Good,0
108011151,Bulahdelah - Stroud,15240,Mid-Coast,1,Good,Good,0
108011152,Forster,15240,Mid-Coast,1,Good,Good,0
108011153,Forster-Tuncurry Region,15240,Mid-Coast,1,Good,Good,0
108011154,Tuncurry,15240,Mid-Coast,1,Good,Good,0
108021155,Kempsey,14350,Kempsey,1,Good,Good,0
108021156,Kempsey Region,10180,Armidale Regional,0.0060384,Good,Good,1
108021156,Kempsey Region,14350,Kempsey,0.9939616,Good,Good,0
108021157,Macksville - Scotts Head,15700,Nambucca Valley,1,Good,Good,0
108021158,Nambucca Heads,15700,Nambucca Valley,1,Good,Good,0
108021159,Nambucca Heads Region,15700,Nambucca Valley,1,Good,Good,0
108021160,South West Rocks,14350,Kempsey,1,Good,Good,0
108031161,Lord Howe Island,19399,Unincorporated NSW,1,Poor,Good,0
108041162,Laurieton - Bonny Hills,16380,Port Macquarie-Hastings,1,Good,Good,0
108041163,Port Macquarie - East,16380,Port Macquarie-Hastings,1,Good,Good,0
108041164,Port Macquarie - West,16380,Port Macquarie-Hastings,1,Good,Good,0
108041165,Port Macquarie Region,15240,Mid-Coast,0.0033755,Good,Good,1
108041165,Port Macquarie Region,16380,Port Macquarie-Hastings,0.9966245,Good,Good,0
108041166,Wauchope,16380,Port Macquarie-Hastings,1,Good,Good,0
108051167,Gloucester,15240,Mid-Coast,1,Good,Good,0
108051168,Old Bar - Manning Point - Red Head,15240,Mid-Coast,1,Good,Good,0
108051169,Taree,15240,Mid-Coast,1,Good,Good,0
108051170,Taree Region,15240,Mid-Coast,1,Good,Good,0
108051171,Wingham,15240,Mid-Coast,1,Good,Good,0
109011172,Albury - East,10050,Albury,1,Good,Good,0
109011173,Albury - North,10050,Albury,1,Good,Good,0
109011174,Albury - South,10050,Albury,1,Good,Good,0
109011175,Albury Region,10050,Albury,0.1166139,Good,Good,0
109011175,Albury Region,13340,Greater Hume Shire,0.8833861,Acceptable,Good,0
109011176,Lavington,10050,Albury,1,Good,Good,0
109021177,Hay,11600,Carrathool,0.0134549,Poor,Good,0
109021177,Hay,13850,Hay,0.9865451,Good,Good,0
109021178,Wentworth - Buronga,18200,Wentworth,1,Good,Good,0
109021179,Wentworth-Balranald Region,15520,Murray River,0.155927,Acceptable,Good,0
109021179,Wentworth-Balranald Region,18200,Wentworth,0.2460591,Good,Good,0
109021179,Wentworth-Balranald Region,10300,Balranald,0.5980139,Poor,Good,0
109031180,Corowa,12870,Federation,1,Good,Good,0
109031181,Corowa Region,13340,Greater Hume Shire,0.0274017,Acceptable,Good,0
109031181,Corowa Region,12870,Federation,0.9725983,Good,Good,0
109031182,Deniliquin,12730,Edward River,1,Acceptable,Good,0
109031183,Deniliquin Region,12730,Edward River,0.2287436,Acceptable,Good,0
109031183,Deniliquin Region,15520,Murray River,0.7712564,Acceptable,Good,0
109031184,Moama,15520,Murray River,1,Acceptable,Good,0
109031185,Tocumwal - Finley - Jerilderie,15560,Murrumbidgee,0.1325923,Poor,Good,0
109031185,Tocumwal - Finley - Jerilderie,10650,Berrigan,0.8674077,Acceptable,Good,0
110011186,Armidale,10180,Armidale Regional,1,Good,Good,0
110011187,Armidale Region - North,17650,Uralla,0.0016197,Acceptable,Good,1
110011187,Armidale Region - North,10180,Armidale Regional,0.9983803,Good,Good,0
110011188,Armidale Region - South,17310,Tamworth Regional,0.0058254,Good,Good,1
110011188,Armidale Region - South,10180,Armidale Regional,0.0782151,Good,Good,0
110011188,Armidale Region - South,17650,Uralla,0.9159595,Acceptable,Good,0
110011189,Walcha,17310,Tamworth Regional,0.0543435,Good,Good,0
110011189,Walcha,17850,Walcha,0.9456565,Good,Good,0
110021190,Glen Innes,13010,Glen Innes Severn,1,Good,Good,0
110021191,Inverell,14220,Inverell,1,Good,Good,0
110021192,Inverell Region - East,17310,Tamworth Regional,0.0042333,Good,Good,1
110021192,Inverell Region - East,10180,Armidale Regional,0.0245367,Good,Good,0
110021192,Inverell Region - East,17650,Uralla,0.0982854,Acceptable,Good,0
110021192,Inverell Region - East,14220,Inverell,0.8729446,Good,Good,0
110021193,Inverell Region - West,14220,Inverell,0.2165406,Good,Good,0
110021193,Inverell Region - West,13660,Gwydir,0.7834594,Poor,Good,0
110021194,Tenterfield,17400,Tenterfield,1,Good,Good,0
110031195,Moree,15300,Moree Plains,1,Good,Good,0
110031196,Moree Region,13660,Gwydir,0.0920624,Poor,Good,0
110031196,Moree Region,15300,Moree Plains,0.9079376,Good,Good,0
110031197,Narrabri,15750,Narrabri,1,Good,Good,0
110031198,Narrabri Region,15750,Narrabri,1,Good,Good,0
110041199,Gunnedah,13550,Gunnedah,1,Good,Good,0
110041200,Gunnedah Region,15750,Narrabri,0.2650667,Good,Good,0
110041200,Gunnedah Region,13550,Gunnedah,0.7349333,Good,Good,0
110041201,Quirindi,14920,Liverpool Plains,1,Good,Good,0
110041202,Tamworth - East,17310,Tamworth Regional,1,Good,Good,0
110041203,Tamworth - North,17310,Tamworth Regional,1,Good,Good,0
110041204,Tamworth - West,17310,Tamworth Regional,1,Good,Good,0
110041205,Tamworth Region,13660,Gwydir,0.0003492,Poor,Good,1
110041205,Tamworth Region,17310,Tamworth Regional,0.9996508,Good,Good,0
111011206,Belmont - Bennetts Green,14650,Lake Macquarie,1,Good,Good,0
111011207,Belmont South - Blacksmiths,14650,Lake Macquarie,1,Good,Good,0
111011208,Charlestown - Dudley,14650,Lake Macquarie,1,Good,Good,0
111011209,Glendale - Cardiff - Hillsborough,15900,Newcastle,0.0232313,Good,Good,0
111011209,Glendale - Cardiff - Hillsborough,14650,Lake Macquarie,0.9767687,Good,Good,0
111011210,Mount Hutton - Windale,14650,Lake Macquarie,1,Good,Good,0
111011211,Redhead,14650,Lake Macquarie,1,Good,Good,0
111011212,Swansea - Caves Beach,14650,Lake Macquarie,1,Good,Good,0
111011213,Valentine - Eleebana,14650,Lake Macquarie,1,Good,Good,0
111011214,Warners Bay - Boolaroo,14650,Lake Macquarie,1,Good,Good,0
111021215,Bolton Point - Teralba,14650,Lake Macquarie,1,Good,Good,0
111021216,Bonnells Bay - Silverwater,14650,Lake Macquarie,1,Good,Good,0
111021217,Edgeworth - Cameron Park,14650,Lake Macquarie,1,Good,Good,0
111021218,Morisset - Cooranbong,14650,Lake Macquarie,1,Good,Good,0
111021219,Toronto - Awaba,14650,Lake Macquarie,1,Good,Good,0
111021220,Wangi Wangi - Rathmines,14650,Lake Macquarie,1,Good,Good,0
111021221,West Wallsend - Barnsley - Killingworth,14650,Lake Macquarie,1,Good,Good,0
111031222,Adamstown - Kotara,14650,Lake Macquarie,0.1591362,Good,Good,0
111031222,Adamstown - Kotara,15900,Newcastle,0.8408638,Good,Good,0
111031223,Beresfield - Hexham,15050,Maitland,0.3743777,Good,Good,0
111031223,Beresfield - Hexham,15900,Newcastle,0.6256223,Good,Good,0
111031224,Hamilton - Broadmeadow,15900,Newcastle,1,Good,Good,0
111031225,Lambton - New Lambton,15900,Newcastle,1,Good,Good,0
111031226,Maryland - Fletcher - Minmi,15900,Newcastle,1,Good,Good,0
111031227,Mayfield - Warabrook,15900,Newcastle,1,Good,Good,0
111031228,Merewether - The Junction,15900,Newcastle,1,Good,Good,0
111031229,Newcastle - Cooks Hill,15900,Newcastle,1,Good,Good,0
111031230,Newcastle Port - Kooragang,15900,Newcastle,1,Good,Good,0
111031231,Shortland - Jesmond,15900,Newcastle,1,Good,Good,0
111031232,Stockton - Fullerton Cove,16400,Port Stephens,0.3124892,Good,Good,0
111031232,Stockton - Fullerton Cove,15900,Newcastle,0.6875108,Good,Good,0
111031233,Wallsend - Elermore Vale,14650,Lake Macquarie,0.0151258,Good,Good,0
111031233,Wallsend - Elermore Vale,15900,Newcastle,0.9848742,Good,Good,0
111031234,Waratah - North Lambton,15900,Newcastle,1,Good,Good,0
111031235,Wickham - Carrington - Tighes Hill,15900,Newcastle,1,Good,Good,0
112011236,Ballina,10250,Ballina,1,Good,Good,0
112011237,Ballina Region,11350,Byron,0.0001612,Good,Good,1
112011237,Ballina Region,10250,Ballina,0.9998388,Good,Good,0
112011238,Bangalow,11350,Byron,1,Good,Good,0
112011239,Brunswick Heads - Ocean Shores,11350,Byron,1,Good,Good,0
112011240,Byron Bay,11350,Byron,1,Good,Good,0
112011241,Evans Head,14850,Lismore,0.0183347,Good,Good,0
112011241,Evans Head,16610,Richmond Valley,0.9816653,Good,Good,0
112011242,Lennox Head - Skennars Head,10250,Ballina,1,Good,Good,0
112011243,Mullumbimby,11350,Byron,1,Good,Good,0
112021244,Casino,16610,Richmond Valley,1,Good,Good,0
112021245,Casino Region,14550,Kyogle,0.2384705,Acceptable,Good,0
112021245,Casino Region,16610,Richmond Valley,0.7615295,Good,Good,0
112021246,Goonellabah,14850,Lismore,1,Good,Good,0
112021247,Kyogle,14550,Kyogle,1,Acceptable,Good,0
112021248,Lismore,14850,Lismore,1,Good,Good,0
112021249,Lismore Region,14550,Kyogle,0.0039769,Acceptable,Good,1
112021249,Lismore Region,16610,Richmond Valley,0.004541,Good,Good,1
112021249,Lismore Region,10250,Ballina,0.0050831,Good,Good,1
112021249,Lismore Region,11350,Byron,0.0115894,Good,Good,0
112021249,Lismore Region,14850,Lismore,0.9748096,Good,Good,0
112031250,Kingscliff - Fingal Head,17550,Tweed,1,Good,Good,0
112031251,Murwillumbah,17550,Tweed,1,Good,Good,0
112031252,Murwillumbah Region,17550,Tweed,1,Good,Good,0
112031253,Pottsville,17550,Tweed,1,Good,Good,0
112031254,Tweed Heads,17550,Tweed,1,Good,Good,0
112031255,Tweed Heads - South,17550,Tweed,1,Good,Good,0
113011256,Griffith (NSW),13450,Griffith,1,Acceptable,Good,0
113011257,Griffith Region,10800,Bland,0.0014222,Good,Good,1
113011257,Griffith Region,15800,Narrandera,0.0057661,Good,Good,1
113011257,Griffith Region,14750,Leeton,0.085617,Good,Good,0
113011257,Griffith Region,15560,Murrumbidgee,0.198395,Poor,Good,0
113011257,Griffith Region,11600,Carrathool,0.1998976,Poor,Good,0
113011257,Griffith Region,13450,Griffith,0.5089021,Acceptable,Good,0
113011258,Leeton,14750,Leeton,1,Good,Good,0
113011259,Narrandera,14750,Leeton,0.0140939,Good,Good,0
113011259,Narrandera,12870,Federation,0.0356592,Good,Good,0
113011259,Narrandera,15800,Narrandera,0.9502469,Good,Good,0
113021260,Tumbarumba,13340,Greater Hume Shire,0.0110119,Acceptable,Good,0
113021260,Tumbarumba,17080,Snowy Valleys,0.9889881,Good,Good,0
113021261,Tumut,17080,Snowy Valleys,1,Good,Good,0
113021262,Tumut Region,17040,Snowy Monaro Regional,0.0006645,Good,Good,1
113021262,Tumut Region,17080,Snowy Valleys,0.9993355,Good,Good,0
113031263,Cootamundra,17350,Temora,0.0035068,Good,Good,1
113031263,Cootamundra,12160,Cootamundra-Gundagai Regional,0.9964932,Good,Good,0
113031264,Gundagai,13910,Hilltops,0.0003775,Good,Good,1
113031264,Gundagai,12160,Cootamundra-Gundagai Regional,0.9996225,Good,Good,0
113031265,Junee,14300,Junee,1,Good,Good,0
113031266,Temora,12000,Coolamon,0.0911634,Poor,Good,0
113031266,Temora,17350,Temora,0.9088366,Good,Good,0
113031267,Wagga Wagga - East,17750,Wagga Wagga,1,Good,Good,0
113031268,Wagga Wagga - North,17750,Wagga Wagga,1,Good,Good,0
113031269,Wagga Wagga - South,17750,Wagga Wagga,1,Good,Good,0
113031270,Wagga Wagga - West,17750,Wagga Wagga,1,Good,Good,0
113031271,Wagga Wagga Region,14300,Junee,0.0049865,Good,Good,1
113031271,Wagga Wagga Region,14950,Lockhart,0.1822248,Poor,Good,0
113031271,Wagga Wagga Region,12000,Coolamon,0.2725976,Poor,Good,0
113031271,Wagga Wagga Region,17750,Wagga Wagga,0.5401911,Good,Good,0
114011272,Berry - Kangaroo Valley,16950,Shoalhaven,1,Good,Good,0
114011273,Callala Bay - Currarong,16950,Shoalhaven,1,Good,Good,0
114011274,Culburra Beach,16950,Shoalhaven,1,Good,Good,0
114011275,Ettrema - Sassafras - Budawang,16950,Shoalhaven,1,Good,Good,0
114011276,Huskisson - Vincentia,16950,Shoalhaven,1,Good,Good,0
114011277,North Nowra - Bomaderry,16950,Shoalhaven,1,Good,Good,0
114011278,Nowra,16950,Shoalhaven,1,Good,Good,0
