LGA_CODE_2022,LGA_NAME_2022,RA_CODE_2016,RA_NAME_2016,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
12000,Coolamon,12,Outer Regional Australia,0.4052651,Poor,Good,0
12150,Coonamble,12,Outer Regional Australia,0.0963892,Poor,Good,0
12150,Coonamble,13,Remote Australia,0.9036108,Poor,Good,0
12160,Cootamundra-Gundagai,11,Inner Regional Australia,0.9125535,Acceptable,Good,0
12160,Cootamundra-Gundagai,12,Outer Regional Australia,0.0874465,Poor,Good,0
12350,Cowra,11,Inner Regional Australia,0.7735374,Acceptable,Good,0
12350,Cowra,12,Outer Regional Australia,0.2264626,Poor,Good,0
12380,Cumberland,10,Major Cities of Australia,1,Good,Good,0
12390,Dubbo,11,Inner Regional Australia,0.7474491,Acceptable,Good,0
12390,Dubbo,12,Outer Regional Australia,0.2525509,Poor,Good,0
12700,Dungog,11,Inner Regional Australia,0.9482589,Acceptable,Good,0
12700,Dungog,12,Outer Regional Australia,0.0517411,Poor,Good,0
12730,Edward River,11,Inner Regional Australia,0.831376,Acceptable,Good,0
12730,Edward River,12,Outer Regional Australia,0.168624,Poor,Good,0
12750,Eurobodalla,11,Inner Regional Australia,0.7238208,Acceptable,Good,0
12750,Eurobodalla,12,Outer Regional Australia,0.2761792,Poor,Good,0
12850,Fairfield,10,Major Cities of Australia,1,Good,Good,0
12870,Federation,11,Inner Regional Australia,0.8982734,Acceptable,Good,0
12870,Federation,12,Outer Regional Australia,0.1017266,Poor,Good,0
12900,Forbes,12,Outer Regional Australia,1,Poor,Good,0
12930,Georges River,10,Major Cities of Australia,1,Good,Good,0
12950,Gilgandra,12,Outer Regional Australia,1,Poor,Good,0
13010,Glen Innes Severn,12,Outer Regional Australia,1,Poor,Good,0
13310,Goulburn Mulwaree,11,Inner Regional Australia,0.9870959,Acceptable,Good,0
13310,Goulburn Mulwaree,12,Outer Regional Australia,0.0129041,Poor,Good,0
13340,Greater Hume,11,Inner Regional Australia,0.9080968,Acceptable,Good,0
13340,Greater Hume,12,Outer Regional Australia,0.0919032,Poor,Good,0
13450,Griffith,12,Outer Regional Australia,1,Poor,Good,0
13550,Gunnedah,12,Outer Regional Australia,1,Poor,Good,0
13660,Gwydir,12,Outer Regional Australia,1,Poor,Good,0
13800,Hawkesbury,10,Major Cities of Australia,0.66244,Good,Good,0
13800,Hawkesbury,11,Inner Regional Australia,0.3325278,Acceptable,Good,0
13800,Hawkesbury,12,Outer Regional Australia,0.0050322,Poor,Good,1
13850,Hay,12,Outer Regional Australia,0.7632306,Poor,Good,0
13850,Hay,13,Remote Australia,0.2367694,Poor,Good,0
13910,Hilltops,11,Inner Regional Australia,0.8458692,Acceptable,Good,0
13910,Hilltops,12,Outer Regional Australia,0.1541308,Poor,Good,0
14000,Hornsby,10,Major Cities of Australia,0.9613847,Good,Good,0
14000,Hornsby,11,Inner Regional Australia,0.0386153,Acceptable,Good,0
14100,Hunters Hill,10,Major Cities of Australia,1,Good,Good,0
14170,Inner West,10,Major Cities of Australia,1,Good,Good,0
14220,Inverell,12,Outer Regional Australia,1,Poor,Good,0
14300,Junee,11,Inner Regional Australia,0.8933523,Acceptable,Good,0
14300,Junee,12,Outer Regional Australia,0.1066477,Poor,Good,0
14350,Kempsey,11,Inner Regional Australia,0.5302559,Acceptable,Good,0
14350,Kempsey,12,Outer Regional Australia,0.4697441,Poor,Good,0
14400,Kiama,11,Inner Regional Australia,1,Acceptable,Good,0
14500,Ku-ring-gai,10,Major Cities of Australia,1,Good,Good,0
14550,Kyogle,11,Inner Regional Australia,0.7715242,Acceptable,Good,0
14550,Kyogle,12,Outer Regional Australia,0.2284758,Poor,Good,0
14600,Lachlan,12,Outer Regional Australia,0.4841187,Poor,Good,0
14600,Lachlan,13,Remote Australia,0.5158813,Poor,Good,0
14650,Lake Macquarie,10,Major Cities of Australia,0.9804103,Good,Good,0
14650,Lake Macquarie,11,Inner Regional Australia,0.0195897,Acceptable,Good,0
14700,Lane Cove,10,Major Cities of Australia,1,Good,Good,0
14750,Leeton,12,Outer Regional Australia,1,Poor,Good,0
14850,Lismore,11,Inner Regional Australia,1,Acceptable,Good,0
14870,Lithgow,11,Inner Regional Australia,0.9846441,Acceptable,Good,0
14870,Lithgow,12,Outer Regional Australia,0.0153559,Poor,Good,0
14900,Liverpool,10,Major Cities of Australia,0.9930341,Good,Good,0
14900,Liverpool,11,Inner Regional Australia,0.0069659,Acceptable,Good,1
14920,Liverpool Plains,11,Inner Regional Australia,0.1776209,Acceptable,Good,0
14920,Liverpool Plains,12,Outer Regional Australia,0.8223791,Poor,Good,0
14950,Lockhart,11,Inner Regional Australia,0.3895295,Acceptable,Good,0
14950,Lockhart,12,Outer Regional Australia,0.6104705,Poor,Good,0
15050,Maitland,10,Major Cities of Australia,0.9642825,Good,Good,0
15050,Maitland,11,Inner Regional Australia,0.0357175,Acceptable,Good,0
15240,Mid-Coast,11,Inner Regional Australia,0.9794169,Acceptable,Good,0
15240,Mid-Coast,12,Outer Regional Australia,0.0205831,Poor,Good,0
15270,Mid-Western,11,Inner Regional Australia,0.5363149,Acceptable,Good,0
15270,Mid-Western,12,Outer Regional Australia,0.4636851,Poor,Good,0
15300,Moree Plains,12,Outer Regional Australia,0.894217,Poor,Good,0
15300,Moree Plains,13,Remote Australia,0.105783,Poor,Good,0
15350,Mosman,10,Major Cities of Australia,1,Good,Good,0
15520,Murray River,11,Inner Regional Australia,0.5410115,Acceptable,Good,0
15520,Murray River,12,Outer Regional Australia,0.4542276,Poor,Good,0
15520,Murray River,13,Remote Australia,0.0047609,Poor,Good,1
15560,Murrumbidgee,12,Outer Regional Australia,1,Poor,Good,0
15650,Muswellbrook,11,Inner Regional Australia,0.9560533,Acceptable,Good,0
15650,Muswellbrook,12,Outer Regional Australia,0.0439467,Poor,Good,0
15700,Nambucca Valley,12,Outer Regional Australia,1,Poor,Good,0
15750,Narrabri,12,Outer Regional Australia,0.9509146,Poor,Good,0
15750,Narrabri,13,Remote Australia,0.0490854,Poor,Good,0
15800,Narrandera,12,Outer Regional Australia,1,Poor,Good,0
15850,Narromine,12,Outer Regional Australia,1,Poor,Good,0
15900,Newcastle,10,Major Cities of Australia,1,Good,Good,0
15950,North Sydney,10,Major Cities of Australia,1,Good,Good,0
15990,Northern Beaches,10,Major Cities of Australia,0.9987699,Good,Good,0
15990,Northern Beaches,11,Inner Regional Australia,0.0012301,Acceptable,Good,1
16100,Oberon,11,Inner Regional Australia,0.9078134,Acceptable,Good,0
16100,Oberon,12,Outer Regional Australia,0.0921866,Poor,Good,0
16150,Orange,11,Inner Regional Australia,1,Acceptable,Good,0
16200,Parkes,12,Outer Regional Australia,1,Poor,Good,0
16260,Parramatta,10,Major Cities of Australia,1,Good,Good,0
16350,Penrith,10,Major Cities of Australia,0.9997425,Good,Good,0
16350,Penrith,11,Inner Regional Australia,0.0002575,Acceptable,Good,1
16380,Port Macquarie-Hastings,11,Inner Regional Australia,0.9720576,Acceptable,Good,0
16380,Port Macquarie-Hastings,12,Outer Regional Australia,0.0279424,Poor,Good,0
16400,Port Stephens,10,Major Cities of Australia,0.2771699,Good,Good,0
16400,Port Stephens,11,Inner Regional Australia,0.7228301,Acceptable,Good,0
16490,Queanbeyan-Palerang,10,Major Cities of Australia,0.60791,Good,Good,0
16490,Queanbeyan-Palerang,11,Inner Regional Australia,0.37376,Acceptable,Good,0
16490,Queanbeyan-Palerang,12,Outer Regional Australia,0.0183301,Poor,Good,0
16550,Randwick,10,Major Cities of Australia,1,Good,Good,0
16610,Richmond Valley,11,Inner Regional Australia,0.9772439,Acceptable,Good,0
16610,Richmond Valley,12,Outer Regional Australia,0.0227561,Poor,Good,0
16700,Ryde,10,Major Cities of Australia,1,Good,Good,0
16900,Shellharbour,10,Major Cities of Australia,0.9455582,Good,Good,0
16900,Shellharbour,11,Inner Regional Australia,0.0544418,Acceptable,Good,0
16950,Shoalhaven,11,Inner Regional Australia,0.9973057,Acceptable,Good,0
16950,Shoalhaven,12,Outer Regional Australia,0.0026943,Poor,Good,1
17000,Singleton,11,Inner Regional Australia,0.9845453,Acceptable,Good,0
17000,Singleton,12,Outer Regional Australia,0.0154547,Poor,Good,0
17040,Snowy Monaro,11,Inner Regional Australia,0.4481105,Acceptable,Good,0
17040,Snowy Monaro,12,Outer Regional Australia,0.5518895,Poor,Good,0
17080,Snowy Valleys,11,Inner Regional Australia,0.6204106,Acceptable,Good,0
17080,Snowy Valleys,12,Outer Regional Australia,0.3795894,Poor,Good,0
17100,Strathfield,10,Major Cities of Australia,1,Good,Good,0
17150,Sutherland,10,Major Cities of Australia,0.9858756,Good,Good,0
17150,Sutherland,11,Inner Regional Australia,0.0141244,Acceptable,Good,0
17200,Sydney,,,8.60E-06,Acceptable,Good,4
17200,Sydney,10,Major Cities of Australia,0.9999914,Good,Good,0
17310,Tamworth,11,Inner Regional Australia,0.8399695,Acceptable,Good,0
17310,Tamworth,12,Outer Regional Australia,0.1600305,Poor,Good,0
17350,Temora,12,Outer Regional Australia,1,Poor,Good,0
17400,Tenterfield,12,Outer Regional Australia,1,Poor,Good,0
17420,The Hills,10,Major Cities of Australia,0.9621777,Good,Good,0
17420,The Hills,11,Inner Regional Australia,0.0378223,Acceptable,Good,0
17550,Tweed,10,Major Cities of Australia,0.8688433,Good,Good,0
17550,Tweed,11,Inner Regional Australia,0.1311567,Acceptable,Good,0
17620,Upper Hunter,11,Inner Regional Australia,0.5949048,Acceptable,Good,0
17620,Upper Hunter,12,Outer Regional Australia,0.4050952,Poor,Good,0
17640,Upper Lachlan,11,Inner Regional Australia,0.8653475,Acceptable,Good,0
17640,Upper Lachlan,12,Outer Regional Australia,0.1346525,Poor,Good,0
17650,Uralla,11,Inner Regional Australia,0.3996045,Acceptable,Good,0
17650,Uralla,12,Outer Regional Australia,0.6003955,Poor,Good,0
17750,Wagga Wagga,11,Inner Regional Australia,0.9853315,Acceptable,Good,0
17750,Wagga Wagga,12,Outer Regional Australia,0.0146685,Poor,Good,0
17850,Walcha,12,Outer Regional Australia,1,Poor,Good,0
17900,Walgett,13,Remote Australia,0.962231,Poor,Good,0
17900,Walgett,14,Very Remote Australia,0.037769,Poor,Good,0
17950,Warren,12,Outer Regional Australia,0.6137423,Poor,Good,0
17950,Warren,13,Remote Australia,0.3862577,Poor,Good,0
18020,Warrumbungle,12,Outer Regional Australia,0.9133312,Poor,Good,0
18020,Warrumbungle,13,Remote Australia,0.0866688,Poor,Good,0
18050,Waverley,10,Major Cities of Australia,1,Good,Good,0
18100,Weddin,12,Outer Regional Australia,1,Poor,Good,0
18200,Wentworth,12,Outer Regional Australia,0.8733584,Poor,Good,0
18200,Wentworth,13,Remote Australia,0.1266416,Poor,Good,0
18250,Willoughby,10,Major Cities of Australia,1,Good,Good,0
18350,Wingecarribee,11,Inner Regional Australia,0.999886,Acceptable,Good,0
18350,Wingecarribee,12,Outer Regional Australia,0.000114,Poor,Good,1
18400,Wollondilly,10,Major Cities of Australia,0.1081462,Good,Good,0
18400,Wollondilly,11,Inner Regional Australia,0.8918538,Acceptable,Good,0
18450,Wollongong,,,7.37E-05,Acceptable,Good,4
18450,Wollongong,10,Major Cities of Australia,0.9929616,Good,Good,0
18450,Wollongong,11,Inner Regional Australia,0.0069647,Acceptable,Good,1
18500,Woollahra,10,Major Cities of Australia,1,Good,Good,0
18710,Yass Valley,10,Major Cities of Australia,0.0326981,Good,Good,0
18710,Yass Valley,11,Inner Regional Australia,0.9673014,Acceptable,Good,0
18710,Yass Valley,12,Outer Regional Australia,6.00E-07,Poor,Good,1
19399,Unincorporated NSW,10,Major Cities of Australia,0.0040576,Good,Good,1
19399,Unincorporated NSW,13,Remote Australia,0.3410928,Poor,Good,0
19399,Unincorporated NSW,14,Very Remote Australia,0.6548495,Poor,Good,0
19499,No usual address (NSW),19,No usual address (NSW),1,Good,Good,0
19799,Migratory - Offshore - Shipping (NSW),15,Migratory - Offshore - Shipping (NSW),1,Good,Good,0
20110,Alpine,21,Inner Regional Australia,0.5551549,Acceptable,Good,0
20110,Alpine,22,Outer Regional Australia,0.4448451,Acceptable,Good,0
20260,Ararat,21,Inner Regional Australia,0.8395512,Acceptable,Good,0
20260,Ararat,22,Outer Regional Australia,0.1604488,Acceptable,Good,0
20570,Ballarat,21,Inner Regional Australia,1,Acceptable,Good,0
20660,Banyule,20,Major Cities of Australia,1,Good,Good,0
20740,Bass Coast,21,Inner Regional Australia,1,Acceptable,Good,0
20830,Baw Baw,21,Inner Regional Australia,0.9998759,Acceptable,Good,0
20830,Baw Baw,22,Outer Regional Australia,0.0001241,Acceptable,Good,1
20910,Bayside (Vic.),20,Major Cities of Australia,1,Good,Good,0
21010,Benalla,21,Inner Regional Australia,0.975971,Acceptable,Good,0
21010,Benalla,22,Outer Regional Australia,0.024029,Acceptable,Good,0
21110,Boroondara,20,Major Cities of Australia,1,Good,Good,0
21180,Brimbank,20,Major Cities of Australia,1,Good,Good,0
21270,Buloke,22,Outer Regional Australia,1,Acceptable,Good,0
21370,Campaspe,21,Inner Regional Australia,0.9852908,Acceptable,Good,0
21370,Campaspe,22,Outer Regional Australia,0.0147092,Acceptable,Good,0
21450,Cardinia,20,Major Cities of Australia,0.8131279,Good,Good,0
21450,Cardinia,21,Inner Regional Australia,0.1868721,Acceptable,Good,0
21610,Casey,20,Major Cities of Australia,0.9915797,Good,Good,0
21610,Casey,21,Inner Regional Australia,0.0084203,Acceptable,Good,1
21670,Central Goldfields,21,Inner Regional Australia,1,Acceptable,Good,0
21750,Colac Otway,21,Inner Regional Australia,0.9674433,Acceptable,Good,0
21750,Colac Otway,22,Outer Regional Australia,0.0325567,Acceptable,Good,0
21830,Corangamite,21,Inner Regional Australia,0.7203692,Acceptable,Good,0
21830,Corangamite,22,Outer Regional Australia,0.2796308,Acceptable,Good,0
21890,Darebin,20,Major Cities of Australia,1,Good,Good,0
22110,East Gippsland,22,Outer Regional Australia,0.9640484,Acceptable,Good,0
22110,East Gippsland,23,Remote Australia,0.0359516,Poor,Good,0
22170,Frankston,20,Major Cities of Australia,1,Good,Good,0
22250,Gannawarra,22,Outer Regional Australia,1,Acceptable,Good,0
22310,Glen Eira,20,Major Cities of Australia,1,Good,Good,0
22410,Glenelg,22,Outer Regional Australia,1,Acceptable,Good,0
22490,Golden Plains,21,Inner Regional Australia,1,Acceptable,Good,0
22620,Greater Bendigo,21,Inner Regional Australia,1,Acceptable,Good,0
22670,Greater Dandenong,20,Major Cities of Australia,1,Good,Good,0
22750,Greater Geelong,20,Major Cities of Australia,0.7874129,Good,Good,0
22750,Greater Geelong,21,Inner Regional Australia,0.2125871,Acceptable,Good,0
22830,Greater Shepparton,21,Inner Regional Australia,1,Acceptable,Good,0
22910,Hepburn,21,Inner Regional Australia,1,Acceptable,Good,0
22980,Hindmarsh,22,Outer Regional Australia,0.8858052,Acceptable,Good,0
22980,Hindmarsh,23,Remote Australia,0.1141948,Poor,Good,0
23110,Hobsons Bay,20,Major Cities of Australia,1,Good,Good,0
23190,Horsham,22,Outer Regional Australia,1,Acceptable,Good,0
23270,Hume,20,Major Cities of Australia,0.9971655,Good,Good,0
23270,Hume,21,Inner Regional Australia,0.0028345,Acceptable,Good,1
23350,Indigo,21,Inner Regional Australia,1,Acceptable,Good,0
23430,Kingston (Vic.),20,Major Cities of Australia,1,Good,Good,0
23670,Knox,20,Major Cities of Australia,1,Good,Good,0
23810,Latrobe (Vic.),21,Inner Regional Australia,1,Acceptable,Good,0
23940,Loddon,21,Inner Regional Australia,0.4151803,Acceptable,Good,0
23940,Loddon,22,Outer Regional Australia,0.5848197,Acceptable,Good,0
24130,Macedon Ranges,21,Inner Regional Australia,1,Acceptable,Good,0
24210,Manningham,20,Major Cities of Australia,0.9984604,Good,Good,0
24210,Manningham,21,Inner Regional Australia,0.0015396,Acceptable,Good,1
24250,Mansfield,21,Inner Regional Australia,4.90E-06,Acceptable,Good,1
24250,Mansfield,22,Outer Regional Australia,0.9999951,Acceptable,Good,0
24330,Maribyrnong,20,Major Cities of Australia,1,Good,Good,0
24410,Maroondah,20,Major Cities of Australia,1,Good,Good,0
24600,Melbourne,20,Major Cities of Australia,1,Good,Good,0
24650,Melton,20,Major Cities of Australia,0.980834,Good,Good,0
24650,Melton,21,Inner Regional Australia,0.019166,Acceptable,Good,0
24780,Mildura,22,Outer Regional Australia,0.9870883,Acceptable,Good,0
24780,Mildura,23,Remote Australia,0.0129117,Poor,Good,0
24850,Mitchell,20,Major Cities of Australia,0.2732214,Good,Good,0
24850,Mitchell,21,Inner Regional Australia,0.7267786,Acceptable,Good,0
24900,Moira,21,Inner Regional Australia,0.9699861,Acceptable,Good,0
24900,Moira,22,Outer Regional Australia,0.0300139,Acceptable,Good,0
24970,Monash,20,Major Cities of Australia,1,Good,Good,0
25060,Moonee Valley,20,Major Cities of Australia,1,Good,Good,0
25150,Moorabool,20,Major Cities of Australia,0.5523141,Good,Good,0
25150,Moorabool,21,Inner Regional Australia,0.4476859,Acceptable,Good,0
25250,Moreland,20,Major Cities of Australia,1,Good,Good,0
25340,Mornington Peninsula,20,Major Cities of Australia,0.9675184,Good,Good,0
25340,Mornington Peninsula,21,Inner Regional Australia,0.0324816,Acceptable,Good,0
25430,Mount Alexander,21,Inner Regional Australia,1,Acceptable,Good,0
25490,Moyne,21,Inner Regional Australia,0.8315356,Acceptable,Good,0
25490,Moyne,22,Outer Regional Australia,0.1684644,Acceptable,Good,0
25620,Murrindindi,21,Inner Regional Australia,0.9330299,Acceptable,Good,0
25620,Murrindindi,22,Outer Regional Australia,0.0669701,Acceptable,Good,0
25710,Nillumbik,20,Major Cities of Australia,0.9438717,Good,Good,0
25710,Nillumbik,21,Inner Regional Australia,0.0561283,Acceptable,Good,0
25810,Northern Grampians,21,Inner Regional Australia,0.6276631,Acceptable,Good,0
25810,Northern Grampians,22,Outer Regional Australia,0.3723369,Acceptable,Good,0
25900,Port Phillip,20,Major Cities of Australia,1,Good,Good,0
25990,Pyrenees,21,Inner Regional Australia,0.9622801,Acceptable,Good,0
25990,Pyrenees,22,Outer Regional Australia,0.0377199,Acceptable,Good,0
26080,Queenscliffe,21,Inner Regional Australia,1,Acceptable,Good,0
26170,South Gippsland,21,Inner Regional Australia,0.9457365,Acceptable,Good,0
26170,South Gippsland,22,Outer Regional Australia,0.0542635,Acceptable,Good,0
26260,Southern Grampians,21,Inner Regional Australia,0.6516506,Acceptable,Good,0
26260,Southern Grampians,22,Outer Regional Australia,0.3483494,Acceptable,Good,0
26350,Stonnington,20,Major Cities of Australia,1,Good,Good,0
26430,Strathbogie,21,Inner Regional Australia,1,Acceptable,Good,0
26490,Surf Coast,20,Major Cities of Australia,0.0111999,Good,Good,0
26490,Surf Coast,21,Inner Regional Australia,0.9888001,Acceptable,Good,0
26610,Swan Hill,22,Outer Regional Australia,1,Acceptable,Good,0
26670,Towong,21,Inner Regional Australia,0.2142735,Acceptable,Good,0
26670,Towong,22,Outer Regional Australia,0.7857265,Acceptable,Good,0
26700,Wangaratta,21,Inner Regional Australia,0.9678419,Acceptable,Good,0
26700,Wangaratta,22,Outer Regional Australia,0.0321581,Acceptable,Good,0
26730,Warrnambool,21,Inner Regional Australia,1,Acceptable,Good,0
26810,Wellington,21,Inner Regional Australia,0.8536846,Acceptable,Good,0
26810,Wellington,22,Outer Regional Australia,0.1462958,Acceptable,Good,0
26810,Wellington,23,Remote Australia,1.95E-05,Poor,Good,1
26890,West Wimmera,22,Outer Regional Australia,0.9889473,Acceptable,Good,0
26890,West Wimmera,23,Remote Australia,0.0110527,Poor,Good,0
26980,Whitehorse,20,Major Cities of Australia,1,Good,Good,0
27070,Whittlesea,20,Major Cities of Australia,0.9644498,Good,Good,0
27070,Whittlesea,21,Inner Regional Australia,0.0355502,Acceptable,Good,0
27170,Wodonga,21,Inner Regional Australia,1,Acceptable,Good,0
27260,Wyndham,20,Major Cities of Australia,0.9195451,Good,Good,0
27260,Wyndham,21,Inner Regional Australia,0.0804549,Acceptable,Good,0
27350,Yarra,20,Major Cities of Australia,1,Good,Good,0
27450,Yarra Ranges,20,Major Cities of Australia,0.7915793,Good,Good,0
27450,Yarra Ranges,21,Inner Regional Australia,0.2084207,Acceptable,Good,0
27630,Yarriambiack,22,Outer Regional Australia,0.9951085,Acceptable,Good,0
27630,Yarriambiack,23,Remote Australia,0.0048915,Poor,Good,1
29399,Unincorporated Vic,20,Major Cities of Australia,1.05E-05,Good,Good,1
29399,Unincorporated Vic,21,Inner Regional Australia,3.15E-05,Acceptable,Good,1
29399,Unincorporated Vic,22,Outer Regional Australia,0.9999475,Acceptable,Good,0
29399,Unincorporated Vic,23,Remote Australia,1.05E-05,Poor,Good,1
29499,No usual address (Vic.),29,No usual address (Vic.),1,Good,Good,0
29799,Migratory - Offshore - Shipping (Vic.),25,Migratory - Offshore - Shipping (Vic.),1,Good,Good,0
30250,Aurukun,34,Very Remote Australia,1,Acceptable,Good,0
30300,Balonne,33,Remote Australia,0.8021519,Poor,Good,0
30300,Balonne,34,Very Remote Australia,0.1978481,Acceptable,Good,0
30370,Banana,32,Outer Regional Australia,0.877682,Acceptable,Good,0
30370,Banana,33,Remote Australia,0.122318,Poor,Good,0
30410,Barcaldine,34,Very Remote Australia,1,Acceptable,Good,0
30450,Barcoo,34,Very Remote Australia,1,Acceptable,Good,0
30760,Blackall Tambo,34,Very Remote Australia,1,Acceptable,Good,0
30900,Boulia,34,Very Remote Australia,1,Acceptable,Good,0
31000,Brisbane,30,Major Cities of Australia,0.9991816,Good,Good,0
31000,Brisbane,31,Inner Regional Australia,0.0005641,Acceptable,Good,1
31000,Brisbane,33,Remote Australia,0.0002543,Poor,Good,1
31750,Bulloo,34,Very Remote Australia,1,Acceptable,Good,0
31820,Bundaberg,31,Inner Regional Australia,0.9564462,Acceptable,Good,0
31820,Bundaberg,32,Outer Regional Australia,0.0435538,Acceptable,Good,0
31900,Burdekin,32,Outer Regional Australia,0.9909875,Acceptable,Good,0
31900,Burdekin,33,Remote Australia,0.0090125,Poor,Good,1
31950,Burke,34,Very Remote Australia,1,Acceptable,Good,0
32080,Cairns,32,Outer Regional Australia,1,Acceptable,Good,0
32250,Carpentaria,34,Very Remote Australia,1,Acceptable,Good,0
32260,Cassowary Coast,32,Outer Regional Australia,0.9341485,Acceptable,Good,0
32260,Cassowary Coast,33,Remote Australia,0.0656744,Poor,Good,0
32260,Cassowary Coast,34,Very Remote Australia,0.0001771,Acceptable,Good,1
32270,Central Highlands (Qld),32,Outer Regional Australia,0.746348,Acceptable,Good,0
32270,Central Highlands (Qld),33,Remote Australia,0.2467413,Poor,Good,0
32270,Central Highlands (Qld),34,Very Remote Australia,0.0069106,Acceptable,Good,1
32310,Charters Towers,32,Outer Regional Australia,0.8334395,Acceptable,Good,0
32310,Charters Towers,33,Remote Australia,0.1108779,Poor,Good,0
32310,Charters Towers,34,Very Remote Australia,0.0556826,Acceptable,Good,0
32330,Cherbourg,31,Inner Regional Australia,1,Acceptable,Good,0
32450,Cloncurry,33,Remote Australia,0.6939958,Poor,Good,0
32450,Cloncurry,34,Very Remote Australia,0.3060042,Acceptable,Good,0
32500,Cook,33,Remote Australia,0.7936914,Poor,Good,0
32500,Cook,34,Very Remote Australia,0.2063086,Acceptable,Good,0
32600,Croydon,34,Very Remote Australia,1,Acceptable,Good,0
32750,Diamantina,34,Very Remote Australia,1,Acceptable,Good,0
32770,Doomadgee,34,Very Remote Australia,1,Acceptable,Good,0
32810,Douglas,32,Outer Regional Australia,0.9346084,Acceptable,Good,0
32810,Douglas,33,Remote Australia,0.0653916,Poor,Good,0
33100,Etheridge,34,Very Remote Australia,1,Acceptable,Good,0
33200,Flinders (Qld),34,Very Remote Australia,1,Acceptable,Good,0
33220,Fraser Coast,31,Inner Regional Australia,0.9954813,Acceptable,Good,0
