SA2_CODE_2021,SA2_NAME_2021,IARE_CODE_2021,IARE_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
116011561,Blacktown - West,107003,Blacktown,1,Good,Good,0
116011626,Seven Hills - Prospect,107003,Blacktown,1,Good,Good,0
116011627,Toongabbie - West,107003,Blacktown,0.7145507,Good,Good,0
116011627,Toongabbie - West,107011,Holroyd,0.2854493,Good,Good,0
116021309,Glenwood,107003,Blacktown,1,Good,Good,0
116021562,Acacia Gardens,107003,Blacktown,1,Good,Good,0
116021563,Quakers Hill,107003,Blacktown,1,Good,Good,0
116021628,Kellyville Ridge - The Ponds,107003,Blacktown,1,Good,Good,0
116021629,Marsden Park - Shanes Park,107003,Blacktown,1,Good,Good,0
116021630,Riverstone,107003,Blacktown,1,Good,Good,0
116021631,Schofields (West) - Colebee,107003,Blacktown,1,Good,Good,0
116021632,Schofields - East,107003,Blacktown,1,Good,Good,0
116021633,Stanhope Gardens - Parklea,107003,Blacktown,1,Good,Good,0
116031313,Bidwill - Hebersham - Emerton,107003,Blacktown,1,Good,Good,0
116031314,Glendenning - Dean Park,107003,Blacktown,1,Good,Good,0
116031315,Hassall Grove - Plumpton,107003,Blacktown,1,Good,Good,0
116031316,Lethbridge Park - Tregear,107003,Blacktown,1,Good,Good,0
116031317,Mount Druitt - Whalan,107003,Blacktown,1,Good,Good,0
116031318,Prospect Reservoir,107003,Blacktown,1,Good,Good,0
116031319,Rooty Hill - Minchinbury,107003,Blacktown,1,Good,Good,0
117011320,Banksmeadow,107005,Botany Bay,1,Good,Good,0
117011321,Botany,107005,Botany Bay,1,Good,Good,0
117011323,Pagewood - Hillsdale - Daceyville,107005,Botany Bay,1,Good,Good,0
117011324,Port Botany Industrial,107023,Randwick - La Perouse,1,Good,Good,0
117011325,Sydney Airport,107024,Rockdale,1,Good,Good,0
117011634,Eastlakes,107005,Botany Bay,1,Good,Good,0
117011635,Mascot,107005,Botany Bay,1,Good,Good,0
117021327,Petersham - Stanmore,107019,Marrickville,1,Good,Good,0
117021328,Sydenham - Tempe - St Peters,107019,Marrickville,1,Good,Good,0
117021636,Marrickville - North,107019,Marrickville,1,Good,Good,0
117021637,Marrickville - South,107019,Marrickville,1,Good,Good,0
117031329,Darlinghurst,107026,Sydney - City,1,Good,Good,0
117031330,Erskineville - Alexandria,107026,Sydney - City,1,Good,Good,0
117031331,Glebe - Forest Lodge,107026,Sydney - City,1,Good,Good,0
117031333,Potts Point - Woolloomooloo,107026,Sydney - City,1,Good,Good,0
117031336,Surry Hills,107026,Sydney - City,1,Good,Good,0
117031638,Camperdown - Darlington,107019,Marrickville,0.4012068,Good,Good,0
117031638,Camperdown - Darlington,107026,Sydney - City,0.5987932,Good,Good,0
117031639,Chippendale,107026,Sydney - City,1,Good,Good,0
117031640,Newtown (NSW),107019,Marrickville,0.5382875,Good,Good,0
117031640,Newtown (NSW),107026,Sydney - City,0.4617125,Good,Good,0
117031641,Pyrmont,107026,Sydney - City,1,Good,Good,0
117031642,Redfern,107026,Sydney - City,1,Good,Good,0
117031643,Rosebery - Beaconsfield,107026,Sydney - City,1,Good,Good,0
117031644,Sydney (North) - Millers Point,107026,Sydney - City,1,Good,Good,0
117031645,Sydney (South) - Haymarket,107026,Sydney - City,1,Good,Good,0
117031646,Ultimo,107026,Sydney - City,1,Good,Good,0
117031647,Waterloo,107026,Sydney - City,1,Good,Good,0
117031648,Zetland,107026,Sydney - City,1,Good,Good,0
118011339,Bondi - Tamarama - Bronte,107031,Woollahra - Waverley,1,Good,Good,0
118011340,Bondi Beach - North Bondi,107031,Woollahra - Waverley,1,Good,Good,0
118011341,Bondi Junction - Waverly,107031,Woollahra - Waverley,1,Good,Good,0
118011342,Centennial Park,107023,Randwick - La Perouse,1,Good,Good,0
118011344,Dover Heights,107031,Woollahra - Waverley,1,Good,Good,0
118011345,Paddington - Moore Park,107026,Sydney - City,0.3424542,Good,Good,0
118011345,Paddington - Moore Park,107031,Woollahra - Waverley,0.6575458,Good,Good,0
118011346,Rose Bay - Vaucluse - Watsons Bay,107031,Woollahra - Waverley,1,Good,Good,0
118011347,Woollahra,107031,Woollahra - Waverley,1,Good,Good,0
118011649,Bellevue Hill,107031,Woollahra - Waverley,1,Good,Good,0
118011650,Double Bay - Darling Point,107031,Woollahra - Waverley,1,Good,Good,0
118021564,Kensington (NSW),107023,Randwick - La Perouse,1,Good,Good,0
118021565,Kingsford,107023,Randwick - La Perouse,1,Good,Good,0
118021566,Maroubra - North,107023,Randwick - La Perouse,1,Good,Good,0
118021567,Maroubra - South,107023,Randwick - La Perouse,1,Good,Good,0
118021568,Maroubra - West,107023,Randwick - La Perouse,1,Good,Good,0
118021569,Randwick - North,107023,Randwick - La Perouse,1,Good,Good,0
118021570,Randwick - South,107023,Randwick - La Perouse,1,Good,Good,0
118021651,Coogee - Clovelly,107023,Randwick - La Perouse,1,Good,Good,0
118021652,Malabar - La Perouse,107023,Randwick - La Perouse,1,Good,Good,0
118021653,Matraville - Chifley,107023,Randwick - La Perouse,1,Good,Good,0
118021654,South Coogee,107023,Randwick - La Perouse,1,Good,Good,0
119011354,Bass Hill - Georges Hall,107008,Canterbury - Bankstown,1,Good,Good,0
119011355,Chullora,107008,Canterbury - Bankstown,1,Good,Good,0
119011356,Condell Park,107008,Canterbury - Bankstown,1,Good,Good,0
119011358,Padstow,107008,Canterbury - Bankstown,1,Good,Good,0
119011360,Revesby,107008,Canterbury - Bankstown,1,Good,Good,0
119011361,Yagoona - Birrong,107008,Canterbury - Bankstown,1,Good,Good,0
119011571,Bankstown - North,107008,Canterbury - Bankstown,1,Good,Good,0
119011572,Bankstown - South,107008,Canterbury - Bankstown,1,Good,Good,0
119011655,Greenacre - North,107008,Canterbury - Bankstown,0.8879127,Good,Good,0
119011655,Greenacre - North,107027,Sydney - Inner West,0.1120873,Good,Good,0
119011656,Greenacre - South,107008,Canterbury - Bankstown,1,Good,Good,0
119011657,Panania (North) - Milperra,107008,Canterbury - Bankstown,1,Good,Good,0
119011658,Panania (South) - Picnic Point,107008,Canterbury - Bankstown,1,Good,Good,0
119021362,Belmore - Belfield,107008,Canterbury - Bankstown,0.9241991,Good,Good,0
119021362,Belmore - Belfield,107027,Sydney - Inner West,0.0758009,Good,Good,0
119021366,Punchbowl,107008,Canterbury - Bankstown,1,Good,Good,0
119021367,Roselands,107008,Canterbury - Bankstown,1,Good,Good,0
119021573,Lakemba,107008,Canterbury - Bankstown,1,Good,Good,0
119021574,Wiley Park,107008,Canterbury - Bankstown,1,Good,Good,0
119021659,Campsie - North,107008,Canterbury - Bankstown,1,Good,Good,0
119021660,Campsie - South,107008,Canterbury - Bankstown,1,Good,Good,0
119021661,Canterbury - South,107008,Canterbury - Bankstown,1,Good,Good,0
119021662,Earlwood,107008,Canterbury - Bankstown,1,Good,Good,0
119021663,Kingsgrove - North,107008,Canterbury - Bankstown,0.9999936,Good,Good,0
119021663,Kingsgrove - North,107014,Hurstville - Kogarah,6.40E-06,Good,Good,1
119031370,Narwee - Beverly Hills,107008,Canterbury - Bankstown,0.2463138,Good,Good,0
119031370,Narwee - Beverly Hills,107014,Hurstville - Kogarah,0.7536862,Good,Good,0
119031371,Oatley - Hurstville Grove,107014,Hurstville - Kogarah,1,Good,Good,0
119031372,Peakhurst - Lugarno,107014,Hurstville - Kogarah,1,Good,Good,0
119031373,Riverwood,107008,Canterbury - Bankstown,0.5021075,Good,Good,0
119031373,Riverwood,107014,Hurstville - Kogarah,0.4978925,Good,Good,0
119031374,South Hurstville - Blakehurst,107014,Hurstville - Kogarah,1,Good,Good,0
119031664,Hurstville - Central,107014,Hurstville - Kogarah,1,Good,Good,0
119031665,Hurstville - North,107014,Hurstville - Kogarah,1,Good,Good,0
119031666,Mortdale - Oatley,107014,Hurstville - Kogarah,1,Good,Good,0
119031667,Penshurst,107014,Hurstville - Kogarah,1,Good,Good,0
119041377,Kingsgrove (South) - Bardwell Park,107014,Hurstville - Kogarah,0.2699934,Good,Good,0
119041377,Kingsgrove (South) - Bardwell Park,107024,Rockdale,0.7300066,Good,Good,0
119041378,Kogarah,107014,Hurstville - Kogarah,0.5346837,Good,Good,0
119041378,Kogarah,107024,Rockdale,0.4653163,Good,Good,0
119041379,Kogarah Bay - Carlton - Allawah,107014,Hurstville - Kogarah,1,Good,Good,0
119041380,Monterey - Brighton-le-Sands - Kyeemagh,107024,Rockdale,1,Good,Good,0
119041381,Rockdale - Banksia,107024,Rockdale,1,Good,Good,0
119041382,Sans Souci - Ramsgate,107014,Hurstville - Kogarah,0.1676551,Good,Good,0
119041382,Sans Souci - Ramsgate,107024,Rockdale,0.8323449,Good,Good,0
119041668,Arncliffe - Bardwell Valley,107024,Rockdale,1,Good,Good,0
119041669,Bexley - North,107024,Rockdale,1,Good,Good,0
119041670,Bexley - South,107024,Rockdale,1,Good,Good,0
119041671,Wolli Creek,107024,Rockdale,1,Good,Good,0
120011383,Concord - Mortlake - Cabarita,107027,Sydney - Inner West,1,Good,Good,0
120011385,Drummoyne - Rodd Point,107027,Sydney - Inner West,1,Good,Good,0
120011386,Five Dock - Abbotsford,107027,Sydney - Inner West,1,Good,Good,0
120011672,Concord West - North Strathfield,107027,Sydney - Inner West,1,Good,Good,0
120011673,Rhodes,107027,Sydney - Inner West,1,Good,Good,0
120021387,Balmain,107016,Leichhardt,1,Good,Good,0
120021389,Lilyfield - Rozelle,107016,Leichhardt,1,Good,Good,0
120021674,Annandale (NSW),107016,Leichhardt,1,Good,Good,0
120021675,Leichhardt,107016,Leichhardt,1,Good,Good,0
120031392,Canterbury (North) - Ashbury,107008,Canterbury - Bankstown,1,Good,Good,0
120031393,Croydon Park - Enfield,107008,Canterbury - Bankstown,0.2364219,Good,Good,0
120031393,Croydon Park - Enfield,107027,Sydney - Inner West,0.7635781,Good,Good,0
120031394,Dulwich Hill - Lewisham,107019,Marrickville,1,Good,Good,0
120031395,Haberfield - Summer Hill,107027,Sydney - Inner West,1,Good,Good,0
120031396,Homebush,107027,Sydney - Inner West,1,Good,Good,0
120031576,Strathfield South,107027,Sydney - Inner West,1,Good,Good,0
120031676,Ashfield - North,107027,Sydney - Inner West,1,Good,Good,0
120031677,Ashfield - South,107027,Sydney - Inner West,1,Good,Good,0
120031678,Burwood (NSW),107027,Sydney - Inner West,1,Good,Good,0
120031679,Croydon,107027,Sydney - Inner West,1,Good,Good,0
120031680,Strathfield - East,107027,Sydney - Inner West,1,Good,Good,0
120031681,Strathfield - West,107027,Sydney - Inner West,1,Good,Good,0
121011399,Chatswood (West) - Lane Cove North,107013,Hunters Hill - Ryde,0.0157765,Good,Good,0
121011399,Chatswood (West) - Lane Cove North,107028,Sydney - Lower North,0.9842235,Good,Good,0
121011401,St Leonards - Naremburn,107028,Sydney - Lower North,1,Good,Good,0
121011682,Artarmon,107028,Sydney - Lower North,1,Good,Good,0
121011683,Castle Cove - Northbridge,107028,Sydney - Lower North,1,Good,Good,0
121011684,Chatswood - East,107028,Sydney - Lower North,1,Good,Good,0
121011685,Greenwich - Riverview,107028,Sydney - Lower North,1,Good,Good,0
121011686,Lane Cove,107028,Sydney - Lower North,1,Good,Good,0
121011687,Willoughby,107028,Sydney - Lower North,1,Good,Good,0
121021403,Asquith - Mount Colah,107012,Hornsby - Ku-ring-gai,1,Good,Good,0
121021404,Berowra - Brooklyn - Cowan,107012,Hornsby - Ku-ring-gai,1,Good,Good,0
121021406,Normanhurst - Thornleigh - Westleigh,107012,Hornsby - Ku-ring-gai,1,Good,Good,0
121021577,Hornsby - East,107012,Hornsby - Ku-ring-gai,1,Good,Good,0
121021578,Hornsby - West,107012,Hornsby - Ku-ring-gai,1,Good,Good,0
121021579,Wahroonga (West) - Waitara,107012,Hornsby - Ku-ring-gai,1,Good,Good,0
121031407,Gordon - Killara,107012,Hornsby - Ku-ring-gai,1,Good,Good,0
121031408,Lindfield - Roseville,107012,Hornsby - Ku-ring-gai,0.9825463,Good,Good,0
121031408,Lindfield - Roseville,107028,Sydney - Lower North,0.0174537,Good,Good,0
121031409,Pymble,107012,Hornsby - Ku-ring-gai,1,Good,Good,0
121031410,St Ives,107012,Hornsby - Ku-ring-gai,1,Good,Good,0
121031411,Turramurra,107012,Hornsby - Ku-ring-gai,1,Good,Good,0
121031412,Wahroonga (East) - Warrawee,107012,Hornsby - Ku-ring-gai,1,Good,Good,0
121041413,Cremorne - Cammeray,107028,Sydney - Lower North,1,Good,Good,0
121041414,Crows Nest - Waverton,107028,Sydney - Lower North,1,Good,Good,0
121041416,Neutral Bay - Kirribilli,107028,Sydney - Lower North,1,Good,Good,0
121041417,North Sydney - Lavender Bay,107028,Sydney - Lower North,1,Good,Good,0
121041688,Mosman - North,107028,Sydney - Lower North,1,Good,Good,0
121041689,Mosman - South,107028,Sydney - Lower North,1,Good,Good,0
122011418,Balgowlah - Clontarf - Seaforth,107020,Northern Beaches,1,Good,Good,0
122011419,Manly - Fairlight,107020,Northern Beaches,1,Good,Good,0
122021420,Avalon - Palm Beach,107020,Northern Beaches,1,Good,Good,0
122021421,Bayview - Elanora Heights,107020,Northern Beaches,1,Good,Good,0
122021422,Newport - Bilgola,107020,Northern Beaches,1,Good,Good,0
122021690,Mona Vale - Warriewood (North),107020,Northern Beaches,1,Good,Good,0
122021691,North Narrabeen - Warriewood (South),107020,Northern Beaches,1,Good,Good,0
122031424,Beacon Hill - Narraweena,107020,Northern Beaches,1,Good,Good,0
122031425,Cromer,107020,Northern Beaches,1,Good,Good,0
122031427,Forestville - Killarney Heights,107020,Northern Beaches,1,Good,Good,0
122031429,Freshwater - Brookvale,107020,Northern Beaches,1,Good,Good,0
122031430,Manly Vale - Allambie Heights,107020,Northern Beaches,1,Good,Good,0
122031432,Terrey Hills - Duffys Forest,107020,Northern Beaches,1,Good,Good,0
122031692,Belrose,107020,Northern Beaches,1,Good,Good,0
122031693,Collaroy - Collaroy Plateau,107020,Northern Beaches,1,Good,Good,0
122031694,Dee Why (South) - North Curl Curl,107020,Northern Beaches,1,Good,Good,0
122031695,Dee Why - North,107020,Northern Beaches,1,Good,Good,0
122031696,Frenchs Forest - Oxford Falls,107020,Northern Beaches,1,Good,Good,0
122031697,Narrabeen - Wheeler Heights,107020,Northern Beaches,1,Good,Good,0
123011433,Camden - Ellis Lane,107006,Camden,1,Good,Good,0
123011698,Currans Hill,107006,Camden,1,Good,Good,0
123011699,Elderslie - Narellan,107006,Camden,1,Good,Good,0
123011700,Harrington Park,107006,Camden,1,Good,Good,0
123011701,Mount Annan,107006,Camden,1,Good,Good,0
123011702,Spring Farm,107006,Camden,1,Good,Good,0
123021436,Bradbury - Wedderburn,107007,Campbelltown,1,Good,Good,0
123021437,Campbelltown - Woodbine,107007,Campbelltown,1,Good,Good,0
123021438,Claymore - Eagle Vale - Raby,107007,Campbelltown,1,Good,Good,0
123021439,Holsworthy Military Area,107007,Campbelltown,1,Good,Good,0
123021441,Leumeah - Minto Heights,107007,Campbelltown,1,Good,Good,0
123021443,Minto - St Andrews,107007,Campbelltown,1,Good,Good,0
123021444,Rosemeadow - Glen Alpine,107007,Campbelltown,1,Good,Good,0
123021703,Denham Court - Bardia,107007,Campbelltown,1,Good,Good,0
123021704,Glenfield,107007,Campbelltown,1,Good,Good,0
123021705,Ingleburn,107007,Campbelltown,1,Good,Good,0
123021706,Macquarie Fields,107007,Campbelltown,1,Good,Good,0
123031445,Bargo,107029,Wollondilly,1,Good,Good,0
123031446,Douglas Park - Appin,107029,Wollondilly,1,Good,Good,0
123031447,Picton - Tahmoor - Buxton,107029,Wollondilly,1,Good,Good,0
123031448,The Oaks - Oakdale,107029,Wollondilly,1,Good,Good,0
124011449,Blackheath - Megalong Valley,107004,Blue Mountains,1,Good,Good,0
124011450,Blaxland - Warrimoo - Lapstone,107004,Blue Mountains,1,Good,Good,0
124011451,Blue Mountains - North,107004,Blue Mountains,1,Good,Good,0
124011452,Katoomba - Leura,107004,Blue Mountains,1,Good,Good,0
124011453,Lawson - Hazelbrook - Linden,107004,Blue Mountains,1,Good,Good,0
124011454,Springwood - Winmalee,107004,Blue Mountains,1,Good,Good,0
124011455,Wentworth Falls,107004,Blue Mountains,1,Good,Good,0
124021456,Blue Mountains - South,107029,Wollondilly,1,Good,Good,0
124031457,Cambridge Park,107022,Penrith,1,Good,Good,0
124031459,Emu Plains - Leonay,107022,Penrith,1,Good,Good,0
124031460,Glenmore Park - Regentville,107022,Penrith,1,Good,Good,0
124031461,Jamisontown - South Penrith,107022,Penrith,1,Good,Good,0
124031462,Kingswood - Werrington,107022,Penrith,1,Good,Good,0
124031463,Mulgoa - Luddenham - Orchard Hills,107022,Penrith,1,Good,Good,0
124031464,Penrith,107022,Penrith,1,Good,Good,0
124031465,Warragamba - Silverdale,107029,Wollondilly,1,Good,Good,0
124031707,Cranebrook - Castlereagh,107022,Penrith,1,Good,Good,0
124031708,Jordan Springs - Llandilo,107022,Penrith,1,Good,Good,0
124041466,Richmond - Clarendon,107010,Hawkesbury,1,Good,Good,0
124041467,Windsor - Bligh Park,107010,Hawkesbury,1,Good,Good,0
124041468,Yarramundi - Londonderry,107022,Penrith,1,Good,Good,0
124051469,Erskine Park,107022,Penrith,1,Good,Good,0
124051470,St Clair,107022,Penrith,1,Good,Good,0
124051580,Colyton - Oxley Park,107022,Penrith,1,Good,Good,0
124051581,St Marys - North St Marys,107022,Penrith,1,Good,Good,0
125011475,Rookwood Cemetery,107001,Auburn,1,Good,Good,0
125011582,Auburn - Central,107001,Auburn,1,Good,Good,0
125011583,Auburn - North,107001,Auburn,1,Good,Good,0
125011584,Auburn - South,107001,Auburn,1,Good,Good,0
125011585,Berala,107001,Auburn,1,Good,Good,0
125011586,Lidcombe,107001,Auburn,1,Good,Good,0
125011587,Regents Park,107001,Auburn,0.849539,Good,Good,0
125011587,Regents Park,107008,Canterbury - Bankstown,0.150461,Good,Good,0
125011709,Silverwater - Newington,107001,Auburn,1,Good,Good,0
125011710,Wentworth Point - Sydney Olympic Park,107001,Auburn,1,Good,Good,0
125021477,Ermington - Rydalmere,107021,Parramatta,1,Acceptable,Good,0
125021478,Oatlands - Dundas Valley,107002,Baulkham Hills,0.2138192,Good,Good,0
125021478,Oatlands - Dundas Valley,107021,Parramatta,0.7861808,Acceptable,Good,0
125021711,Carlingford - East,107012,Hornsby - Ku-ring-gai,0.6894747,Good,Good,0
125021711,Carlingford - East,107021,Parramatta,0.3105253,Acceptable,Good,0
125021712,Carlingford - West,107002,Baulkham Hills,0.8369942,Good,Good,0
125021712,Carlingford - West,107021,Parramatta,0.1630058,Acceptable,Good,0
125031479,Chester Hill - Sefton,107008,Canterbury - Bankstown,1,Good,Good,0
125031480,Fairfield - East,107009,Fairfield,1,Good,Good,0
125031481,Granville - Clyde,107011,Holroyd,9.00E-07,Good,Good,1
125031481,Granville - Clyde,107021,Parramatta,0.9999991,Acceptable,Good,0
125031483,Guildford - South Granville,107021,Parramatta,1,Acceptable,Good,0
125031484,Guildford West - Merrylands West,107011,Holroyd,1,Good,Good,0
125031486,Smithfield Industrial,107011,Holroyd,1,Good,Good,0
125031487,Yennora Industrial,107011,Holroyd,1,Good,Good,0
125031713,Greystanes - South,107011,Holroyd,1,Good,Good,0
125031714,Merrylands - Holroyd,107011,Holroyd,1,Good,Good,0
125031715,Pemulwuy - Greystanes (North),107011,Holroyd,1,Good,Good,0
125031716,South Wentworthville,107011,Holroyd,1,Good,Good,0
125041489,North Parramatta,107002,Baulkham Hills,0.0093697,Good,Good,1
125041489,North Parramatta,107021,Parramatta,0.9906303,Acceptable,Good,0
125041490,North Rocks,107002,Baulkham Hills,1,Good,Good,0
125041491,Northmead,107002,Baulkham Hills,0.263026,Good,Good,0
125041491,Northmead,107021,Parramatta,0.736974,Acceptable,Good,0
125041493,Toongabbie - Constitution Hill,107021,Parramatta,1,Acceptable,Good,0
125041494,Winston Hills,107002,Baulkham Hills,0.0495305,Good,Good,0
125041494,Winston Hills,107021,Parramatta,0.9504695,Acceptable,Good,0
125041588,Pendle Hill - Girraween,107011,Holroyd,1,Good,Good,0
125041589,Wentworthville - Westmead,107011,Holroyd,1,Good,Good,0
125041717,Parramatta - North,107021,Parramatta,1,Acceptable,Good,0
125041718,Parramatta - South,107011,Holroyd,0.2645708,Good,Good,0
125041718,Parramatta - South,107021,Parramatta,0.7354292,Acceptable,Good,0
125041719,Rosehill - Harris Park,107021,Parramatta,1,Acceptable,Good,0
126011496,Pennant Hills - Cheltenham,107012,Hornsby - Ku-ring-gai,1,Good,Good,0
126011720,Epping (East) - North Epping,107012,Hornsby - Ku-ring-gai,1,Good,Good,0
126011721,Epping (NSW) - West,107012,Hornsby - Ku-ring-gai,0.4946056,Good,Good,0
126011721,Epping (NSW) - West,107021,Parramatta,0.5053944,Acceptable,Good,0
126021498,Gladesville - Huntleys Point,107013,Hunters Hill - Ryde,1,Good,Good,0
126021499,Hunters Hill - Woolwich,107013,Hunters Hill - Ryde,1,Good,Good,0
126021500,Macquarie Park - Marsfield,107013,Hunters Hill - Ryde,1,Good,Good,0
126021501,North Ryde - East Ryde,107013,Hunters Hill - Ryde,1,Good,Good,0
126021503,West Ryde - Meadowbank,107013,Hunters Hill - Ryde,1,Good,Good,0
126021590,Putney,107013,Hunters Hill - Ryde,1,Good,Good,0
126021722,Denistone,107013,Hunters Hill - Ryde,1,Good,Good,0
126021723,Eastwood,107012,Hornsby - Ku-ring-gai,0.0426573,Good,Good,0
126021723,Eastwood,107013,Hunters Hill - Ryde,0.7439705,Good,Good,0
126021723,Eastwood,107021,Parramatta,0.2133722,Acceptable,Good,0
126021724,Ryde - North,107013,Hunters Hill - Ryde,1,Good,Good,0
126021725,Ryde - South,107013,Hunters Hill - Ryde,1,Good,Good,0
127011504,Ashcroft - Busby - Miller,107017,Liverpool,1,Good,Good,0
127011505,Austral - Greendale,107017,Liverpool,1,Good,Good,0
127011592,Badgerys Creek,107017,Liverpool,0.0011976,Good,Good,1
127011592,Badgerys Creek,107022,Penrith,0.9988024,Good,Good,0
127011593,Cecil Hills,107017,Liverpool,1,Good,Good,0
127011594,Green Valley,107017,Liverpool,1,Good,Good,0
127011595,Hinchinbrook,107017,Liverpool,1,Good,Good,0
127011596,Hoxton Park - Carnes Hill - Horningsea Park,107017,Liverpool,1,Good,Good,0
127011597,West Hoxton - Middleton Grange,107017,Liverpool,1,Good,Good,0
127011726,Cobbitty - Bringelly,107006,Camden,1,Good,Good,0
127011727,Gledswood Hills - Gregory Hills,107006,Camden,1,Good,Good,0
127011728,Leppington - Catherine Field,107006,Camden,1,Good,Good,0
127011729,Oran Park,107006,Camden,1,Good,Good,0
127021509,Bonnyrigg Heights - Bonnyrigg,107009,Fairfield,1,Good,Good,0
127021510,Bossley Park - Abbotsbury,107009,Fairfield,1,Good,Good,0
127021511,Cabramatta - Lansvale,107009,Fairfield,1,Good,Good,0
127021512,Cabramatta West - Mount Pritchard,107009,Fairfield,0.9698886,Good,Good,0
127021512,Cabramatta West - Mount Pritchard,107017,Liverpool,0.0301114,Good,Good,0
127021513,Canley Vale - Canley Heights,107009,Fairfield,1,Good,Good,0
127021514,Edensor Park,107009,Fairfield,1,Good,Good,0
127021515,Fairfield,107009,Fairfield,1,Good,Good,0
127021516,Fairfield - West,107009,Fairfield,1,Good,Good,0
127021517,Greenfield Park - Prairiewood,107009,Fairfield,1,Good,Good,0
127021518,Horsley Park - Kemps Creek,107009,Fairfield,1,Good,Good,0
127021519,Smithfield - Wetherill Park,107009,Fairfield,1,Good,Good,0
127021520,St Johns Park - Wakeley,107009,Fairfield,1,Good,Good,0
127021521,Wetherill Park Industrial,107009,Fairfield,1,Good,Good,0
127031522,Casula,107017,Liverpool,1,Good,Good,0
127031523,Chipping Norton - Moorebank,107017,Liverpool,1,Good,Good,0
127031524,Holsworthy - Wattle Grove,107017,Liverpool,0.9716656,Good,Good,0
127031524,Holsworthy - Wattle Grove,107025,Sutherland Shire,0.0283344,Good,Good,0
127031599,Lurnea - Cartwright,107017,Liverpool,1,Good,Good,0
127031601,Warwick Farm,107017,Liverpool,1,Good,Good,0
127031730,Edmondson Park,107007,Campbelltown,0.0473983,Good,Good,0
127031730,Edmondson Park,107017,Liverpool,0.9526017,Good,Good,0
127031731,Liverpool - East,107017,Liverpool,1,Good,Good,0
127031732,Liverpool - West,107017,Liverpool,1,Good,Good,0
127031733,Prestons,107017,Liverpool,1,Good,Good,0
128011529,Gymea - Grays Point,107025,Sutherland Shire,1,Good,Good,0
128011530,Miranda - Yowie Bay,107025,Sutherland Shire,1,Good,Good,0
128011531,Sylvania - Taren Point,107025,Sutherland Shire,1,Good,Good,0
128011602,Caringbah,107025,Sutherland Shire,1,Good,Good,0
128011603,Caringbah South,107025,Sutherland Shire,1,Good,Good,0
128011604,Cronulla - Kurnell - Bundeena,107025,Sutherland Shire,1,Good,Good,0
128011605,Lilli Pilli - Port Hacking - Dolans Bay,107025,Sutherland Shire,1,Good,Good,0
128011606,Woolooware - Burraneer,107025,Sutherland Shire,1,Good,Good,0
128021533,Heathcote - Waterfall,107025,Sutherland Shire,1,Good,Good,0
128021534,Illawong - Alfords Point,107025,Sutherland Shire,1,Good,Good,0
128021535,Menai - Lucas Heights - Woronora,107025,Sutherland Shire,1,Good,Good,0
128021536,Oyster Bay - Como - Jannali,107025,Sutherland Shire,1,Good,Good,0
128021537,Royal National Park,107025,Sutherland Shire,1,Good,Good,0
128021538,Sutherland - Kirrawee,107025,Sutherland Shire,1,Good,Good,0
128021607,Engadine,107025,Sutherland Shire,1,Good,Good,0
128021608,Loftus - Yarrawarrah,107025,Sutherland Shire,1,Good,Good,0
128021609,Woronora Heights,107025,Sutherland Shire,1,Good,Good,0
197979799,Migratory - Offshore - Shipping (NSW),197997,Migratory - Offshore - Shipping (NSW),1,Good,Good,0
199999499,No usual address (NSW),194994,No usual address (NSW),1,Good,Good,0
201011001,Alfredton,202001,Ballarat,1,Good,Good,0
201011002,Ballarat,202001,Ballarat,1,Good,Good,0
201011005,Buninyong,202001,Ballarat,1,Good,Good,0
201011006,Delacombe,202001,Ballarat,1,Good,Good,0
201011007,Smythes Creek,202012,South-West Central Victoria,1,Good,Good,0
201011008,Wendouree - Miners Rest,202001,Ballarat,1,Good,Good,0
201011481,Ballarat East - Warrenheip,202001,Ballarat,1,Good,Good,0
201011482,Ballarat North - Invermay,202001,Ballarat,1,Good,Good,0
201011483,Canadian - Mount Clear,202001,Ballarat,1,Good,Good,0
201011484,Sebastopol - Redan,202001,Ballarat,1,Good,Good,0
201021009,Bacchus Marsh Surrounds,202009,Macedon Ranges - Moorabool,1,Good,Good,0
201021010,Creswick - Clunes,202001,Ballarat,1,Good,Good,0
201021011,Daylesford,202005,Castlemaine - Kerang,1,Good,Good,0
201021012,Gordon (Vic.),202009,Macedon Ranges - Moorabool,1,Good,Good,0
201031013,Avoca,202012,South-West Central Victoria,1,Good,Good,0
201031014,Beaufort,202012,South-West Central Victoria,1,Good,Good,0
201031015,Golden Plains - North,202012,South-West Central Victoria,1,Good,Good,0
201031016,Maryborough (Vic.),202005,Castlemaine - Kerang,1,Good,Good,0
201031017,Maryborough Surrounds,202005,Castlemaine - Kerang,1,Good,Good,0
202011018,Bendigo,202003,Bendigo,1,Good,Good,0
202011019,California Gully - Eaglehawk,202003,Bendigo,1,Good,Good,0
202011020,East Bendigo - Kennington,202003,Bendigo,1,Good,Good,0
202011021,Flora Hill - Spring Gully,202003,Bendigo,1,Good,Good,0
202011022,Kangaroo Flat - Golden Square,202003,Bendigo,1,Good,Good,0
202011023,Maiden Gully,202003,Bendigo,1,Good,Good,0
202011024,Strathfieldsaye,202003,Bendigo,1,Good,Good,0
