POSTCODE,POSTCODE,RA_CODE_2021,RA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
2077,2077,10,Major Cities of Australia,1,Good,Good,0
2079,2079,10,Major Cities of Australia,1,Good,Good,0
2080,2080,10,Major Cities of Australia,1,Good,Good,0
2081,2081,10,Major Cities of Australia,0.884243,Good,Good,0
2081,2081,11,Inner Regional Australia,0.115757,Good,Good,0
2082,2082,10,Major Cities of Australia,0.9647843,Good,Good,0
2082,2082,11,Inner Regional Australia,0.0352157,Good,Good,0
2083,2083,11,Inner Regional Australia,1,Good,Good,0
2084,2084,10,Major Cities of Australia,1,Good,Good,0
2085,2085,10,Major Cities of Australia,1,Good,Good,0
2086,2086,10,Major Cities of Australia,1,Good,Good,0
2087,2087,10,Major Cities of Australia,1,Good,Good,0
2088,2088,10,Major Cities of Australia,1,Good,Good,0
2089,2089,10,Major Cities of Australia,1,Good,Good,0
2090,2090,10,Major Cities of Australia,1,Good,Good,0
2092,2092,10,Major Cities of Australia,1,Good,Good,0
2093,2093,10,Major Cities of Australia,1,Good,Good,0
2094,2094,10,Major Cities of Australia,1,Good,Good,0
2095,2095,10,Major Cities of Australia,1,Good,Good,0
2096,2096,10,Major Cities of Australia,1,Good,Good,0
2097,2097,10,Major Cities of Australia,1,Good,Good,0
2099,2099,10,Major Cities of Australia,1,Good,Good,0
2100,2100,10,Major Cities of Australia,1,Good,Good,0
2101,2101,10,Major Cities of Australia,1,Good,Good,0
2102,2102,10,Major Cities of Australia,1,Good,Good,0
2103,2103,10,Major Cities of Australia,1,Good,Good,0
2104,2104,10,Major Cities of Australia,1,Good,Good,0
2105,2105,10,Major Cities of Australia,0.8817195,Good,Good,0
2105,2105,11,Inner Regional Australia,0.1182805,Good,Good,0
2106,2106,10,Major Cities of Australia,1,Good,Good,0
2107,2107,10,Major Cities of Australia,1,Good,Good,0
2108,2108,10,Major Cities of Australia,0.9536132,Good,Good,0
2108,2108,11,Inner Regional Australia,0.0463868,Good,Good,0
2110,2110,10,Major Cities of Australia,1,Good,Good,0
2111,2111,10,Major Cities of Australia,1,Good,Good,0
2112,2112,10,Major Cities of Australia,1,Good,Good,0
2113,2113,10,Major Cities of Australia,1,Good,Good,0
2114,2114,10,Major Cities of Australia,1,Good,Good,0
2115,2115,10,Major Cities of Australia,1,Good,Good,0
2116,2116,10,Major Cities of Australia,1,Good,Good,0
2117,2117,10,Major Cities of Australia,1,Good,Good,0
2118,2118,10,Major Cities of Australia,1,Good,Good,0
2119,2119,10,Major Cities of Australia,1,Good,Good,0
2120,2120,10,Major Cities of Australia,1,Good,Good,0
2121,2121,10,Major Cities of Australia,1,Good,Good,0
2122,2122,10,Major Cities of Australia,1,Good,Good,0
2125,2125,10,Major Cities of Australia,1,Good,Good,0
2126,2126,10,Major Cities of Australia,1,Good,Good,0
2127,2127,10,Major Cities of Australia,1,Good,Good,0
2128,2128,10,Major Cities of Australia,1,Good,Good,0
2130,2130,10,Major Cities of Australia,1,Good,Good,0
2131,2131,10,Major Cities of Australia,1,Good,Good,0
2132,2132,10,Major Cities of Australia,1,Good,Good,0
2133,2133,10,Major Cities of Australia,1,Good,Good,0
2134,2134,10,Major Cities of Australia,1,Good,Good,0
2135,2135,10,Major Cities of Australia,1,Good,Good,0
2136,2136,10,Major Cities of Australia,1,Good,Good,0
2137,2137,10,Major Cities of Australia,1,Good,Good,0
2138,2138,10,Major Cities of Australia,1,Good,Good,0
2140,2140,10,Major Cities of Australia,1,Good,Good,0
2141,2141,10,Major Cities of Australia,1,Good,Good,0
2142,2142,10,Major Cities of Australia,1,Good,Good,0
2143,2143,10,Major Cities of Australia,1,Good,Good,0
2144,2144,10,Major Cities of Australia,1,Good,Good,0
2145,2145,10,Major Cities of Australia,1,Good,Good,0
2146,2146,10,Major Cities of Australia,1,Good,Good,0
2147,2147,10,Major Cities of Australia,1,Good,Good,0
2148,2148,10,Major Cities of Australia,1,Good,Good,0
2150,2150,10,Major Cities of Australia,1,Good,Good,0
2151,2151,10,Major Cities of Australia,1,Good,Good,0
2152,2152,10,Major Cities of Australia,1,Good,Good,0
2153,2153,10,Major Cities of Australia,1,Good,Good,0
2154,2154,10,Major Cities of Australia,1,Good,Good,0
2155,2155,10,Major Cities of Australia,1,Good,Good,0
2156,2156,10,Major Cities of Australia,0.9418757,Good,Good,0
2156,2156,11,Inner Regional Australia,0.0581243,Good,Good,0
2157,2157,11,Inner Regional Australia,1,Good,Good,0
2158,2158,10,Major Cities of Australia,0.9536624,Good,Good,0
2158,2158,11,Inner Regional Australia,0.0463376,Good,Good,0
2159,2159,10,Major Cities of Australia,0.6243547,Good,Good,0
2159,2159,11,Inner Regional Australia,0.3756453,Good,Good,0
2160,2160,10,Major Cities of Australia,1,Good,Good,0
2161,2161,10,Major Cities of Australia,1,Good,Good,0
2162,2162,10,Major Cities of Australia,1,Good,Good,0
2163,2163,10,Major Cities of Australia,1,Good,Good,0
2164,2164,10,Major Cities of Australia,1,Good,Good,0
2165,2165,10,Major Cities of Australia,1,Good,Good,0
2166,2166,10,Major Cities of Australia,1,Good,Good,0
2167,2167,10,Major Cities of Australia,1,Good,Good,0
2168,2168,10,Major Cities of Australia,1,Good,Good,0
2170,2170,10,Major Cities of Australia,1,Good,Good,0
2171,2171,10,Major Cities of Australia,1,Good,Good,0
2172,2172,10,Major Cities of Australia,1,Good,Good,0
2173,2173,10,Major Cities of Australia,0.9996541,Good,Good,0
2173,2173,11,Inner Regional Australia,0.0003459,Good,Good,1
2174,2174,10,Major Cities of Australia,1,Good,Good,0
2175,2175,10,Major Cities of Australia,1,Good,Good,0
2176,2176,10,Major Cities of Australia,1,Good,Good,0
2177,2177,10,Major Cities of Australia,1,Good,Good,0
2178,2178,10,Major Cities of Australia,1,Good,Good,0
2179,2179,10,Major Cities of Australia,1,Good,Good,0
2190,2190,10,Major Cities of Australia,1,Good,Good,0
2191,2191,10,Major Cities of Australia,1,Good,Good,0
2192,2192,10,Major Cities of Australia,1,Good,Good,0
2193,2193,10,Major Cities of Australia,1,Good,Good,0
2194,2194,10,Major Cities of Australia,1,Good,Good,0
2195,2195,10,Major Cities of Australia,1,Good,Good,0
2196,2196,10,Major Cities of Australia,1,Good,Good,0
2197,2197,10,Major Cities of Australia,1,Good,Good,0
2198,2198,10,Major Cities of Australia,1,Good,Good,0
2199,2199,10,Major Cities of Australia,1,Good,Good,0
2200,2200,10,Major Cities of Australia,1,Good,Good,0
2203,2203,10,Major Cities of Australia,1,Good,Good,0
2204,2204,10,Major Cities of Australia,1,Good,Good,0
2205,2205,10,Major Cities of Australia,1,Good,Good,0
2206,2206,10,Major Cities of Australia,1,Good,Good,0
2207,2207,10,Major Cities of Australia,1,Good,Good,0
2208,2208,10,Major Cities of Australia,1,Good,Good,0
2209,2209,10,Major Cities of Australia,1,Good,Good,0
2210,2210,10,Major Cities of Australia,1,Good,Good,0
2211,2211,10,Major Cities of Australia,1,Good,Good,0
2212,2212,10,Major Cities of Australia,1,Good,Good,0
2213,2213,10,Major Cities of Australia,1,Good,Good,0
2214,2214,10,Major Cities of Australia,1,Good,Good,0
2216,2216,10,Major Cities of Australia,1,Good,Good,0
2217,2217,10,Major Cities of Australia,1,Good,Good,0
2218,2218,10,Major Cities of Australia,1,Good,Good,0
2219,2219,10,Major Cities of Australia,1,Good,Good,0
2220,2220,10,Major Cities of Australia,1,Good,Good,0
2221,2221,,,0,Poor,Good,4
2221,2221,10,Major Cities of Australia,1,Good,Good,0
2222,2222,10,Major Cities of Australia,1,Good,Good,0
2223,2223,10,Major Cities of Australia,1,Good,Good,0
2224,2224,10,Major Cities of Australia,1,Good,Good,0
2225,2225,10,Major Cities of Australia,1,Good,Good,0
2226,2226,10,Major Cities of Australia,1,Good,Good,0
2227,2227,10,Major Cities of Australia,1,Good,Good,0
2228,2228,10,Major Cities of Australia,1,Good,Good,0
2229,2229,10,Major Cities of Australia,1,Good,Good,0
2230,2230,10,Major Cities of Australia,0.9134342,Good,Good,0
2230,2230,11,Inner Regional Australia,0.0865658,Good,Good,0
2231,2231,10,Major Cities of Australia,1,Good,Good,0
2232,2232,10,Major Cities of Australia,0.9986086,Good,Good,0
2232,2232,11,Inner Regional Australia,0.0013914,Good,Good,1
2233,2233,10,Major Cities of Australia,0.9817495,Good,Good,0
2233,2233,11,Inner Regional Australia,0.0182505,Good,Good,0
2234,2234,10,Major Cities of Australia,0.9999998,Good,Good,0
2234,2234,11,Inner Regional Australia,2.00E-07,Good,Good,1
2250,2250,10,Major Cities of Australia,0.9541453,Good,Good,0
2250,2250,11,Inner Regional Australia,0.0458547,Good,Good,0
2251,2251,10,Major Cities of Australia,1,Good,Good,0
2256,2256,10,Major Cities of Australia,0.9967539,Good,Good,0
2256,2256,11,Inner Regional Australia,0.0032461,Good,Good,1
2257,2257,10,Major Cities of Australia,1,Good,Good,0
2258,2258,10,Major Cities of Australia,0.9123596,Good,Good,0
2258,2258,11,Inner Regional Australia,0.0876404,Good,Good,0
2259,2259,10,Major Cities of Australia,0.9703404,Good,Good,0
2259,2259,11,Inner Regional Australia,0.0296596,Good,Good,0
2260,2260,10,Major Cities of Australia,1,Good,Good,0
2261,2261,10,Major Cities of Australia,1,Good,Good,0
2262,2262,10,Major Cities of Australia,1,Good,Good,0
2263,2263,10,Major Cities of Australia,1,Good,Good,0
2264,2264,10,Major Cities of Australia,0.9732013,Good,Good,0
2264,2264,11,Inner Regional Australia,0.0267987,Good,Good,0
2265,2265,10,Major Cities of Australia,0.9074198,Good,Good,0
2265,2265,11,Inner Regional Australia,0.0925802,Good,Good,0
2267,2267,10,Major Cities of Australia,1,Good,Good,0
2278,2278,10,Major Cities of Australia,1,Good,Good,0
2280,2280,10,Major Cities of Australia,1,Good,Good,0
2281,2281,10,Major Cities of Australia,0.8097702,Good,Good,0
2281,2281,11,Inner Regional Australia,0.1902298,Good,Good,0
2282,2282,10,Major Cities of Australia,1,Good,Good,0
2283,2283,10,Major Cities of Australia,1,Good,Good,0
2284,2284,10,Major Cities of Australia,1,Good,Good,0
2285,2285,10,Major Cities of Australia,1,Good,Good,0
2286,2286,10,Major Cities of Australia,1,Good,Good,0
2287,2287,10,Major Cities of Australia,1,Good,Good,0
2289,2289,10,Major Cities of Australia,1,Good,Good,0
2290,2290,10,Major Cities of Australia,1,Good,Good,0
2291,2291,10,Major Cities of Australia,1,Good,Good,0
2292,2292,10,Major Cities of Australia,1,Good,Good,0
2293,2293,10,Major Cities of Australia,1,Good,Good,0
2294,2294,10,Major Cities of Australia,1,Good,Good,0
2295,2295,10,Major Cities of Australia,1,Good,Good,0
2296,2296,10,Major Cities of Australia,1,Good,Good,0
2297,2297,10,Major Cities of Australia,1,Good,Good,0
2298,2298,10,Major Cities of Australia,1,Good,Good,0
2299,2299,10,Major Cities of Australia,1,Good,Good,0
2300,2300,10,Major Cities of Australia,1,Good,Good,0
2302,2302,10,Major Cities of Australia,1,Good,Good,0
2303,2303,10,Major Cities of Australia,1,Good,Good,0
2304,2304,,,0,Poor,Good,4
2304,2304,10,Major Cities of Australia,1,Good,Good,0
2305,2305,10,Major Cities of Australia,1,Good,Good,0
2306,2306,10,Major Cities of Australia,1,Good,Good,0
2307,2307,10,Major Cities of Australia,1,Good,Good,0
2308,2308,10,Major Cities of Australia,1,Good,Good,0
2311,2311,11,Inner Regional Australia,0.720582,Good,Good,0
2311,2311,12,Outer Regional Australia,0.279418,Acceptable,Good,0
2312,2312,11,Inner Regional Australia,1,Good,Good,0
2315,2315,11,Inner Regional Australia,1,Good,Good,0
2316,2316,11,Inner Regional Australia,1,Good,Good,0
2317,2317,11,Inner Regional Australia,1,Good,Good,0
2318,2318,10,Major Cities of Australia,0.0818661,Good,Good,0
2318,2318,11,Inner Regional Australia,0.9181339,Good,Good,0
2319,2319,11,Inner Regional Australia,1,Good,Good,0
2320,2320,10,Major Cities of Australia,0.908452,Good,Good,0
2320,2320,11,Inner Regional Australia,0.091548,Good,Good,0
2321,2321,10,Major Cities of Australia,0.7262229,Good,Good,0
2321,2321,11,Inner Regional Australia,0.2737771,Good,Good,0
2322,2322,10,Major Cities of Australia,0.9962283,Good,Good,0
2322,2322,11,Inner Regional Australia,0.0037717,Good,Good,1
2323,2323,10,Major Cities of Australia,0.9393333,Good,Good,0
2323,2323,11,Inner Regional Australia,0.0606667,Good,Good,0
2324,2324,10,Major Cities of Australia,0.567548,Good,Good,0
2324,2324,11,Inner Regional Australia,0.432452,Good,Good,0
2325,2325,10,Major Cities of Australia,0.7483619,Good,Good,0
2325,2325,11,Inner Regional Australia,0.2515396,Good,Good,0
2325,2325,12,Outer Regional Australia,9.86E-05,Acceptable,Good,1
2326,2326,10,Major Cities of Australia,0.97259,Good,Good,0
2326,2326,11,Inner Regional Australia,0.02741,Good,Good,0
2327,2327,10,Major Cities of Australia,1,Good,Good,0
2328,2328,11,Inner Regional Australia,0.802889,Good,Good,0
2328,2328,12,Outer Regional Australia,0.197111,Acceptable,Good,0
2329,2329,12,Outer Regional Australia,1,Acceptable,Good,0
2330,2330,11,Inner Regional Australia,0.9658134,Good,Good,0
2330,2330,12,Outer Regional Australia,0.0341866,Acceptable,Good,0
2331,2331,11,Inner Regional Australia,1,Good,Good,0
2333,2333,11,Inner Regional Australia,0.9703193,Good,Good,0
2333,2333,12,Outer Regional Australia,0.0296807,Acceptable,Good,0
2334,2334,11,Inner Regional Australia,1,Good,Good,0
2335,2335,11,Inner Regional Australia,1,Good,Good,0
2336,2336,11,Inner Regional Australia,0.8308314,Good,Good,0
2336,2336,12,Outer Regional Australia,0.1691686,Acceptable,Good,0
2337,2337,11,Inner Regional Australia,0.7874346,Good,Good,0
2337,2337,12,Outer Regional Australia,0.2125654,Acceptable,Good,0
2338,2338,12,Outer Regional Australia,1,Acceptable,Good,0
2339,2339,12,Outer Regional Australia,1,Acceptable,Good,0
2340,2340,11,Inner Regional Australia,0.9466104,Good,Good,0
2340,2340,12,Outer Regional Australia,0.0533896,Acceptable,Good,0
2341,2341,11,Inner Regional Australia,0.9069387,Good,Good,0
2341,2341,12,Outer Regional Australia,0.0930613,Acceptable,Good,0
2342,2342,11,Inner Regional Australia,0.0047671,Good,Good,1
2342,2342,12,Outer Regional Australia,0.9952329,Acceptable,Good,0
2343,2343,12,Outer Regional Australia,1,Acceptable,Good,0
2344,2344,11,Inner Regional Australia,0.684818,Good,Good,0
2344,2344,12,Outer Regional Australia,0.315182,Acceptable,Good,0
2345,2345,12,Outer Regional Australia,1,Acceptable,Good,0
2346,2346,12,Outer Regional Australia,1,Acceptable,Good,0
2347,2347,12,Outer Regional Australia,1,Acceptable,Good,0
2350,2350,11,Inner Regional Australia,0.9569099,Good,Good,0
2350,2350,12,Outer Regional Australia,0.0430901,Acceptable,Good,0
2352,2352,11,Inner Regional Australia,0.9320432,Good,Good,0
2352,2352,12,Outer Regional Australia,0.0679568,Acceptable,Good,0
2353,2353,11,Inner Regional Australia,0.0988324,Good,Good,0
2353,2353,12,Outer Regional Australia,0.9011676,Acceptable,Good,0
2354,2354,12,Outer Regional Australia,1,Acceptable,Good,0
2355,2355,12,Outer Regional Australia,1,Acceptable,Good,0
2356,2356,13,Remote Australia,1,Acceptable,Good,0
2357,2357,12,Outer Regional Australia,1,Acceptable,Good,0
2358,2358,11,Inner Regional Australia,0.8619245,Good,Good,0
2358,2358,12,Outer Regional Australia,0.1380755,Acceptable,Good,0
2359,2359,12,Outer Regional Australia,1,Acceptable,Good,0
2360,2360,12,Outer Regional Australia,1,Acceptable,Good,0
2361,2361,12,Outer Regional Australia,1,Acceptable,Good,0
2365,2365,11,Inner Regional Australia,0.6276811,Good,Good,0
2365,2365,12,Outer Regional Australia,0.3723189,Acceptable,Good,0
2369,2369,12,Outer Regional Australia,1,Acceptable,Good,0
2370,2370,11,Inner Regional Australia,0.6625415,Good,Good,0
2370,2370,12,Outer Regional Australia,0.3374585,Acceptable,Good,0
2371,2371,12,Outer Regional Australia,1,Acceptable,Good,0
2372,2372,12,Outer Regional Australia,1,Acceptable,Good,0
2379,2379,12,Outer Regional Australia,1,Acceptable,Good,0
2380,2380,12,Outer Regional Australia,1,Acceptable,Good,0
2381,2381,12,Outer Regional Australia,1,Acceptable,Good,0
2382,2382,12,Outer Regional Australia,1,Acceptable,Good,0
2386,2386,13,Remote Australia,1,Acceptable,Good,0
2387,2387,13,Remote Australia,1,Acceptable,Good,0
2388,2388,12,Outer Regional Australia,0.8280679,Acceptable,Good,0
2388,2388,13,Remote Australia,0.1719321,Acceptable,Good,0
2390,2390,12,Outer Regional Australia,1,Acceptable,Good,0
2395,2395,12,Outer Regional Australia,1,Acceptable,Good,0
2396,2396,12,Outer Regional Australia,0.0498512,Acceptable,Good,0
2396,2396,13,Remote Australia,0.9501488,Acceptable,Good,0
2397,2397,12,Outer Regional Australia,0.9458507,Acceptable,Good,0
2397,2397,13,Remote Australia,0.0541493,Acceptable,Good,0
2398,2398,12,Outer Regional Australia,1,Acceptable,Good,0
2399,2399,12,Outer Regional Australia,1,Acceptable,Good,0
2400,2400,12,Outer Regional Australia,0.9321485,Acceptable,Good,0
2400,2400,13,Remote Australia,0.0678515,Acceptable,Good,0
2401,2401,12,Outer Regional Australia,1,Acceptable,Good,0
2402,2402,12,Outer Regional Australia,1,Acceptable,Good,0
2403,2403,12,Outer Regional Australia,1,Acceptable,Good,0
2404,2404,12,Outer Regional Australia,1,Acceptable,Good,0
2405,2405,13,Remote Australia,1,Acceptable,Good,0
2406,2406,13,Remote Australia,0.8228566,Acceptable,Good,0
2406,2406,33,Remote Australia,0.1771434,Poor,Good,0
2408,2408,12,Outer Regional Australia,1,Acceptable,Good,0
2409,2409,12,Outer Regional Australia,1,Acceptable,Good,0
2410,2410,12,Outer Regional Australia,1,Acceptable,Good,0
2411,2411,12,Outer Regional Australia,1,Acceptable,Good,0
2415,2415,11,Inner Regional Australia,0.9958315,Good,Good,0
2415,2415,12,Outer Regional Australia,0.0041685,Acceptable,Good,1
2420,2420,11,Inner Regional Australia,0.9409696,Good,Good,0
2420,2420,12,Outer Regional Australia,0.0590304,Acceptable,Good,0
2421,2421,11,Inner Regional Australia,1,Good,Good,0
2422,2422,11,Inner Regional Australia,0.7397202,Good,Good,0
2422,2422,12,Outer Regional Australia,0.2602798,Acceptable,Good,0
2423,2423,11,Inner Regional Australia,1,Good,Good,0
2424,2424,11,Inner Regional Australia,0.781869,Good,Good,0
2424,2424,12,Outer Regional Australia,0.218131,Acceptable,Good,0
2425,2425,11,Inner Regional Australia,1,Good,Good,0
2426,2426,11,Inner Regional Australia,1,Good,Good,0
2427,2427,11,Inner Regional Australia,1,Good,Good,0
2428,2428,11,Inner Regional Australia,1,Good,Good,0
2429,2429,11,Inner Regional Australia,0.9097101,Good,Good,0
2429,2429,12,Outer Regional Australia,0.0902899,Acceptable,Good,0
2430,2430,11,Inner Regional Australia,1,Good,Good,0
2431,2431,11,Inner Regional Australia,1,Good,Good,0
2439,2439,11,Inner Regional Australia,1,Good,Good,0
2440,2440,11,Inner Regional Australia,0.9463922,Good,Good,0
2440,2440,12,Outer Regional Australia,0.0536078,Acceptable,Good,0
2441,2441,11,Inner Regional Australia,0.999293,Good,Good,0
2441,2441,12,Outer Regional Australia,0.000707,Acceptable,Good,1
2443,2443,11,Inner Regional Australia,1,Good,Good,0
2444,2444,11,Inner Regional Australia,1,Good,Good,0
2445,2445,11,Inner Regional Australia,1,Good,Good,0
2446,2446,11,Inner Regional Australia,0.9274119,Good,Good,0
2446,2446,12,Outer Regional Australia,0.0725881,Acceptable,Good,0
2447,2447,11,Inner Regional Australia,0.9528332,Good,Good,0
2447,2447,12,Outer Regional Australia,0.0471668,Acceptable,Good,0
2448,2448,11,Inner Regional Australia,1,Good,Good,0
2449,2449,11,Inner Regional Australia,0.7919931,Good,Good,0
2449,2449,12,Outer Regional Australia,0.2080069,Acceptable,Good,0
2450,2450,11,Inner Regional Australia,0.9999998,Good,Good,0
2450,2450,12,Outer Regional Australia,2.00E-07,Acceptable,Good,1
2452,2452,11,Inner Regional Australia,1,Good,Good,0
2453,2453,11,Inner Regional Australia,0.3809943,Good,Good,0
2453,2453,12,Outer Regional Australia,0.6190057,Acceptable,Good,0
2454,2454,11,Inner Regional Australia,0.9701249,Good,Good,0
2454,2454,12,Outer Regional Australia,0.0298751,Acceptable,Good,0
2455,2455,11,Inner Regional Australia,1,Good,Good,0
2456,2456,11,Inner Regional Australia,1,Good,Good,0
2460,2460,11,Inner Regional Australia,0.9393032,Good,Good,0
2460,2460,12,Outer Regional Australia,0.0606968,Acceptable,Good,0
2462,2462,11,Inner Regional Australia,1,Good,Good,0
2463,2463,11,Inner Regional Australia,1,Good,Good,0
2464,2464,11,Inner Regional Australia,1,Good,Good,0
2465,2465,11,Inner Regional Australia,1,Good,Good,0
2466,2466,11,Inner Regional Australia,1,Good,Good,0
2469,2469,11,Inner Regional Australia,0.4079863,Good,Good,0
2469,2469,12,Outer Regional Australia,0.5920137,Acceptable,Good,0
2470,2470,11,Inner Regional Australia,0.999219,Good,Good,0
2470,2470,12,Outer Regional Australia,0.000781,Acceptable,Good,1
2471,2471,11,Inner Regional Australia,0.9999965,Good,Good,0
2471,2471,12,Outer Regional Australia,3.50E-06,Acceptable,Good,1
2472,2472,11,Inner Regional Australia,1,Good,Good,0
2473,2473,11,Inner Regional Australia,1,Good,Good,0
2474,2474,11,Inner Regional Australia,0.9400855,Good,Good,0
2474,2474,12,Outer Regional Australia,0.0599145,Acceptable,Good,0
2475,2475,12,Outer Regional Australia,1,Acceptable,Good,0
2476,2476,12,Outer Regional Australia,1,Acceptable,Good,0
2477,2477,11,Inner Regional Australia,1,Good,Good,0
2478,2478,11,Inner Regional Australia,1,Good,Good,0
2479,2479,11,Inner Regional Australia,1,Good,Good,0
2480,2480,11,Inner Regional Australia,1,Good,Good,0
2481,2481,11,Inner Regional Australia,1,Good,Good,0
2482,2482,11,Inner Regional Australia,1,Good,Good,0
