SED_CODE_2021,SED_NAME_2021,RA_CODE_2021,RA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10023,Cronulla,11,Inner Regional Australia,1.00E-07,Acceptable,Good,1
10024,Davidson,10,Major Cities of Australia,1,Good,Good,0
10025,Drummoyne,10,Major Cities of Australia,1,Good,Good,0
10026,Dubbo,11,Inner Regional Australia,0.6497441,Acceptable,Good,0
10026,Dubbo,12,Outer Regional Australia,0.3502559,Poor,Good,0
10027,East Hills,10,Major Cities of Australia,1,Good,Good,0
10028,Epping,10,Major Cities of Australia,1,Good,Good,0
10029,Fairfield,10,Major Cities of Australia,1,Good,Good,0
10030,Gosford,10,Major Cities of Australia,0.9512002,Good,Good,0
10030,Gosford,11,Inner Regional Australia,0.0487998,Acceptable,Good,0
10031,Goulburn,10,Major Cities of Australia,0.0065658,Good,Good,1
10031,Goulburn,11,Inner Regional Australia,0.9640735,Acceptable,Good,0
10031,Goulburn,12,Outer Regional Australia,0.0293607,Poor,Good,0
10032,Granville,10,Major Cities of Australia,1,Good,Good,0
10033,Hawkesbury,10,Major Cities of Australia,0.6061085,Good,Good,0
10033,Hawkesbury,11,Inner Regional Australia,0.389554,Acceptable,Good,0
10033,Hawkesbury,12,Outer Regional Australia,0.0043374,Poor,Good,1
10034,Heathcote,10,Major Cities of Australia,0.9500169,Good,Good,0
10034,Heathcote,11,Inner Regional Australia,0.0499831,Acceptable,Good,0
10035,Heffron,10,Major Cities of Australia,1,Good,Good,0
10036,Holsworthy,10,Major Cities of Australia,0.9999999,Good,Good,0
10036,Holsworthy,11,Inner Regional Australia,1.00E-07,Acceptable,Good,1
10037,Hornsby,10,Major Cities of Australia,0.9543048,Good,Good,0
10037,Hornsby,11,Inner Regional Australia,0.0456952,Acceptable,Good,0
10038,Keira,10,Major Cities of Australia,0.9999489,Good,Good,0
10038,Keira,11,Inner Regional Australia,5.11E-05,Acceptable,Good,1
10039,Kiama,10,Major Cities of Australia,0.4896766,Good,Good,0
10039,Kiama,11,Inner Regional Australia,0.5103234,Acceptable,Good,0
10040,Kogarah,10,Major Cities of Australia,1,Good,Good,0
10041,Ku-ring-gai,10,Major Cities of Australia,1,Good,Good,0
10042,Lake Macquarie,10,Major Cities of Australia,0.9844453,Good,Good,0
10042,Lake Macquarie,11,Inner Regional Australia,0.0155547,Acceptable,Good,0
10043,Lakemba,10,Major Cities of Australia,1,Good,Good,0
10044,Lane Cove,10,Major Cities of Australia,1,Good,Good,0
10045,Lismore,11,Inner Regional Australia,0.8830643,Acceptable,Good,0
10045,Lismore,12,Outer Regional Australia,0.1169357,Poor,Good,0
10046,Liverpool,10,Major Cities of Australia,1,Good,Good,0
10047,Londonderry,10,Major Cities of Australia,1,Good,Good,0
10048,Macquarie Fields,10,Major Cities of Australia,1,Good,Good,0
10049,Maitland,10,Major Cities of Australia,0.9693864,Good,Good,0
10049,Maitland,11,Inner Regional Australia,0.0306136,Acceptable,Good,0
10050,Manly,10,Major Cities of Australia,1,Good,Good,0
10051,Maroubra,10,Major Cities of Australia,1,Good,Good,0
10052,Miranda,10,Major Cities of Australia,1,Good,Good,0
10053,Monaro,10,Major Cities of Australia,0.5322353,Good,Good,0
10053,Monaro,11,Inner Regional Australia,0.3256463,Acceptable,Good,0
10053,Monaro,12,Outer Regional Australia,0.1421184,Poor,Good,0
10054,Mount Druitt,10,Major Cities of Australia,1,Good,Good,0
10055,Mulgoa,10,Major Cities of Australia,0.9657029,Good,Good,0
10055,Mulgoa,11,Inner Regional Australia,0.0342971,Acceptable,Good,0
10056,Murray,11,Inner Regional Australia,0.2404117,Acceptable,Good,0
10056,Murray,12,Outer Regional Australia,0.7141438,Poor,Good,0
10056,Murray,13,Remote Australia,0.0454445,Poor,Good,0
10057,Myall Lakes,11,Inner Regional Australia,0.9933215,Acceptable,Good,0
10057,Myall Lakes,12,Outer Regional Australia,0.0066785,Poor,Good,1
10058,Newcastle,10,Major Cities of Australia,1,Good,Good,0
10059,Newtown,10,Major Cities of Australia,1,Good,Good,0
10060,North Shore,10,Major Cities of Australia,1,Good,Good,0
10061,Northern Tablelands,11,Inner Regional Australia,0.459038,Acceptable,Good,0
10061,Northern Tablelands,12,Outer Regional Australia,0.5182229,Poor,Good,0
10061,Northern Tablelands,13,Remote Australia,0.0227391,Poor,Good,0
10062,Oatley,10,Major Cities of Australia,1,Good,Good,0
10063,Orange,11,Inner Regional Australia,0.6404625,Acceptable,Good,0
10063,Orange,12,Outer Regional Australia,0.3595375,Poor,Good,0
10064,Oxley,11,Inner Regional Australia,0.9369214,Acceptable,Good,0
10064,Oxley,12,Outer Regional Australia,0.0630786,Poor,Good,0
10065,Parramatta,10,Major Cities of Australia,1,Good,Good,0
10066,Penrith,10,Major Cities of Australia,1,Good,Good,0
10067,Pittwater,10,Major Cities of Australia,0.9956901,Good,Good,0
10067,Pittwater,11,Inner Regional Australia,0.0043099,Acceptable,Good,1
10068,Port Macquarie,11,Inner Regional Australia,0.9943237,Acceptable,Good,0
10068,Port Macquarie,12,Outer Regional Australia,0.0001979,Poor,Good,1
10068,Port Macquarie,14,Very Remote Australia,0.0054784,Poor,Good,1
10069,Port Stephens,10,Major Cities of Australia,0.197608,Good,Good,0
10069,Port Stephens,11,Inner Regional Australia,0.8023912,Acceptable,Good,0
10069,Port Stephens,12,Outer Regional Australia,8.00E-07,Poor,Good,1
10070,Prospect,10,Major Cities of Australia,1,Good,Good,0
10071,Riverstone,10,Major Cities of Australia,1,Good,Good,0
10072,Rockdale,10,Major Cities of Australia,1,Good,Good,0
10073,Ryde,10,Major Cities of Australia,1,Good,Good,0
10074,Seven Hills,10,Major Cities of Australia,1,Good,Good,0
10075,Shellharbour,10,Major Cities of Australia,0.9999988,Good,Good,0
10075,Shellharbour,11,Inner Regional Australia,1.20E-06,Acceptable,Good,1
10076,South Coast,11,Inner Regional Australia,1,Acceptable,Good,0
10077,Strathfield,10,Major Cities of Australia,1,Good,Good,0
10078,Summer Hill,10,Major Cities of Australia,1,Good,Good,0
10079,Swansea,10,Major Cities of Australia,0.9607125,Good,Good,0
10079,Swansea,11,Inner Regional Australia,0.0392875,Acceptable,Good,0
10080,Sydney,10,Major Cities of Australia,1,Good,Good,0
10081,Tamworth,11,Inner Regional Australia,0.6716025,Acceptable,Good,0
10081,Tamworth,12,Outer Regional Australia,0.3283975,Poor,Good,0
10082,Terrigal,10,Major Cities of Australia,1,Good,Good,0
10083,The Entrance,10,Major Cities of Australia,1,Good,Good,0
10084,Tweed,10,Major Cities of Australia,0.9182861,Good,Good,0
10084,Tweed,11,Inner Regional Australia,0.0817139,Acceptable,Good,0
10085,Upper Hunter,11,Inner Regional Australia,0.7975228,Acceptable,Good,0
10085,Upper Hunter,12,Outer Regional Australia,0.2024772,Poor,Good,0
10086,Vaucluse,10,Major Cities of Australia,1,Good,Good,0
10087,Wagga Wagga,11,Inner Regional Australia,0.9371003,Acceptable,Good,0
10087,Wagga Wagga,12,Outer Regional Australia,0.0628997,Poor,Good,0
10088,Wakehurst,10,Major Cities of Australia,1,Good,Good,0
10089,Wallsend,10,Major Cities of Australia,1,Good,Good,0
10090,Willoughby,10,Major Cities of Australia,1,Good,Good,0
10091,Wollondilly,10,Major Cities of Australia,0.0347813,Good,Good,0
10091,Wollondilly,11,Inner Regional Australia,0.9652187,Acceptable,Good,0
10092,Wollongong,10,Major Cities of Australia,1,Good,Good,0
10093,Wyong,10,Major Cities of Australia,0.9658899,Good,Good,0
10093,Wyong,11,Inner Regional Australia,0.0341101,Acceptable,Good,0
19494,No usual address (NSW),19,No usual address (NSW),1,Good,Good,0
19797,Migratory - Offshore - Shipping (NSW),15,Migratory - Offshore - Shipping (NSW),1,Good,Good,0
20106,Albert Park (Southern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
20207,Altona (Western Metropolitan),20,Major Cities of Australia,1,Good,Good,0
20302,Bass (Eastern Victoria),20,Major Cities of Australia,0.5774481,Good,Good,0
20302,Bass (Eastern Victoria),21,Inner Regional Australia,0.4225519,Acceptable,Good,0
20401,Bayswater (Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
20508,Bellarine (Western Victoria),20,Major Cities of Australia,0.2021148,Good,Good,0
20508,Bellarine (Western Victoria),21,Inner Regional Australia,0.7978852,Acceptable,Good,0
20604,Benambra (Northern Victoria),21,Inner Regional Australia,0.9222768,Acceptable,Good,0
20604,Benambra (Northern Victoria),22,Outer Regional Australia,0.0777232,Poor,Good,0
20704,Bendigo East (Northern Victoria),21,Inner Regional Australia,0.9955703,Acceptable,Good,0
20704,Bendigo East (Northern Victoria),22,Outer Regional Australia,0.0044297,Poor,Good,1
20804,Bendigo West (Northern Victoria),21,Inner Regional Australia,1,Acceptable,Good,0
20906,Bentleigh (Southern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
21001,Box Hill (Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
21106,Brighton (Southern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
21203,Broadmeadows (Northern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
21303,Brunswick (Northern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
21401,Bulleen (Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
21503,Bundoora (Northern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
21608,Buninyong (Western Victoria),20,Major Cities of Australia,0.0473266,Good,Good,0
21608,Buninyong (Western Victoria),21,Inner Regional Australia,0.9526734,Acceptable,Good,0
21706,Burwood (Southern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
21805,Carrum (South-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
21906,Caulfield (Southern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
22005,Clarinda (South-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
22105,Cranbourne (South-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
22201,Croydon (Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
22305,Dandenong (South-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
22404,Eildon (Northern Victoria),20,Major Cities of Australia,0.0259243,Good,Good,0
22404,Eildon (Northern Victoria),21,Inner Regional Australia,0.788973,Acceptable,Good,0
22404,Eildon (Northern Victoria),22,Outer Regional Australia,0.1851026,Poor,Good,0
22501,Eltham (Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
22607,Essendon (Western Metropolitan),20,Major Cities of Australia,1,Good,Good,0
22704,Euroa (Northern Victoria),21,Inner Regional Australia,0.9948831,Acceptable,Good,0
22704,Euroa (Northern Victoria),22,Outer Regional Australia,0.0051169,Poor,Good,1
22802,Evelyn (Eastern Victoria),20,Major Cities of Australia,0.9789135,Good,Good,0
22802,Evelyn (Eastern Victoria),21,Inner Regional Australia,0.0210865,Acceptable,Good,0
22901,Ferntree Gully (Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
23007,Footscray (Western Metropolitan),20,Major Cities of Australia,1,Good,Good,0
23101,Forest Hill (Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
23205,Frankston (South-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
23308,Geelong (Western Victoria),20,Major Cities of Australia,1,Good,Good,0
23402,Gembrook (Eastern Victoria),20,Major Cities of Australia,0.9743859,Good,Good,0
23402,Gembrook (Eastern Victoria),21,Inner Regional Australia,0.0256141,Acceptable,Good,0
23502,Gippsland East (Eastern Victoria),21,Inner Regional Australia,0.1977412,Acceptable,Good,0
23502,Gippsland East (Eastern Victoria),22,Outer Regional Australia,0.7901877,Poor,Good,0
23502,Gippsland East (Eastern Victoria),23,Remote Australia,0.0120711,Poor,Good,0
23602,Gippsland South (Eastern Victoria),21,Inner Regional Australia,0.9043538,Acceptable,Good,0
23602,Gippsland South (Eastern Victoria),22,Outer Regional Australia,0.0956314,Poor,Good,0
23602,Gippsland South (Eastern Victoria),23,Remote Australia,1.48E-05,Poor,Good,1
23702,Hastings (Eastern Victoria),20,Major Cities of Australia,0.9790298,Good,Good,0
23702,Hastings (Eastern Victoria),21,Inner Regional Australia,0.0190554,Acceptable,Good,0
23702,Hastings (Eastern Victoria),22,Outer Regional Australia,0.0019147,Poor,Good,1
23806,Hawthorn (Southern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
23901,Ivanhoe (Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
24006,Kew (Southern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
24105,Keysborough (South-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
24207,Kororoit (Western Metropolitan),20,Major Cities of Australia,1,Good,Good,0
24308,Lara (Western Victoria),20,Major Cities of Australia,0.9560113,Good,Good,0
24308,Lara (Western Victoria),21,Inner Regional Australia,0.0439887,Acceptable,Good,0
24408,Lowan (Western Victoria),21,Inner Regional Australia,0.1870828,Acceptable,Good,0
24408,Lowan (Western Victoria),22,Outer Regional Australia,0.8010177,Poor,Good,0
24408,Lowan (Western Victoria),23,Remote Australia,0.0118994,Poor,Good,0
24504,Macedon (Northern Victoria),20,Major Cities of Australia,0.0065657,Good,Good,1
24504,Macedon (Northern Victoria),21,Inner Regional Australia,0.9934343,Acceptable,Good,0
24606,Malvern (Southern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
24703,Melbourne (Northern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
24808,Melton (Western Victoria),20,Major Cities of Australia,0.9752901,Good,Good,0
24808,Melton (Western Victoria),21,Inner Regional Australia,0.0247099,Acceptable,Good,0
24904,Mildura (Northern Victoria),22,Outer Regional Australia,0.9722522,Poor,Good,0
24904,Mildura (Northern Victoria),23,Remote Australia,0.0277478,Poor,Good,0
25003,Mill Park (Northern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
25102,Monbulk (Eastern Victoria),20,Major Cities of Australia,0.996269,Good,Good,0
25102,Monbulk (Eastern Victoria),21,Inner Regional Australia,0.003731,Acceptable,Good,1
25205,Mordialloc (South-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
25302,Mornington (Eastern Victoria),20,Major Cities of Australia,1,Good,Good,0
25402,Morwell (Eastern Victoria),21,Inner Regional Australia,1,Acceptable,Good,0
25501,Mount Waverley (Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
25605,Mulgrave (South-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
25704,Murray Plains (Northern Victoria),21,Inner Regional Australia,0.533415,Acceptable,Good,0
25704,Murray Plains (Northern Victoria),22,Outer Regional Australia,0.466585,Poor,Good,0
25802,Narracan (Eastern Victoria),20,Major Cities of Australia,0.0006994,Good,Good,1
25802,Narracan (Eastern Victoria),21,Inner Regional Australia,0.9988195,Acceptable,Good,0
25802,Narracan (Eastern Victoria),22,Outer Regional Australia,0.0004811,Poor,Good,1
25905,Narre Warren North (South-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
26005,Narre Warren South (South-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
26102,Nepean (Eastern Victoria),20,Major Cities of Australia,0.9157344,Good,Good,0
26102,Nepean (Eastern Victoria),21,Inner Regional Australia,0.0842656,Acceptable,Good,0
26207,Niddrie (Western Metropolitan),20,Major Cities of Australia,1,Good,Good,0
26303,Northcote (Northern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
26406,Oakleigh (Southern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
26504,Ovens Valley (Northern Victoria),21,Inner Regional Australia,0.8934785,Acceptable,Good,0
26504,Ovens Valley (Northern Victoria),22,Outer Regional Australia,0.1065215,Poor,Good,0
26603,Pascoe Vale (Northern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
26708,Polwarth (Western Victoria),20,Major Cities of Australia,0.0009193,Good,Good,1
26708,Polwarth (Western Victoria),21,Inner Regional Australia,0.9018848,Acceptable,Good,0
26708,Polwarth (Western Victoria),22,Outer Regional Australia,0.097196,Poor,Good,0
26806,Prahran (Southern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
26903,Preston (Northern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
27003,Richmond (Northern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
27101,Ringwood (Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
27208,Ripon (Western Victoria),21,Inner Regional Australia,0.862822,Acceptable,Good,0
27208,Ripon (Western Victoria),22,Outer Regional Australia,0.137178,Poor,Good,0
27305,Rowville (South-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
27406,Sandringham (Southern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
27504,Shepparton (Northern Victoria),21,Inner Regional Australia,0.9877096,Acceptable,Good,0
27504,Shepparton (Northern Victoria),22,Outer Regional Australia,0.0122904,Poor,Good,0
27608,South Barwon (Western Victoria),20,Major Cities of Australia,0.7062004,Good,Good,0
27608,South Barwon (Western Victoria),21,Inner Regional Australia,0.2937996,Acceptable,Good,0
27708,South-West Coast (Western Victoria),21,Inner Regional Australia,0.7168792,Acceptable,Good,0
27708,South-West Coast (Western Victoria),22,Outer Regional Australia,0.2831208,Poor,Good,0
27807,St Albans (Western Metropolitan),20,Major Cities of Australia,1,Good,Good,0
27907,Sunbury (Western Metropolitan),20,Major Cities of Australia,0.989573,Good,Good,0
27907,Sunbury (Western Metropolitan),21,Inner Regional Australia,0.010427,Acceptable,Good,0
28007,Sydenham (Western Metropolitan),20,Major Cities of Australia,1,Good,Good,0
28107,Tarneit (Western Metropolitan),20,Major Cities of Australia,1,Good,Good,0
28203,Thomastown (Northern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
28301,Warrandyte (Eastern Metropolitan),20,Major Cities of Australia,0.9969672,Good,Good,0
28301,Warrandyte (Eastern Metropolitan),21,Inner Regional Australia,0.0030328,Acceptable,Good,1
28408,Wendouree (Western Victoria),21,Inner Regional Australia,1,Acceptable,Good,0
28507,Werribee (Western Metropolitan),20,Major Cities of Australia,0.9717345,Good,Good,0
28507,Werribee (Western Metropolitan),21,Inner Regional Australia,0.0282655,Acceptable,Good,0
28607,Williamstown (Western Metropolitan),20,Major Cities of Australia,1,Good,Good,0
28704,Yan Yean (Northern Victoria),20,Major Cities of Australia,0.9687057,Good,Good,0
28704,Yan Yean (Northern Victoria),21,Inner Regional Australia,0.0312943,Acceptable,Good,0
28803,Yuroke (Northern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
29494,No usual address (Vic.),29,No usual address (Vic.),1,Good,Good,0
29797,Migratory - Offshore - Shipping (Vic.),25,Migratory - Offshore - Shipping (Vic.),1,Good,Good,0
30001,Algester,30,Major Cities of Australia,1,Good,Good,0
30002,Aspley,30,Major Cities of Australia,1,Good,Good,0
30003,Bancroft,30,Major Cities of Australia,1,Good,Good,0
30004,Barron River,32,Outer Regional Australia,1,Acceptable,Good,0
30005,Bonney,30,Major Cities of Australia,1,Good,Good,0
30006,Broadwater,30,Major Cities of Australia,0.9972142,Good,Good,0
30006,Broadwater,31,Inner Regional Australia,0.0027858,Acceptable,Good,1
30007,Buderim,30,Major Cities of Australia,1,Good,Good,0
30008,Bulimba,30,Major Cities of Australia,1,Good,Good,0
30009,Bundaberg,31,Inner Regional Australia,1,Acceptable,Good,0
30010,Bundamba,30,Major Cities of Australia,1,Good,Good,0
30011,Burdekin,32,Outer Regional Australia,0.8314087,Acceptable,Good,0
30011,Burdekin,33,Remote Australia,0.1599502,Poor,Good,0
30011,Burdekin,34,Very Remote Australia,0.0086412,Poor,Good,1
30012,Burleigh,30,Major Cities of Australia,1,Good,Good,0
30013,Burnett,31,Inner Regional Australia,0.8543399,Acceptable,Good,0
30013,Burnett,32,Outer Regional Australia,0.1456601,Acceptable,Good,0
30014,Cairns,32,Outer Regional Australia,1,Acceptable,Good,0
30015,Callide,31,Inner Regional Australia,0.1738001,Acceptable,Good,0
30015,Callide,32,Outer Regional Australia,0.7641359,Acceptable,Good,0
30015,Callide,33,Remote Australia,0.062064,Poor,Good,0
30016,Caloundra,30,Major Cities of Australia,0.8355558,Good,Good,0
30016,Caloundra,31,Inner Regional Australia,0.1644442,Acceptable,Good,0
30017,Capalaba,30,Major Cities of Australia,1,Good,Good,0
30018,Chatsworth,30,Major Cities of Australia,1,Good,Good,0
30019,Clayfield,30,Major Cities of Australia,1,Good,Good,0
30020,Condamine,31,Inner Regional Australia,1,Acceptable,Good,0
30021,Cook,32,Outer Regional Australia,0.5012746,Acceptable,Good,0
30021,Cook,33,Remote Australia,0.1069608,Poor,Good,0
30021,Cook,34,Very Remote Australia,0.3917646,Poor,Good,0
30022,Coomera,30,Major Cities of Australia,0.9499745,Good,Good,0
30022,Coomera,31,Inner Regional Australia,0.0500255,Acceptable,Good,0
30023,Cooper,30,Major Cities of Australia,0.99937,Good,Good,0
30023,Cooper,31,Inner Regional Australia,0.00063,Acceptable,Good,1
30024,Currumbin,30,Major Cities of Australia,0.9741392,Good,Good,0
30024,Currumbin,31,Inner Regional Australia,0.0258608,Acceptable,Good,0
30025,Everton,30,Major Cities of Australia,1,Good,Good,0
30026,Ferny Grove,30,Major Cities of Australia,1,Good,Good,0
30027,Gaven,30,Major Cities of Australia,1,Good,Good,0
30028,Gladstone,31,Inner Regional Australia,0.9704834,Acceptable,Good,0
30028,Gladstone,32,Outer Regional Australia,0.0273815,Acceptable,Good,0
30028,Gladstone,33,Remote Australia,0.0021351,Poor,Good,1
30029,Glass House,30,Major Cities of Australia,0.2202168,Good,Good,0
30029,Glass House,31,Inner Regional Australia,0.7797832,Acceptable,Good,0
30030,Greenslopes,30,Major Cities of Australia,1,Good,Good,0
30031,Gregory,32,Outer Regional Australia,0.5272921,Acceptable,Good,0
30031,Gregory,33,Remote Australia,0.2022105,Poor,Good,0
30031,Gregory,34,Very Remote Australia,0.2704975,Poor,Good,0
30032,Gympie,31,Inner Regional Australia,1,Acceptable,Good,0
30033,Hervey Bay,31,Inner Regional Australia,0.9969527,Acceptable,Good,0
30033,Hervey Bay,33,Remote Australia,0.0030473,Poor,Good,1
30034,Hill,32,Outer Regional Australia,0.9726759,Acceptable,Good,0
30034,Hill,33,Remote Australia,0.0266573,Poor,Good,0
30034,Hill,34,Very Remote Australia,0.0006668,Poor,Good,1
30035,Hinchinbrook,32,Outer Regional Australia,0.9056896,Acceptable,Good,0
30035,Hinchinbrook,33,Remote Australia,0.0942094,Poor,Good,0
30035,Hinchinbrook,34,Very Remote Australia,0.000101,Poor,Good,1
30036,Inala,30,Major Cities of Australia,1,Good,Good,0
30037,Ipswich,30,Major Cities of Australia,1,Good,Good,0
30038,Ipswich West,30,Major Cities of Australia,0.8469902,Good,Good,0
30038,Ipswich West,31,Inner Regional Australia,0.1530098,Acceptable,Good,0
30039,Jordan,30,Major Cities of Australia,0.9990582,Good,Good,0
30039,Jordan,31,Inner Regional Australia,0.0009418,Acceptable,Good,1
30040,Kawana,30,Major Cities of Australia,1,Good,Good,0
30041,Keppel,31,Inner Regional Australia,0.9854094,Acceptable,Good,0
30041,Keppel,32,Outer Regional Australia,0.0134823,Acceptable,Good,0
30041,Keppel,33,Remote Australia,0.0011078,Poor,Good,1
30041,Keppel,34,Very Remote Australia,6.00E-07,Poor,Good,1
30042,Kurwongbah,30,Major Cities of Australia,0.9947146,Good,Good,0
30042,Kurwongbah,31,Inner Regional Australia,0.0052854,Acceptable,Good,1
30043,Lockyer,31,Inner Regional Australia,1,Acceptable,Good,0
30044,Logan,30,Major Cities of Australia,0.9437234,Good,Good,0
30044,Logan,31,Inner Regional Australia,0.0562766,Acceptable,Good,0
30045,Lytton,30,Major Cities of Australia,0.9999994,Good,Good,0
30045,Lytton,32,Outer Regional Australia,6.00E-07,Acceptable,Good,1
30046,Macalister,30,Major Cities of Australia,1,Good,Good,0
30047,Mackay,31,Inner Regional Australia,1,Acceptable,Good,0
30048,Maiwar,30,Major Cities of Australia,1,Good,Good,0
30049,Mansfield,30,Major Cities of Australia,1,Good,Good,0
30050,Maroochydore,30,Major Cities of Australia,1,Good,Good,0
30051,Maryborough,31,Inner Regional Australia,0.9936674,Acceptable,Good,0
30051,Maryborough,32,Outer Regional Australia,0.0063326,Acceptable,Good,1
30052,McConnel,30,Major Cities of Australia,1,Good,Good,0
30053,Mermaid Beach,30,Major Cities of Australia,1,Good,Good,0
30054,Miller,30,Major Cities of Australia,1,Good,Good,0
30055,Mirani,31,Inner Regional Australia,0.4534702,Acceptable,Good,0
30055,Mirani,32,Outer Regional Australia,0.5272106,Acceptable,Good,0
30055,Mirani,33,Remote Australia,0.019207,Poor,Good,0
30055,Mirani,34,Very Remote Australia,0.0001122,Poor,Good,1
30056,Moggill,30,Major Cities of Australia,0.9868183,Good,Good,0
30056,Moggill,31,Inner Regional Australia,0.0131817,Acceptable,Good,0
30057,Morayfield,30,Major Cities of Australia,1,Good,Good,0
