SED_CODE_2022,SED_NAME_2022,RA_CODE_2021,RA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10033,Hawkesbury,12,Outer Regional Australia,0.0040892,Poor,Good,1
10034,Heathcote,10,Major Cities of Australia,0.9512279,Good,Good,0
10034,Heathcote,11,Inner Regional Australia,0.0487721,Acceptable,Good,0
10035,Heffron,10,Major Cities of Australia,1,Good,Good,0
10036,Holsworthy,10,Major Cities of Australia,0.9999999,Good,Good,0
10036,Holsworthy,11,Inner Regional Australia,1.00E-07,Acceptable,Good,1
10037,Hornsby,10,Major Cities of Australia,0.9342797,Good,Good,0
10037,Hornsby,11,Inner Regional Australia,0.0657203,Acceptable,Good,0
10038,Keira,10,Major Cities of Australia,0.9999482,Good,Good,0
10038,Keira,11,Inner Regional Australia,5.18E-05,Acceptable,Good,1
10039,Kellyville,10,Major Cities of Australia,1,Good,Good,0
10040,Kiama,10,Major Cities of Australia,0.4896766,Good,Good,0
10040,Kiama,11,Inner Regional Australia,0.5103234,Acceptable,Good,0
10041,Kogarah,10,Major Cities of Australia,1,Good,Good,0
10042,Lake Macquarie,10,Major Cities of Australia,0.9836112,Good,Good,0
10042,Lake Macquarie,11,Inner Regional Australia,0.0163888,Acceptable,Good,0
10043,Lane Cove,10,Major Cities of Australia,1,Good,Good,0
10044,Leppington,10,Major Cities of Australia,1,Good,Good,0
10045,Lismore,11,Inner Regional Australia,0.8867888,Acceptable,Good,0
10045,Lismore,12,Outer Regional Australia,0.1132112,Poor,Good,0
10046,Liverpool,10,Major Cities of Australia,1,Good,Good,0
10047,Londonderry,10,Major Cities of Australia,1,Good,Good,0
10048,Macquarie Fields,10,Major Cities of Australia,1,Good,Good,0
10049,Maitland,10,Major Cities of Australia,0.9789221,Good,Good,0
10049,Maitland,11,Inner Regional Australia,0.0210779,Acceptable,Good,0
10050,Manly,10,Major Cities of Australia,1,Good,Good,0
10051,Maroubra,10,Major Cities of Australia,1,Good,Good,0
10052,Miranda,10,Major Cities of Australia,1,Good,Good,0
10053,Monaro,10,Major Cities of Australia,0.5322353,Good,Good,0
10053,Monaro,11,Inner Regional Australia,0.3256463,Acceptable,Good,0
10053,Monaro,12,Outer Regional Australia,0.1421184,Poor,Good,0
10054,Mount Druitt,10,Major Cities of Australia,1,Good,Good,0
10055,Murray,11,Inner Regional Australia,0.2367215,Acceptable,Good,0
10055,Murray,12,Outer Regional Australia,0.7185315,Poor,Good,0
10055,Murray,13,Remote Australia,0.044747,Poor,Good,0
10056,Myall Lakes,11,Inner Regional Australia,0.993214,Acceptable,Good,0
10056,Myall Lakes,12,Outer Regional Australia,0.006786,Poor,Good,1
10057,Newcastle,10,Major Cities of Australia,1,Good,Good,0
10058,Newtown,10,Major Cities of Australia,1,Good,Good,0
10059,North Shore,10,Major Cities of Australia,1,Good,Good,0
10060,Northern Tablelands,11,Inner Regional Australia,0.4421802,Acceptable,Good,0
10060,Northern Tablelands,12,Outer Regional Australia,0.5359158,Poor,Good,0
10060,Northern Tablelands,13,Remote Australia,0.021904,Poor,Good,0
10061,Oatley,10,Major Cities of Australia,1,Good,Good,0
10062,Orange,11,Inner Regional Australia,0.6404625,Acceptable,Good,0
10062,Orange,12,Outer Regional Australia,0.3595375,Poor,Good,0
10063,Oxley,11,Inner Regional Australia,0.9390481,Acceptable,Good,0
10063,Oxley,12,Outer Regional Australia,0.0609519,Poor,Good,0
10064,Parramatta,10,Major Cities of Australia,1,Good,Good,0
10065,Penrith,10,Major Cities of Australia,1,Good,Good,0
10066,Pittwater,10,Major Cities of Australia,0.9956901,Good,Good,0
10066,Pittwater,11,Inner Regional Australia,0.0043099,Acceptable,Good,1
10067,Port Macquarie,11,Inner Regional Australia,0.9942461,Acceptable,Good,0
10067,Port Macquarie,14,Very Remote Australia,0.0057539,Poor,Good,1
10068,Port Stephens,10,Major Cities of Australia,0.1975639,Good,Good,0
10068,Port Stephens,11,Inner Regional Australia,0.8024353,Acceptable,Good,0
10068,Port Stephens,12,Outer Regional Australia,8.00E-07,Poor,Good,1
10069,Prospect,10,Major Cities of Australia,1,Good,Good,0
10070,Riverstone,10,Major Cities of Australia,1,Good,Good,0
10071,Rockdale,10,Major Cities of Australia,1,Good,Good,0
10072,Ryde,10,Major Cities of Australia,1,Good,Good,0
10073,Shellharbour,10,Major Cities of Australia,0.9999998,Good,Good,0
10073,Shellharbour,11,Inner Regional Australia,2.00E-07,Acceptable,Good,1
10074,South Coast,11,Inner Regional Australia,1,Acceptable,Good,0
10075,Strathfield,10,Major Cities of Australia,1,Good,Good,0
10076,Summer Hill,10,Major Cities of Australia,1,Good,Good,0
10077,Swansea,10,Major Cities of Australia,0.9625209,Good,Good,0
10077,Swansea,11,Inner Regional Australia,0.0374791,Acceptable,Good,0
10078,Sydney,10,Major Cities of Australia,1,Good,Good,0
10079,Tamworth,11,Inner Regional Australia,0.6500128,Acceptable,Good,0
10079,Tamworth,12,Outer Regional Australia,0.3499872,Poor,Good,0
10080,Terrigal,10,Major Cities of Australia,1,Good,Good,0
10081,The Entrance,10,Major Cities of Australia,1,Good,Good,0
10082,Tweed,10,Major Cities of Australia,0.9182861,Good,Good,0
10082,Tweed,11,Inner Regional Australia,0.0817139,Acceptable,Good,0
10083,Upper Hunter,10,Major Cities of Australia,0.0961533,Good,Good,0
10083,Upper Hunter,11,Inner Regional Australia,0.7959324,Acceptable,Good,0
10083,Upper Hunter,12,Outer Regional Australia,0.1079142,Poor,Good,0
10084,Vaucluse,10,Major Cities of Australia,1,Good,Good,0
10085,Wagga Wagga,11,Inner Regional Australia,0.9371002,Acceptable,Good,0
10085,Wagga Wagga,12,Outer Regional Australia,0.0628998,Poor,Good,0
10086,Wahroonga,10,Major Cities of Australia,1,Good,Good,0
10087,Wakehurst,10,Major Cities of Australia,1,Good,Good,0
10088,Wallsend,10,Major Cities of Australia,1,Good,Good,0
10089,Willoughby,10,Major Cities of Australia,1,Good,Good,0
10090,Winston Hills,10,Major Cities of Australia,1,Good,Good,0
10091,Wollondilly,10,Major Cities of Australia,0.036181,Good,Good,0
10091,Wollondilly,11,Inner Regional Australia,0.963819,Acceptable,Good,0
10092,Wollongong,10,Major Cities of Australia,1,Good,Good,0
10093,Wyong,10,Major Cities of Australia,0.9692014,Good,Good,0
10093,Wyong,11,Inner Regional Australia,0.0307986,Acceptable,Good,0
19494,No usual address (NSW),19,No usual address (NSW),1,Good,Good,0
19797,Migratory - Offshore - Shipping (NSW),15,Migratory - Offshore - Shipping (NSW),1,Good,Good,0
20106,Albert Park (Southern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
20206,Ashwood (Southern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
20301,Bass (Eastern Victoria),20,Major Cities of Australia,0.2385771,Good,Good,0
20301,Bass (Eastern Victoria),21,Inner Regional Australia,0.7614229,Acceptable,Good,0
20402,Bayswater (North-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
20508,Bellarine (Western Victoria),20,Major Cities of Australia,0.1813089,Good,Good,0
20508,Bellarine (Western Victoria),21,Inner Regional Australia,0.8186911,Acceptable,Good,0
20604,Benambra (Northern Victoria),21,Inner Regional Australia,0.9268658,Acceptable,Good,0
20604,Benambra (Northern Victoria),22,Outer Regional Australia,0.0731342,Poor,Good,0
20704,Bendigo East (Northern Victoria),21,Inner Regional Australia,0.9955703,Acceptable,Good,0
20704,Bendigo East (Northern Victoria),22,Outer Regional Australia,0.0044297,Poor,Good,1
20804,Bendigo West (Northern Victoria),21,Inner Regional Australia,1,Acceptable,Good,0
20906,Bentleigh (Southern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
21005,Berwick (South-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
21102,Box Hill (North-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
21206,Brighton (Southern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
21303,Broadmeadows (Northern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
21403,Brunswick (Northern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
21502,Bulleen (North-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
21602,Bundoora (North-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
21705,Carrum (South-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
21806,Caulfield (Southern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
21905,Clarinda (South-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
22005,Cranbourne (South-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
22102,Croydon (North-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
22205,Dandenong (South-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
22304,Eildon (Northern Victoria),20,Major Cities of Australia,0.0840689,Good,Good,0
22304,Eildon (Northern Victoria),21,Inner Regional Australia,0.7418776,Acceptable,Good,0
22304,Eildon (Northern Victoria),22,Outer Regional Australia,0.1740535,Poor,Good,0
22402,Eltham (North-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
22503,Essendon (Northern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
22608,Eureka (Western Victoria),20,Major Cities of Australia,0.2865561,Good,Good,0
22608,Eureka (Western Victoria),21,Inner Regional Australia,0.7134439,Acceptable,Good,0
22704,Euroa (Northern Victoria),21,Inner Regional Australia,0.9947366,Acceptable,Good,0
22704,Euroa (Northern Victoria),22,Outer Regional Australia,0.0052634,Poor,Good,1
22801,Evelyn (Eastern Victoria),20,Major Cities of Australia,0.9814557,Good,Good,0
22801,Evelyn (Eastern Victoria),21,Inner Regional Australia,0.0185443,Acceptable,Good,0
22907,Footscray (Western Metropolitan),20,Major Cities of Australia,1,Good,Good,0
23005,Frankston (South-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
23108,Geelong (Western Victoria),20,Major Cities of Australia,0.890298,Good,Good,0
23108,Geelong (Western Victoria),21,Inner Regional Australia,0.109702,Acceptable,Good,0
23201,Gippsland East (Eastern Victoria),21,Inner Regional Australia,0.1977412,Acceptable,Good,0
23201,Gippsland East (Eastern Victoria),22,Outer Regional Australia,0.7901877,Poor,Good,0
23201,Gippsland East (Eastern Victoria),23,Remote Australia,0.0120711,Poor,Good,0
23301,Gippsland South (Eastern Victoria),21,Inner Regional Australia,0.9125492,Acceptable,Good,0
23301,Gippsland South (Eastern Victoria),22,Outer Regional Australia,0.0874373,Poor,Good,0
23301,Gippsland South (Eastern Victoria),23,Remote Australia,1.35E-05,Poor,Good,1
23402,Glen Waverley (North-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
23503,Greenvale (Northern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
23601,Hastings (Eastern Victoria),20,Major Cities of Australia,0.9979266,Good,Good,0
23601,Hastings (Eastern Victoria),22,Outer Regional Australia,0.0020734,Poor,Good,1
23706,Hawthorn (Southern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
23802,Ivanhoe (North-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
23903,Kalkallo (Northern Metropolitan),20,Major Cities of Australia,0.9970515,Good,Good,0
23903,Kalkallo (Northern Metropolitan),21,Inner Regional Australia,0.0029485,Acceptable,Good,1
24006,Kew (Southern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
24107,Kororoit (Western Metropolitan),20,Major Cities of Australia,1,Good,Good,0
24208,Lara (Western Victoria),20,Major Cities of Australia,0.9560113,Good,Good,0
24208,Lara (Western Victoria),21,Inner Regional Australia,0.0439887,Acceptable,Good,0
24307,Laverton (Western Metropolitan),20,Major Cities of Australia,1,Good,Good,0
24408,Lowan (Western Victoria),21,Inner Regional Australia,0.2902322,Acceptable,Good,0
24408,Lowan (Western Victoria),22,Outer Regional Australia,0.6995835,Poor,Good,0
24408,Lowan (Western Victoria),23,Remote Australia,0.0101843,Poor,Good,0
24504,Macedon (Northern Victoria),21,Inner Regional Australia,1,Acceptable,Good,0
24606,Malvern (Southern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
24703,Melbourne (Northern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
24808,Melton (Western Victoria),20,Major Cities of Australia,0.9726973,Good,Good,0
24808,Melton (Western Victoria),21,Inner Regional Australia,0.0273027,Acceptable,Good,0
24904,Mildura (Northern Victoria),22,Outer Regional Australia,0.9734411,Poor,Good,0
24904,Mildura (Northern Victoria),23,Remote Australia,0.0265589,Poor,Good,0
25002,Mill Park (North-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
25101,Monbulk (Eastern Victoria),20,Major Cities of Australia,0.9809671,Good,Good,0
25101,Monbulk (Eastern Victoria),21,Inner Regional Australia,0.0190329,Acceptable,Good,0
25205,Mordialloc (South-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
25301,Mornington (Eastern Victoria),20,Major Cities of Australia,1,Good,Good,0
25401,Morwell (Eastern Victoria),21,Inner Regional Australia,1,Acceptable,Good,0
25505,Mulgrave (South-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
25604,Murray Plains (Northern Victoria),21,Inner Regional Australia,0.533415,Acceptable,Good,0
25604,Murray Plains (Northern Victoria),22,Outer Regional Australia,0.466585,Poor,Good,0
25701,Narracan (Eastern Victoria),20,Major Cities of Australia,0.000802,Good,Good,1
25701,Narracan (Eastern Victoria),21,Inner Regional Australia,0.9986463,Acceptable,Good,0
25701,Narracan (Eastern Victoria),22,Outer Regional Australia,0.0005517,Poor,Good,1
25805,Narre Warren North (South-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
25905,Narre Warren South (South-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
26001,Nepean (Eastern Victoria),20,Major Cities of Australia,0.9092075,Good,Good,0
26001,Nepean (Eastern Victoria),21,Inner Regional Australia,0.0907925,Acceptable,Good,0
26107,Niddrie (Western Metropolitan),20,Major Cities of Australia,1,Good,Good,0
26203,Northcote (Northern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
26306,Oakleigh (Southern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
26404,Ovens Valley (Northern Victoria),21,Inner Regional Australia,0.890251,Acceptable,Good,0
26404,Ovens Valley (Northern Victoria),22,Outer Regional Australia,0.109749,Poor,Good,0
26501,Pakenham (Eastern Victoria),20,Major Cities of Australia,0.9855469,Good,Good,0
26501,Pakenham (Eastern Victoria),21,Inner Regional Australia,0.0144531,Acceptable,Good,0
26603,Pascoe Vale (Northern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
26707,Point Cook (Western Metropolitan),20,Major Cities of Australia,0.9805909,Good,Good,0
26707,Point Cook (Western Metropolitan),21,Inner Regional Australia,0.0194091,Acceptable,Good,0
26808,Polwarth (Western Victoria),21,Inner Regional Australia,0.9231608,Acceptable,Good,0
26808,Polwarth (Western Victoria),22,Outer Regional Australia,0.0768392,Poor,Good,0
26906,Prahran (Southern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
27003,Preston (Northern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
27103,Richmond (Northern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
27202,Ringwood (North-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
27308,Ripon (Western Victoria),21,Inner Regional Australia,0.910814,Acceptable,Good,0
27308,Ripon (Western Victoria),22,Outer Regional Australia,0.089186,Poor,Good,0
27405,Rowville (South-Eastern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
27506,Sandringham (Southern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
27604,Shepparton (Northern Victoria),21,Inner Regional Australia,0.9877096,Acceptable,Good,0
27604,Shepparton (Northern Victoria),22,Outer Regional Australia,0.0122904,Poor,Good,0
27708,South Barwon (Western Victoria),20,Major Cities of Australia,0.963473,Good,Good,0
27708,South Barwon (Western Victoria),21,Inner Regional Australia,0.036527,Acceptable,Good,0
27808,South-West Coast (Western Victoria),21,Inner Regional Australia,0.729507,Acceptable,Good,0
27808,South-West Coast (Western Victoria),22,Outer Regional Australia,0.270493,Poor,Good,0
27907,St Albans (Western Metropolitan),20,Major Cities of Australia,1,Good,Good,0
28007,Sunbury (Western Metropolitan),20,Major Cities of Australia,0.9890606,Good,Good,0
28007,Sunbury (Western Metropolitan),21,Inner Regional Australia,0.0109394,Acceptable,Good,0
28107,Sydenham (Western Metropolitan),20,Major Cities of Australia,1,Good,Good,0
28207,Tarneit (Western Metropolitan),20,Major Cities of Australia,1,Good,Good,0
28303,Thomastown (Northern Metropolitan),20,Major Cities of Australia,1,Good,Good,0
28402,Warrandyte (North-Eastern Metropolitan),20,Major Cities of Australia,0.9973945,Good,Good,0
28402,Warrandyte (North-Eastern Metropolitan),21,Inner Regional Australia,0.0026055,Acceptable,Good,1
28508,Wendouree (Western Victoria),21,Inner Regional Australia,1,Acceptable,Good,0
28607,Werribee (Western Metropolitan),20,Major Cities of Australia,0.9908229,Good,Good,0
28607,Werribee (Western Metropolitan),21,Inner Regional Australia,0.0091771,Acceptable,Good,1
28707,Williamstown (Western Metropolitan),20,Major Cities of Australia,1,Good,Good,0
28804,Yan Yean (Northern Victoria),20,Major Cities of Australia,0.9340902,Good,Good,0
28804,Yan Yean (Northern Victoria),21,Inner Regional Australia,0.0659098,Acceptable,Good,0
29494,No usual address (Vic.),29,No usual address (Vic.),1,Good,Good,0
29797,Migratory - Offshore - Shipping (Vic.),25,Migratory - Offshore - Shipping (Vic.),1,Good,Good,0
30001,Algester,30,Major Cities of Australia,1,Good,Good,0
30002,Aspley,30,Major Cities of Australia,1,Good,Good,0
30003,Bancroft,30,Major Cities of Australia,1,Good,Good,0
30004,Barron River,32,Outer Regional Australia,1,Acceptable,Good,0
30005,Bonney,30,Major Cities of Australia,1,Good,Good,0
30006,Broadwater,30,Major Cities of Australia,0.9972142,Good,Good,0
30006,Broadwater,31,Inner Regional Australia,0.0027858,Acceptable,Good,1
30007,Buderim,30,Major Cities of Australia,1,Good,Good,0
30008,Bulimba,30,Major Cities of Australia,1,Good,Good,0
30009,Bundaberg,31,Inner Regional Australia,1,Acceptable,Good,0
30010,Bundamba,30,Major Cities of Australia,1,Good,Good,0
30011,Burdekin,32,Outer Regional Australia,0.8314087,Acceptable,Good,0
30011,Burdekin,33,Remote Australia,0.1599502,Poor,Good,0
30011,Burdekin,34,Very Remote Australia,0.0086412,Poor,Good,1
30012,Burleigh,30,Major Cities of Australia,1,Good,Good,0
30013,Burnett,31,Inner Regional Australia,0.8543399,Acceptable,Good,0
30013,Burnett,32,Outer Regional Australia,0.1456601,Acceptable,Good,0
30014,Cairns,32,Outer Regional Australia,1,Acceptable,Good,0
30015,Callide,31,Inner Regional Australia,0.1738001,Acceptable,Good,0
30015,Callide,32,Outer Regional Australia,0.7641359,Acceptable,Good,0
30015,Callide,33,Remote Australia,0.062064,Poor,Good,0
30016,Caloundra,30,Major Cities of Australia,0.8355558,Good,Good,0
30016,Caloundra,31,Inner Regional Australia,0.1644442,Acceptable,Good,0
30017,Capalaba,30,Major Cities of Australia,1,Good,Good,0
30018,Chatsworth,30,Major Cities of Australia,1,Good,Good,0
30019,Clayfield,30,Major Cities of Australia,1,Good,Good,0
30020,Condamine,31,Inner Regional Australia,1,Acceptable,Good,0
30021,Cook,32,Outer Regional Australia,0.5012746,Acceptable,Good,0
30021,Cook,33,Remote Australia,0.1069608,Poor,Good,0
30021,Cook,34,Very Remote Australia,0.3917646,Poor,Good,0
30022,Coomera,30,Major Cities of Australia,0.9499745,Good,Good,0
30022,Coomera,31,Inner Regional Australia,0.0500255,Acceptable,Good,0
30023,Cooper,30,Major Cities of Australia,0.99937,Good,Good,0
30023,Cooper,31,Inner Regional Australia,0.00063,Acceptable,Good,1
30024,Currumbin,30,Major Cities of Australia,0.9741392,Good,Good,0
30024,Currumbin,31,Inner Regional Australia,0.0258608,Acceptable,Good,0
30025,Everton,30,Major Cities of Australia,1,Good,Good,0
30026,Ferny Grove,30,Major Cities of Australia,1,Good,Good,0
30027,Gaven,30,Major Cities of Australia,1,Good,Good,0
30028,Gladstone,31,Inner Regional Australia,0.9704834,Acceptable,Good,0
30028,Gladstone,32,Outer Regional Australia,0.0273815,Acceptable,Good,0
30028,Gladstone,33,Remote Australia,0.0021351,Poor,Good,1
30029,Glass House,30,Major Cities of Australia,0.2202168,Good,Good,0
30029,Glass House,31,Inner Regional Australia,0.7797832,Acceptable,Good,0
30030,Greenslopes,30,Major Cities of Australia,1,Good,Good,0
30031,Gregory,32,Outer Regional Australia,0.5272921,Acceptable,Good,0
30031,Gregory,33,Remote Australia,0.2022105,Poor,Good,0
30031,Gregory,34,Very Remote Australia,0.2704975,Poor,Good,0
30032,Gympie,31,Inner Regional Australia,1,Acceptable,Good,0
30033,Hervey Bay,31,Inner Regional Australia,0.9969527,Acceptable,Good,0
30033,Hervey Bay,33,Remote Australia,0.0030473,Poor,Good,1
30034,Hill,32,Outer Regional Australia,0.9726759,Acceptable,Good,0
30034,Hill,33,Remote Australia,0.0266573,Poor,Good,0
30034,Hill,34,Very Remote Australia,0.0006668,Poor,Good,1
30035,Hinchinbrook,32,Outer Regional Australia,0.9056896,Acceptable,Good,0
30035,Hinchinbrook,33,Remote Australia,0.0942094,Poor,Good,0
30035,Hinchinbrook,34,Very Remote Australia,0.000101,Poor,Good,1
30036,Inala,30,Major Cities of Australia,1,Good,Good,0
30037,Ipswich,30,Major Cities of Australia,1,Good,Good,0
30038,Ipswich West,30,Major Cities of Australia,0.8469902,Good,Good,0
30038,Ipswich West,31,Inner Regional Australia,0.1530098,Acceptable,Good,0
30039,Jordan,30,Major Cities of Australia,0.9990582,Good,Good,0
30039,Jordan,31,Inner Regional Australia,0.0009418,Acceptable,Good,1
30040,Kawana,30,Major Cities of Australia,1,Good,Good,0
30041,Keppel,31,Inner Regional Australia,0.9854094,Acceptable,Good,0
30041,Keppel,32,Outer Regional Australia,0.0134823,Acceptable,Good,0
30041,Keppel,33,Remote Australia,0.0011078,Poor,Good,1
30041,Keppel,34,Very Remote Australia,6.00E-07,Poor,Good,1
30042,Kurwongbah,30,Major Cities of Australia,0.9947146,Good,Good,0
30042,Kurwongbah,31,Inner Regional Australia,0.0052854,Acceptable,Good,1
30043,Lockyer,31,Inner Regional Australia,1,Acceptable,Good,0
30044,Logan,30,Major Cities of Australia,0.9437234,Good,Good,0
30044,Logan,31,Inner Regional Australia,0.0562766,Acceptable,Good,0
30045,Lytton,30,Major Cities of Australia,0.9999994,Good,Good,0
30045,Lytton,32,Outer Regional Australia,6.00E-07,Acceptable,Good,1
30046,Macalister,30,Major Cities of Australia,1,Good,Good,0
30047,Mackay,31,Inner Regional Australia,1,Acceptable,Good,0
30048,Maiwar,30,Major Cities of Australia,1,Good,Good,0
30049,Mansfield,30,Major Cities of Australia,1,Good,Good,0
30050,Maroochydore,30,Major Cities of Australia,1,Good,Good,0
30051,Maryborough,31,Inner Regional Australia,0.9936674,Acceptable,Good,0
30051,Maryborough,32,Outer Regional Australia,0.0063326,Acceptable,Good,1
30052,McConnel,30,Major Cities of Australia,1,Good,Good,0
30053,Mermaid Beach,30,Major Cities of Australia,1,Good,Good,0
30054,Miller,30,Major Cities of Australia,1,Good,Good,0
30055,Mirani,31,Inner Regional Australia,0.4534702,Acceptable,Good,0
30055,Mirani,32,Outer Regional Australia,0.5272106,Acceptable,Good,0
30055,Mirani,33,Remote Australia,0.019207,Poor,Good,0
30055,Mirani,34,Very Remote Australia,0.0001122,Poor,Good,1
30056,Moggill,30,Major Cities of Australia,0.9868183,Good,Good,0
30056,Moggill,31,Inner Regional Australia,0.0131817,Acceptable,Good,0
30057,Morayfield,30,Major Cities of Australia,1,Good,Good,0
