SA2_MAINCODE_2016,SA2_NAME_2016,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
102021053,The Entrance,11650,Central Coast (NSW),1,Good,Good,0
102021054,Toukley - Norah Head,11650,Central Coast (NSW),1,Good,Good,0
102021055,Tuggerah - Kangy Angy,11650,Central Coast (NSW),1,Good,Good,0
102021056,Warnervale - Wadalba,11650,Central Coast (NSW),1,Good,Good,0
102021057,Wyong,11650,Central Coast (NSW),1,Good,Good,0
103011058,Bathurst,10470,Bathurst Regional,1,Good,Good,0
103011059,Bathurst - East,10470,Bathurst Regional,1,Good,Good,0
103011060,Bathurst Region,10470,Bathurst Regional,0.9067625,Good,Good,0
103011060,Bathurst Region,14870,Lithgow,0.0021796,Good,Good,1
103011060,Bathurst Region,16100,Oberon,0.0910579,Acceptable,Good,0
103011061,Oberon,16100,Oberon,1,Acceptable,Good,0
103021062,Condobolin,12900,Forbes,0.0106865,Good,Good,0
103021062,Condobolin,14600,Lachlan,0.933798,Good,Good,0
103021062,Condobolin,16200,Parkes,0.0555155,Good,Good,0
103021063,Cowra,12350,Cowra,1,Acceptable,Good,0
103021064,Cowra Region,11400,Cabonne,0.3955144,Poor,Good,0
103021064,Cowra Region,12350,Cowra,0.6044856,Acceptable,Good,0
103021065,Forbes,11400,Cabonne,0.0708479,Poor,Good,0
103021065,Forbes,12900,Forbes,0.9272826,Good,Good,0
103021065,Forbes,14600,Lachlan,0.0008861,Good,Good,1
103021065,Forbes,18100,Weddin,0.0009834,Good,Good,1
103021066,Grenfell,18100,Weddin,1,Good,Good,0
103021067,Parkes (NSW),16200,Parkes,1,Good,Good,0
103021068,Parkes Region,11400,Cabonne,0.0124258,Poor,Good,0
103021068,Parkes Region,12900,Forbes,0.0251592,Good,Good,0
103021068,Parkes Region,16200,Parkes,0.962415,Good,Good,0
103021069,West Wyalong,10800,Bland,1,Good,Good,0
103031070,Lithgow,14870,Lithgow,1,Good,Good,0
103031071,Lithgow Region,10470,Bathurst Regional,0.0003637,Good,Good,1
103031071,Lithgow Region,14870,Lithgow,0.9996363,Good,Good,0
103031072,Mudgee,15270,Mid-Western Regional,1,Good,Good,0
103031073,Mudgee Region - East,15270,Mid-Western Regional,0.9999941,Good,Good,0
103031073,Mudgee Region - East,14870,Lithgow,0.0000059,Good,Good,1
103031074,Mudgee Region - West,15270,Mid-Western Regional,0.8601118,Good,Good,0
103031074,Mudgee Region - West,18020,Warrumbungle Shire,0.1377612,Acceptable,Good,0
103031074,Mudgee Region - West,10470,Bathurst Regional,0.0011584,Good,Good,1
103031074,Mudgee Region - West,12390,Dubbo Regional,0.0009666,Good,Good,1
103031074,Mudgee Region - West,17620,Upper Hunter Shire,0.0000019,Good,Good,1
103031075,Wollangambe - Wollemi,10900,Blue Mountains,0.05,Good,Good,0
103031075,Wollangambe - Wollemi,14870,Lithgow,0.9,Good,Good,0
103031075,Wollangambe - Wollemi,17000,Singleton,0.05,Good,Good,0
103041076,Blayney,10850,Blayney,0.9983426,Good,Good,0
103041076,Blayney,12350,Cowra,0.0016574,Acceptable,Good,1
103041077,Orange,16150,Orange,1,Good,Good,0
103041078,Orange - North,16150,Orange,0.9901828,Good,Good,0
103041078,Orange - North,11400,Cabonne,0.0098172,Poor,Good,1
103041079,Orange Region,11400,Cabonne,0.8412708,Poor,Good,0
103041079,Orange Region,12390,Dubbo Regional,0.0025008,Good,Good,1
103041079,Orange Region,16150,Orange,0.1562284,Good,Good,0
104011080,Grafton,11730,Clarence Valley,1,Good,Good,0
104011081,Grafton Region,11730,Clarence Valley,0.9999974,Good,Good,0
104011081,Grafton Region,11800,Coffs Harbour,0.0000013,Good,Good,1
104011081,Grafton Region,16610,Richmond Valley,0.0000013,Good,Good,1
104011082,Maclean - Yamba - Iluka,11730,Clarence Valley,0.9999994,Good,Good,0
104011082,Maclean - Yamba - Iluka,16610,Richmond Valley,0.0000006,Good,Good,1
104021083,Bellingen,10600,Bellingen,0.9993037,Good,Good,0
104021083,Bellingen,15700,Nambucca Valley,0.0006963,Good,Good,1
104021084,Coffs Harbour - North,11800,Coffs Harbour,1,Good,Good,0
104021085,Coffs Harbour - South,11800,Coffs Harbour,1,Good,Good,0
104021086,Coramba - Nana Glen - Bucca,11800,Coffs Harbour,1,Good,Good,0
104021087,Dorrigo,11800,Coffs Harbour,0.2017965,Good,Good,0
104021087,Dorrigo,11730,Clarence Valley,0.1251903,Good,Good,0
104021087,Dorrigo,10600,Bellingen,0.6730132,Good,Good,0
104021088,Korora - Emerald Beach,11800,Coffs Harbour,1,Good,Good,0
104021089,Sawtell - Boambee,11800,Coffs Harbour,1,Good,Good,0
104021090,Urunga,10600,Bellingen,1,Good,Good,0
104021091,Woolgoolga - Arrawarra,11800,Coffs Harbour,0.9999984,Good,Good,0
104021091,Woolgoolga - Arrawarra,11730,Clarence Valley,0.0000016,Good,Good,1
105011092,Bourke - Brewarrina,11200,Brewarrina,0.3400298,Poor,Good,0
105011092,Bourke - Brewarrina,11750,Cobar,0.0007585,Good,Good,1
105011092,Bourke - Brewarrina,10950,Bogan,0.0007585,Poor,Good,1
105011092,Bourke - Brewarrina,11150,Bourke,0.6584531,Poor,Good,0
105011093,Cobar,10950,Bogan,0.0030204,Poor,Good,1
105011093,Cobar,11750,Cobar,0.9784369,Good,Good,0
105011093,Cobar,14600,Lachlan,0.0185428,Good,Good,0
105011094,Coonamble,12150,Coonamble,0.9489899,Good,Good,0
105011094,Coonamble,17950,Warren,0.0510101,Poor,Good,0
105011095,Nyngan - Warren,10950,Bogan,0.5370237,Poor,Good,0
105011095,Nyngan - Warren,11200,Brewarrina,0.0016161,Poor,Good,1
105011095,Nyngan - Warren,17950,Warren,0.4613582,Poor,Good,0
105011095,Nyngan - Warren,14600,Lachlan,0.000002,Good,Good,1
105011096,Walgett - Lightning Ridge,11200,Brewarrina,0.0445417,Poor,Good,0
105011096,Walgett - Lightning Ridge,12150,Coonamble,0.0017097,Good,Good,1
105011096,Walgett - Lightning Ridge,17900,Walgett,0.9520405,Good,Good,0
105011096,Walgett - Lightning Ridge,17950,Warren,0.0017081,Poor,Good,1
105021097,Broken Hill,11250,Broken Hill,1,Good,Good,0
105021098,Far West,19399,Unincorporated NSW,0.2630097,Poor,Good,0
105021098,Far West,11700,Central Darling,0.7369903,Poor,Good,0
105031099,Coonabarabran,18020,Warrumbungle Shire,0.9999987,Acceptable,Good,0
105031099,Coonabarabran,12150,Coonamble,0.0000013,Good,Good,1
105031100,Dubbo - East,12390,Dubbo Regional,1,Good,Good,0
105031101,Dubbo - South,12390,Dubbo Regional,1,Good,Good,0
105031102,Dubbo - West,12390,Dubbo Regional,1,Good,Good,0
105031103,Dubbo Region,12390,Dubbo Regional,0.9839468,Good,Good,0
105031103,Dubbo Region,11400,Cabonne,0.0160532,Poor,Good,0
105031104,Gilgandra,12950,Gilgandra,0.9688284,Good,Good,0
105031104,Gilgandra,17950,Warren,0.0311716,Poor,Good,0
105031105,Narromine,15850,Narromine,0.9866968,Good,Good,0
105031105,Narromine,17950,Warren,0.0133032,Poor,Good,0
105031106,Wellington,11400,Cabonne,0.0476264,Poor,Good,0
105031106,Wellington,12390,Dubbo Regional,0.9523713,Good,Good,0
105031106,Wellington,15270,Mid-Western Regional,0.0000023,Good,Good,1
106011107,Branxton - Greta - Pokolbin,11720,Cessnock,0.7824975,Good,Good,0
106011107,Branxton - Greta - Pokolbin,15050,Maitland,0.0237863,Good,Good,0
106011107,Branxton - Greta - Pokolbin,17000,Singleton,0.1937163,Good,Good,0
106011108,Cessnock,11720,Cessnock,1,Good,Good,0
106011109,Cessnock Region,11720,Cessnock,1,Good,Good,0
106011110,Dungog,12700,Dungog,1,Good,Good,0
106011111,Kurri Kurri - Abermain,11720,Cessnock,0.9987509,Good,Good,0
106011111,Kurri Kurri - Abermain,15050,Maitland,0.0012491,Good,Good,1
106011112,Singleton,17000,Singleton,1,Good,Good,0
106011113,Singleton Region,17000,Singleton,1,Good,Good,0
106021114,Maitland,15050,Maitland,1,Good,Good,0
106021115,Maitland - East,15050,Maitland,1,Good,Good,0
106021116,Maitland - North,15050,Maitland,1,Good,Good,0
106021117,Maitland - West,11720,Cessnock,0.0052814,Good,Good,1
106021117,Maitland - West,15050,Maitland,0.9947186,Good,Good,0
106021118,Thornton - Millers Forest,15050,Maitland,1,Good,Good,0
106031119,Anna Bay,16400,Port Stephens,1,Good,Good,0
106031120,Lemon Tree Passage - Tanilba Bay,16400,Port Stephens,1,Good,Good,0
106031121,Nelson Bay Peninsula,16400,Port Stephens,1,Good,Good,0
106031122,Raymond Terrace,16400,Port Stephens,1,Good,Good,0
106031123,Seaham - Woodville,16400,Port Stephens,1,Good,Good,0
106031124,Tea Gardens - Hawks Nest,15240,Mid-Coast,0.999998,Good,Good,0
106031124,Tea Gardens - Hawks Nest,16400,Port Stephens,0.000002,Good,Good,1
106031125,Williamtown - Medowie - Karuah,15240,Mid-Coast,0.0082666,Good,Good,1
106031125,Williamtown - Medowie - Karuah,16400,Port Stephens,0.9917334,Good,Good,0
106041126,Muswellbrook,15650,Muswellbrook,1,Good,Good,0
106041127,Muswellbrook Region,15650,Muswellbrook,1,Good,Good,0
106041128,Scone,17620,Upper Hunter Shire,1,Good,Good,0
106041129,Scone Region,17620,Upper Hunter Shire,0.9999988,Good,Good,0
106041129,Scone Region,14920,Liverpool Plains,0.0000012,Good,Good,1
107011131,Dapto - Avondale,18450,Wollongong,1,Good,Good,0
107011132,Horsley - Kembla Grange,18450,Wollongong,1,Good,Good,0
107011133,Port Kembla Industrial,18450,Wollongong,1,Good,Good,0
107011134,Unanderra - Mount Kembla,18450,Wollongong,1,Good,Good,0
107011545,Berkeley - Lake Heights - Cringila,18450,Wollongong,1,Good,Good,0
107011546,Port Kembla - Warrawong,18450,Wollongong,1,Good,Good,0
107011547,Windang - Primbee,18450,Wollongong,1,Good,Good,0
107021135,Illawarra Catchment Reserve,18450,Wollongong,0.9869359,Good,Good,0
107021135,Illawarra Catchment Reserve,18400,Wollondilly,0.0035629,Good,Good,1
107021135,Illawarra Catchment Reserve,18350,Wingecarribee,0.0095012,Good,Good,1
107031136,Albion Park - Macquarie Pass,16900,Shellharbour,1,Good,Good,0
107031137,Albion Park Rail,16900,Shellharbour,1,Good,Good,0
107031138,Kiama,14400,Kiama,1,Good,Good,0
107031139,Kiama Downs - Minnamurra,14400,Kiama,1,Good,Good,0
107031140,Kiama Hinterland - Gerringong,14400,Kiama,0.9999923,Good,Good,0
107031140,Kiama Hinterland - Gerringong,16950,Shoalhaven,0.0000077,Good,Good,1
107031141,Shellharbour - Flinders,16900,Shellharbour,1,Good,Good,0
107031142,Shellharbour - Oak Flats,16900,Shellharbour,1,Good,Good,0
107031143,Warilla,16900,Shellharbour,1,Good,Good,0
107041144,Balgownie - Fairy Meadow,18450,Wollongong,1,Good,Good,0
107041145,Corrimal - Tarrawanna - Bellambi,18450,Wollongong,1,Good,Good,0
107041146,Figtree - Keiraville,18450,Wollongong,1,Good,Good,0
107041147,Helensburgh,17150,Sutherland Shire,0.0000011,Good,Good,1
107041147,Helensburgh,18450,Wollongong,0.9964661,Good,Good,0
107041147,Helensburgh,18400,Wollondilly,0.0035317,Good,Good,1
107041147,Helensburgh,11500,Campbelltown (NSW),0.0000011,Good,Good,1
107041148,Thirroul - Austinmer - Coalcliff,18450,Wollongong,1,Good,Good,0
107041150,Woonona - Bulli - Russell Vale,18450,Wollongong,1,Good,Good,0
107041548,Wollongong - East,18450,Wollongong,1,Good,Good,0
107041549,Wollongong - West,18450,Wollongong,1,Good,Good,0
108011151,Bulahdelah - Stroud,15240,Mid-Coast,1,Good,Good,0
108011152,Forster,15240,Mid-Coast,1,Good,Good,0
108011153,Forster-Tuncurry Region,15240,Mid-Coast,1,Good,Good,0
108011154,Tuncurry,15240,Mid-Coast,1,Good,Good,0
108021155,Kempsey,14350,Kempsey,1,Good,Good,0
108021156,Kempsey Region,14350,Kempsey,0.9962136,Good,Good,0
108021156,Kempsey Region,10180,Armidale Regional,0.0037864,Good,Good,1
108021157,Macksville - Scotts Head,15700,Nambucca Valley,1,Good,Good,0
108021158,Nambucca Heads,15700,Nambucca Valley,1,Good,Good,0
108021159,Nambucca Heads Region,15700,Nambucca Valley,0.9996057,Good,Good,0
108021159,Nambucca Heads Region,10600,Bellingen,0.0003943,Good,Good,1
108021160,South West Rocks,14350,Kempsey,1,Good,Good,0
108031161,Lord Howe Island,19399,Unincorporated NSW,1,Poor,Good,0
108041162,Laurieton - Bonny Hills,16380,Port Macquarie-Hastings,0.9999994,Good,Good,0
108041162,Laurieton - Bonny Hills,15240,Mid-Coast,0.0000006,Good,Good,1
108041163,Port Macquarie - East,16380,Port Macquarie-Hastings,1,Good,Good,0
108041164,Port Macquarie - West,16380,Port Macquarie-Hastings,1,Good,Good,0
108041165,Port Macquarie Region,16380,Port Macquarie-Hastings,0.9954755,Good,Good,0
108041165,Port Macquarie Region,15240,Mid-Coast,0.0045245,Good,Good,1
108041166,Wauchope,16380,Port Macquarie-Hastings,1,Good,Good,0
108051167,Gloucester,15240,Mid-Coast,1,Good,Good,0
108051168,Old Bar - Manning Point - Red Head,15240,Mid-Coast,1,Good,Good,0
108051169,Taree,15240,Mid-Coast,1,Good,Good,0
108051170,Taree Region,16380,Port Macquarie-Hastings,0.0000008,Good,Good,1
108051170,Taree Region,15240,Mid-Coast,0.9999992,Good,Good,0
108051171,Wingham,15240,Mid-Coast,1,Good,Good,0
109011172,Albury - East,10050,Albury,1,Good,Good,0
109011173,Albury - North,10050,Albury,1,Good,Good,0
109011174,Albury - South,10050,Albury,1,Good,Good,0
109011175,Albury Region,10050,Albury,0.1221849,Good,Good,0
109011175,Albury Region,13340,Greater Hume Shire,0.8769533,Acceptable,Good,0
109011175,Albury Region,14950,Lockhart,0.0008618,Poor,Good,1
109011176,Lavington,10050,Albury,1,Good,Good,0
109021177,Hay,11600,Carrathool,0.0094223,Poor,Good,1
109021177,Hay,13850,Hay,0.9905777,Good,Good,0
109021178,Wentworth - Buronga,18200,Wentworth,1,Good,Good,0
109021179,Wentworth-Balranald Region,10300,Balranald,0.6327388,Poor,Good,0
109021179,Wentworth-Balranald Region,15520,Murray River,0.1369796,Acceptable,Good,0
109021179,Wentworth-Balranald Region,18200,Wentworth,0.2302816,Good,Good,0
109031180,Corowa,12870,Federation,1,Good,Good,0
109031181,Corowa Region,12870,Federation,0.9810384,Good,Good,0
109031181,Corowa Region,13340,Greater Hume Shire,0.0189602,Acceptable,Good,0
109031181,Corowa Region,14950,Lockhart,0.0000015,Poor,Good,1
109031182,Deniliquin,12730,Edward River,1,Acceptable,Good,0
109031183,Deniliquin Region,12730,Edward River,0.2076831,Acceptable,Good,0
109031183,Deniliquin Region,15520,Murray River,0.7923169,Acceptable,Good,0
109031184,Moama,15520,Murray River,1,Acceptable,Good,0
109031185,Tocumwal - Finley - Jerilderie,10650,Berrigan,0.8697182,Acceptable,Good,0
109031185,Tocumwal - Finley - Jerilderie,15560,Murrumbidgee,0.1302818,Poor,Good,0
110011186,Armidale,10180,Armidale Regional,1,Good,Good,0
110011187,Armidale Region - North,10180,Armidale Regional,0.9999956,Good,Good,0
110011187,Armidale Region - North,17650,Uralla,0.0000044,Acceptable,Good,1
110011188,Armidale Region - South,10180,Armidale Regional,0.075868,Good,Good,0
110011188,Armidale Region - South,17310,Tamworth Regional,0.0048037,Good,Good,1
110011188,Armidale Region - South,17650,Uralla,0.9193282,Acceptable,Good,0
110011189,Walcha,17850,Walcha,0.9592723,Good,Good,0
110011189,Walcha,17310,Tamworth Regional,0.0407277,Good,Good,0
110021190,Glen Innes,13010,Glen Innes Severn,1,Good,Good,0
110021191,Inverell,14220,Inverell,1,Good,Good,0
110021192,Inverell Region - East,17310,Tamworth Regional,0.0034049,Good,Good,1
110021192,Inverell Region - East,14220,Inverell,0.8698887,Good,Good,0
110021192,Inverell Region - East,13660,Gwydir,0.0035939,Poor,Good,1
110021192,Inverell Region - East,10180,Armidale Regional,0.0255413,Good,Good,0
110021192,Inverell Region - East,17650,Uralla,0.0975712,Acceptable,Good,0
110021193,Inverell Region - West,14220,Inverell,0.2107709,Good,Good,0
110021193,Inverell Region - West,17310,Tamworth Regional,0.0000017,Good,Good,1
110021193,Inverell Region - West,13660,Gwydir,0.7892274,Poor,Good,0
110021194,Tenterfield,17400,Tenterfield,1,Good,Good,0
110031195,Moree,15300,Moree Plains,1,Good,Good,0
110031196,Moree Region,15300,Moree Plains,0.9094038,Good,Good,0
110031196,Moree Region,13660,Gwydir,0.0905962,Poor,Good,0
110031197,Narrabri,15750,Narrabri,1,Good,Good,0
110031198,Narrabri Region,13550,Gunnedah,0.0000021,Good,Good,1
110031198,Narrabri Region,15750,Narrabri,0.9999979,Good,Good,0
110041199,Gunnedah,13550,Gunnedah,1,Good,Good,0
110041200,Gunnedah Region,13550,Gunnedah,0.7325558,Good,Good,0
110041200,Gunnedah Region,15750,Narrabri,0.2674442,Good,Good,0
110041201,Quirindi,14920,Liverpool Plains,1,Good,Good,0
110041202,Tamworth - East,17310,Tamworth Regional,1,Good,Good,0
110041203,Tamworth - North,17310,Tamworth Regional,1,Good,Good,0
110041204,Tamworth - West,17310,Tamworth Regional,1,Good,Good,0
110041205,Tamworth Region,17310,Tamworth Regional,0.9997831,Good,Good,0
110041205,Tamworth Region,13660,Gwydir,0.0002169,Poor,Good,1
111011206,Belmont - Bennetts Green,14650,Lake Macquarie,1,Good,Good,0
111011207,Belmont South - Blacksmiths,14650,Lake Macquarie,1,Good,Good,0
111011208,Charlestown - Dudley,14650,Lake Macquarie,1,Good,Good,0
111011209,Glendale - Cardiff - Hillsborough,14650,Lake Macquarie,0.9762487,Good,Good,0
111011209,Glendale - Cardiff - Hillsborough,15900,Newcastle,0.0237513,Good,Good,0
111011210,Mount Hutton - Windale,14650,Lake Macquarie,1,Good,Good,0
111011211,Redhead,14650,Lake Macquarie,1,Good,Good,0
111011212,Swansea - Caves Beach,14650,Lake Macquarie,1,Good,Good,0
111011213,Valentine - Eleebana,14650,Lake Macquarie,1,Good,Good,0
111011214,Warners Bay - Boolaroo,14650,Lake Macquarie,1,Good,Good,0
111021215,Bolton Point - Teralba,14650,Lake Macquarie,1,Good,Good,0
111021216,Bonnells Bay - Silverwater,14650,Lake Macquarie,1,Good,Good,0
111021217,Edgeworth - Cameron Park,14650,Lake Macquarie,0.9999993,Good,Good,0
111021217,Edgeworth - Cameron Park,15900,Newcastle,0.0000007,Good,Good,1
111021218,Morisset - Cooranbong,14650,Lake Macquarie,1,Good,Good,0
111021219,Toronto - Awaba,14650,Lake Macquarie,1,Good,Good,0
111021220,Wangi Wangi - Rathmines,14650,Lake Macquarie,1,Good,Good,0
111021221,West Wallsend - Barnsley - Killingworth,14650,Lake Macquarie,1,Good,Good,0
111031222,Adamstown - Kotara,14650,Lake Macquarie,0.1532614,Good,Good,0
111031222,Adamstown - Kotara,15900,Newcastle,0.8467386,Good,Good,0
111031223,Beresfield - Hexham,15050,Maitland,0.3584945,Good,Good,0
111031223,Beresfield - Hexham,15900,Newcastle,0.6415055,Good,Good,0
111031224,Hamilton - Broadmeadow,15900,Newcastle,1,Good,Good,0
111031225,Lambton - New Lambton,15900,Newcastle,1,Good,Good,0
111031226,Maryland - Fletcher - Minmi,15900,Newcastle,0.9999993,Good,Good,0
111031226,Maryland - Fletcher - Minmi,14650,Lake Macquarie,0.0000007,Good,Good,1
111031227,Mayfield - Warabrook,15900,Newcastle,1,Good,Good,0
111031228,Merewether - The Junction,15900,Newcastle,1,Good,Good,0
111031229,Newcastle - Cooks Hill,15900,Newcastle,1,Good,Good,0
111031230,Newcastle Port - Kooragang,15900,Newcastle,0.9993386,Good,Good,0
111031230,Newcastle Port - Kooragang,,,0.0006614,Poor,Good,5
111031231,Shortland - Jesmond,15900,Newcastle,1,Good,Good,0
111031232,Stockton - Fullerton Cove,16400,Port Stephens,0.4446435,Good,Good,0
111031232,Stockton - Fullerton Cove,15900,Newcastle,0.5553565,Good,Good,0
111031233,Wallsend - Elermore Vale,14650,Lake Macquarie,0.0141933,Good,Good,0
111031233,Wallsend - Elermore Vale,15900,Newcastle,0.9858067,Good,Good,0
111031234,Waratah - North Lambton,15900,Newcastle,1,Good,Good,0
111031235,Wickham - Carrington - Tighes Hill,15900,Newcastle,1,Good,Good,0
112011236,Ballina,10250,Ballina,1,Good,Good,0
112011237,Ballina Region,10250,Ballina,1,Good,Good,0
112011238,Bangalow,11350,Byron,1,Good,Good,0
112011239,Brunswick Heads - Ocean Shores,11350,Byron,1,Good,Good,0
112011240,Byron Bay,11350,Byron,1,Good,Good,0
112011241,Evans Head,16610,Richmond Valley,0.9843295,Good,Good,0
112011241,Evans Head,14850,Lismore,0.0156705,Good,Good,0
112011242,Lennox Head - Skennars Head,10250,Ballina,1,Good,Good,0
112011243,Mullumbimby,11350,Byron,1,Good,Good,0
112021244,Casino,16610,Richmond Valley,1,Good,Good,0
112021245,Casino Region,16610,Richmond Valley,0.7695585,Good,Good,0
112021245,Casino Region,14550,Kyogle,0.2304357,Acceptable,Good,0
112021245,Casino Region,11730,Clarence Valley,0.0000057,Good,Good,1
112021246,Goonellabah,14850,Lismore,1,Good,Good,0
112021247,Kyogle,14550,Kyogle,1,Acceptable,Good,0
112021248,Lismore,14850,Lismore,1,Good,Good,0
112021249,Lismore Region,10250,Ballina,0.0069115,Good,Good,1
112021249,Lismore Region,16610,Richmond Valley,0.004187,Good,Good,1
112021249,Lismore Region,14850,Lismore,0.9738812,Good,Good,0
112021249,Lismore Region,14550,Kyogle,0.0027258,Acceptable,Good,1
112021249,Lismore Region,11350,Byron,0.0122946,Good,Good,0
112031250,Kingscliff - Fingal Head,17550,Tweed,1,Good,Good,0
112031251,Murwillumbah,17550,Tweed,1,Good,Good,0
