POSTCODE,LGA_CODE_2022,LGA_NAME_2022,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
2116,16260,Parramatta,1,Acceptable,Good,0
2117,16260,Parramatta,1,Acceptable,Good,0
2118,17420,The Hills,0.0000004,Acceptable,Good,1
2118,16260,Parramatta,0.9999996,Acceptable,Good,0
2119,16260,Parramatta,0.2105825,Acceptable,Good,0
2119,14000,Hornsby,0.7894175,Acceptable,Good,0
2120,14000,Hornsby,1,Acceptable,Good,0
2121,14000,Hornsby,0.1358748,Acceptable,Good,0
2121,16260,Parramatta,0.8641252,Acceptable,Good,0
2122,16260,Parramatta,0.14736,Acceptable,Good,0
2122,16700,Ryde,0.85264,Good,Good,0
2125,14000,Hornsby,0.2467032,Acceptable,Good,0
2125,17420,The Hills,0.7532968,Acceptable,Good,0
2126,14000,Hornsby,1,Acceptable,Good,0
2127,11520,Canada Bay,0.0000013,Good,Good,1
2127,16260,Parramatta,0.9999987,Acceptable,Good,0
2128,16260,Parramatta,1,Acceptable,Good,0
2130,14170,Inner West,1,Good,Good,0
2131,14170,Inner West,1,Good,Good,0
2132,14170,Inner West,0.3959499,Good,Good,0
2132,11300,Burwood,0.6040501,Poor,Good,0
2133,14170,Inner West,0.0773226,Good,Good,0
2133,11570,Canterbury-Bankstown,0.3808096,Good,Good,0
2133,11300,Burwood,0.5418678,Poor,Good,0
2134,11300,Burwood,1,Poor,Good,0
2135,11520,Canada Bay,0.0947867,Good,Good,0
2135,11300,Burwood,0.2083238,Poor,Good,0
2135,17100,Strathfield,0.6968895,Acceptable,Good,0
2136,17100,Strathfield,0.4662239,Acceptable,Good,0
2136,11300,Burwood,0.5337761,Poor,Good,0
2137,11520,Canada Bay,1,Good,Good,0
2138,11520,Canada Bay,1,Good,Good,0
2140,11520,Canada Bay,0.0000011,Good,Good,1
2140,17100,Strathfield,0.9999989,Acceptable,Good,0
2141,16260,Parramatta,0.0885962,Acceptable,Good,0
2141,12380,Cumberland,0.9114038,Acceptable,Good,0
2142,16260,Parramatta,0.3599926,Acceptable,Good,0
2142,12380,Cumberland,0.6400074,Acceptable,Good,0
2143,12380,Cumberland,0.4398974,Acceptable,Good,0
2143,11570,Canterbury-Bankstown,0.5601026,Good,Good,0
2144,12380,Cumberland,1,Acceptable,Good,0
2145,16260,Parramatta,0.211575,Acceptable,Good,0
2145,12380,Cumberland,0.788425,Acceptable,Good,0
2146,12380,Cumberland,0.1736714,Acceptable,Good,0
2146,10750,Blacktown,0.2579593,Good,Good,0
2146,16260,Parramatta,0.5683693,Acceptable,Good,0
2147,16260,Parramatta,0.0000013,Acceptable,Good,1
2147,10750,Blacktown,0.9999987,Good,Good,0
2148,12380,Cumberland,0.0000012,Acceptable,Good,1
2148,10750,Blacktown,0.9999988,Good,Good,0
2150,16260,Parramatta,1,Acceptable,Good,0
2151,17420,The Hills,0.0274247,Acceptable,Good,0
2151,16260,Parramatta,0.9725753,Acceptable,Good,0
2152,16260,Parramatta,1,Acceptable,Good,0
2153,16260,Parramatta,0.2080873,Acceptable,Good,0
2153,17420,The Hills,0.7919127,Acceptable,Good,0
2154,14000,Hornsby,0.1414322,Acceptable,Good,0
2154,17420,The Hills,0.8585678,Acceptable,Good,0
2155,10750,Blacktown,0.1775221,Good,Good,0
2155,17420,The Hills,0.8224779,Acceptable,Good,0
2156,14000,Hornsby,0.0267404,Acceptable,Good,0
2156,17420,The Hills,0.9732596,Acceptable,Good,0
2157,14000,Hornsby,0.4268325,Acceptable,Good,0
2157,17420,The Hills,0.5731675,Acceptable,Good,0
2158,17420,The Hills,0.3722849,Acceptable,Good,0
2158,14000,Hornsby,0.6277151,Acceptable,Good,0
2159,14000,Hornsby,1,Acceptable,Good,0
2160,16260,Parramatta,0.0000008,Acceptable,Good,1
2160,12380,Cumberland,0.9999992,Acceptable,Good,0
2161,12850,Fairfield,0.1313455,Good,Good,0
2161,12380,Cumberland,0.8686545,Acceptable,Good,0
2162,12380,Cumberland,0.0403388,Acceptable,Good,0
2162,11570,Canterbury-Bankstown,0.9596612,Good,Good,0
2163,11570,Canterbury-Bankstown,0.4630148,Good,Good,0
2163,12850,Fairfield,0.5369852,Good,Good,0
2164,12380,Cumberland,0.0807688,Acceptable,Good,0
2164,12850,Fairfield,0.9192312,Good,Good,0
2165,12380,Cumberland,0.0034588,Acceptable,Good,1
2165,12850,Fairfield,0.9965412,Good,Good,0
2166,12850,Fairfield,1,Good,Good,0
2167,11500,Campbelltown (NSW),1,Good,Good,0
2168,14900,Liverpool,1,Good,Good,0
2170,12850,Fairfield,0.0868738,Good,Good,0
2170,14900,Liverpool,0.9131262,Good,Good,0
2171,14900,Liverpool,1,Good,Good,0
2172,17150,Sutherland,0.207625,Good,Good,0
2172,14900,Liverpool,0.792375,Good,Good,0
2173,17150,Sutherland,0.0000017,Good,Good,1
2173,11500,Campbelltown (NSW),0.0003449,Good,Good,1
2173,14900,Liverpool,0.9996534,Good,Good,0
2174,14900,Liverpool,1,Good,Good,0
2175,12850,Fairfield,1,Good,Good,0
2176,12850,Fairfield,1,Good,Good,0
2177,12850,Fairfield,1,Good,Good,0
2178,12850,Fairfield,0.1955876,Good,Good,0
2178,14900,Liverpool,0.3894187,Good,Good,0
2178,16350,Penrith,0.4149937,Good,Good,0
2179,11450,Camden,0.4971009,Acceptable,Good,0
2179,14900,Liverpool,0.5028991,Good,Good,0
2190,17100,Strathfield,0.0598763,Acceptable,Good,0
2190,11570,Canterbury-Bankstown,0.9401237,Good,Good,0
2191,17100,Strathfield,0.2354317,Acceptable,Good,0
2191,11570,Canterbury-Bankstown,0.7645683,Good,Good,0
2192,11570,Canterbury-Bankstown,1,Good,Good,0
2193,14170,Inner West,0.0327833,Good,Good,0
2193,11570,Canterbury-Bankstown,0.9672167,Good,Good,0
2194,11570,Canterbury-Bankstown,1,Good,Good,0
2195,11570,Canterbury-Bankstown,1,Good,Good,0
2196,11570,Canterbury-Bankstown,1,Good,Good,0
2197,11570,Canterbury-Bankstown,1,Good,Good,0
2198,11570,Canterbury-Bankstown,1,Good,Good,0
2199,11570,Canterbury-Bankstown,1,Good,Good,0
2200,11570,Canterbury-Bankstown,1,Good,Good,0
2203,14170,Inner West,1,Good,Good,0
2204,11570,Canterbury-Bankstown,0.0000004,Good,Good,1
2204,14170,Inner West,0.9999996,Good,Good,0
2205,10500,Bayside (NSW),1,Acceptable,Good,0
2206,11570,Canterbury-Bankstown,1,Good,Good,0
2207,10500,Bayside (NSW),1,Acceptable,Good,0
2208,10500,Bayside (NSW),0.2226628,Acceptable,Good,0
2208,12930,Georges River,0.283442,Acceptable,Good,0
2208,11570,Canterbury-Bankstown,0.4938952,Good,Good,0
2209,11570,Canterbury-Bankstown,0.327113,Good,Good,0
2209,12930,Georges River,0.672887,Acceptable,Good,0
2210,11570,Canterbury-Bankstown,0.2070391,Good,Good,0
2210,12930,Georges River,0.7929609,Acceptable,Good,0
2211,11570,Canterbury-Bankstown,1,Good,Good,0
2212,11570,Canterbury-Bankstown,1,Good,Good,0
2213,11570,Canterbury-Bankstown,1,Good,Good,0
2214,11570,Canterbury-Bankstown,1,Good,Good,0
2216,10500,Bayside (NSW),1,Acceptable,Good,0
2217,12930,Georges River,0.411693,Acceptable,Good,0
2217,10500,Bayside (NSW),0.588307,Acceptable,Good,0
2218,10500,Bayside (NSW),0.2437902,Acceptable,Good,0
2218,12930,Georges River,0.7562098,Acceptable,Good,0
2219,12930,Georges River,0.2014078,Acceptable,Good,0
2219,10500,Bayside (NSW),0.7985922,Acceptable,Good,0
2220,12930,Georges River,1,Acceptable,Good,0
2221,12930,Georges River,1,Acceptable,Good,0
2222,12930,Georges River,1,Acceptable,Good,0
2223,12930,Georges River,1,Acceptable,Good,0
2224,17150,Sutherland,1,Good,Good,0
2225,17150,Sutherland,1,Good,Good,0
2226,17150,Sutherland,1,Good,Good,0
2227,17150,Sutherland,1,Good,Good,0
2228,17150,Sutherland,1,Good,Good,0
2229,17150,Sutherland,1,Good,Good,0
2230,17150,Sutherland,1,Good,Good,0
2231,17150,Sutherland,1,Good,Good,0
2232,17150,Sutherland,1,Good,Good,0
2233,17150,Sutherland,1,Good,Good,0
2234,17150,Sutherland,1,Good,Good,0
2250,13800,Hawkesbury,0.0000846,Acceptable,Good,1
2250,11720,Cessnock,0.0023345,Acceptable,Good,1
2250,11650,Central Coast (NSW),0.997581,Good,Good,0
2251,11650,Central Coast (NSW),1,Good,Good,0
2256,11650,Central Coast (NSW),1,Good,Good,0
2257,11650,Central Coast (NSW),1,Good,Good,0
2258,11650,Central Coast (NSW),1,Good,Good,0
2259,11720,Cessnock,0.0000002,Acceptable,Good,1
2259,14650,Lake Macquarie,0.0615625,Good,Good,0
2259,11650,Central Coast (NSW),0.9384373,Good,Good,0
2260,11650,Central Coast (NSW),1,Good,Good,0
2261,11650,Central Coast (NSW),1,Good,Good,0
2262,11650,Central Coast (NSW),1,Good,Good,0
2263,11650,Central Coast (NSW),1,Good,Good,0
2264,14650,Lake Macquarie,1,Good,Good,0
2265,11720,Cessnock,0.0000011,Acceptable,Good,1
2265,14650,Lake Macquarie,0.9999989,Good,Good,0
2267,14650,Lake Macquarie,1,Good,Good,0
2278,14650,Lake Macquarie,1,Good,Good,0
2280,14650,Lake Macquarie,1,Good,Good,0
2281,14650,Lake Macquarie,1,Good,Good,0
2282,14650,Lake Macquarie,1,Good,Good,0
2283,14650,Lake Macquarie,1,Good,Good,0
2284,14650,Lake Macquarie,1,Good,Good,0
2285,15900,Newcastle,0.0000435,Good,Good,1
2285,14650,Lake Macquarie,0.9999565,Good,Good,0
2286,14650,Lake Macquarie,1,Good,Good,0
2287,14650,Lake Macquarie,0.0311339,Good,Good,0
2287,15900,Newcastle,0.9688661,Good,Good,0
2289,14650,Lake Macquarie,0.2502797,Good,Good,0
2289,15900,Newcastle,0.7497203,Good,Good,0
2290,14650,Lake Macquarie,1,Good,Good,0
2291,15900,Newcastle,1,Good,Good,0
2292,15900,Newcastle,1,Good,Good,0
2293,15900,Newcastle,1,Good,Good,0
2294,15900,Newcastle,1,Good,Good,0
2295,16400,Port Stephens,0.4996568,Acceptable,Good,0
2295,15900,Newcastle,0.5003432,Good,Good,0
2296,15900,Newcastle,1,Good,Good,0
2297,15900,Newcastle,1,Good,Good,0
2298,15900,Newcastle,1,Good,Good,0
2299,15900,Newcastle,1,Good,Good,0
2300,15900,Newcastle,1,Good,Good,0
2302,15900,Newcastle,1,Good,Good,0
2303,15900,Newcastle,1,Good,Good,0
2304,15900,Newcastle,1,Good,Good,0
2305,14650,Lake Macquarie,0.1265219,Good,Good,0
2305,15900,Newcastle,0.8734781,Good,Good,0
2306,14650,Lake Macquarie,1,Good,Good,0
2307,15900,Newcastle,1,Good,Good,0
2308,15900,Newcastle,1,Good,Good,0
2311,12700,Dungog,1,Acceptable,Good,0
2312,15240,Mid-Coast,1,Good,Good,0
2315,16400,Port Stephens,1,Acceptable,Good,0
2316,16400,Port Stephens,1,Acceptable,Good,0
2317,16400,Port Stephens,1,Acceptable,Good,0
2318,16400,Port Stephens,1,Acceptable,Good,0
2319,16400,Port Stephens,1,Acceptable,Good,0
2320,12700,Dungog,0.0004345,Acceptable,Good,1
2320,17000,Singleton,0.0031424,Good,Good,1
2320,11720,Cessnock,0.0296976,Acceptable,Good,0
2320,16400,Port Stephens,0.0365622,Acceptable,Good,0
2320,15050,Maitland,0.9301633,Acceptable,Good,0
2321,16400,Port Stephens,0.084098,Acceptable,Good,0
2321,12700,Dungog,0.1305208,Acceptable,Good,0
2321,11720,Cessnock,0.2589102,Acceptable,Good,0
2321,15050,Maitland,0.5264709,Acceptable,Good,0
2322,11720,Cessnock,0.011111,Acceptable,Good,0
2322,16400,Port Stephens,0.0111958,Acceptable,Good,0
2322,15900,Newcastle,0.2278758,Good,Good,0
2322,15050,Maitland,0.7498174,Acceptable,Good,0
2323,14650,Lake Macquarie,0.0045392,Good,Good,1
2323,11720,Cessnock,0.0626628,Acceptable,Good,0
2323,15050,Maitland,0.932798,Acceptable,Good,0
2324,15050,Maitland,0.013986,Acceptable,Good,0
2324,15240,Mid-Coast,0.2439557,Good,Good,0
2324,16400,Port Stephens,0.7420583,Acceptable,Good,0
2325,11650,Central Coast (NSW),0.0000001,Good,Good,1
2325,14650,Lake Macquarie,0.0000003,Good,Good,1
2325,17000,Singleton,0.0000986,Good,Good,1
2325,11720,Cessnock,0.999901,Acceptable,Good,0
2326,15050,Maitland,0.0177655,Acceptable,Good,0
2326,11720,Cessnock,0.9822345,Acceptable,Good,0
2327,11720,Cessnock,1,Acceptable,Good,0
2328,15650,Muswellbrook,1,Good,Good,0
2329,18020,Warrumbungle,0.0188987,Good,Good,0
2329,17620,Upper Hunter,0.9811013,Good,Good,0
2330,13800,Hawkesbury,0.0000005,Acceptable,Good,1
2330,14870,Lithgow,0.0000007,Good,Good,1
2330,15650,Muswellbrook,0.0096,Good,Good,1
2330,17000,Singleton,0.9903989,Good,Good,0
2331,17000,Singleton,1,Good,Good,0
2333,17000,Singleton,0.0000018,Good,Good,1
2333,17620,Upper Hunter,0.0132496,Good,Good,0
2333,15650,Muswellbrook,0.9867486,Good,Good,0
2334,15050,Maitland,0.0184072,Acceptable,Good,0
2334,11720,Cessnock,0.9815928,Acceptable,Good,0
2335,15050,Maitland,0.0143758,Acceptable,Good,0
2335,17000,Singleton,0.3254222,Good,Good,0
2335,11720,Cessnock,0.660202,Acceptable,Good,0
2336,15650,Muswellbrook,0.0100243,Good,Good,0
2336,17620,Upper Hunter,0.9899757,Good,Good,0
2337,15240,Mid-Coast,0.0000012,Good,Good,1
2337,17620,Upper Hunter,0.9999988,Good,Good,0
2338,17310,Tamworth,0.0264291,Good,Good,0
2338,14920,Liverpool Plains,0.0335916,Good,Good,0
2338,17620,Upper Hunter,0.9399793,Good,Good,0
2339,14920,Liverpool Plains,1,Good,Good,0
2340,14920,Liverpool Plains,0.0000002,Good,Good,1
2340,17620,Upper Hunter,0.0000002,Good,Good,1
2340,13550,Gunnedah,0.0062439,Good,Good,1
2340,17310,Tamworth,0.9937557,Good,Good,0
2341,13550,Gunnedah,0.0037235,Good,Good,1
2341,14920,Liverpool Plains,0.9962765,Good,Good,0
2342,17310,Tamworth,0.0047671,Good,Good,1
2342,13550,Gunnedah,0.2258479,Good,Good,0
2342,14920,Liverpool Plains,0.7693851,Good,Good,0
2343,13550,Gunnedah,0.0069907,Good,Good,1
2343,14920,Liverpool Plains,0.9930093,Good,Good,0
2344,17310,Tamworth,1,Good,Good,0
2345,17310,Tamworth,1,Good,Good,0
2346,17310,Tamworth,1,Good,Good,0
2347,15750,Narrabri,0.0002716,Good,Good,1
2347,13660,Gwydir,0.1663686,Acceptable,Good,0
2347,17310,Tamworth,0.8333598,Good,Good,0
2350,17650,Uralla,0.051315,Poor,Good,0
2350,10180,Armidale,0.948685,Good,Good,0
2352,17310,Tamworth,1,Good,Good,0
2353,17310,Tamworth,1,Good,Good,0
2354,17620,Upper Hunter,0.0000029,Good,Good,1
2354,16380,Port Macquarie-Hastings,0.000004,Good,Good,1
2354,17310,Tamworth,0.0448899,Good,Good,0
2354,17650,Uralla,0.0886023,Poor,Good,0
2354,17850,Walcha,0.8665009,Acceptable,Good,0
2355,17310,Tamworth,1,Good,Good,0
2356,15750,Narrabri,1,Good,Good,0
2357,18020,Warrumbungle,1,Good,Good,0
2358,17650,Uralla,1,Poor,Good,0
2359,17310,Tamworth,0.0168874,Good,Good,0
2359,14220,Inverell,0.036573,Good,Good,0
2359,13660,Gwydir,0.1744284,Acceptable,Good,0
2359,17650,Uralla,0.7721111,Poor,Good,0
2360,13660,Gwydir,0.0020559,Acceptable,Good,1
2360,14220,Inverell,0.9979441,Good,Good,0
2361,14220,Inverell,1,Good,Good,0
2365,11730,Clarence Valley,0.0000027,Good,Good,1
2365,17650,Uralla,0.0000027,Poor,Good,1
2365,14220,Inverell,0.0212026,Good,Good,0
2365,13010,Glen Innes Severn,0.0803351,Good,Good,0
2365,10180,Armidale,0.898457,Good,Good,0
2369,10180,Armidale,0.0000114,Good,Good,1
2369,14220,Inverell,0.9999886,Good,Good,0
2370,10180,Armidale,0.0012888,Good,Good,1
2370,11730,Clarence Valley,0.0023202,Good,Good,1
2370,14220,Inverell,0.0110819,Good,Good,0
2370,13010,Glen Innes Severn,0.9853091,Good,Good,0
2371,14220,Inverell,0.0254107,Good,Good,0
2371,17400,Tenterfield,0.167275,Acceptable,Good,0
2371,13010,Glen Innes Severn,0.8073142,Good,Good,0
2372,17400,Tenterfield,1,Acceptable,Good,0
2379,18020,Warrumbungle,0.4197303,Good,Good,0
2379,13550,Gunnedah,0.5802697,Good,Good,0
2380,13550,Gunnedah,1,Good,Good,0
2381,18020,Warrumbungle,0.0780329,Good,Good,0
2381,14920,Liverpool Plains,0.0922729,Good,Good,0
2381,13550,Gunnedah,0.8296942,Good,Good,0
2382,13550,Gunnedah,0.074223,Good,Good,0
2382,15750,Narrabri,0.925777,Good,Good,0
2386,15750,Narrabri,0.241708,Good,Good,0
2386,17900,Walgett,0.758292,Good,Good,0
2387,15300,Moree Plains,0.0971056,Good,Good,0
2387,15750,Narrabri,0.1311933,Good,Good,0
2387,17900,Walgett,0.7717011,Good,Good,0
2388,12150,Coonamble,0.0000039,Good,Good,1
2388,13550,Gunnedah,0.0000039,Good,Good,1
2388,17900,Walgett,0.014569,Good,Good,0
2388,15750,Narrabri,0.9854232,Good,Good,0
2390,13660,Gwydir,0.0048142,Acceptable,Good,1
