LGA_CODE_2021,LGA_NAME_2021,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
11800,Coffs Harbour,133,Page,0.31789,Acceptable,Poor,0
12000,Coolamon,139,Riverina,1,Good,Poor,0
12150,Coonamble,134,Parkes,1,Good,Poor,0
12160,Cootamundra-Gundagai Regional,139,Riverina,1,Good,Poor,0
12350,Cowra,139,Riverina,1,Good,Poor,0
12380,Cumberland,105,Blaxland,0.2896352,Poor,Poor,0
12380,Cumberland,115,Fowler,0.000663,Poor,Poor,1
12380,Cumberland,118,Greenway,0.0535979,Poor,Poor,0
12380,Cumberland,128,McMahon,0.3138933,Poor,Poor,0
12380,Cumberland,135,Parramatta,0.2735595,Poor,Poor,0
12380,Cumberland,137,Reid,0.0434443,Poor,Poor,0
12380,Cumberland,144,Watson,0.0252069,Poor,Poor,0
12390,Dubbo Regional,107,Calare,0.1603134,Good,Poor,0
12390,Dubbo Regional,134,Parkes,0.8396866,Good,Poor,0
12700,Dungog,124,Lyne,1,Acceptable,Poor,0
12730,Edward River,114,Farrer,1,Good,Poor,0
12750,Eurobodalla,113,Eden-Monaro,0.2093509,Good,Poor,0
12750,Eurobodalla,116,Gilmore,0.7906491,Good,Poor,0
12850,Fairfield,115,Fowler,0.6052713,Poor,Poor,0
12850,Fairfield,128,McMahon,0.3251785,Poor,Poor,0
12850,Fairfield,146,Werriwa,0.0695502,Poor,Poor,0
12870,Federation,114,Farrer,1,Good,Poor,0
12900,Forbes,139,Riverina,1,Good,Poor,0
12930,Georges River,101,Banks,0.6430086,Poor,Poor,0
12930,Georges River,102,Barton,0.2543744,Poor,Poor,0
12930,Georges River,109,Cook,0.102617,Poor,Poor,0
12930,Georges River,144,Watson,1.00E-07,Poor,Poor,1
12950,Gilgandra,134,Parkes,1,Good,Poor,0
13010,Glen Innes Severn,130,New England,1,Good,Poor,0
13310,Goulburn Mulwaree,120,Hume,1,Poor,Poor,0
13340,Greater Hume Shire,114,Farrer,1,Good,Poor,0
13450,Griffith,114,Farrer,1,Good,Poor,0
13550,Gunnedah,134,Parkes,1,Good,Poor,0
13660,Gwydir,130,New England,0.4275658,Good,Poor,0
13660,Gwydir,134,Parkes,0.5724342,Good,Poor,0
13800,Hawkesbury,127,Macquarie,1,Good,Poor,0
13850,Hay,114,Farrer,1,Good,Poor,0
13910,Hilltops,120,Hume,0.1379412,Poor,Poor,0
13910,Hilltops,139,Riverina,0.8620588,Good,Poor,0
14000,Hornsby,103,Bennelong,0.0307324,Poor,Poor,0
14000,Hornsby,104,Berowra,0.7779104,Poor,Poor,0
14000,Hornsby,106,Bradfield,0.1913571,Acceptable,Poor,0
14100,Hunters Hill,132,North Sydney,1,Acceptable,Poor,0
14170,Inner West,102,Barton,0.0779279,Poor,Poor,0
14170,Inner West,117,Grayndler,0.804474,Acceptable,Poor,0
14170,Inner West,137,Reid,0.0291656,Poor,Poor,0
14170,Inner West,142,Sydney,0.0276688,Good,Poor,0
14170,Inner West,144,Watson,0.0607639,Poor,Poor,0
14220,Inverell,130,New England,1,Good,Poor,0
14300,Junee,139,Riverina,1,Good,Poor,0
14350,Kempsey,110,Cowper,1,Acceptable,Poor,0
14400,Kiama,116,Gilmore,1,Good,Poor,0
14500,Ku-ring-gai,106,Bradfield,1,Acceptable,Poor,0
14550,Kyogle,133,Page,1,Acceptable,Poor,0
14600,Lachlan,134,Parkes,1,Good,Poor,0
14650,Lake Macquarie,121,Hunter,0.4216666,Poor,Poor,0
14650,Lake Macquarie,131,Newcastle,0.0178044,Good,Poor,0
14650,Lake Macquarie,141,Shortland,0.560529,Poor,Poor,0
14700,Lane Cove,132,North Sydney,1,Acceptable,Poor,0
14750,Leeton,114,Farrer,1,Good,Poor,0
14850,Lismore,133,Page,1,Acceptable,Poor,0
14870,Lithgow,107,Calare,1,Good,Poor,0
14900,Liverpool,115,Fowler,0.2020057,Poor,Poor,0
14900,Liverpool,119,Hughes,0.1366737,Poor,Poor,0
14900,Liverpool,120,Hume,0.0083195,Poor,Poor,1
14900,Liverpool,146,Werriwa,0.6530011,Poor,Poor,0
14920,Liverpool Plains,130,New England,1,Good,Poor,0
14950,Lockhart,139,Riverina,1,Good,Poor,0
15050,Maitland,121,Hunter,0.0004883,Poor,Poor,1
15050,Maitland,124,Lyne,0.1025336,Acceptable,Poor,0
15050,Maitland,136,Paterson,0.8969781,Acceptable,Poor,0
15240,Mid-Coast,124,Lyne,1,Acceptable,Poor,0
15270,Mid-Western Regional,107,Calare,1,Good,Poor,0
15300,Moree Plains,134,Parkes,1,Good,Poor,0
15350,Mosman,143,Warringah,1,Poor,Poor,0
15520,Murray River,114,Farrer,1,Good,Poor,0
15560,Murrumbidgee,114,Farrer,1,Good,Poor,0
15650,Muswellbrook,121,Hunter,1,Poor,Poor,0
15700,Nambucca Valley,110,Cowper,1,Acceptable,Poor,0
15750,Narrabri,134,Parkes,1,Good,Poor,0
15800,Narrandera,114,Farrer,1,Good,Poor,0
15850,Narromine,134,Parkes,1,Good,Poor,0
15900,Newcastle,121,Hunter,0.0061035,Poor,Poor,1
15900,Newcastle,131,Newcastle,0.9612638,Good,Poor,0
15900,Newcastle,136,Paterson,0.0320526,Acceptable,Poor,0
15900,Newcastle,141,Shortland,0.0005802,Poor,Poor,1
15950,North Sydney,132,North Sydney,0.7921654,Acceptable,Poor,0
15950,North Sydney,143,Warringah,0.2078346,Poor,Poor,0
15990,Northern Beaches,126,Mackellar,0.5892783,Poor,Poor,0
15990,Northern Beaches,143,Warringah,0.4107217,Poor,Poor,0
16100,Oberon,107,Calare,1,Good,Poor,0
16150,Orange,107,Calare,1,Good,Poor,0
16200,Parkes,139,Riverina,1,Good,Poor,0
16260,Parramatta,103,Bennelong,0.223924,Poor,Poor,0
16260,Parramatta,104,Berowra,0.0114345,Poor,Poor,0
16260,Parramatta,118,Greenway,2.00E-07,Poor,Poor,1
16260,Parramatta,129,Mitchell,0.1086969,Poor,Poor,0
16260,Parramatta,135,Parramatta,0.5403834,Poor,Poor,0
16260,Parramatta,137,Reid,0.115561,Poor,Poor,0
16350,Penrith,120,Hume,0.0072087,Poor,Poor,1
16350,Penrith,123,Lindsay,0.8630145,Acceptable,Poor,0
16350,Penrith,128,McMahon,0.1297768,Poor,Poor,0
16380,Port Macquarie-Hastings,110,Cowper,0.6009485,Acceptable,Poor,0
16380,Port Macquarie-Hastings,124,Lyne,0.3990515,Acceptable,Poor,0
16400,Port Stephens,124,Lyne,0.0976211,Acceptable,Poor,0
16400,Port Stephens,136,Paterson,0.9023789,Acceptable,Poor,0
16490,Queanbeyan-Palerang Regional,113,Eden-Monaro,1,Good,Poor,0
16550,Randwick,122,Kingsford Smith,0.9174679,Poor,Poor,0
16550,Randwick,145,Wentworth,0.0825321,Acceptable,Poor,0
16610,Richmond Valley,133,Page,1,Acceptable,Poor,0
16700,Ryde,103,Bennelong,1,Poor,Poor,0
16900,Shellharbour,147,Whitlam,1,Poor,Poor,0
16950,Shoalhaven,116,Gilmore,1,Good,Poor,0
17000,Singleton,121,Hunter,1,Poor,Poor,0
17040,Snowy Monaro Regional,113,Eden-Monaro,1,Good,Poor,0
17080,Snowy Valleys,113,Eden-Monaro,1,Good,Poor,0
17100,Strathfield,137,Reid,0.8505931,Poor,Poor,0
17100,Strathfield,144,Watson,0.1494069,Poor,Poor,0
17150,Sutherland Shire,109,Cook,0.48572,Poor,Poor,0
17150,Sutherland Shire,119,Hughes,0.51428,Poor,Poor,0
17200,Sydney,122,Kingsford Smith,5.68E-05,Poor,Poor,1
17200,Sydney,142,Sydney,0.9389597,Good,Poor,0
17200,Sydney,145,Wentworth,0.0609835,Acceptable,Poor,0
17310,Tamworth Regional,130,New England,1,Good,Poor,0
17350,Temora,139,Riverina,1,Good,Poor,0
17400,Tenterfield,130,New England,1,Good,Poor,0
17420,The Hills Shire,104,Berowra,0.1641573,Poor,Poor,0
17420,The Hills Shire,129,Mitchell,0.8358427,Poor,Poor,0
17550,Tweed,138,Richmond,1,Good,Poor,0
17620,Upper Hunter Shire,130,New England,1,Good,Poor,0
17640,Upper Lachlan Shire,120,Hume,1,Poor,Poor,0
17650,Uralla,130,New England,1,Good,Poor,0
17750,Wagga Wagga,139,Riverina,1,Good,Poor,0
17850,Walcha,130,New England,1,Good,Poor,0
17900,Walgett,134,Parkes,1,Good,Poor,0
17950,Warren,134,Parkes,1,Good,Poor,0
18020,Warrumbungle Shire,134,Parkes,1,Good,Poor,0
18050,Waverley,145,Wentworth,1,Acceptable,Poor,0
18100,Weddin,139,Riverina,1,Good,Poor,0
18200,Wentworth,114,Farrer,1,Good,Poor,0
18250,Willoughby,106,Bradfield,0.2118028,Acceptable,Poor,0
18250,Willoughby,132,North Sydney,0.7881972,Acceptable,Poor,0
18350,Wingecarribee,120,Hume,0.2532036,Poor,Poor,0
18350,Wingecarribee,147,Whitlam,0.7467964,Poor,Poor,0
18400,Wollondilly,111,Cunningham,0.000315,Acceptable,Poor,1
18400,Wollondilly,120,Hume,0.9996846,Poor,Poor,0
18400,Wollondilly,127,Macquarie,4.00E-07,Good,Poor,1
18450,Wollongong,111,Cunningham,0.7531454,Acceptable,Poor,0
18450,Wollongong,147,Whitlam,0.2468546,Poor,Poor,0
18500,Woollahra,145,Wentworth,1,Acceptable,Poor,0
18710,Yass Valley,113,Eden-Monaro,1,Good,Poor,0
19399,Unincorporated NSW,134,Parkes,0.5497438,Good,Poor,0
19399,Unincorporated NSW,142,Sydney,0.4502462,Good,Poor,0
19399,Unincorporated NSW,145,Wentworth,1.01E-05,Acceptable,Poor,1
19499,No usual address (NSW),194,No usual address (NSW),1,Good,Poor,0
19799,Migratory - Offshore - Shipping (NSW),197,Migratory - Offshore - Shipping (NSW),1,Good,Poor,0
20110,Alpine,223,Indi,1,Good,Poor,0
20260,Ararat,238,Wannon,1,Good,Poor,0
20570,Ballarat,202,Ballarat,1,Good,Poor,0
20660,Banyule,225,Jagajaga,1,Good,Poor,0
20740,Bass Coast,235,Monash,1,Good,Poor,0
20830,Baw Baw,216,Gippsland,0.000573,Good,Poor,1
20830,Baw Baw,235,Monash,0.999427,Good,Poor,0
20910,Bayside (Vic.),217,Goldstein,1,Acceptable,Poor,0
21010,Benalla,223,Indi,1,Good,Poor,0
21110,Boroondara,220,Higgins,0.121797,Poor,Poor,0
21110,Boroondara,226,Kooyong,0.8782026,Acceptable,Poor,0
21110,Boroondara,234,Menzies,4.00E-07,Acceptable,Poor,1
21180,Brimbank,214,Fraser,0.5093387,Poor,Poor,0
21180,Brimbank,218,Gorton,0.4767102,Poor,Poor,0
21180,Brimbank,231,Maribyrnong,0.0139511,Acceptable,Poor,0
21270,Buloke,230,Mallee,1,Good,Poor,0
21370,Campaspe,236,Nicholls,1,Good,Poor,0
21450,Cardinia,206,Casey,0.0116285,Good,Poor,0
21450,Cardinia,227,La Trobe,0.9883715,Poor,Poor,0
21610,Casey,204,Bruce,0.3430495,Poor,Poor,0
21610,Casey,221,Holt,0.5127197,Poor,Poor,0
21610,Casey,227,La Trobe,0.1442308,Poor,Poor,0
21670,Central Goldfields,230,Mallee,1,Good,Poor,0
21750,Colac Otway,238,Wannon,1,Good,Poor,0
21830,Corangamite,238,Wannon,1,Good,Poor,0
21890,Darebin,208,Cooper,1,Good,Poor,0
22110,East Gippsland,216,Gippsland,1,Good,Poor,0
22170,Frankston,212,Dunkley,1,Acceptable,Poor,0
22250,Gannawarra,230,Mallee,1,Good,Poor,0
22310,Glen Eira,217,Goldstein,0.358639,Acceptable,Poor,0
22310,Glen Eira,220,Higgins,0.2007193,Poor,Poor,0
22310,Glen Eira,222,Hotham,0.2058599,Poor,Poor,0
22310,Glen Eira,229,Macnamara,0.2347818,Poor,Poor,0
22410,Glenelg,238,Wannon,1,Good,Poor,0
22490,Golden Plains,202,Ballarat,0.6215221,Good,Poor,0
22490,Golden Plains,209,Corangamite,0.3784779,Poor,Poor,0
22620,Greater Bendigo,203,Bendigo,1,Good,Poor,0
22670,Greater Dandenong,204,Bruce,0.3115335,Poor,Poor,0
22670,Greater Dandenong,222,Hotham,0.5157183,Poor,Poor,0
22670,Greater Dandenong,224,Isaacs,0.1727482,Poor,Poor,0
22750,Greater Geelong,209,Corangamite,0.4126547,Poor,Poor,0
22750,Greater Geelong,210,Corio,0.5873453,Poor,Poor,0
22830,Greater Shepparton,236,Nicholls,1,Good,Poor,0
22910,Hepburn,202,Ballarat,1,Good,Poor,0
22980,Hindmarsh,230,Mallee,1,Good,Poor,0
23110,Hobsons Bay,215,Gellibrand,1,Poor,Poor,0
23190,Horsham,230,Mallee,1,Good,Poor,0
23270,Hume,205,Calwell,0.7729037,Acceptable,Poor,0
23270,Hume,219,Hawke,0.1661137,Poor,Poor,0
23270,Hume,231,Maribyrnong,0.0609826,Acceptable,Poor,0
23350,Indigo,223,Indi,1,Good,Poor,0
23430,Kingston (Vic.),222,Hotham,0.1576204,Poor,Poor,0
23430,Kingston (Vic.),224,Isaacs,0.8423796,Poor,Poor,0
23670,Knox,201,Aston,1,Good,Poor,0
23810,Latrobe (Vic.),216,Gippsland,0.7745391,Good,Poor,0
23810,Latrobe (Vic.),235,Monash,0.2254609,Good,Poor,0
23940,Loddon,230,Mallee,1,Good,Poor,0
24130,Macedon Ranges,203,Bendigo,0.2073943,Good,Poor,0
24130,Macedon Ranges,232,McEwen,0.7926057,Poor,Poor,0
24210,Manningham,234,Menzies,1,Acceptable,Poor,0
24250,Mansfield,223,Indi,1,Good,Poor,0
24330,Maribyrnong,214,Fraser,0.9062048,Poor,Poor,0
24330,Maribyrnong,215,Gellibrand,0.0937952,Poor,Poor,0
24410,Maroondah,211,Deakin,1,Acceptable,Poor,0
24600,Melbourne,229,Macnamara,0.2084005,Poor,Poor,0
24600,Melbourne,231,Maribyrnong,0.0722735,Acceptable,Poor,0
24600,Melbourne,233,Melbourne,0.719326,Acceptable,Poor,0
24650,Melton,218,Gorton,0.4765875,Poor,Poor,0
24650,Melton,219,Hawke,0.5234125,Poor,Poor,0
24780,Mildura,230,Mallee,1,Good,Poor,0
24850,Mitchell,203,Bendigo,0.0029921,Good,Poor,1
24850,Mitchell,232,McEwen,0.6651677,Poor,Poor,0
24850,Mitchell,236,Nicholls,0.3318402,Good,Poor,0
24900,Moira,236,Nicholls,1,Good,Poor,0
24970,Monash,204,Bruce,0.0237587,Poor,Poor,0
24970,Monash,207,Chisholm,0.6694352,Poor,Poor,0
24970,Monash,222,Hotham,0.3068061,Poor,Poor,0
25060,Moonee Valley,231,Maribyrnong,1,Acceptable,Poor,0
25150,Moorabool,202,Ballarat,0.1690218,Good,Poor,0
25150,Moorabool,219,Hawke,0.8309782,Poor,Poor,0
25250,Moreland,208,Cooper,0.0259434,Good,Poor,0
25250,Moreland,231,Maribyrnong,0.018132,Acceptable,Poor,0
25250,Moreland,233,Melbourne,0.0320008,Acceptable,Poor,0
25250,Moreland,239,Wills,0.9239238,Good,Poor,0
25340,Mornington Peninsula,212,Dunkley,0.1108379,Acceptable,Poor,0
25340,Mornington Peninsula,213,Flinders,0.8891621,Acceptable,Poor,0
25430,Mount Alexander,203,Bendigo,1,Good,Poor,0
25490,Moyne,238,Wannon,1,Good,Poor,0
25620,Murrindindi,223,Indi,1,Good,Poor,0
25710,Nillumbik,225,Jagajaga,0.5189102,Good,Poor,0
25710,Nillumbik,232,McEwen,0.4328836,Poor,Poor,0
25710,Nillumbik,234,Menzies,0.0482062,Acceptable,Poor,0
25810,Northern Grampians,230,Mallee,1,Good,Poor,0
25900,Port Phillip,229,Macnamara,1,Poor,Poor,0
25990,Pyrenees,230,Mallee,0.3291471,Good,Poor,0
25990,Pyrenees,238,Wannon,0.6708529,Good,Poor,0
26080,Queenscliffe,209,Corangamite,1,Poor,Poor,0
26170,South Gippsland,235,Monash,1,Good,Poor,0
26260,Southern Grampians,238,Wannon,1,Good,Poor,0
26350,Stonnington,220,Higgins,1,Poor,Poor,0
26430,Strathbogie,223,Indi,0.526627,Good,Poor,0
26430,Strathbogie,236,Nicholls,0.473373,Good,Poor,0
26490,Surf Coast,209,Corangamite,0.748492,Poor,Poor,0
26490,Surf Coast,238,Wannon,0.251508,Good,Poor,0
26610,Swan Hill,230,Mallee,1,Good,Poor,0
26670,Towong,223,Indi,1,Good,Poor,0
26700,Wangaratta,223,Indi,1,Good,Poor,0
26730,Warrnambool,238,Wannon,1,Good,Poor,0
26810,Wellington,216,Gippsland,0.9999991,Good,Poor,0
26810,Wellington,235,Monash,9.00E-07,Good,Poor,1
26890,West Wimmera,230,Mallee,1,Good,Poor,0
26980,Whitehorse,207,Chisholm,0.331719,Poor,Poor,0
26980,Whitehorse,211,Deakin,0.307507,Acceptable,Poor,0
26980,Whitehorse,226,Kooyong,0.0943142,Acceptable,Poor,0
26980,Whitehorse,234,Menzies,0.2664599,Acceptable,Poor,0
27070,Whittlesea,232,McEwen,0.2574176,Poor,Poor,0
27070,Whittlesea,237,Scullin,0.7425824,Poor,Poor,0
27170,Wodonga,223,Indi,1,Good,Poor,0
27260,Wyndham,215,Gellibrand,0.3103965,Poor,Poor,0
27260,Wyndham,228,Lalor,0.6896035,Poor,Poor,0
27350,Yarra,208,Cooper,0.0361389,Good,Poor,0
27350,Yarra,233,Melbourne,0.9638611,Acceptable,Poor,0
27450,Yarra Ranges,206,Casey,1,Good,Poor,0
27630,Yarriambiack,230,Mallee,1,Good,Poor,0
29399,Unincorporated Vic,213,Flinders,0.144993,Acceptable,Poor,0
29399,Unincorporated Vic,216,Gippsland,1.05E-05,Good,Poor,1
29399,Unincorporated Vic,223,Indi,0.8232997,Good,Poor,0
29399,Unincorporated Vic,235,Monash,0.0316864,Good,Poor,0
29399,Unincorporated Vic,238,Wannon,1.05E-05,Good,Poor,1
29499,No usual address (Vic.),294,No usual address (Vic.),1,Good,Poor,0
29799,Migratory - Offshore - Shipping (Vic.),297,Migratory - Offshore - Shipping (Vic.),1,Good,Poor,0
30250,Aurukun,318,Leichhardt,1,Acceptable,Poor,0
30300,Balonne,321,Maranoa,1,Acceptable,Poor,0
30370,Banana,311,Flynn,1,Acceptable,Poor,0
30410,Barcaldine,321,Maranoa,1,Acceptable,Poor,0
30450,Barcoo,321,Maranoa,1,Acceptable,Poor,0
30760,Blackall Tambo,321,Maranoa,1,Acceptable,Poor,0
30900,Boulia,317,Kennedy,1,Acceptable,Poor,0
31000,Brisbane,301,Blair,0.0049176,Poor,Poor,1
31000,Brisbane,302,Bonner,0.1311234,Poor,Poor,0
31000,Brisbane,304,Brisbane,0.1474118,Poor,Poor,0
31000,Brisbane,307,Dickson,0.0049931,Poor,Poor,1
31000,Brisbane,313,Griffith,0.1428459,Poor,Poor,0
31000,Brisbane,319,Lilley,0.1299388,Poor,Poor,0
31000,Brisbane,324,Moreton,0.135503,Poor,Poor,0
31000,Brisbane,325,Oxley,0.0934954,Poor,Poor,0
31000,Brisbane,326,Petrie,0.0392906,Poor,Poor,0
31000,Brisbane,327,Rankin,0.0386377,Poor,Poor,0
31000,Brisbane,328,Ryan,0.1318429,Poor,Poor,0
31750,Bulloo,321,Maranoa,1,Acceptable,Poor,0
31820,Bundaberg,311,Flynn,0.1670963,Acceptable,Poor,0
31820,Bundaberg,316,Hinkler,0.8329037,Acceptable,Poor,0
31900,Burdekin,306,Dawson,0.9885846,Poor,Poor,0
31900,Burdekin,317,Kennedy,0.0114154,Acceptable,Poor,0
31950,Burke,317,Kennedy,1,Acceptable,Poor,0
32080,Cairns,317,Kennedy,0.1993413,Acceptable,Poor,0
32080,Cairns,318,Leichhardt,0.8006587,Acceptable,Poor,0
32250,Carpentaria,317,Kennedy,0.9918145,Acceptable,Poor,0
32250,Carpentaria,318,Leichhardt,0.0081855,Acceptable,Poor,1
32260,Cassowary Coast,317,Kennedy,1,Acceptable,Poor,0
32270,Central Highlands (Qld),311,Flynn,1,Acceptable,Poor,0
32310,Charters Towers,317,Kennedy,1,Acceptable,Poor,0
32330,Cherbourg,329,Wide Bay,1,Acceptable,Poor,0
32450,Cloncurry,317,Kennedy,1,Acceptable,Poor,0
32500,Cook,318,Leichhardt,1,Acceptable,Poor,0
32600,Croydon,317,Kennedy,1,Acceptable,Poor,0
32750,Diamantina,321,Maranoa,1,Acceptable,Poor,0
32770,Doomadgee,317,Kennedy,1,Acceptable,Poor,0
32810,Douglas,318,Leichhardt,1,Acceptable,Poor,0
33100,Etheridge,317,Kennedy,1,Acceptable,Poor,0
33200,Flinders (Qld),317,Kennedy,1,Acceptable,Poor,0
33220,Fraser Coast,316,Hinkler,0.6657222,Acceptable,Poor,0
33220,Fraser Coast,329,Wide Bay,0.3342778,Acceptable,Poor,0
33360,Gladstone,311,Flynn,1,Acceptable,Poor,0
33430,Gold Coast,308,Fadden,0.3113927,Poor,Poor,0
33430,Gold Coast,312,Forde,0.0806842,Poor,Poor,0
33430,Gold Coast,322,McPherson,0.2617513,Poor,Poor,0
33430,Gold Coast,323,Moncrieff,0.2913031,Poor,Poor,0
33430,Gold Coast,330,Wright,0.0548687,Poor,Poor,0
33610,Goondiwindi,321,Maranoa,1,Acceptable,Poor,0
33620,Gympie,329,Wide Bay,1,Acceptable,Poor,0
33800,Hinchinbrook,315,Herbert,0.0033027,Acceptable,Poor,1
33800,Hinchinbrook,317,Kennedy,0.9966973,Acceptable,Poor,0
33830,Hope Vale,318,Leichhardt,1,Acceptable,Poor,0
33960,Ipswich,301,Blair,0.692689,Poor,Poor,0
33960,Ipswich,325,Oxley,0.3073109,Poor,Poor,0
33960,Ipswich,330,Wright,1.00E-07,Poor,Poor,1
33980,Isaac,305,Capricornia,1,Poor,Poor,0
34420,Kowanyama,318,Leichhardt,1,Acceptable,Poor,0
34530,Livingstone,305,Capricornia,0.999999,Poor,Poor,0
34530,Livingstone,311,Flynn,1.00E-06,Acceptable,Poor,1
34570,Lockhart River,318,Leichhardt,1,Acceptable,Poor,0
34580,Lockyer Valley,330,Wright,1,Poor,Poor,0
34590,Logan,312,Forde,0.4140067,Poor,Poor,0
34590,Logan,327,Rankin,0.4025969,Poor,Poor,0
34590,Logan,330,Wright,0.1833964,Poor,Poor,0
34710,Longreach,321,Maranoa,1,Acceptable,Poor,0
34770,Mackay,305,Capricornia,0.2843412,Poor,Poor,0
34770,Mackay,306,Dawson,0.7156588,Poor,Poor,0
34800,McKinlay,317,Kennedy,1,Acceptable,Poor,0
34830,Mapoon,318,Leichhardt,1,Acceptable,Poor,0
34860,Maranoa,321,Maranoa,1,Acceptable,Poor,0
34880,Mareeba,317,Kennedy,0.7965738,Acceptable,Poor,0
34880,Mareeba,318,Leichhardt,0.2034262,Acceptable,Poor,0
35010,Moreton Bay,307,Dickson,0.3220839,Poor,Poor,0
35010,Moreton Bay,320,Longman,0.3913839,Poor,Poor,0
35010,Moreton Bay,326,Petrie,0.2865322,Poor,Poor,0
35250,Mornington,317,Kennedy,1,Acceptable,Poor,0
35300,Mount Isa,317,Kennedy,1,Acceptable,Poor,0
35600,Murweh,321,Maranoa,1,Acceptable,Poor,0
35670,Napranum,318,Leichhardt,1,Acceptable,Poor,0
35740,Noosa,329,Wide Bay,1,Acceptable,Poor,0
35760,North Burnett,311,Flynn,1,Acceptable,Poor,0
35780,Northern Peninsula Area,318,Leichhardt,1,Acceptable,Poor,0
35790,Palm Island,315,Herbert,1,Acceptable,Poor,0
35800,Paroo,321,Maranoa,1,Acceptable,Poor,0
36070,Pormpuraaw,318,Leichhardt,1,Acceptable,Poor,0
36150,Quilpie,321,Maranoa,1,Acceptable,Poor,0
36250,Redland,303,Bowman,1,Good,Poor,0
36300,Richmond,317,Kennedy,1,Acceptable,Poor,0
36370,Rockhampton,305,Capricornia,0.7510136,Poor,Poor,0
36370,Rockhampton,311,Flynn,0.2489864,Acceptable,Poor,0
36510,Scenic Rim,330,Wright,1,Poor,Poor,0
36580,Somerset,301,Blair,1,Poor,Poor,0
36630,South Burnett,311,Flynn,0.145443,Acceptable,Poor,0
36630,South Burnett,321,Maranoa,0.7475107,Acceptable,Poor,0
36630,South Burnett,329,Wide Bay,0.1070463,Acceptable,Poor,0
36660,Southern Downs,321,Maranoa,1,Acceptable,Poor,0
36720,Sunshine Coast,309,Fairfax,0.4946252,Poor,Poor,0
36720,Sunshine Coast,310,Fisher,0.5027523,Poor,Poor,0
36720,Sunshine Coast,320,Longman,3.00E-07,Poor,Poor,1
36720,Sunshine Coast,329,Wide Bay,0.0026223,Acceptable,Poor,1
36820,Tablelands,317,Kennedy,1,Acceptable,Poor,0
