"STE_CODE16","age_group","sex","year_range","daily_consumption_fruit","n"
2,"9-11","male","2017-2018","met_recommendation","83600"
2,"9-11","male","2017-2018","did_not_meet_recommendation","38300"
2,"12-13","male","2017-2018","met_recommendation","48400"
2,"12-13","male","2017-2018","did_not_meet_recommendation","15400"
2,"14-17","male","2017-2018","met_recommendation","92600"
2,"14-17","male","2017-2018","did_not_meet_recommendation","53700"
3,"2-3","male","2017-2018","met_recommendation","50200"
3,"2-3","male","2017-2018","did_not_meet_recommendation","NULL"
3,"4-8","male","2017-2018","met_recommendation","139900"
3,"4-8","male","2017-2018","did_not_meet_recommendation","49800"
3,"9-11","male","2017-2018","met_recommendation","64800"
3,"9-11","male","2017-2018","did_not_meet_recommendation","28200"
3,"12-13","male","2017-2018","met_recommendation","44700"
3,"12-13","male","2017-2018","did_not_meet_recommendation","26800"
3,"14-17","male","2017-2018","met_recommendation","60500"
3,"14-17","male","2017-2018","did_not_meet_recommendation","57000"
4,"2-3","male","2017-2018","did_not_meet_recommendation","16700"
4,"4-8","male","2017-2018","did_not_meet_recommendation","51300"
4,"9-11","male","2017-2018","did_not_meet_recommendation","23600"
4,"12-13","male","2017-2018","did_not_meet_recommendation","9800"
4,"14-17","male","2017-2018","did_not_meet_recommendation","19800"
5,"2-3","male","2017-2018","met_recommendation","28100"
5,"2-3","male","2017-2018","did_not_meet_recommendation","NULL"
5,"4-8","male","2017-2018","met_recommendation","78400"
5,"4-8","male","2017-2018","did_not_meet_recommendation","15000"
5,"9-11","male","2017-2018","met_recommendation","49400"
5,"9-11","male","2017-2018","did_not_meet_recommendation","8600"
5,"12-13","male","2017-2018","met_recommendation","16700"
5,"12-13","male","2017-2018","did_not_meet_recommendation","9800"
5,"14-17","male","2017-2018","met_recommendation","28300"
5,"14-17","male","2017-2018","did_not_meet_recommendation","34300"
6,"2-3","male","2017-2018","met_recommendation","6500"
6,"2-3","male","2017-2018","did_not_meet_recommendation","NULL"
6,"4-8","male","2017-2018","met_recommendation","13500"
6,"4-8","male","2017-2018","did_not_meet_recommendation","3200"
6,"9-11","male","2017-2018","met_recommendation","6200"
6,"9-11","male","2017-2018","did_not_meet_recommendation","3900"
6,"12-13","male","2017-2018","met_recommendation","4500"
6,"12-13","male","2017-2018","did_not_meet_recommendation","1900"
6,"14-17","male","2017-2018","met_recommendation","5100"
6,"14-17","male","2017-2018","did_not_meet_recommendation","7400"
7,"2-3","male","2017-2018","met_recommendation","2500"
7,"2-3","male","2017-2018","did_not_meet_recommendation","200"
7,"4-8","male","2017-2018","met_recommendation","5000"
7,"4-8","male","2017-2018","did_not_meet_recommendation","1400"
7,"9-11","male","2017-2018","met_recommendation","2400"
7,"9-11","male","2017-2018","did_not_meet_recommendation","1200"
7,"12-13","male","2017-2018","met_recommendation","500"
7,"12-13","male","2017-2018","did_not_meet_recommendation","2200"
7,"14-17","male","2017-2018","met_recommendation","1500"
7,"14-17","male","2017-2018","did_not_meet_recommendation","1900"
8,"2-3","male","2017-2018","met_recommendation","6800"
8,"2-3","male","2017-2018","did_not_meet_recommendation","NULL"
8,"4-8","male","2017-2018","met_recommendation","9800"
8,"4-8","male","2017-2018","did_not_meet_recommendation","2200"
8,"9-11","male","2017-2018","met_recommendation","7400"
8,"9-11","male","2017-2018","did_not_meet_recommendation","1900"
8,"12-13","male","2017-2018","met_recommendation","2700"
8,"12-13","male","2017-2018","did_not_meet_recommendation","1000"
8,"14-17","male","2017-2018","met_recommendation","3700"
8,"14-17","male","2017-2018","did_not_meet_recommendation","6000"
1,"2-3","female","2017-2018","met_recommendation","92500"
1,"2-3","female","2017-2018","did_not_meet_recommendation","NULL"
1,"4-8","female","2017-2018","met_recommendation","194500"
1,"4-8","female","2017-2018","did_not_meet_recommendation","51000"
1,"9-11","female","2017-2018","met_recommendation","124100"
1,"9-11","female","2017-2018","did_not_meet_recommendation","26800"
1,"12-13","female","2017-2018","met_recommendation","44000"
1,"12-13","female","2017-2018","did_not_meet_recommendation","34600"
1,"14-17","female","2017-2018","met_recommendation","117300"
1,"14-17","female","2017-2018","did_not_meet_recommendation","61500"
2,"2-3","female","2017-2018","met_recommendation","82000"
2,"2-3","female","2017-2018","did_not_meet_recommendation","NULL"
2,"4-8","female","2017-2018","met_recommendation","151500"
2,"4-8","female","2017-2018","did_not_meet_recommendation","37800"
2,"9-11","female","2017-2018","met_recommendation","91400"
2,"9-11","female","2017-2018","did_not_meet_recommendation","26200"
2,"12-13","female","2017-2018","met_recommendation","51700"
2,"12-13","female","2017-2018","did_not_meet_recommendation","15700"
2,"14-17","female","2017-2018","met_recommendation","88300"
2,"14-17","female","2017-2018","did_not_meet_recommendation","44100"
3,"2-3","female","2017-2018","met_recommendation","69400"
3,"2-3","female","2017-2018","did_not_meet_recommendation","NULL"
3,"4-8","female","2017-2018","met_recommendation","122900"
3,"4-8","female","2017-2018","did_not_meet_recommendation","29500"
3,"9-11","female","2017-2018","met_recommendation","63500"
3,"9-11","female","2017-2018","did_not_meet_recommendation","29200"
3,"12-13","female","2017-2018","met_recommendation","37100"
3,"12-13","female","2017-2018","did_not_meet_recommendation","25800"
3,"14-17","female","2017-2018","met_recommendation","61400"
3,"14-17","female","2017-2018","did_not_meet_recommendation","51600"
4,"2-3","female","2017-2018","met_recommendation","10400"
4,"2-3","female","2017-2018","did_not_meet_recommendation","NULL"
4,"4-8","female","2017-2018","met_recommendation","45100"
4,"4-8","female","2017-2018","did_not_meet_recommendation","12100"
4,"9-11","female","2017-2018","met_recommendation","27100"
4,"9-11","female","2017-2018","did_not_meet_recommendation","2600"
4,"12-13","female","2017-2018","met_recommendation","8100"
4,"12-13","female","2017-2018","did_not_meet_recommendation","7200"
4,"14-17","female","2017-2018","met_recommendation","24700"
4,"14-17","female","2017-2018","did_not_meet_recommendation","15800"
5,"2-3","female","2017-2018","met_recommendation","29600"
5,"2-3","female","2017-2018","did_not_meet_recommendation","NULL"
5,"4-8","female","2017-2018","met_recommendation","69200"
5,"4-8","female","2017-2018","did_not_meet_recommendation","19300"
5,"9-11","female","2017-2018","met_recommendation","34600"
5,"9-11","female","2017-2018","did_not_meet_recommendation","12600"
5,"12-13","female","2017-2018","met_recommendation","17500"
5,"12-13","female","2017-2018","did_not_meet_recommendation","9700"
5,"14-17","female","2017-2018","met_recommendation","40200"
5,"14-17","female","2017-2018","did_not_meet_recommendation","19000"
6,"2-3","female","2017-2018","met_recommendation","6800"
6,"2-3","female","2017-2018","did_not_meet_recommendation","NULL"
6,"4-8","female","2017-2018","met_recommendation","14600"
6,"4-8","female","2017-2018","did_not_meet_recommendation","2100"
6,"9-11","female","2017-2018","met_recommendation","5200"
6,"9-11","female","2017-2018","did_not_meet_recommendation","2800"
6,"12-13","female","2017-2018","met_recommendation","2500"
6,"12-13","female","2017-2018","did_not_meet_recommendation","1300"
6,"14-17","female","2017-2018","met_recommendation","9100"
6,"14-17","female","2017-2018","did_not_meet_recommendation","4500"
7,"2-3","female","2017-2018","met_recommendation","2700"
7,"2-3","female","2017-2018","did_not_meet_recommendation","NULL"
7,"4-8","female","2017-2018","met_recommendation","5200"
7,"4-8","female","2017-2018","did_not_meet_recommendation","500"
7,"9-11","female","2017-2018","met_recommendation","2800"
7,"9-11","female","2017-2018","did_not_meet_recommendation","NULL"
7,"12-13","female","2017-2018","met_recommendation","900"
7,"12-13","female","2017-2018","did_not_meet_recommendation","800"
7,"14-17","female","2017-2018","met_recommendation","2600"
7,"14-17","female","2017-2018","did_not_meet_recommendation","1500"
8,"2-3","female","2017-2018","met_recommendation","4100"
8,"2-3","female","2017-2018","did_not_meet_recommendation","NULL"
8,"4-8","female","2017-2018","met_recommendation","11300"
8,"4-8","female","2017-2018","did_not_meet_recommendation","3200"
8,"9-11","female","2017-2018","met_recommendation","4600"
8,"9-11","female","2017-2018","did_not_meet_recommendation","2200"
8,"12-13","female","2017-2018","met_recommendation","1200"
8,"12-13","female","2017-2018","did_not_meet_recommendation","1800"
8,"14-17","female","2017-2018","met_recommendation","5900"
8,"14-17","female","2017-2018","did_not_meet_recommendation","3800"
