"STE_CODE16","age_group","sex","year_range","bmi_categories","n","p"
4,"2-4","female","2017-2018","normal","26400","0.857"
4,"2-4","female","2017-2018","overweight","2300","0.075"
4,"2-4","female","2017-2018","obese","NULL","NULL"
4,"5-7","all","2017-2018","underweight","4900","0.079"
4,"5-7","all","2017-2018","normal","46000","0.737"
4,"5-7","all","2017-2018","overweight","11400","0.183"
4,"5-7","all","2017-2018","obese","5600","0.09"
4,"5-7","male","2017-2018","underweight","3000","0.122"
4,"5-7","male","2017-2018","normal","26700","1.09"
4,"5-7","male","2017-2018","overweight","NULL","NULL"
4,"5-7","male","2017-2018","obese","NULL","NULL"
4,"5-7","female","2017-2018","underweight","NULL","NULL"
4,"5-7","female","2017-2018","normal","21200","0.545"
4,"5-7","female","2017-2018","overweight","6600","0.17"
4,"5-7","female","2017-2018","obese","7600","0.195"
4,"8-11","all","2017-2018","underweight","3800","0.048"
4,"8-11","all","2017-2018","normal","58600","0.738"
4,"8-11","all","2017-2018","overweight","9000","0.113"
4,"8-11","all","2017-2018","obese","10100","0.127"
4,"8-11","male","2017-2018","underweight","NULL","NULL"
4,"8-11","male","2017-2018","normal","36500","0.74"
4,"8-11","male","2017-2018","overweight","4800","0.097"
4,"8-11","male","2017-2018","obese","2500","0.051"
4,"8-11","female","2017-2018","underweight","2300","0.063"
4,"8-11","female","2017-2018","normal","22400","0.615"
4,"8-11","female","2017-2018","overweight","7000","0.192"
4,"8-11","female","2017-2018","obese","6900","0.19"
4,"12-15","all","2017-2018","underweight","3500","0.046"
4,"12-15","all","2017-2018","normal","43000","0.57"
4,"12-15","all","2017-2018","overweight","16400","0.218"
4,"12-15","all","2017-2018","obese","5800","0.077"
4,"12-15","male","2017-2018","underweight","NULL","NULL"
4,"12-15","male","2017-2018","normal","20500","0.592"
4,"12-15","male","2017-2018","overweight","14300","0.413"
4,"12-15","male","2017-2018","obese","1700","0.049"
4,"12-15","female","2017-2018","underweight","1600","0.042"
4,"12-15","female","2017-2018","normal","28200","0.738"
4,"12-15","female","2017-2018","overweight","8700","0.228"
4,"12-15","female","2017-2018","obese","3500","0.092"
4,"16-17","all","2017-2018","underweight","NULL","NULL"
4,"16-17","all","2017-2018","normal","27200","0.59"
4,"16-17","all","2017-2018","overweight","8500","0.184"
4,"16-17","all","2017-2018","obese","2900","0.063"
4,"16-17","male","2017-2018","underweight","NULL","NULL"
4,"16-17","male","2017-2018","normal","16000","0.637"
4,"16-17","male","2017-2018","overweight","4700","0.187"
4,"16-17","male","2017-2018","obese","NULL","NULL"
4,"16-17","female","2017-2018","underweight","NULL","NULL"
4,"16-17","female","2017-2018","normal","11900","0.567"
4,"16-17","female","2017-2018","overweight","7500","0.357"
4,"16-17","female","2017-2018","obese","NULL","NULL"
5,"2-4","all","2017-2018","underweight","8800","0.083"
5,"2-4","all","2017-2018","normal","71100","0.669"
5,"2-4","all","2017-2018","overweight","9200","0.087"
5,"2-4","all","2017-2018","obese","10900","0.103"
5,"2-4","male","2017-2018","underweight","NULL","NULL"
5,"2-4","male","2017-2018","normal","42600","0.755"
5,"2-4","male","2017-2018","overweight","4900","0.087"
5,"2-4","male","2017-2018","obese","NULL","NULL"
5,"2-4","female","2017-2018","underweight","8800","0.198"
5,"2-4","female","2017-2018","normal","30000","0.676"
5,"2-4","female","2017-2018","overweight","5100","0.115"
5,"2-4","female","2017-2018","obese","6500","0.146"
5,"5-7","all","2017-2018","underweight","6800","0.071"
5,"5-7","all","2017-2018","normal","70000","0.735"
5,"5-7","all","2017-2018","overweight","18800","0.197"
5,"5-7","all","2017-2018","obese","4000","0.042"
5,"5-7","male","2017-2018","underweight","NULL","NULL"
5,"5-7","male","2017-2018","normal","30400","0.647"
5,"5-7","male","2017-2018","overweight","12700","0.27"
5,"5-7","male","2017-2018","obese","2200","0.047"
5,"5-7","female","2017-2018","underweight","2200","0.04"
5,"5-7","female","2017-2018","normal","39600","0.725"
5,"5-7","female","2017-2018","overweight","3600","0.066"
5,"5-7","female","2017-2018","obese","3600","0.066"
5,"8-11","all","2017-2018","underweight","NULL","NULL"
5,"8-11","all","2017-2018","normal","91100","0.682"
5,"8-11","all","2017-2018","overweight","33900","0.254"
5,"8-11","all","2017-2018","obese","12200","0.091"
5,"8-11","male","2017-2018","underweight","NULL","NULL"
5,"8-11","male","2017-2018","normal","48700","0.653"
5,"8-11","male","2017-2018","overweight","23700","0.318"
5,"8-11","male","2017-2018","obese","3400","0.046"
5,"8-11","female","2017-2018","underweight","NULL","NULL"
5,"8-11","female","2017-2018","normal","43900","0.756"
5,"8-11","female","2017-2018","overweight","11700","0.201"
5,"8-11","female","2017-2018","obese","3900","0.067"
5,"12-15","all","2017-2018","underweight","8600","0.072"
5,"12-15","all","2017-2018","normal","83400","0.703"
5,"12-15","all","2017-2018","overweight","18900","0.159"
5,"12-15","all","2017-2018","obese","3800","0.032"
5,"12-15","male","2017-2018","underweight","3400","0.053"
5,"12-15","male","2017-2018","normal","46000","0.719"
5,"12-15","male","2017-2018","overweight","14200","0.222"
5,"12-15","male","2017-2018","obese","1900","0.03"
5,"12-15","female","2017-2018","underweight","4900","0.094"
5,"12-15","female","2017-2018","normal","40600","0.775"
5,"12-15","female","2017-2018","overweight","11900","0.227"
5,"12-15","female","2017-2018","obese","NULL","NULL"
5,"16-17","all","2017-2018","underweight","6600","0.107"
5,"16-17","all","2017-2018","normal","38400","0.62"
5,"16-17","all","2017-2018","overweight","12500","0.202"
5,"16-17","all","2017-2018","obese","2700","0.044"
5,"16-17","male","2017-2018","underweight","8000","0.317"
5,"16-17","male","2017-2018","normal","9900","0.393"
5,"16-17","male","2017-2018","overweight","4600","0.183"
5,"16-17","male","2017-2018","obese","2700","0.107"
5,"16-17","female","2017-2018","underweight","NULL","NULL"
5,"16-17","female","2017-2018","normal","22300","0.625"
5,"16-17","female","2017-2018","overweight","8300","0.232"
5,"16-17","female","2017-2018","obese","NULL","NULL"
6,"2-4","all","2017-2018","underweight","1100","0.058"
6,"2-4","all","2017-2018","normal","11200","0.589"
6,"2-4","all","2017-2018","overweight","2900","0.153"
6,"2-4","all","2017-2018","obese","2000","0.105"
6,"2-4","male","2017-2018","underweight","1300","0.153"
6,"2-4","male","2017-2018","normal","6200","0.729"
6,"2-4","male","2017-2018","overweight","2000","0.235"
6,"2-4","male","2017-2018","obese","2300","0.271"
6,"2-4","female","2017-2018","underweight","NULL","NULL"
6,"2-4","female","2017-2018","normal","7200","0.847"
6,"2-4","female","2017-2018","overweight","1300","0.153"
6,"2-4","female","2017-2018","obese","700","0.082"
6,"5-7","all","2017-2018","underweight","1800","0.092"
6,"5-7","all","2017-2018","normal","14300","0.73"
6,"5-7","all","2017-2018","overweight","3500","0.179"
6,"5-7","all","2017-2018","obese","900","0.046"
6,"5-7","male","2017-2018","underweight","1600","0.147"
6,"5-7","male","2017-2018","normal","8100","0.743"
6,"5-7","male","2017-2018","overweight","2200","0.202"
6,"5-7","male","2017-2018","obese","NULL","NULL"
6,"5-7","female","2017-2018","underweight","NULL","NULL"
6,"5-7","female","2017-2018","normal","6500","0.65"
6,"5-7","female","2017-2018","overweight","2700","0.27"
6,"5-7","female","2017-2018","obese","700","0.07"
6,"8-11","all","2017-2018","underweight","1700","0.071"
6,"8-11","all","2017-2018","normal","16200","0.678"
6,"8-11","all","2017-2018","overweight","3100","0.13"
6,"8-11","all","2017-2018","obese","2300","0.096"
6,"8-11","male","2017-2018","underweight","NULL","NULL"
6,"8-11","male","2017-2018","normal","8800","0.682"
6,"8-11","male","2017-2018","overweight","3300","0.256"
6,"8-11","male","2017-2018","obese","1700","0.132"
6,"8-11","female","2017-2018","underweight","1700","0.152"
6,"8-11","female","2017-2018","normal","9000","0.804"
6,"8-11","female","2017-2018","overweight","1400","0.125"
6,"8-11","female","2017-2018","obese","1000","0.089"
6,"12-15","all","2017-2018","underweight","1000","0.045"
6,"12-15","all","2017-2018","normal","13100","0.587"
6,"12-15","all","2017-2018","overweight","4800","0.215"
6,"12-15","all","2017-2018","obese","5400","0.242"
6,"12-15","male","2017-2018","underweight","NULL","NULL"
6,"12-15","male","2017-2018","normal","7100","0.689"
6,"12-15","male","2017-2018","overweight","2400","0.233"
6,"12-15","male","2017-2018","obese","1800","0.175"
6,"12-15","female","2017-2018","underweight","500","0.045"
6,"12-15","female","2017-2018","normal","5500","0.5"
6,"12-15","female","2017-2018","overweight","1500","0.136"
6,"12-15","female","2017-2018","obese","3000","0.273"
6,"16-17","all","2017-2018","underweight","500","0.036"
6,"16-17","all","2017-2018","normal","9600","0.686"
6,"16-17","all","2017-2018","overweight","2700","0.193"
6,"16-17","all","2017-2018","obese","NULL","NULL"
6,"16-17","male","2017-2018","underweight","500","0.06"
6,"16-17","male","2017-2018","normal","5800","0.699"
6,"16-17","male","2017-2018","overweight","2200","0.265"
6,"16-17","male","2017-2018","obese","NULL","NULL"
6,"16-17","female","2017-2018","underweight","NULL","NULL"
6,"16-17","female","2017-2018","normal","4600","0.697"
6,"16-17","female","2017-2018","overweight","700","0.106"
6,"16-17","female","2017-2018","obese","NULL","NULL"
7,"2-4","all","2017-2018","underweight","1000","0.128"
7,"2-4","all","2017-2018","normal","6000","0.769"
7,"2-4","all","2017-2018","overweight","800","0.103"
7,"2-4","all","2017-2018","obese","600","0.077"
7,"2-4","male","2017-2018","underweight","1000","0.25"
7,"2-4","male","2017-2018","normal","2900","0.725"
7,"2-4","male","2017-2018","overweight","300","0.075"
7,"2-4","male","2017-2018","obese","200","0.05"
7,"2-4","female","2017-2018","underweight","NULL","NULL"
7,"2-4","female","2017-2018","normal","3600","1"
7,"2-4","female","2017-2018","overweight","300","0.083"
7,"2-4","female","2017-2018","obese","NULL","NULL"
7,"5-7","all","2017-2018","underweight","400","0.046"
7,"5-7","all","2017-2018","normal","6000","0.69"
7,"5-7","all","2017-2018","overweight","1300","0.149"
7,"5-7","all","2017-2018","obese","1100","0.126"
7,"5-7","male","2017-2018","underweight","NULL","NULL"
7,"5-7","male","2017-2018","normal","2700","0.659"
7,"5-7","male","2017-2018","overweight","500","0.122"
7,"5-7","male","2017-2018","obese","300","0.073"
7,"5-7","female","2017-2018","underweight","NULL","NULL"
7,"5-7","female","2017-2018","normal","3100","0.633"
7,"5-7","female","2017-2018","overweight","900","0.184"
7,"5-7","female","2017-2018","obese","500","0.102"
7,"8-11","all","2017-2018","underweight","500","0.057"
7,"8-11","all","2017-2018","normal","6600","0.75"
7,"8-11","all","2017-2018","overweight","1200","0.136"
7,"8-11","all","2017-2018","obese","1000","0.114"
7,"8-11","male","2017-2018","underweight","200","0.037"
7,"8-11","male","2017-2018","normal","3500","0.648"
7,"8-11","male","2017-2018","overweight","900","0.167"
7,"8-11","male","2017-2018","obese","500","0.093"
7,"8-11","female","2017-2018","underweight","200","0.049"
7,"8-11","female","2017-2018","normal","2300","0.561"
7,"8-11","female","2017-2018","overweight","500","0.122"
7,"8-11","female","2017-2018","obese","NULL","NULL"
7,"12-15","all","2017-2018","underweight","300","0.035"
7,"12-15","all","2017-2018","normal","5200","0.612"
7,"12-15","all","2017-2018","overweight","2100","0.247"
7,"12-15","all","2017-2018","obese","400","0.047"
7,"12-15","male","2017-2018","underweight","NULL","NULL"
7,"12-15","male","2017-2018","normal","2900","0.644"
7,"12-15","male","2017-2018","overweight","800","0.178"
7,"12-15","male","2017-2018","obese","300","0.067"
7,"12-15","female","2017-2018","underweight","300","0.07"
7,"12-15","female","2017-2018","normal","2500","0.581"
7,"12-15","female","2017-2018","overweight","800","0.186"
7,"12-15","female","2017-2018","obese","300","0.07"
7,"16-17","all","2017-2018","underweight","NULL","NULL"
7,"16-17","all","2017-2018","normal","2200","0.667"
7,"16-17","all","2017-2018","overweight","700","0.212"
7,"16-17","all","2017-2018","obese","500","0.152"
7,"16-17","male","2017-2018","underweight","NULL","NULL"
7,"16-17","male","2017-2018","normal","900","0.429"
7,"16-17","male","2017-2018","overweight","600","0.286"
7,"16-17","male","2017-2018","obese","400","0.19"
7,"16-17","female","2017-2018","underweight","NULL","NULL"
7,"16-17","female","2017-2018","normal","700","0.5"
7,"16-17","female","2017-2018","overweight","300","0.214"
7,"16-17","female","2017-2018","obese","NULL","NULL"
8,"2-4","all","2017-2018","underweight","1100","0.062"
8,"2-4","all","2017-2018","normal","9700","0.551"
8,"2-4","all","2017-2018","overweight","4400","0.25"
8,"2-4","all","2017-2018","obese","600","0.034"
8,"2-4","male","2017-2018","underweight","700","0.074"
8,"2-4","male","2017-2018","normal","5900","0.628"
8,"2-4","male","2017-2018","overweight","2800","0.298"
8,"2-4","male","2017-2018","obese","NULL","NULL"
8,"2-4","female","2017-2018","underweight","NULL","NULL"
8,"2-4","female","2017-2018","normal","3900","0.488"
8,"2-4","female","2017-2018","overweight","1600","0.2"
8,"2-4","female","2017-2018","obese","900","0.112"
8,"5-7","all","2017-2018","underweight","1500","0.089"
8,"5-7","all","2017-2018","normal","12400","0.738"
8,"5-7","all","2017-2018","overweight","1600","0.095"
8,"5-7","all","2017-2018","obese","1000","0.06"
8,"5-7","male","2017-2018","underweight","1200","0.135"
8,"5-7","male","2017-2018","normal","7200","0.809"
8,"5-7","male","2017-2018","overweight","800","0.09"
8,"5-7","male","2017-2018","obese","NULL","NULL"
8,"5-7","female","2017-2018","underweight","NULL","NULL"
8,"5-7","female","2017-2018","normal","4800","0.578"
8,"5-7","female","2017-2018","overweight","1900","0.229"
8,"5-7","female","2017-2018","obese","800","0.096"
8,"8-11","all","2017-2018","underweight","1300","0.065"
8,"8-11","all","2017-2018","normal","13800","0.69"
8,"8-11","all","2017-2018","overweight","3200","0.16"
8,"8-11","all","2017-2018","obese","2200","0.11"
8,"8-11","male","2017-2018","underweight","NULL","NULL"
8,"8-11","male","2017-2018","normal","6200","0.596"
8,"8-11","male","2017-2018","overweight","1000","0.096"
8,"8-11","male","2017-2018","obese","2200","0.212"
8,"8-11","female","2017-2018","underweight","1300","0.125"
8,"8-11","female","2017-2018","normal","6500","0.625"
8,"8-11","female","2017-2018","overweight","900","0.087"
8,"8-11","female","2017-2018","obese","NULL","NULL"
8,"12-15","all","2017-2018","underweight","1500","0.085"
8,"12-15","all","2017-2018","normal","10900","0.619"
8,"12-15","all","2017-2018","overweight","4100","0.233"
8,"12-15","all","2017-2018","obese","NULL","NULL"
8,"12-15","male","2017-2018","underweight","NULL","NULL"
8,"12-15","male","2017-2018","normal","5100","0.662"
8,"12-15","male","2017-2018","overweight","3200","0.416"
8,"12-15","male","2017-2018","obese","500","0.065"
8,"12-15","female","2017-2018","underweight","700","0.08"
8,"12-15","female","2017-2018","normal","6200","0.713"
8,"12-15","female","2017-2018","overweight","1500","0.172"
8,"12-15","female","2017-2018","obese","NULL","NULL"
8,"16-17","all","2017-2018","underweight","1000","0.103"
8,"16-17","all","2017-2018","normal","5500","0.567"
8,"16-17","all","2017-2018","overweight","3700","0.381"
8,"16-17","all","2017-2018","obese","800","0.082"
8,"16-17","male","2017-2018","underweight","NULL","NULL"
8,"16-17","male","2017-2018","normal","2100","0.318"
8,"16-17","male","2017-2018","overweight","1200","0.182"
8,"16-17","male","2017-2018","obese","NULL","NULL"
8,"16-17","female","2017-2018","underweight","600","0.158"
8,"16-17","female","2017-2018","normal","2000","0.526"
8,"16-17","female","2017-2018","overweight","900","0.237"
8,"16-17","female","2017-2018","obese","NULL","NULL"
