"STE_CODE16","age_group","sex","year_range","daily_consumption_vegetables","n","uncertainty"
4,"2-14","male","2017-2018","total",131700,0
4,"15-17","male","2017-2018","did_not_meet_recommendation",0,0
4,"15-17","male","2017-2018","total",31500,0
5,"2-3","male","2017-2018","met_recommendation",8500,1
5,"2-3","male","2017-2018","did_not_meet_recommendation",29800,0
5,"2-3","male","2017-2018","total",28100,0
5,"4-8","male","2017-2018","met_recommendation",4100,2
5,"4-8","male","2017-2018","did_not_meet_recommendation",81200,0
5,"4-8","male","2017-2018","total",82300,0
5,"9-11","male","2017-2018","met_recommendation",0,0
5,"9-11","male","2017-2018","did_not_meet_recommendation",47900,0
5,"9-11","male","2017-2018","total",59100,0
5,"12-13","male","2017-2018","met_recommendation",0,0
5,"12-13","male","2017-2018","did_not_meet_recommendation",26800,0
5,"12-13","male","2017-2018","total",26800,0
5,"14-17","male","2017-2018","met_recommendation",0,0
5,"14-17","male","2017-2018","did_not_meet_recommendation",58500,0
5,"14-17","male","2017-2018","total",63900,0
5,"2-14","male","2017-2018","met_recommendation",12300,1
5,"2-14","male","2017-2018","did_not_meet_recommendation",207000,0
5,"2-14","male","2017-2018","total",214200,0
5,"15-17","male","2017-2018","met_recommendation",0,0
5,"15-17","male","2017-2018","did_not_meet_recommendation",43700,0
5,"15-17","male","2017-2018","total",48000,0
6,"2-3","male","2017-2018","met_recommendation",1400,2
6,"2-3","male","2017-2018","did_not_meet_recommendation",4100,1
6,"2-3","male","2017-2018","total",6500,0
6,"4-8","male","2017-2018","met_recommendation",0,0
6,"4-8","male","2017-2018","did_not_meet_recommendation",17500,0
6,"4-8","male","2017-2018","total",17300,0
6,"9-11","male","2017-2018","met_recommendation",0,0
6,"9-11","male","2017-2018","did_not_meet_recommendation",9100,0
6,"9-11","male","2017-2018","total",9100,0
6,"12-13","male","2017-2018","met_recommendation",0,0
6,"12-13","male","2017-2018","did_not_meet_recommendation",7000,0
6,"12-13","male","2017-2018","total",6800,0
6,"14-17","male","2017-2018","met_recommendation",0,0
6,"14-17","male","2017-2018","did_not_meet_recommendation",12600,0
6,"14-17","male","2017-2018","total",12600,0
6,"2-14","male","2017-2018","met_recommendation",2000,1
6,"2-14","male","2017-2018","did_not_meet_recommendation",41100,0
6,"2-14","male","2017-2018","total",41300,0
6,"15-17","male","2017-2018","met_recommendation",0,0
6,"15-17","male","2017-2018","did_not_meet_recommendation",9100,0
6,"15-17","male","2017-2018","total",9100,0
7,"2-3","male","2017-2018","met_recommendation",600,1
7,"2-3","male","2017-2018","did_not_meet_recommendation",2600,0
7,"2-3","male","2017-2018","total",2700,0
7,"4-8","male","2017-2018","met_recommendation",400,2
7,"4-8","male","2017-2018","did_not_meet_recommendation",6300,0
7,"4-8","male","2017-2018","total",6100,0
7,"9-11","male","2017-2018","met_recommendation",200,2
7,"9-11","male","2017-2018","did_not_meet_recommendation",3800,0
7,"9-11","male","2017-2018","total",3400,0
7,"12-13","male","2017-2018","met_recommendation",0,0
7,"12-13","male","2017-2018","did_not_meet_recommendation",3200,0
7,"12-13","male","2017-2018","total",3200,0
7,"14-17","male","2017-2018","met_recommendation",0,0
7,"14-17","male","2017-2018","did_not_meet_recommendation",3900,0
7,"14-17","male","2017-2018","total",4100,0
7,"2-14","male","2017-2018","met_recommendation",1300,1
7,"2-14","male","2017-2018","did_not_meet_recommendation",15300,0
7,"2-14","male","2017-2018","total",16600,0
7,"15-17","male","2017-2018","met_recommendation",0,0
7,"15-17","male","2017-2018","did_not_meet_recommendation",2900,0
7,"15-17","male","2017-2018","total",3000,0
8,"2-3","male","2017-2018","met_recommendation",1300,1
8,"2-3","male","2017-2018","did_not_meet_recommendation",6000,0
8,"2-3","male","2017-2018","total",6600,0
8,"4-8","male","2017-2018","met_recommendation",0,0
8,"4-8","male","2017-2018","did_not_meet_recommendation",12300,0
8,"4-8","male","2017-2018","total",12300,0
8,"9-11","male","2017-2018","met_recommendation",0,0
8,"9-11","male","2017-2018","did_not_meet_recommendation",7700,0
8,"9-11","male","2017-2018","total",7700,0
8,"12-13","male","2017-2018","met_recommendation",0,0
8,"12-13","male","2017-2018","did_not_meet_recommendation",4400,0
8,"12-13","male","2017-2018","total",4400,0
8,"14-17","male","2017-2018","met_recommendation",0,0
8,"14-17","male","2017-2018","did_not_meet_recommendation",9400,0
8,"14-17","male","2017-2018","total",9400,0
8,"2-14","male","2017-2018","met_recommendation",1300,1
8,"2-14","male","2017-2018","did_not_meet_recommendation",33900,0
8,"2-14","male","2017-2018","total",35700,0
8,"15-17","male","2017-2018","met_recommendation",0,0
8,"15-17","male","2017-2018","did_not_meet_recommendation",6800,0
8,"15-17","male","2017-2018","total",6800,0
1,"2-3","female","2017-2018","met_recommendation",24000,1
1,"2-3","female","2017-2018","did_not_meet_recommendation",75900,0
1,"2-3","female","2017-2018","total",97200,0
1,"4-8","female","2017-2018","met_recommendation",25100,1
1,"4-8","female","2017-2018","did_not_meet_recommendation",231400,0
1,"4-8","female","2017-2018","total",254500,0
1,"9-11","female","2017-2018","met_recommendation",12900,1
1,"9-11","female","2017-2018","did_not_meet_recommendation",133600,0
1,"9-11","female","2017-2018","total",148000,0
1,"12-13","female","2017-2018","met_recommendation",0,0
1,"12-13","female","2017-2018","did_not_meet_recommendation",74900,0
1,"12-13","female","2017-2018","total",80200,0
1,"14-17","female","2017-2018","met_recommendation",9100,2
1,"14-17","female","2017-2018","did_not_meet_recommendation",168300,0
1,"14-17","female","2017-2018","total",183500,0
1,"2-14","female","2017-2018","met_recommendation",59800,0
1,"2-14","female","2017-2018","did_not_meet_recommendation",555500,0
1,"2-14","female","2017-2018","total",617100,0
1,"15-17","female","2017-2018","met_recommendation",7000,2
1,"15-17","female","2017-2018","did_not_meet_recommendation",119900,0
1,"15-17","female","2017-2018","total",133000,0
2,"2-3","female","2017-2018","met_recommendation",18600,1
2,"2-3","female","2017-2018","did_not_meet_recommendation",70600,0
2,"2-3","female","2017-2018","total",80800,0
2,"4-8","female","2017-2018","met_recommendation",6700,2
2,"4-8","female","2017-2018","did_not_meet_recommendation",184700,0
2,"4-8","female","2017-2018","total",193600,0
2,"9-11","female","2017-2018","met_recommendation",5900,2
2,"9-11","female","2017-2018","did_not_meet_recommendation",100900,0
2,"9-11","female","2017-2018","total",118100,0
2,"12-13","female","2017-2018","met_recommendation",0,0
2,"12-13","female","2017-2018","did_not_meet_recommendation",72200,0
2,"12-13","female","2017-2018","total",74500,0
2,"14-17","female","2017-2018","met_recommendation",10100,2
2,"14-17","female","2017-2018","did_not_meet_recommendation",122400,0
2,"14-17","female","2017-2018","total",134300,0
2,"...7","female","2017-2018","met_recommendation",NA,2
2,"2-14","female","2017-2018","met_recommendation",34300,1
2,"2-14","female","2017-2018","did_not_meet_recommendation",461800,0
2,"2-14","female","2017-2018","total",494200,0
2,"15-17","female","2017-2018","met_recommendation",10100,2
2,"15-17","female","2017-2018","did_not_meet_recommendation",89300,0
2,"15-17","female","2017-2018","total",108500,0
3,"2-3","female","2017-2018","met_recommendation",9800,1
3,"2-3","female","2017-2018","did_not_meet_recommendation",59300,0
3,"2-3","female","2017-2018","total",71800,0
3,"4-8","female","2017-2018","met_recommendation",2300,2
3,"4-8","female","2017-2018","did_not_meet_recommendation",146200,0
3,"4-8","female","2017-2018","total",152400,0
3,"9-11","female","2017-2018","met_recommendation",3800,2
3,"9-11","female","2017-2018","did_not_meet_recommendation",89100,0
3,"9-11","female","2017-2018","total",96100,0
3,"12-13","female","2017-2018","met_recommendation",0,0
3,"12-13","female","2017-2018","did_not_meet_recommendation",63700,0
3,"12-13","female","2017-2018","total",65000,0
3,"14-17","female","2017-2018","met_recommendation",11400,1
3,"14-17","female","2017-2018","did_not_meet_recommendation",105700,0
3,"14-17","female","2017-2018","total",118900,0
3,"...7","female","2017-2018","met_recommendation",NA,1
3,"2-14","female","2017-2018","met_recommendation",24300,0
3,"2-14","female","2017-2018","did_not_meet_recommendation",380400,0
3,"2-14","female","2017-2018","total",403800,0
3,"15-17","female","2017-2018","met_recommendation",2800,2
3,"15-17","female","2017-2018","did_not_meet_recommendation",82200,0
3,"15-17","female","2017-2018","total",84800,0
4,"2-3","female","2017-2018","met_recommendation",3000,2
4,"2-3","female","2017-2018","did_not_meet_recommendation",10700,1
4,"2-3","female","2017-2018","total",10400,1
4,"4-8","female","2017-2018","met_recommendation",0,0
4,"4-8","female","2017-2018","did_not_meet_recommendation",59600,0
4,"4-8","female","2017-2018","total",58200,0
4,"9-11","female","2017-2018","met_recommendation",0,0
4,"9-11","female","2017-2018","did_not_meet_recommendation",28500,0
4,"9-11","female","2017-2018","total",28500,0
4,"12-13","female","2017-2018","met_recommendation",0,0
4,"12-13","female","2017-2018","did_not_meet_recommendation",17600,0
4,"12-13","female","2017-2018","total",18000,0
4,"14-17","female","2017-2018","met_recommendation",2200,2
4,"14-17","female","2017-2018","did_not_meet_recommendation",37400,0
4,"14-17","female","2017-2018","total",42800,0
4,"...7","female","2017-2018","met_recommendation",NA,2
4,"2-14","female","2017-2018","met_recommendation",2900,2
4,"2-14","female","2017-2018","did_not_meet_recommendation",125800,0
4,"2-14","female","2017-2018","total",132300,0
4,"15-17","female","2017-2018","met_recommendation",2200,2
4,"15-17","female","2017-2018","did_not_meet_recommendation",26200,0
4,"15-17","female","2017-2018","total",25000,0
5,"2-3","female","2017-2018","met_recommendation",3800,2
5,"2-3","female","2017-2018","did_not_meet_recommendation",25800,0
5,"2-3","female","2017-2018","total",33300,0
5,"4-8","female","2017-2018","met_recommendation",3500,2
5,"4-8","female","2017-2018","did_not_meet_recommendation",88900,0
5,"4-8","female","2017-2018","total",89900,0
5,"9-11","female","2017-2018","met_recommendation",5100,2
5,"9-11","female","2017-2018","did_not_meet_recommendation",38900,0
5,"9-11","female","2017-2018","total",42200,0
5,"12-13","female","2017-2018","met_recommendation",0,0
5,"12-13","female","2017-2018","did_not_meet_recommendation",29300,0
5,"12-13","female","2017-2018","total",29300,0
5,"14-17","female","2017-2018","met_recommendation",4500,2
5,"14-17","female","2017-2018","did_not_meet_recommendation",48600,0
5,"14-17","female","2017-2018","total",53200,0
5,"...7","female","2017-2018","met_recommendation",NA,2
5,"2-14","female","2017-2018","met_recommendation",9300,2
5,"2-14","female","2017-2018","did_not_meet_recommendation",194200,0
5,"2-14","female","2017-2018","total",202300,0
5,"15-17","female","2017-2018","met_recommendation",4500,2
5,"15-17","female","2017-2018","did_not_meet_recommendation",39600,0
5,"15-17","female","2017-2018","total",42700,0
6,"2-3","female","2017-2018","met_recommendation",1300,2
6,"2-3","female","2017-2018","did_not_meet_recommendation",5900,0
6,"2-3","female","2017-2018","total",6800,0
6,"4-8","female","2017-2018","met_recommendation",0,0
6,"4-8","female","2017-2018","did_not_meet_recommendation",14600,0
6,"4-8","female","2017-2018","total",15200,0
6,"9-11","female","2017-2018","met_recommendation",900,2
6,"9-11","female","2017-2018","did_not_meet_recommendation",6600,0
6,"9-11","female","2017-2018","total",9000,0
6,"12-13","female","2017-2018","met_recommendation",0,0
6,"12-13","female","2017-2018","did_not_meet_recommendation",3800,0
6,"12-13","female","2017-2018","total",3800,0
6,"14-17","female","2017-2018","met_recommendation",1000,2
6,"14-17","female","2017-2018","did_not_meet_recommendation",12400,0
6,"14-17","female","2017-2018","total",14500,0
6,"...7","female","2017-2018","met_recommendation",NA,2
6,"2-14","female","2017-2018","met_recommendation",3400,1
6,"2-14","female","2017-2018","did_not_meet_recommendation",36200,0
6,"2-14","female","2017-2018","total",38500,0
6,"15-17","female","2017-2018","met_recommendation",1000,2
6,"15-17","female","2017-2018","did_not_meet_recommendation",7800,0
6,"15-17","female","2017-2018","total",9600,0
7,"2-3","female","2017-2018","met_recommendation",600,2
7,"2-3","female","2017-2018","did_not_meet_recommendation",1700,0
7,"2-3","female","2017-2018","total",2800,0
7,"4-8","female","2017-2018","met_recommendation",400,2
7,"4-8","female","2017-2018","did_not_meet_recommendation",6300,0
7,"4-8","female","2017-2018","total",6300,0
7,"9-11","female","2017-2018","met_recommendation",0,0
7,"9-11","female","2017-2018","did_not_meet_recommendation",2300,0
7,"9-11","female","2017-2018","total",3100,0
7,"12-13","female","2017-2018","met_recommendation",0,0
7,"12-13","female","2017-2018","did_not_meet_recommendation",2000,0
7,"12-13","female","2017-2018","total",2300,0
7,"14-17","female","2017-2018","met_recommendation",200,2
7,"14-17","female","2017-2018","did_not_meet_recommendation",3900,0
7,"14-17","female","2017-2018","total",3600,0
7,"...7","female","2017-2018","met_recommendation",NA,2
7,"2-14","female","2017-2018","met_recommendation",1600,1
7,"2-14","female","2017-2018","did_not_meet_recommendation",13600,0
7,"2-14","female","2017-2018","total",15100,0
7,"15-17","female","2017-2018","met_recommendation",0,0
7,"15-17","female","2017-2018","did_not_meet_recommendation",3000,0
7,"15-17","female","2017-2018","total",2700,0
8,"2-3","female","2017-2018","met_recommendation",1700,1
8,"2-3","female","2017-2018","did_not_meet_recommendation",3200,1
8,"2-3","female","2017-2018","total",4100,0
8,"4-8","female","2017-2018","met_recommendation",0,0
8,"4-8","female","2017-2018","did_not_meet_recommendation",14200,0
8,"4-8","female","2017-2018","total",13900,0
8,"9-11","female","2017-2018","met_recommendation",0,0
8,"9-11","female","2017-2018","did_not_meet_recommendation",6400,0
8,"9-11","female","2017-2018","total",8300,0
8,"12-13","female","2017-2018","met_recommendation",0,0
8,"12-13","female","2017-2018","did_not_meet_recommendation",3500,0
8,"12-13","female","2017-2018","total",3500,0
8,"14-17","female","2017-2018","met_recommendation",1000,2
8,"14-17","female","2017-2018","did_not_meet_recommendation",8900,0
8,"14-17","female","2017-2018","total",9500,0
8,"...7","female","2017-2018","met_recommendation",NA,2
8,"2-14","female","2017-2018","met_recommendation",2500,1
8,"2-14","female","2017-2018","did_not_meet_recommendation",31000,0
8,"2-14","female","2017-2018","total",32400,0
8,"15-17","female","2017-2018","met_recommendation",0,0
8,"15-17","female","2017-2018","did_not_meet_recommendation",5900,0
8,"15-17","female","2017-2018","total",6100,0
