"STE_CODE16","age_group","sex","year_range","daily_consumption_fruit","n","uncertainty"
3,"9-11","male","2017-2018","met_recommendation",64800,0
3,"9-11","male","2017-2018","did_not_meet_recommendation",28200,0
3,"9-11","male","2017-2018","total",96000,0
3,"12-13","male","2017-2018","met_recommendation",44700,0
3,"12-13","male","2017-2018","did_not_meet_recommendation",26800,0
3,"12-13","male","2017-2018","total",71600,0
3,"14-17","male","2017-2018","met_recommendation",60500,0
3,"14-17","male","2017-2018","did_not_meet_recommendation",57000,0
3,"14-17","male","2017-2018","total",115400,0
3,"2-14","male","2017-2018","met_recommendation",314600,0
3,"2-14","male","2017-2018","did_not_meet_recommendation",105800,0
3,"2-14","male","2017-2018","total",428600,0
3,"15-17","male","2017-2018","met_recommendation",44200,0
3,"15-17","male","2017-2018","did_not_meet_recommendation",48400,0
3,"15-17","male","2017-2018","total",91600,0
4,"2-3","male","2017-2018","did_not_meet_recommendation",16700,0
4,"2-3","male","2017-2018","total",0,0
4,"4-8","male","2017-2018","did_not_meet_recommendation",51300,0
4,"4-8","male","2017-2018","total",11500,1
4,"9-11","male","2017-2018","did_not_meet_recommendation",23600,0
4,"9-11","male","2017-2018","total",8700,1
4,"12-13","male","2017-2018","did_not_meet_recommendation",9800,1
4,"12-13","male","2017-2018","total",12900,1
4,"14-17","male","2017-2018","did_not_meet_recommendation",19800,0
4,"14-17","male","2017-2018","total",23300,0
4,"2-14","male","2017-2018","did_not_meet_recommendation",103200,0
4,"2-14","male","2017-2018","total",34500,0
4,"15-17","male","2017-2018","did_not_meet_recommendation",11800,0
4,"15-17","male","2017-2018","total",17900,0
5,"2-3","male","2017-2018","met_recommendation",28100,0
5,"2-3","male","2017-2018","did_not_meet_recommendation",0,0
5,"2-3","male","2017-2018","total",28100,0
5,"4-8","male","2017-2018","met_recommendation",78400,0
5,"4-8","male","2017-2018","did_not_meet_recommendation",15000,1
5,"4-8","male","2017-2018","total",82300,0
5,"9-11","male","2017-2018","met_recommendation",49400,0
5,"9-11","male","2017-2018","did_not_meet_recommendation",8600,2
5,"9-11","male","2017-2018","total",59100,0
5,"12-13","male","2017-2018","met_recommendation",16700,1
5,"12-13","male","2017-2018","did_not_meet_recommendation",9800,1
5,"12-13","male","2017-2018","total",26800,0
5,"14-17","male","2017-2018","met_recommendation",28300,0
5,"14-17","male","2017-2018","did_not_meet_recommendation",34300,0
5,"14-17","male","2017-2018","total",63900,0
5,"2-14","male","2017-2018","met_recommendation",181900,0
5,"2-14","male","2017-2018","did_not_meet_recommendation",39300,0
5,"2-14","male","2017-2018","total",214200,0
5,"15-17","male","2017-2018","met_recommendation",18100,1
5,"15-17","male","2017-2018","did_not_meet_recommendation",20400,0
5,"15-17","male","2017-2018","total",48000,0
6,"2-3","male","2017-2018","met_recommendation",6500,0
6,"2-3","male","2017-2018","did_not_meet_recommendation",0,0
6,"2-3","male","2017-2018","total",6500,0
6,"4-8","male","2017-2018","met_recommendation",13500,0
6,"4-8","male","2017-2018","did_not_meet_recommendation",3200,1
6,"4-8","male","2017-2018","total",17300,0
6,"9-11","male","2017-2018","met_recommendation",6200,0
6,"9-11","male","2017-2018","did_not_meet_recommendation",3900,1
6,"9-11","male","2017-2018","total",9100,0
6,"12-13","male","2017-2018","met_recommendation",4500,1
6,"12-13","male","2017-2018","did_not_meet_recommendation",1900,1
6,"12-13","male","2017-2018","total",6800,0
6,"14-17","male","2017-2018","met_recommendation",5100,1
6,"14-17","male","2017-2018","did_not_meet_recommendation",7400,0
6,"14-17","male","2017-2018","total",12600,0
6,"...7","male","2017-2018","met_recommendation",NA,1
6,"2-14","male","2017-2018","met_recommendation",31300,0
6,"2-14","male","2017-2018","did_not_meet_recommendation",10100,0
6,"2-14","male","2017-2018","total",41300,0
6,"15-17","male","2017-2018","met_recommendation",4400,1
6,"15-17","male","2017-2018","did_not_meet_recommendation",5700,0
6,"15-17","male","2017-2018","total",9100,0
7,"2-3","male","2017-2018","met_recommendation",2500,0
7,"2-3","male","2017-2018","did_not_meet_recommendation",200,2
7,"2-3","male","2017-2018","total",2700,0
7,"4-8","male","2017-2018","met_recommendation",5000,0
7,"4-8","male","2017-2018","did_not_meet_recommendation",1400,1
7,"4-8","male","2017-2018","total",6100,0
7,"9-11","male","2017-2018","met_recommendation",2400,0
7,"9-11","male","2017-2018","did_not_meet_recommendation",1200,1
7,"9-11","male","2017-2018","total",3400,0
7,"12-13","male","2017-2018","met_recommendation",500,2
7,"12-13","male","2017-2018","did_not_meet_recommendation",2200,1
7,"12-13","male","2017-2018","total",3200,0
7,"14-17","male","2017-2018","met_recommendation",1500,1
7,"14-17","male","2017-2018","did_not_meet_recommendation",1900,1
7,"14-17","male","2017-2018","total",4100,0
7,"...7","male","2017-2018","met_recommendation",NA,1
7,"...7","male","2017-2018","did_not_meet_recommendation",NA,1
7,"2-14","male","2017-2018","met_recommendation",11700,0
7,"2-14","male","2017-2018","did_not_meet_recommendation",4300,0
7,"2-14","male","2017-2018","total",16600,0
7,"15-17","male","2017-2018","met_recommendation",1500,0
7,"15-17","male","2017-2018","did_not_meet_recommendation",1600,0
7,"15-17","male","2017-2018","total",3000,0
8,"2-3","male","2017-2018","met_recommendation",6800,0
8,"2-3","male","2017-2018","did_not_meet_recommendation",0,0
8,"2-3","male","2017-2018","total",6600,0
8,"4-8","male","2017-2018","met_recommendation",9800,0
8,"4-8","male","2017-2018","did_not_meet_recommendation",2200,1
8,"4-8","male","2017-2018","total",12300,0
8,"9-11","male","2017-2018","met_recommendation",7400,0
8,"9-11","male","2017-2018","did_not_meet_recommendation",1900,1
8,"9-11","male","2017-2018","total",7700,0
8,"12-13","male","2017-2018","met_recommendation",2700,1
8,"12-13","male","2017-2018","did_not_meet_recommendation",1000,2
8,"12-13","male","2017-2018","total",4400,0
8,"14-17","male","2017-2018","met_recommendation",3700,1
8,"14-17","male","2017-2018","did_not_meet_recommendation",6000,0
8,"14-17","male","2017-2018","total",9400,0
8,"...7","male","2017-2018","met_recommendation",NA,1
8,"2-14","male","2017-2018","met_recommendation",28000,0
8,"2-14","male","2017-2018","did_not_meet_recommendation",6800,0
8,"2-14","male","2017-2018","total",35700,0
8,"15-17","male","2017-2018","met_recommendation",1200,2
8,"15-17","male","2017-2018","did_not_meet_recommendation",4200,0
8,"15-17","male","2017-2018","total",6800,0
1,"2-3","female","2017-2018","met_recommendation",92500,0
1,"2-3","female","2017-2018","did_not_meet_recommendation",0,0
1,"2-3","female","2017-2018","total",97200,0
1,"4-8","female","2017-2018","met_recommendation",194500,0
1,"4-8","female","2017-2018","did_not_meet_recommendation",51000,0
1,"4-8","female","2017-2018","total",254500,0
1,"9-11","female","2017-2018","met_recommendation",124100,0
1,"9-11","female","2017-2018","did_not_meet_recommendation",26800,1
1,"9-11","female","2017-2018","total",148000,0
1,"12-13","female","2017-2018","met_recommendation",44000,0
1,"12-13","female","2017-2018","did_not_meet_recommendation",34600,1
1,"12-13","female","2017-2018","total",80200,0
1,"14-17","female","2017-2018","met_recommendation",117300,0
1,"14-17","female","2017-2018","did_not_meet_recommendation",61500,0
1,"14-17","female","2017-2018","total",183500,0
1,"2-14","female","2017-2018","met_recommendation",485700,0
1,"2-14","female","2017-2018","did_not_meet_recommendation",134100,0
1,"2-14","female","2017-2018","total",617100,0
1,"15-17","female","2017-2018","met_recommendation",79500,0
1,"15-17","female","2017-2018","did_not_meet_recommendation",45800,0
1,"15-17","female","2017-2018","total",133000,0
2,"2-3","female","2017-2018","met_recommendation",82000,0
2,"2-3","female","2017-2018","did_not_meet_recommendation",0,0
2,"2-3","female","2017-2018","total",80800,0
2,"4-8","female","2017-2018","met_recommendation",151500,0
2,"4-8","female","2017-2018","did_not_meet_recommendation",37800,0
2,"4-8","female","2017-2018","total",193600,0
2,"9-11","female","2017-2018","met_recommendation",91400,0
2,"9-11","female","2017-2018","did_not_meet_recommendation",26200,1
2,"9-11","female","2017-2018","total",118100,0
2,"12-13","female","2017-2018","met_recommendation",51700,0
2,"12-13","female","2017-2018","did_not_meet_recommendation",15700,1
2,"12-13","female","2017-2018","total",74500,0
2,"14-17","female","2017-2018","met_recommendation",88300,0
2,"14-17","female","2017-2018","did_not_meet_recommendation",44100,0
2,"14-17","female","2017-2018","total",134300,0
2,"2-14","female","2017-2018","met_recommendation",392600,0
2,"2-14","female","2017-2018","did_not_meet_recommendation",99500,0
2,"2-14","female","2017-2018","total",494200,0
2,"15-17","female","2017-2018","met_recommendation",71000,0
2,"15-17","female","2017-2018","did_not_meet_recommendation",28600,0
2,"15-17","female","2017-2018","total",108500,0
3,"2-3","female","2017-2018","met_recommendation",69400,0
3,"2-3","female","2017-2018","did_not_meet_recommendation",0,0
3,"2-3","female","2017-2018","total",71800,0
3,"4-8","female","2017-2018","met_recommendation",122900,0
3,"4-8","female","2017-2018","did_not_meet_recommendation",29500,0
3,"4-8","female","2017-2018","total",152400,0
3,"9-11","female","2017-2018","met_recommendation",63500,0
3,"9-11","female","2017-2018","did_not_meet_recommendation",29200,0
3,"9-11","female","2017-2018","total",96100,0
3,"12-13","female","2017-2018","met_recommendation",37100,0
3,"12-13","female","2017-2018","did_not_meet_recommendation",25800,1
3,"12-13","female","2017-2018","total",65000,0
3,"14-17","female","2017-2018","met_recommendation",61400,0
3,"14-17","female","2017-2018","did_not_meet_recommendation",51600,0
3,"14-17","female","2017-2018","total",118900,0
3,"2-14","female","2017-2018","met_recommendation",319700,0
3,"2-14","female","2017-2018","did_not_meet_recommendation",84200,0
3,"2-14","female","2017-2018","total",403800,0
3,"15-17","female","2017-2018","met_recommendation",41500,0
3,"15-17","female","2017-2018","did_not_meet_recommendation",45500,0
3,"15-17","female","2017-2018","total",84800,0
4,"2-3","female","2017-2018","met_recommendation",10400,1
4,"2-3","female","2017-2018","did_not_meet_recommendation",0,0
4,"2-3","female","2017-2018","total",10400,1
4,"4-8","female","2017-2018","met_recommendation",45100,0
4,"4-8","female","2017-2018","did_not_meet_recommendation",12100,1
4,"4-8","female","2017-2018","total",58200,0
4,"9-11","female","2017-2018","met_recommendation",27100,0
4,"9-11","female","2017-2018","did_not_meet_recommendation",2600,2
4,"9-11","female","2017-2018","total",28500,0
4,"12-13","female","2017-2018","met_recommendation",8100,1
4,"12-13","female","2017-2018","did_not_meet_recommendation",7200,2
4,"12-13","female","2017-2018","total",18000,0
4,"14-17","female","2017-2018","met_recommendation",24700,0
4,"14-17","female","2017-2018","did_not_meet_recommendation",15800,1
4,"14-17","female","2017-2018","total",42800,0
4,"...7","female","2017-2018","did_not_meet_recommendation",NA,1
4,"2-14","female","2017-2018","met_recommendation",98300,0
4,"2-14","female","2017-2018","did_not_meet_recommendation",36600,0
4,"2-14","female","2017-2018","total",132300,0
4,"15-17","female","2017-2018","met_recommendation",14900,0
4,"15-17","female","2017-2018","did_not_meet_recommendation",9500,1
4,"15-17","female","2017-2018","total",25000,0
5,"2-3","female","2017-2018","met_recommendation",29600,0
5,"2-3","female","2017-2018","did_not_meet_recommendation",0,0
5,"2-3","female","2017-2018","total",33300,0
5,"4-8","female","2017-2018","met_recommendation",69200,0
5,"4-8","female","2017-2018","did_not_meet_recommendation",19300,1
5,"4-8","female","2017-2018","total",89900,0
5,"9-11","female","2017-2018","met_recommendation",34600,0
5,"9-11","female","2017-2018","did_not_meet_recommendation",12600,1
5,"9-11","female","2017-2018","total",42200,0
5,"12-13","female","2017-2018","met_recommendation",17500,1
5,"12-13","female","2017-2018","did_not_meet_recommendation",9700,1
5,"12-13","female","2017-2018","total",29300,0
5,"14-17","female","2017-2018","met_recommendation",40200,0
5,"14-17","female","2017-2018","did_not_meet_recommendation",19000,0
5,"14-17","female","2017-2018","total",53200,0
5,"2-14","female","2017-2018","met_recommendation",159400,0
5,"2-14","female","2017-2018","did_not_meet_recommendation",50900,0
5,"2-14","female","2017-2018","total",202300,0
5,"15-17","female","2017-2018","met_recommendation",31100,0
5,"15-17","female","2017-2018","did_not_meet_recommendation",11900,1
5,"15-17","female","2017-2018","total",42700,0
6,"2-3","female","2017-2018","met_recommendation",6800,0
6,"2-3","female","2017-2018","did_not_meet_recommendation",0,0
6,"2-3","female","2017-2018","total",6800,0
6,"4-8","female","2017-2018","met_recommendation",14600,0
6,"4-8","female","2017-2018","did_not_meet_recommendation",2100,2
6,"4-8","female","2017-2018","total",15200,0
6,"9-11","female","2017-2018","met_recommendation",5200,0
6,"9-11","female","2017-2018","did_not_meet_recommendation",2800,1
6,"9-11","female","2017-2018","total",9000,0
6,"12-13","female","2017-2018","met_recommendation",2500,1
6,"12-13","female","2017-2018","did_not_meet_recommendation",1300,2
6,"12-13","female","2017-2018","total",3800,0
6,"14-17","female","2017-2018","met_recommendation",9100,0
6,"14-17","female","2017-2018","did_not_meet_recommendation",4500,1
6,"14-17","female","2017-2018","total",14500,0
6,"...7","female","2017-2018","did_not_meet_recommendation",NA,1
6,"2-14","female","2017-2018","met_recommendation",30600,0
6,"2-14","female","2017-2018","did_not_meet_recommendation",8700,0
6,"2-14","female","2017-2018","total",38500,0
6,"15-17","female","2017-2018","met_recommendation",5500,0
6,"15-17","female","2017-2018","did_not_meet_recommendation",3600,0
6,"15-17","female","2017-2018","total",9600,0
7,"2-3","female","2017-2018","met_recommendation",2700,0
7,"2-3","female","2017-2018","did_not_meet_recommendation",0,0
7,"2-3","female","2017-2018","total",2800,0
7,"4-8","female","2017-2018","met_recommendation",5200,0
7,"4-8","female","2017-2018","did_not_meet_recommendation",500,2
7,"4-8","female","2017-2018","total",6300,0
7,"9-11","female","2017-2018","met_recommendation",2800,0
7,"9-11","female","2017-2018","did_not_meet_recommendation",0,0
7,"9-11","female","2017-2018","total",3100,0
7,"12-13","female","2017-2018","met_recommendation",900,1
7,"12-13","female","2017-2018","did_not_meet_recommendation",800,1
7,"12-13","female","2017-2018","total",2300,0
7,"14-17","female","2017-2018","met_recommendation",2600,0
7,"14-17","female","2017-2018","did_not_meet_recommendation",1500,0
7,"14-17","female","2017-2018","total",3600,0
7,"2-14","female","2017-2018","met_recommendation",12600,0
7,"2-14","female","2017-2018","did_not_meet_recommendation",2800,0
7,"2-14","female","2017-2018","total",15100,0
7,"15-17","female","2017-2018","met_recommendation",2000,0
7,"15-17","female","2017-2018","did_not_meet_recommendation",600,2
7,"15-17","female","2017-2018","total",2700,0
8,"2-3","female","2017-2018","met_recommendation",4100,0
8,"2-3","female","2017-2018","did_not_meet_recommendation",0,0
8,"2-3","female","2017-2018","total",4100,0
8,"4-8","female","2017-2018","met_recommendation",11300,0
8,"4-8","female","2017-2018","did_not_meet_recommendation",3200,1
8,"4-8","female","2017-2018","total",13900,0
8,"9-11","female","2017-2018","met_recommendation",4600,1
8,"9-11","female","2017-2018","did_not_meet_recommendation",2200,1
8,"9-11","female","2017-2018","total",8300,0
8,"12-13","female","2017-2018","met_recommendation",1200,2
8,"12-13","female","2017-2018","did_not_meet_recommendation",1800,1
8,"12-13","female","2017-2018","total",3500,0
8,"14-17","female","2017-2018","met_recommendation",5900,0
8,"14-17","female","2017-2018","did_not_meet_recommendation",3800,1
8,"14-17","female","2017-2018","total",9500,0
8,"...7","female","2017-2018","did_not_meet_recommendation",NA,1
8,"2-14","female","2017-2018","met_recommendation",24900,0
8,"2-14","female","2017-2018","did_not_meet_recommendation",6500,0
8,"2-14","female","2017-2018","total",32400,0
8,"15-17","female","2017-2018","met_recommendation",4200,0
8,"15-17","female","2017-2018","did_not_meet_recommendation",3200,0
8,"15-17","female","2017-2018","total",6100,0
