"STE_CODE16","age_group","sex","year_range","daily_consumption_vegetables","p","uncertainty"
3,"14-17","male","2017-2018","did_not_meet_recommendation",97,0
3,"14-17","male","2017-2018","total",100,0
3,"...7","male","2017-2018","met_recommendation",NA,1
3,"2-14","male","2017-2018","met_recommendation",6.3,0
3,"2-14","male","2017-2018","did_not_meet_recommendation",93.4,0
3,"2-14","male","2017-2018","total",100,0
3,"15-17","male","2017-2018","met_recommendation",4,1
3,"15-17","male","2017-2018","did_not_meet_recommendation",98.1,1
3,"15-17","male","2017-2018","total",100,0
4,"2-3","male","2017-2018","met_recommendation",15.6,1
4,"2-3","male","2017-2018","did_not_meet_recommendation",91,1
4,"2-3","male","2017-2018","total",100,0
4,"4-8","male","2017-2018","met_recommendation",0,0
4,"4-8","male","2017-2018","did_not_meet_recommendation",103.5,1
4,"4-8","male","2017-2018","total",100,0
4,"9-11","male","2017-2018","met_recommendation",0,0
4,"9-11","male","2017-2018","did_not_meet_recommendation",117.3,1
4,"9-11","male","2017-2018","total",100,0
4,"12-13","male","2017-2018","met_recommendation",0,0
4,"12-13","male","2017-2018","did_not_meet_recommendation",100,0
4,"12-13","male","2017-2018","total",100,0
4,"14-17","male","2017-2018","met_recommendation",0,0
4,"14-17","male","2017-2018","did_not_meet_recommendation",89.7,0
4,"14-17","male","2017-2018","total",100,0
4,"2-14","male","2017-2018","met_recommendation",3,1
4,"2-14","male","2017-2018","did_not_meet_recommendation",96.4,1
4,"2-14","male","2017-2018","total",100,0
4,"15-17","male","2017-2018","met_recommendation",0,0
4,"15-17","male","2017-2018","did_not_meet_recommendation",103.3,1
4,"15-17","male","2017-2018","total",100,0
5,"2-3","male","2017-2018","met_recommendation",30.2,1
5,"2-3","male","2017-2018","did_not_meet_recommendation",106,1
5,"2-3","male","2017-2018","total",100,0
5,"4-8","male","2017-2018","met_recommendation",5,1
5,"4-8","male","2017-2018","did_not_meet_recommendation",98.7,1
5,"4-8","male","2017-2018","total",100,0
5,"9-11","male","2017-2018","met_recommendation",0,0
5,"9-11","male","2017-2018","did_not_meet_recommendation",81,0
5,"9-11","male","2017-2018","total",100,0
5,"12-13","male","2017-2018","met_recommendation",0,0
5,"12-13","male","2017-2018","did_not_meet_recommendation",100,0
5,"12-13","male","2017-2018","total",100,0
5,"14-17","male","2017-2018","met_recommendation",0,0
5,"14-17","male","2017-2018","did_not_meet_recommendation",91.5,0
5,"14-17","male","2017-2018","total",100,0
5,"2-14","male","2017-2018","met_recommendation",5.7,0
5,"2-14","male","2017-2018","did_not_meet_recommendation",96.6,1
5,"2-14","male","2017-2018","total",100,0
5,"15-17","male","2017-2018","met_recommendation",0,0
5,"15-17","male","2017-2018","did_not_meet_recommendation",91,0
5,"15-17","male","2017-2018","total",100,0
6,"2-3","male","2017-2018","met_recommendation",21.5,1
6,"2-3","male","2017-2018","did_not_meet_recommendation",63.1,1
6,"2-3","male","2017-2018","total",100,0
6,"4-8","male","2017-2018","met_recommendation",0,0
6,"4-8","male","2017-2018","did_not_meet_recommendation",101.2,1
6,"4-8","male","2017-2018","total",100,0
6,"9-11","male","2017-2018","met_recommendation",0,0
6,"9-11","male","2017-2018","did_not_meet_recommendation",100,0
6,"9-11","male","2017-2018","total",100,0
6,"12-13","male","2017-2018","met_recommendation",0,0
6,"12-13","male","2017-2018","did_not_meet_recommendation",102.9,1
6,"12-13","male","2017-2018","total",100,0
6,"14-17","male","2017-2018","met_recommendation",0,0
6,"14-17","male","2017-2018","did_not_meet_recommendation",100,0
6,"14-17","male","2017-2018","total",100,0
6,"2-14","male","2017-2018","met_recommendation",4.8,0
6,"2-14","male","2017-2018","did_not_meet_recommendation",99.5,1
6,"2-14","male","2017-2018","total",100,0
6,"15-17","male","2017-2018","met_recommendation",0,0
6,"15-17","male","2017-2018","did_not_meet_recommendation",100,0
6,"15-17","male","2017-2018","total",100,0
7,"2-3","male","2017-2018","met_recommendation",22.2,1
7,"2-3","male","2017-2018","did_not_meet_recommendation",96.3,1
7,"2-3","male","2017-2018","total",100,0
7,"4-8","male","2017-2018","met_recommendation",6.6,1
7,"4-8","male","2017-2018","did_not_meet_recommendation",103.3,1
7,"4-8","male","2017-2018","total",100,0
7,"9-11","male","2017-2018","met_recommendation",5.9,1
7,"9-11","male","2017-2018","did_not_meet_recommendation",111.8,1
7,"9-11","male","2017-2018","total",100,0
7,"12-13","male","2017-2018","met_recommendation",0,0
7,"12-13","male","2017-2018","did_not_meet_recommendation",100,0
7,"12-13","male","2017-2018","total",100,0
7,"14-17","male","2017-2018","met_recommendation",0,0
7,"14-17","male","2017-2018","did_not_meet_recommendation",95.1,1
7,"14-17","male","2017-2018","total",100,0
7,"...7","male","2017-2018","did_not_meet_recommendation",NA,1
7,"2-14","male","2017-2018","met_recommendation",7.8,0
7,"2-14","male","2017-2018","did_not_meet_recommendation",92.2,0
7,"2-14","male","2017-2018","total",100,0
7,"15-17","male","2017-2018","met_recommendation",0,0
7,"15-17","male","2017-2018","did_not_meet_recommendation",96.7,1
7,"15-17","male","2017-2018","total",100,0
8,"2-3","male","2017-2018","met_recommendation",19.7,1
8,"2-3","male","2017-2018","did_not_meet_recommendation",90.9,1
8,"2-3","male","2017-2018","total",100,0
8,"4-8","male","2017-2018","met_recommendation",0,0
8,"4-8","male","2017-2018","did_not_meet_recommendation",100,0
8,"4-8","male","2017-2018","total",100,0
8,"9-11","male","2017-2018","met_recommendation",0,0
8,"9-11","male","2017-2018","did_not_meet_recommendation",100,0
8,"9-11","male","2017-2018","total",100,0
8,"12-13","male","2017-2018","met_recommendation",0,0
8,"12-13","male","2017-2018","did_not_meet_recommendation",100,0
8,"12-13","male","2017-2018","total",100,0
8,"14-17","male","2017-2018","met_recommendation",0,0
8,"14-17","male","2017-2018","did_not_meet_recommendation",100,0
8,"14-17","male","2017-2018","total",100,0
8,"2-14","male","2017-2018","met_recommendation",3.6,0
8,"2-14","male","2017-2018","did_not_meet_recommendation",95,0
8,"2-14","male","2017-2018","total",100,0
8,"15-17","male","2017-2018","met_recommendation",0,0
8,"15-17","male","2017-2018","did_not_meet_recommendation",100,0
8,"15-17","male","2017-2018","total",100,0
1,"2-3","female","2017-2018","met_recommendation",24.7,1
1,"2-3","female","2017-2018","did_not_meet_recommendation",78.1,1
1,"2-3","female","2017-2018","total",100,0
1,"4-8","female","2017-2018","met_recommendation",9.9,0
1,"4-8","female","2017-2018","did_not_meet_recommendation",90.9,0
1,"4-8","female","2017-2018","total",100,0
1,"9-11","female","2017-2018","met_recommendation",8.7,0
1,"9-11","female","2017-2018","did_not_meet_recommendation",90.3,0
1,"9-11","female","2017-2018","total",100,0
1,"12-13","female","2017-2018","met_recommendation",0,0
1,"12-13","female","2017-2018","did_not_meet_recommendation",93.4,1
1,"12-13","female","2017-2018","total",100,0
1,"14-17","female","2017-2018","met_recommendation",5,1
1,"14-17","female","2017-2018","did_not_meet_recommendation",91.7,1
1,"14-17","female","2017-2018","total",100,0
1,"2-14","female","2017-2018","met_recommendation",9.7,0
1,"2-14","female","2017-2018","did_not_meet_recommendation",90,0
1,"2-14","female","2017-2018","total",100,0
1,"15-17","female","2017-2018","met_recommendation",5.3,1
1,"15-17","female","2017-2018","did_not_meet_recommendation",90.2,0
1,"15-17","female","2017-2018","total",100,0
2,"2-3","female","2017-2018","met_recommendation",23,1
2,"2-3","female","2017-2018","did_not_meet_recommendation",87.4,1
2,"2-3","female","2017-2018","total",100,0
2,"4-8","female","2017-2018","met_recommendation",3.5,1
2,"4-8","female","2017-2018","did_not_meet_recommendation",95.4,1
2,"4-8","female","2017-2018","total",100,0
2,"9-11","female","2017-2018","met_recommendation",5,1
2,"9-11","female","2017-2018","did_not_meet_recommendation",85.4,0
2,"9-11","female","2017-2018","total",100,0
2,"12-13","female","2017-2018","met_recommendation",0,0
2,"12-13","female","2017-2018","did_not_meet_recommendation",96.9,1
2,"12-13","female","2017-2018","total",100,0
2,"14-17","female","2017-2018","met_recommendation",7.5,1
2,"14-17","female","2017-2018","did_not_meet_recommendation",91.1,1
2,"14-17","female","2017-2018","total",100,0
2,"...7","female","2017-2018","met_recommendation",NA,1
2,"...7","female","2017-2018","did_not_meet_recommendation",NA,1
2,"2-14","female","2017-2018","met_recommendation",6.9,0
2,"2-14","female","2017-2018","did_not_meet_recommendation",93.4,0
2,"2-14","female","2017-2018","total",100,0
2,"15-17","female","2017-2018","met_recommendation",9.3,1
2,"15-17","female","2017-2018","did_not_meet_recommendation",82.3,1
2,"15-17","female","2017-2018","total",100,0
3,"2-3","female","2017-2018","met_recommendation",13.6,0
3,"2-3","female","2017-2018","did_not_meet_recommendation",82.6,0
3,"2-3","female","2017-2018","total",100,0
3,"4-8","female","2017-2018","met_recommendation",1.5,1
3,"4-8","female","2017-2018","did_not_meet_recommendation",95.9,0
3,"4-8","female","2017-2018","total",100,0
3,"9-11","female","2017-2018","met_recommendation",4,1
3,"9-11","female","2017-2018","did_not_meet_recommendation",92.7,1
3,"9-11","female","2017-2018","total",100,0
3,"12-13","female","2017-2018","met_recommendation",0,0
3,"12-13","female","2017-2018","did_not_meet_recommendation",98,1
3,"12-13","female","2017-2018","total",100,0
3,"14-17","female","2017-2018","met_recommendation",9.6,0
3,"14-17","female","2017-2018","did_not_meet_recommendation",88.9,0
3,"14-17","female","2017-2018","total",100,0
3,"2-14","female","2017-2018","met_recommendation",6,0
3,"2-14","female","2017-2018","did_not_meet_recommendation",94.2,0
3,"2-14","female","2017-2018","total",100,0
3,"15-17","female","2017-2018","met_recommendation",3.3,1
3,"15-17","female","2017-2018","did_not_meet_recommendation",96.9,1
3,"15-17","female","2017-2018","total",100,0
4,"2-3","female","2017-2018","met_recommendation",28.8,1
4,"2-3","female","2017-2018","did_not_meet_recommendation",102.9,1
4,"2-3","female","2017-2018","total",100,0
4,"4-8","female","2017-2018","met_recommendation",0,0
4,"4-8","female","2017-2018","did_not_meet_recommendation",102.4,1
4,"4-8","female","2017-2018","total",100,0
4,"9-11","female","2017-2018","met_recommendation",0,0
4,"9-11","female","2017-2018","did_not_meet_recommendation",100,0
4,"9-11","female","2017-2018","total",100,0
4,"12-13","female","2017-2018","met_recommendation",0,0
4,"12-13","female","2017-2018","did_not_meet_recommendation",97.8,1
4,"12-13","female","2017-2018","total",100,0
4,"14-17","female","2017-2018","met_recommendation",5.1,1
4,"14-17","female","2017-2018","did_not_meet_recommendation",87.4,0
4,"14-17","female","2017-2018","total",100,0
4,"...7","female","2017-2018","met_recommendation",NA,1
4,"2-14","female","2017-2018","met_recommendation",2.2,1
4,"2-14","female","2017-2018","did_not_meet_recommendation",95.1,0
4,"2-14","female","2017-2018","total",100,0
4,"15-17","female","2017-2018","met_recommendation",8.8,1
4,"15-17","female","2017-2018","did_not_meet_recommendation",104.8,1
4,"15-17","female","2017-2018","total",100,0
5,"2-3","female","2017-2018","met_recommendation",11.4,1
5,"2-3","female","2017-2018","did_not_meet_recommendation",77.5,1
5,"2-3","female","2017-2018","total",100,0
5,"4-8","female","2017-2018","met_recommendation",3.9,1
5,"4-8","female","2017-2018","did_not_meet_recommendation",98.9,1
5,"4-8","female","2017-2018","total",100,0
5,"9-11","female","2017-2018","met_recommendation",12.1,1
5,"9-11","female","2017-2018","did_not_meet_recommendation",92.2,0
5,"9-11","female","2017-2018","total",100,0
5,"12-13","female","2017-2018","met_recommendation",0,0
5,"12-13","female","2017-2018","did_not_meet_recommendation",100,0
5,"12-13","female","2017-2018","total",100,0
5,"14-17","female","2017-2018","met_recommendation",8.5,1
5,"14-17","female","2017-2018","did_not_meet_recommendation",91.4,1
5,"14-17","female","2017-2018","total",100,0
5,"...7","female","2017-2018","met_recommendation",NA,1
5,"...7","female","2017-2018","did_not_meet_recommendation",NA,1
5,"2-14","female","2017-2018","met_recommendation",4.6,0
5,"2-14","female","2017-2018","did_not_meet_recommendation",96,0
5,"2-14","female","2017-2018","total",100,0
5,"15-17","female","2017-2018","met_recommendation",10.5,1
5,"15-17","female","2017-2018","did_not_meet_recommendation",92.7,1
5,"15-17","female","2017-2018","total",100,0
6,"2-3","female","2017-2018","met_recommendation",19.1,1
6,"2-3","female","2017-2018","did_not_meet_recommendation",86.8,1
6,"2-3","female","2017-2018","total",100,0
6,"4-8","female","2017-2018","met_recommendation",0,0
6,"4-8","female","2017-2018","did_not_meet_recommendation",96.1,1
6,"4-8","female","2017-2018","total",100,0
6,"9-11","female","2017-2018","met_recommendation",10,1
6,"9-11","female","2017-2018","did_not_meet_recommendation",73.3,1
6,"9-11","female","2017-2018","total",100,0
6,"12-13","female","2017-2018","met_recommendation",0,0
6,"12-13","female","2017-2018","did_not_meet_recommendation",100,0
6,"12-13","female","2017-2018","total",100,0
6,"14-17","female","2017-2018","met_recommendation",6.9,1
6,"14-17","female","2017-2018","did_not_meet_recommendation",85.5,1
6,"14-17","female","2017-2018","total",100,0
6,"...7","female","2017-2018","met_recommendation",NA,1
6,"...7","female","2017-2018","did_not_meet_recommendation",NA,1
6,"2-14","female","2017-2018","met_recommendation",8.8,0
6,"2-14","female","2017-2018","did_not_meet_recommendation",94,0
6,"2-14","female","2017-2018","total",100,0
6,"15-17","female","2017-2018","met_recommendation",10.4,1
6,"15-17","female","2017-2018","did_not_meet_recommendation",81.2,1
6,"15-17","female","2017-2018","total",100,0
7,"2-3","female","2017-2018","met_recommendation",21.4,1
7,"2-3","female","2017-2018","did_not_meet_recommendation",60.7,1
7,"2-3","female","2017-2018","total",100,0
7,"4-8","female","2017-2018","met_recommendation",6.3,1
7,"4-8","female","2017-2018","did_not_meet_recommendation",100,0
7,"4-8","female","2017-2018","total",100,0
7,"9-11","female","2017-2018","met_recommendation",0,0
7,"9-11","female","2017-2018","did_not_meet_recommendation",74.2,1
7,"9-11","female","2017-2018","total",100,0
7,"12-13","female","2017-2018","met_recommendation",0,0
7,"12-13","female","2017-2018","did_not_meet_recommendation",87,1
7,"12-13","female","2017-2018","total",100,0
7,"14-17","female","2017-2018","met_recommendation",5.6,1
7,"14-17","female","2017-2018","did_not_meet_recommendation",108.3,1
7,"14-17","female","2017-2018","total",100,0
7,"...7","female","2017-2018","met_recommendation",NA,1
7,"...7","female","2017-2018","did_not_meet_recommendation",NA,1
7,"2-14","female","2017-2018","met_recommendation",10.6,0
7,"2-14","female","2017-2018","did_not_meet_recommendation",90.1,0
7,"2-14","female","2017-2018","total",100,0
7,"15-17","female","2017-2018","met_recommendation",0,0
7,"15-17","female","2017-2018","did_not_meet_recommendation",111.1,1
7,"15-17","female","2017-2018","total",100,0
8,"2-3","female","2017-2018","met_recommendation",41.5,1
8,"2-3","female","2017-2018","did_not_meet_recommendation",78,1
8,"2-3","female","2017-2018","total",100,0
8,"4-8","female","2017-2018","met_recommendation",0,0
8,"4-8","female","2017-2018","did_not_meet_recommendation",102.2,1
8,"4-8","female","2017-2018","total",100,0
8,"9-11","female","2017-2018","met_recommendation",0,0
8,"9-11","female","2017-2018","did_not_meet_recommendation",77.1,1
8,"9-11","female","2017-2018","total",100,0
8,"12-13","female","2017-2018","met_recommendation",0,0
8,"12-13","female","2017-2018","did_not_meet_recommendation",100,0
8,"12-13","female","2017-2018","total",100,0
8,"14-17","female","2017-2018","met_recommendation",10.5,1
8,"14-17","female","2017-2018","did_not_meet_recommendation",93.7,1
8,"14-17","female","2017-2018","total",100,0
8,"...7","female","2017-2018","met_recommendation",NA,1
8,"...7","female","2017-2018","did_not_meet_recommendation",NA,1
8,"2-14","female","2017-2018","met_recommendation",7.7,0
8,"2-14","female","2017-2018","did_not_meet_recommendation",95.7,1
8,"2-14","female","2017-2018","total",100,0
8,"15-17","female","2017-2018","met_recommendation",0,0
8,"15-17","female","2017-2018","did_not_meet_recommendation",96.7,1
8,"15-17","female","2017-2018","total",100,0
